https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDAO,Volume USDT
1663459200,2022-09-18 00:00:00,SDAO/USDT,0.378,0.378,0.3692,0.3703,5049.0142,1878.62390163
1663372800,2022-09-17 00:00:00,SDAO/USDT,0.3674,0.38,0.3638,0.378,154147.8522,57418.94394527
1663286400,2022-09-16 00:00:00,SDAO/USDT,0.3611,0.374,0.3562,0.3683,177467.2064,65125.26383707
1663200000,2022-09-15 00:00:00,SDAO/USDT,0.3693,0.3788,0.3512,0.363,357420.1413,130169.56274855
1663113600,2022-09-14 00:00:00,SDAO/USDT,0.3705,0.3754,0.3611,0.3691,178286.5596,65265.70658726
1663027200,2022-09-13 00:00:00,SDAO/USDT,0.3909,0.4007,0.3648,0.3704,174955.9834,66694.58855782
1662940800,2022-09-12 00:00:00,SDAO/USDT,0.3764,0.4057,0.3706,0.3905,146212.1258,57064.55660248
1662854400,2022-09-11 00:00:00,SDAO/USDT,0.3942,0.395,0.3722,0.3762,91751.0176,35070.56502316
1662768000,2022-09-10 00:00:00,SDAO/USDT,0.394,0.3961,0.3749,0.395,138846.9887,53823.31403741
1662681600,2022-09-09 00:00:00,SDAO/USDT,0.3636,0.3953,0.3558,0.3933,179529.3896,68194.38872035
1662595200,2022-09-08 00:00:00,SDAO/USDT,0.3544,0.3656,0.3249,0.3636,211273.3635,74437.60370889
1662508800,2022-09-07 00:00:00,SDAO/USDT,0.3464,0.3604,0.336,0.3544,199291.1635,69252.33666034
1662422400,2022-09-06 00:00:00,SDAO/USDT,0.3566,0.3671,0.3452,0.3473,113839.5549,40580.44040888
1662336000,2022-09-05 00:00:00,SDAO/USDT,0.3686,0.371,0.355,0.3569,86377.8071,31319.88276096
1662249600,2022-09-04 00:00:00,SDAO/USDT,0.3638,0.3739,0.3576,0.369,92031.2618,33855.23713222
1662163200,2022-09-03 00:00:00,SDAO/USDT,0.3708,0.3708,0.3603,0.3645,88349.9724,32359.16701367
1662076800,2022-09-02 00:00:00,SDAO/USDT,0.3666,0.3905,0.358,0.3703,133631.2839,49927.47769098
1661990400,2022-09-01 00:00:00,SDAO/USDT,0.37,0.3802,0.359,0.3697,124604.9882,45743.49253639
1661904000,2022-08-31 00:00:00,SDAO/USDT,0.3767,0.3833,0.37,0.3706,175744.7449,65866.30114733
1661817600,2022-08-30 00:00:00,SDAO/USDT,0.3823,0.3857,0.3654,0.373,146643.035,55211.39043344
1661731200,2022-08-29 00:00:00,SDAO/USDT,0.3595,0.3859,0.3576,0.3792,164434.6789,60507.34283462
1661644800,2022-08-28 00:00:00,SDAO/USDT,0.373,0.376,0.355,0.359,177541.2756,65853.65320166
1661558400,2022-08-27 00:00:00,SDAO/USDT,0.3666,0.3763,0.3661,0.375,116392.656,43251.02664304
1661472000,2022-08-26 00:00:00,SDAO/USDT,0.408,0.411,0.3612,0.3633,273673.6577,104213.09545871
1661385600,2022-08-25 00:00:00,SDAO/USDT,0.393,0.4521,0.3904,0.408,256792.1222,105044.79769421
1661299200,2022-08-24 00:00:00,SDAO/USDT,0.3894,0.4,0.379,0.3906,114078.8521,44667.63534784
1661212800,2022-08-23 00:00:00,SDAO/USDT,0.3889,0.408,0.3818,0.3914,142899.682,56189.86191996
1661126400,2022-08-22 00:00:00,SDAO/USDT,0.3976,0.3994,0.3741,0.389,118441.563,45871.85349993
1661040000,2022-08-21 00:00:00,SDAO/USDT,0.3845,0.4037,0.3845,0.397,146776.0379,57963.18532954
1660953600,2022-08-20 00:00:00,SDAO/USDT,0.3785,0.395,0.3785,0.3842,71183.8927,27598.74479367
1660867200,2022-08-19 00:00:00,SDAO/USDT,0.4186,0.4193,0.3786,0.38,160856.4264,63719.48289541
1660780800,2022-08-18 00:00:00,SDAO/USDT,0.4146,0.4572,0.403,0.4185,174076.2143,74130.72634985
1660694400,2022-08-17 00:00:00,SDAO/USDT,0.4385,0.4434,0.4134,0.4146,105069.91,44788.86229429
1660608000,2022-08-16 00:00:00,SDAO/USDT,0.4612,0.4744,0.4313,0.4388,84031.5002,38053.3243345
1660521600,2022-08-15 00:00:00,SDAO/USDT,0.4846,0.4914,0.4388,0.4604,156118.6811,72501.79219949
1660435200,2022-08-14 00:00:00,SDAO/USDT,0.4991,0.5199,0.4828,0.4854,125417.7868,62800.81372816
1660348800,2022-08-13 00:00:00,SDAO/USDT,0.4698,0.505,0.468,0.4949,116045.5253,56702.91138291
1660262400,2022-08-12 00:00:00,SDAO/USDT,0.4678,0.49,0.4629,0.468,94804.6338,44859.98635834
