https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDN,Volume USDT
1663459200,2022-09-18 00:00:00,SDN/USDT,0.3179,0.3256,0.3159,0.3237,2628.533,848.48121211
1663372800,2022-09-17 00:00:00,SDN/USDT,0.3337,0.3478,0.3158,0.3159,53854.6655,17852.80150144
1663286400,2022-09-16 00:00:00,SDN/USDT,0.346,0.347,0.3263,0.3332,22716.6316,7627.64514472
1663200000,2022-09-15 00:00:00,SDN/USDT,0.3527,0.3789,0.3231,0.3472,70559.1924,25250.63353281
1663113600,2022-09-14 00:00:00,SDN/USDT,0.3565,0.381,0.342,0.3526,44343.5428,15765.08038478
1663027200,2022-09-13 00:00:00,SDN/USDT,0.3735,0.4033,0.355,0.3587,127599.6407,47616.25304964
1662940800,2022-09-12 00:00:00,SDN/USDT,0.3643,0.3901,0.3613,0.3736,63273.2754,23710.65381569
1662854400,2022-09-11 00:00:00,SDN/USDT,0.3932,0.3932,0.3441,0.3667,48851.5842,17719.78245266
1662768000,2022-09-10 00:00:00,SDN/USDT,0.3553,0.397,0.3222,0.3932,176229.2083,63345.4181564
1662681600,2022-09-09 00:00:00,SDN/USDT,0.3379,0.368,0.3111,0.3551,90464.0331,30798.26693647
1662595200,2022-09-08 00:00:00,SDN/USDT,0.328,0.3495,0.3193,0.335,78486.6551,26256.52500574
1662508800,2022-09-07 00:00:00,SDN/USDT,0.3239,0.3286,0.3051,0.326,20653.4379,6561.90172458
1662422400,2022-09-06 00:00:00,SDN/USDT,0.3337,0.3421,0.3173,0.3223,57417.8268,18965.24438281
1662336000,2022-09-05 00:00:00,SDN/USDT,0.3354,0.3403,0.3195,0.3325,33925.6319,11174.88159443
1662249600,2022-09-04 00:00:00,SDN/USDT,0.3218,0.3545,0.3158,0.3325,105803.5077,35216.31691339
1662163200,2022-09-03 00:00:00,SDN/USDT,0.3,0.3353,0.299,0.3219,164618.5077,52071.30518906
1662076800,2022-09-02 00:00:00,SDN/USDT,0.2851,0.312,0.2811,0.2998,118836.7976,35597.89953491
1661990400,2022-09-01 00:00:00,SDN/USDT,0.2819,0.293,0.272,0.2849,51551.39,14581.06383845
1661904000,2022-08-31 00:00:00,SDN/USDT,0.2769,0.2879,0.2765,0.2801,37605.404,10585.65239796
1661817600,2022-08-30 00:00:00,SDN/USDT,0.2848,0.2897,0.2722,0.2764,24821.3377,6967.08888364
1661731200,2022-08-29 00:00:00,SDN/USDT,0.273,0.2885,0.2687,0.2847,42814.71651997,11963.459881545939
1661644800,2022-08-28 00:00:00,SDN/USDT,0.2817,0.287,0.27,0.2718,38927.5919,10817.58959311
1661558400,2022-08-27 00:00:00,SDN/USDT,0.2881,0.2954,0.2811,0.2819,46273.17,13340.10949339
1661472000,2022-08-26 00:00:00,SDN/USDT,0.3027,0.3073,0.288,0.288,38360.6597,11359.05312938
1661385600,2022-08-25 00:00:00,SDN/USDT,0.3029,0.3119,0.301,0.3015,26607.7259,8138.54342453
1661299200,2022-08-24 00:00:00,SDN/USDT,0.3065,0.3099,0.2976,0.3027,31703.5323,9598.03219059
1661212800,2022-08-23 00:00:00,SDN/USDT,0.3022,0.3155,0.299,0.3061,19978.0362,6098.63164656
1661126400,2022-08-22 00:00:00,SDN/USDT,0.3083,0.3112,0.3004,0.3022,42721.1933,13057.92427094
1661040000,2022-08-21 00:00:00,SDN/USDT,0.299,0.3145,0.2925,0.3084,49429.9758,14993.65216202
1660953600,2022-08-20 00:00:00,SDN/USDT,0.2995,0.312,0.2945,0.2996,47041.9319,14336.7727264
1660867200,2022-08-19 00:00:00,SDN/USDT,0.3142,0.315,0.2964,0.2994,53968.4747,16494.29397611
1660780800,2022-08-18 00:00:00,SDN/USDT,0.3177,0.3397,0.3106,0.3169,96074.3627,31029.43491278
1660694400,2022-08-17 00:00:00,SDN/USDT,0.3343,0.3467,0.3154,0.3194,61653.895,20170.89003111
1660608000,2022-08-16 00:00:00,SDN/USDT,0.3366,0.343,0.327,0.3343,52896.8821,17750.11863593
1660521600,2022-08-15 00:00:00,SDN/USDT,0.3447,0.3491,0.335,0.3355,45386.3705,15380.77305721
1660435200,2022-08-14 00:00:00,SDN/USDT,0.3638,0.3653,0.3396,0.343,96610.2574,33706.73308603
1660348800,2022-08-13 00:00:00,SDN/USDT,0.3624,0.377,0.3611,0.3639,55970.5263,20665.76235548
1660262400,2022-08-12 00:00:00,SDN/USDT,0.3591,0.3822,0.3567,0.3619,77865.7052,28593.1956741
1660176000,2022-08-11 00:00:00,SDN/USDT,0.3605,0.3718,0.3578,0.3583,53523.0758,19468.7948514
1660089600,2022-08-10 00:00:00,SDN/USDT,0.3471,0.372,0.3311,0.3605,80700.9067,28816.59642326
1660003200,2022-08-09 00:00:00,SDN/USDT,0.3749,0.3823,0.337,0.3472,113972.3583,40958.37868827
