https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFP,Volume USDT
1663459200,2022-09-18 00:00:00,SFP/USDT,0.366,0.366,0.3655,0.3658,3.559,1.30233016
1663372800,2022-09-17 00:00:00,SFP/USDT,0.3608,0.37,0.3608,0.3681,46682.1577,17111.15167305
1663286400,2022-09-16 00:00:00,SFP/USDT,0.3532,0.3606,0.3475,0.3598,26897.3933,9495.52273535
1663200000,2022-09-15 00:00:00,SFP/USDT,0.37,0.37,0.348,0.3524,23988.0993,8596.31254631
1663113600,2022-09-14 00:00:00,SFP/USDT,0.3649,0.3754,0.3606,0.3716,84383.8623,31421.41056466
1663027200,2022-09-13 00:00:00,SFP/USDT,0.3955,0.3993,0.3632,0.3671,45747.5453,17477.67262989
1662940800,2022-09-12 00:00:00,SFP/USDT,0.3926,0.4267,0.3879,0.3956,73190.282,29859.99261655
1662854400,2022-09-11 00:00:00,SFP/USDT,0.405,0.4092,0.3865,0.3926,18593.6483,7405.79949736
1662768000,2022-09-10 00:00:00,SFP/USDT,0.396,0.4066,0.3928,0.403,38187.0774,15236.14271096
1662681600,2022-09-09 00:00:00,SFP/USDT,0.3781,0.4049,0.3781,0.396,146421.5718,57579.40413668
1662595200,2022-09-08 00:00:00,SFP/USDT,0.3743,0.3824,0.3663,0.3754,20581.7101,7706.43267134
1662508800,2022-09-07 00:00:00,SFP/USDT,0.3492,0.376,0.3481,0.3712,60355.7759,21714.61033949
1662422400,2022-09-06 00:00:00,SFP/USDT,0.3865,0.392,0.3471,0.3495,46044.459,17060.41824548
1662336000,2022-09-05 00:00:00,SFP/USDT,0.3788,0.3871,0.3756,0.387,37715.7641,14340.38026424
1662249600,2022-09-04 00:00:00,SFP/USDT,0.3705,0.3788,0.3692,0.3788,14306.6456,5351.3515213
1662163200,2022-09-03 00:00:00,SFP/USDT,0.3724,0.3769,0.3672,0.3698,47960.6939,17833.47008453
1662076800,2022-09-02 00:00:00,SFP/USDT,0.399,0.3996,0.369,0.3727,154464.9458,60474.26141033
1661990400,2022-09-01 00:00:00,SFP/USDT,0.3956,0.505,0.3906,0.397,309612.5523,131655.48757308
1661904000,2022-08-31 00:00:00,SFP/USDT,0.3895,0.4,0.3872,0.3945,30227.00357308,11955.143601955268
1661817600,2022-08-30 00:00:00,SFP/USDT,0.417,0.417,0.38,0.3873,44214.59655937,17609.149103737575
1661731200,2022-08-29 00:00:00,SFP/USDT,0.375,0.4274,0.3712,0.4177,50761.08159348,20588.18018807953
1661644800,2022-08-28 00:00:00,SFP/USDT,0.386,0.3955,0.3763,0.3763,27651.06849546,10743.406644407903
1661558400,2022-08-27 00:00:00,SFP/USDT,0.3701,0.3869,0.3616,0.3869,32064.69192279,11898.139022116452
1661472000,2022-08-26 00:00:00,SFP/USDT,0.3952,0.4121,0.3666,0.3707,111373.71342103,43846.678299108184
1661385600,2022-08-25 00:00:00,SFP/USDT,0.3813,0.4144,0.3813,0.3971,230457.41932546,91356.275886803311
1661299200,2022-08-24 00:00:00,SFP/USDT,0.3749,0.389,0.3675,0.3798,92598.66488152,35214.345857775271
1661212800,2022-08-23 00:00:00,SFP/USDT,0.3596,0.3856,0.3321,0.3758,320335.53791688,117889.875215441759
1661126400,2022-08-22 00:00:00,SFP/USDT,0.3631,0.365,0.3432,0.3583,44217.91159088,15663.828545208904
1661040000,2022-08-21 00:00:00,SFP/USDT,0.3406,0.3668,0.3406,0.3637,105403.85031238,36952.243751350886
1660953600,2022-08-20 00:00:00,SFP/USDT,0.3434,0.5797,0.336,0.3402,1101538.27429196,452886.905822475199
1660867200,2022-08-19 00:00:00,SFP/USDT,0.3727,0.3744,0.3396,0.3452,260612.93936622,92827.649154575082
1660780800,2022-08-18 00:00:00,SFP/USDT,0.3953,0.4023,0.3701,0.3727,50762.07251642,19974.040042987152
1660694400,2022-08-17 00:00:00,SFP/USDT,0.4159,0.4274,0.3935,0.3953,35335.35710844,14592.599533072284
1660608000,2022-08-16 00:00:00,SFP/USDT,0.4187,0.4235,0.4081,0.4167,56469.01683491,23654.555909660701
1660521600,2022-08-15 00:00:00,SFP/USDT,0.4175,0.4301,0.41,0.4191,18245.68923406,7636.649223889293
1660435200,2022-08-14 00:00:00,SFP/USDT,0.4352,0.4468,0.4168,0.4177,28767.25108685,12441.234543473458
1660348800,2022-08-13 00:00:00,SFP/USDT,0.4496,0.4567,0.4358,0.4358,36128.92634827,16083.375095946822
1660262400,2022-08-12 00:00:00,SFP/USDT,0.4388,0.4493,0.4286,0.4493,29875.03493364,13146.743967204871
1660176000,2022-08-11 00:00:00,SFP/USDT,0.4299,0.4561,0.4299,0.4378,129672.98568603,58019.751228288062
1660089600,2022-08-10 00:00:00,SFP/USDT,0.4109,0.439,0.4,0.4302,59323.0351322,25365.229736679104
1660003200,2022-08-09 00:00:00,SFP/USDT,0.4381,0.465,0.4025,0.411,61822.7827526,26428.825617791031
1659916800,2022-08-08 00:00:00,SFP/USDT,0.4376,0.452,0.431,0.438,45144.77052197,20018.809021195976
1659830400,2022-08-07 00:00:00,SFP/USDT,0.4325,0.4459,0.43,0.4376,22871.92022757,10059.386030294605
1659744000,2022-08-06 00:00:00,SFP/USDT,0.4474,0.4572,0.4324,0.434,42171.93124726,18845.172716210013
1659657600,2022-08-05 00:00:00,SFP/USDT,0.4417,0.4517,0.4286,0.4447,109445.06526013,48292.797432560052
1659571200,2022-08-04 00:00:00,SFP/USDT,0.3912,0.4466,0.3912,0.4432,210683.06717271,91028.832828163343
