https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFUND,Volume USDT
1663462800,2022-09-18 01:00:00,SFUND/USDT,2.3272,2.3298,2.3269,2.3274,4344.5431,10112.54083184
1663459200,2022-09-18 00:00:00,SFUND/USDT,2.3574,2.3628,2.3263,2.3348,74775.3032,175009.91891901
1663455600,2022-09-17 23:00:00,SFUND/USDT,2.3505,2.3668,2.3444,2.3555,39970.4238,94100.50379712
1663452000,2022-09-17 22:00:00,SFUND/USDT,2.3419,2.3629,2.3419,2.3438,9709.8232,22764.27982769
1663448400,2022-09-17 21:00:00,SFUND/USDT,2.3367,2.3418,2.3308,2.3371,15374.8215,35913.22793935
1663444800,2022-09-17 20:00:00,SFUND/USDT,2.3515,2.3525,2.3206,2.3388,63068.9588,147580.33486539
1663441200,2022-09-17 19:00:00,SFUND/USDT,2.3534,2.3629,2.3289,2.3495,57101.8681,134199.09753875
1663437600,2022-09-17 18:00:00,SFUND/USDT,2.3709,2.3734,2.3442,2.3442,48320.2252,114150.58187833
1663434000,2022-09-17 17:00:00,SFUND/USDT,2.349,2.381,2.3401,2.3748,43513.2787,102562.49882001
1663430400,2022-09-17 16:00:00,SFUND/USDT,2.3287,2.389,2.328,2.349,34210.8957,80118.25156543
1663426800,2022-09-17 15:00:00,SFUND/USDT,2.3429,2.3483,2.3223,2.3316,33603.4806,78502.1432551
1663423200,2022-09-17 14:00:00,SFUND/USDT,2.3263,2.3468,2.3202,2.3468,31649.3814,73679.06900245
1663419600,2022-09-17 13:00:00,SFUND/USDT,2.323,2.3345,2.3116,2.3254,63213.5289,146596.4629803
1663416000,2022-09-17 12:00:00,SFUND/USDT,2.3181,2.3236,2.3115,2.3229,24898.5608,57674.10038339
1663412400,2022-09-17 11:00:00,SFUND/USDT,2.317,2.3331,2.3169,2.3309,3679.1537,8526.88118952
1663408800,2022-09-17 10:00:00,SFUND/USDT,2.3065,2.3159,2.3015,2.3118,17430.5703,40232.5774065
1663405200,2022-09-17 09:00:00,SFUND/USDT,2.3124,2.3289,2.3031,2.3086,6766.7208,15683.84734393
1663401600,2022-09-17 08:00:00,SFUND/USDT,2.3454,2.3697,2.3002,2.3157,32126.8764,74698.00835297
