https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHR,Volume USDT
1663462800,2022-09-18 01:00:00,SHR/USDT,0.00248,0.002491,0.002456,0.002461,553551.9382,1370.5956912201
1663459200,2022-09-18 00:00:00,SHR/USDT,0.002453,0.002488,0.002447,0.002477,3272665.4479,8080.1916321513
1663455600,2022-09-17 23:00:00,SHR/USDT,0.002448,0.00247,0.002432,0.00245,3226385.0628,7904.771280292
1663452000,2022-09-17 22:00:00,SHR/USDT,0.002437,0.00246,0.00243,0.002448,3021941.3905,7380.2313014925
1663448400,2022-09-17 21:00:00,SHR/USDT,0.002444,0.002499,0.002431,0.002446,4331346.8316,10633.2868740355
1663444800,2022-09-17 20:00:00,SHR/USDT,0.002439,0.002452,0.00243,0.002447,3711151.7373,9052.3889986568
1663441200,2022-09-17 19:00:00,SHR/USDT,0.002422,0.002449,0.002414,0.002447,3803426.7438,9246.4420709541
1663437600,2022-09-17 18:00:00,SHR/USDT,0.002431,0.002443,0.002405,0.002425,3364937.838,8153.2231252357
1663434000,2022-09-17 17:00:00,SHR/USDT,0.00244,0.002463,0.002425,0.002433,3853280.0835,9423.334679457
1663430400,2022-09-17 16:00:00,SHR/USDT,0.002406,0.002455,0.002393,0.002432,3030155.8051,7333.414628156
1663426800,2022-09-17 15:00:00,SHR/USDT,0.002406,0.002419,0.002376,0.002397,3390426.7717,8131.499938158
1663423200,2022-09-17 14:00:00,SHR/USDT,0.002393,0.002412,0.002385,0.002406,2815486.7951,6756.6261981154
1663419600,2022-09-17 13:00:00,SHR/USDT,0.002392,0.002408,0.002375,0.002401,3189493.4277,7623.3491620025
1663416000,2022-09-17 12:00:00,SHR/USDT,0.002393,0.002393,0.002361,0.002391,2001350.4414,4757.7150874768
1663412400,2022-09-17 11:00:00,SHR/USDT,0.002367,0.0024,0.002361,0.002393,1300966.77,3090.446159472
1663408800,2022-09-17 10:00:00,SHR/USDT,0.002391,0.002397,0.002358,0.002376,2954377.3683,7014.9909940853
1663405200,2022-09-17 09:00:00,SHR/USDT,0.002383,0.002403,0.002374,0.00239,2480262.0134,5927.15726943
1663401600,2022-09-17 08:00:00,SHR/USDT,0.00237,0.002396,0.002362,0.002378,3003019.8656,7147.7249568358
1663398000,2022-09-17 07:00:00,SHR/USDT,0.00236,0.002391,0.002351,0.002368,2984488.7351,7060.4488053613
1663394400,2022-09-17 06:00:00,SHR/USDT,0.002364,0.002382,0.002343,0.002351,2119892.8692,5004.2008419084
1663390800,2022-09-17 05:00:00,SHR/USDT,0.00237,0.00237,0.002364,0.002364,23151.3095,54.813433498
1663387200,2022-09-17 04:00:00,SHR/USDT,0.002373,0.002373,0.002365,0.002365,131385.0209,311.0384213319
1663383600,2022-09-17 03:00:00,SHR/USDT,0.002384,0.002384,0.002374,0.002374,42980.4576,102.1310072225
1663380000,2022-09-17 02:00:00,SHR/USDT,0.002379,0.002388,0.002376,0.002376,93678.2665,223.3837000158
1663376400,2022-09-17 01:00:00,SHR/USDT,0.002377,0.002388,0.002362,0.002379,3029038.4975,7193.4481354105
1663372800,2022-09-17 00:00:00,SHR/USDT,0.002379,0.002384,0.002362,0.002384,3075624.2628,7302.7311330251
1663369200,2022-09-16 23:00:00,SHR/USDT,0.002379,0.002381,0.002362,0.00238,3575685.744,8476.2698125597
1663365600,2022-09-16 22:00:00,SHR/USDT,0.002372,0.002384,0.002362,0.00238,3117412.6273,7396.7325714573
1663362000,2022-09-16 21:00:00,SHR/USDT,0.002369,0.002391,0.002362,0.002372,3075865.6933,7308.8115772952
1663358400,2022-09-16 20:00:00,SHR/USDT,0.002339,0.002379,0.002328,0.002369,2847722.2036,6716.0444903014
1663354800,2022-09-16 19:00:00,SHR/USDT,0.002341,0.00235,0.002324,0.002333,3583998.1308,8385.3478794395
1663351200,2022-09-16 18:00:00,SHR/USDT,0.002342,0.002342,0.002309,0.002342,3660283.7222,8509.2989770545
1663347600,2022-09-16 17:00:00,SHR/USDT,0.002329,0.00235,0.002315,0.002338,4052559.4443,9431.8672021147
1663344000,2022-09-16 16:00:00,SHR/USDT,0.00234,0.002342,0.002309,0.002323,3008384.5968,7005.4633814699
1663340400,2022-09-16 15:00:00,SHR/USDT,0.002324,0.002344,0.002315,0.00234,3061167.3913,7134.8726272444
1663336800,2022-09-16 14:00:00,SHR/USDT,0.002348,0.002361,0.002293,0.002327,4198029.2176,9751.6576584903
1663333200,2022-09-16 13:00:00,SHR/USDT,0.002355,0.002389,0.002338,0.002349,1092081.3465,2584.9935680924
1663329600,2022-09-16 12:00:00,SHR/USDT,0.002326,0.002358,0.002317,0.002354,1464311.313,3422.4031179194
1663326000,2022-09-16 11:00:00,SHR/USDT,0.002372,0.002397,0.00232,0.002327,1543349.5301,3652.8647064376
1663322400,2022-09-16 10:00:00,SHR/USDT,0.002366,0.002386,0.002347,0.002379,1428563.9522,3376.7444854609
1663318800,2022-09-16 09:00:00,SHR/USDT,0.002352,0.002366,0.002327,0.002366,3069945.5425,7205.3621700519
1663315200,2022-09-16 08:00:00,SHR/USDT,0.00233,0.002384,0.002319,0.002352,3239342.2947,7589.5182397469
1663311600,2022-09-16 07:00:00,SHR/USDT,0.002375,0.002382,0.002327,0.00233,4323104.3622,10224.5869968997
1663308000,2022-09-16 06:00:00,SHR/USDT,0.002387,0.002394,0.002374,0.002375,3488324.4401,8303.0927171703
1663304400,2022-09-16 05:00:00,SHR/USDT,0.002384,0.002396,0.002373,0.002387,2961357.4915,7051.8780529316
1663300800,2022-09-16 04:00:00,SHR/USDT,0.002363,0.002404,0.00236,0.002389,3196422.3192,7615.8229220892
1663297200,2022-09-16 03:00:00,SHR/USDT,0.00236,0.002376,0.002358,0.002363,3140732.6289,7429.8855329423
1663293600,2022-09-16 02:00:00,SHR/USDT,0.002363,0.002379,0.002355,0.002365,3676746.3031,8685.8487537571
1663290000,2022-09-16 01:00:00,SHR/USDT,0.002368,0.002386,0.002354,0.00236,3459709.0327,8192.9064496487
1663286400,2022-09-16 00:00:00,SHR/USDT,0.002363,0.002382,0.002355,0.002373,3394087.9725,8016.7370495773
1663282800,2022-09-15 23:00:00,SHR/USDT,0.002358,0.002373,0.002353,0.002363,3915563.2833,9237.5178503714
1663279200,2022-09-15 22:00:00,SHR/USDT,0.00246,0.002471,0.002358,0.002358,4206954.8625,10173.7114810609
