https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOLVE,Volume USDT
1663459200,2022-09-18 00:00:00,SOLVE/USDT,0.03848,0.0385,0.03839,0.03848,105105.7485,4041.850175709
1663372800,2022-09-17 00:00:00,SOLVE/USDT,0.03682,0.03984,0.03668,0.03849,2810861.4195,108245.366768696
1663286400,2022-09-16 00:00:00,SOLVE/USDT,0.03922,0.03934,0.03599,0.03675,2946792.1178,110002.466534831
1663200000,2022-09-15 00:00:00,SOLVE/USDT,0.03821,0.03961,0.0379,0.03924,3012449.9303,116598.10652484
1663113600,2022-09-14 00:00:00,SOLVE/USDT,0.03785,0.03867,0.03709,0.03821,2911101.2661,110731.195966659
1663027200,2022-09-13 00:00:00,SOLVE/USDT,0.04064,0.04111,0.0375,0.03785,2790980.1153,110002.185807651
1662940800,2022-09-12 00:00:00,SOLVE/USDT,0.04044,0.04259,0.04,0.04064,3358789.8577,136310.55638318
1662854400,2022-09-11 00:00:00,SOLVE/USDT,0.04076,0.04137,0.04,0.04048,2967747.4909,120110.829166739
1662768000,2022-09-10 00:00:00,SOLVE/USDT,0.0398,0.04106,0.03937,0.04073,2864960.4852,114840.17931461
1662681600,2022-09-09 00:00:00,SOLVE/USDT,0.03915,0.04158,0.03817,0.03977,3117609.3259,124247.807304067
1662595200,2022-09-08 00:00:00,SOLVE/USDT,0.03957,0.04147,0.03889,0.03919,2445172.3265,96584.2166401
1662508800,2022-09-07 00:00:00,SOLVE/USDT,0.03826,0.04002,0.03731,0.03958,2417541.9128,92651.243482627
1662422400,2022-09-06 00:00:00,SOLVE/USDT,0.04015,0.04225,0.03753,0.03826,2489093.7446,99417.766421624
1662336000,2022-09-05 00:00:00,SOLVE/USDT,0.04049,0.04208,0.03957,0.04017,2597233.656,104978.197406411
1662249600,2022-09-04 00:00:00,SOLVE/USDT,0.04067,0.04171,0.04009,0.04049,3225897.5544,131170.012247002
1662163200,2022-09-03 00:00:00,SOLVE/USDT,0.0417,0.04212,0.04006,0.04065,3743162.4575,153307.260875214
1662076800,2022-09-02 00:00:00,SOLVE/USDT,0.0435,0.04363,0.04062,0.04168,1452969.4041,61164.245143815
1661990400,2022-09-01 00:00:00,SOLVE/USDT,0.04364,0.04564,0.04261,0.0435,1516071.859,66292.846172984
1661904000,2022-08-31 00:00:00,SOLVE/USDT,0.04136,0.04949,0.03985,0.04364,1718968.6187,75274.722462123
1661817600,2022-08-30 00:00:00,SOLVE/USDT,0.0454,0.0469,0.04061,0.0413,1285474.6925,55609.997079983
1661731200,2022-08-29 00:00:00,SOLVE/USDT,0.04486,0.04651,0.04369,0.04543,984412.5149,44423.57093604
1661644800,2022-08-28 00:00:00,SOLVE/USDT,0.04825,0.04876,0.04462,0.04488,968060.2458,45090.225277028
1661558400,2022-08-27 00:00:00,SOLVE/USDT,0.04683,0.0501,0.04666,0.04826,1104041.9468,53336.057407409
1661472000,2022-08-26 00:00:00,SOLVE/USDT,0.05149,0.05958,0.04616,0.04704,5311125.3289,280632.205707306
1661385600,2022-08-25 00:00:00,SOLVE/USDT,0.04276,0.05385,0.04175,0.05157,6214030.6468,295021.982087465
1661299200,2022-08-24 00:00:00,SOLVE/USDT,0.04378,0.045,0.0426,0.04278,3302129.7667,143634.444342339
1661212800,2022-08-23 00:00:00,SOLVE/USDT,0.04176,0.04499,0.04167,0.04372,3256636.7553,140904.230734804
1661126400,2022-08-22 00:00:00,SOLVE/USDT,0.04149,0.04649,0.0411,0.04176,4203180.672,178813.269398533
1661040000,2022-08-21 00:00:00,SOLVE/USDT,0.04069,0.04214,0.04016,0.04139,3045919.4103,125067.100519982
1660953600,2022-08-20 00:00:00,SOLVE/USDT,0.03986,0.04173,0.03933,0.04069,3286198.0278,132869.278171112
1660867200,2022-08-19 00:00:00,SOLVE/USDT,0.04349,0.04369,0.03889,0.03982,3466582.6029,141552.618770298
1660780800,2022-08-18 00:00:00,SOLVE/USDT,0.04362,0.04531,0.04286,0.0434,3392162.3174,149635.935259291
1660694400,2022-08-17 00:00:00,SOLVE/USDT,0.04513,0.04577,0.0431,0.04372,3234546.6686,144454.712110698
1660608000,2022-08-16 00:00:00,SOLVE/USDT,0.04591,0.0475,0.045,0.04513,2957976.5607,134970.900891522
1660521600,2022-08-15 00:00:00,SOLVE/USDT,0.04754,0.04918,0.04542,0.04596,3309611.537,154910.546547791
1660435200,2022-08-14 00:00:00,SOLVE/USDT,0.0453,0.0569,0.04487,0.04757,5792624.0624,290913.648111163
1660348800,2022-08-13 00:00:00,SOLVE/USDT,0.04421,0.0461,0.04398,0.04527,3026305.8014,136020.24595219
1660262400,2022-08-12 00:00:00,SOLVE/USDT,0.04335,0.04424,0.04273,0.04421,3008337.207,131040.494154315
1660176000,2022-08-11 00:00:00,SOLVE/USDT,0.04402,0.04464,0.04313,0.0433,3085099.1984,135775.163034464
1660089600,2022-08-10 00:00:00,SOLVE/USDT,0.04311,0.04425,0.04275,0.04402,3407958.7827,148235.787597267
1660003200,2022-08-09 00:00:00,SOLVE/USDT,0.04394,0.04439,0.04255,0.04311,2958808.7127,129077.669744774
1659916800,2022-08-08 00:00:00,SOLVE/USDT,0.04391,0.0449,0.04388,0.04397,2858556.0935,126349.113189538
1659830400,2022-08-07 00:00:00,SOLVE/USDT,0.04414,0.0448,0.04369,0.0439,3097236.6248,136386.649642993
1659744000,2022-08-06 00:00:00,SOLVE/USDT,0.04394,0.04517,0.04312,0.04414,3635786.9867,161073.078858805
1659657600,2022-08-05 00:00:00,SOLVE/USDT,0.04365,0.04538,0.04336,0.0439,3137457.1417,137896.338247935
1659571200,2022-08-04 00:00:00,SOLVE/USDT,0.04561,0.04765,0.04265,0.04367,3384755.3928,150948.460089368
1659484800,2022-08-03 00:00:00,SOLVE/USDT,0.04561,0.04842,0.04463,0.04557,3986702.7712,184555.188274287
1659398400,2022-08-02 00:00:00,SOLVE/USDT,0.04313,0.05183,0.04141,0.04559,5882439.4256,270654.372492116
1659312000,2022-08-01 00:00:00,SOLVE/USDT,0.04338,0.04424,0.04134,0.04309,3232884.6375,137637.998191786
1659225600,2022-07-31 00:00:00,SOLVE/USDT,0.04205,0.04459,0.04164,0.04341,3283945.4578,141916.928920697
1659139200,2022-07-30 00:00:00,SOLVE/USDT,0.04388,0.0453,0.04139,0.04212,3852894.1848,166692.891051873
1659052800,2022-07-29 00:00:00,SOLVE/USDT,0.04338,0.04426,0.0408,0.04358,3705847.1904,158066.088757143
1658966400,2022-07-28 00:00:00,SOLVE/USDT,0.04289,0.044,0.0406,0.04345,5821551.0068,246626.048492454
1658880000,2022-07-27 00:00:00,SOLVE/USDT,0.04,0.046,0.03902,0.04288,8680455.0211,368132.22327796
1658793600,2022-07-26 00:00:00,SOLVE/USDT,0.04229,0.04229,0.03844,0.03999,2431526.7685,97021.812531016
1658707200,2022-07-25 00:00:00,SOLVE/USDT,0.0467,0.04673,0.04169,0.04215,1058765.9917,45139.454722121
1658620800,2022-07-24 00:00:00,SOLVE/USDT,0.04727,0.04936,0.0454,0.04673,556187.485,25980.19264988
1658534400,2022-07-23 00:00:00,SOLVE/USDT,0.051,0.055,0.0432,0.04727,4057717.9483,196974.334663734
1658448000,2022-07-22 00:00:00,SOLVE/USDT,0.05844,0.05942,0.05054,0.05104,1899088.9254,104940.285088449
1658361600,2022-07-21 00:00:00,SOLVE/USDT,0.06506,0.0891,0.05513,0.05831,8592399.55911968,594884.6646980690173
1658275200,2022-07-20 00:00:00,SOLVE/USDT,0.05635,0.07005,0.05322,0.0651,1880781.3049706,117313.9456680593846
1658188800,2022-07-19 00:00:00,SOLVE/USDT,0.06726,0.06886,0.05386,0.05635,1971111.32431437,117703.7183073328107
1658102400,2022-07-18 00:00:00,SOLVE/USDT,0.06373,0.08288,0.06217,0.0671,13286674.31744694,941849.0688099325654
1658016000,2022-07-17 00:00:00,SOLVE/USDT,0.03258,0.0698,0.03255,0.06373,16696215.33374869,888534.116865447591
1657929600,2022-07-16 00:00:00,SOLVE/USDT,0.03234,0.03304,0.03161,0.03258,348518.2754284,11228.7322469761082
