https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SPI,Volume USDT
1661475600,2022-08-26 01:00:00,SPI/USDT,4.363,4.429,4.36,4.429,0.6943,3.0440575
1661472000,2022-08-26 00:00:00,SPI/USDT,4.405,4.429,4.36,4.429,4.0661,17.8152242
1661468400,2022-08-25 23:00:00,SPI/USDT,4.429,4.429,4.36,4.36,14.3565,62.690091
1661464800,2022-08-25 22:00:00,SPI/USDT,4.474,4.474,4.474,4.474,0,0
1661461200,2022-08-25 21:00:00,SPI/USDT,4.474,4.474,4.474,4.474,0,0
1661457600,2022-08-25 20:00:00,SPI/USDT,4.401,4.474,4.4,4.474,209.7577,923.9598419
1661454000,2022-08-25 19:00:00,SPI/USDT,4.4,4.4,4.4,4.4,0,0
1661450400,2022-08-25 18:00:00,SPI/USDT,4.45,4.45,4.4,4.4,361.8567,1597.3618226
1661446800,2022-08-25 17:00:00,SPI/USDT,4.371,4.475,4.371,4.475,321.7524,1427.3117996
1661443200,2022-08-25 16:00:00,SPI/USDT,4.392,4.392,4.295,4.371,31.1826,134.7480472
1661439600,2022-08-25 15:00:00,SPI/USDT,4.634,4.667,4.3,4.392,1026.556,4571.328237
1661436000,2022-08-25 14:00:00,SPI/USDT,4.921,4.921,4.6,4.634,2621.3268,12490.2950367
1661432400,2022-08-25 13:00:00,SPI/USDT,4.615,5.005,4.615,4.989,3318.1521,16137.233767
1661428800,2022-08-25 12:00:00,SPI/USDT,4.573,4.68,4.499,4.559,533.7919,2467.0972685
1661425200,2022-08-25 11:00:00,SPI/USDT,4.489,4.634,4.489,4.552,229.5385,1039.7237569
1661421600,2022-08-25 10:00:00,SPI/USDT,4.483,4.531,4.438,4.531,206.6338,935.2255306
1661418000,2022-08-25 09:00:00,SPI/USDT,4.511,4.511,4.434,4.447,147.2645,658.5128731
1661414400,2022-08-25 08:00:00,SPI/USDT,4.347,4.558,4.347,4.558,843.2682,3788.3962513
1661410800,2022-08-25 07:00:00,SPI/USDT,4.296,4.332,4.296,4.332,19.7026,85.3136163
1661407200,2022-08-25 06:00:00,SPI/USDT,4.242,4.377,4.239,4.296,553.6059,2370.1706966
1661403600,2022-08-25 05:00:00,SPI/USDT,4.239,4.31,4.239,4.239,10.7321,45.8985545
1661400000,2022-08-25 04:00:00,SPI/USDT,4.239,4.239,4.239,4.239,2.6586,11.2698054
1661396400,2022-08-25 03:00:00,SPI/USDT,4.238,4.238,4.238,4.238,5.372,22.766536
1661392800,2022-08-25 02:00:00,SPI/USDT,4.217,4.281,4.169,4.281,63.3129,266.0907726
1661389200,2022-08-25 01:00:00,SPI/USDT,4.217,4.217,4.217,4.217,1.0969,4.6256273
1661385600,2022-08-25 00:00:00,SPI/USDT,4.318,4.318,4.217,4.217,83.229,353.9753978
1661382000,2022-08-24 23:00:00,SPI/USDT,4.32,4.32,4.32,4.32,0,0
1661378400,2022-08-24 22:00:00,SPI/USDT,4.358,4.358,4.32,4.32,11.9673,52.0382054
1661374800,2022-08-24 21:00:00,SPI/USDT,4.395,4.503,4.342,4.36,681.2305,2997.5973782
1661371200,2022-08-24 20:00:00,SPI/USDT,4.419,4.556,4.361,4.398,487.018,2184.3870231
1661367600,2022-08-24 19:00:00,SPI/USDT,4.361,4.447,4.361,4.371,29.3993,129.6650914
1661364000,2022-08-24 18:00:00,SPI/USDT,4.468,4.504,4.36,4.36,369.4912,1634.2937369
1661360400,2022-08-24 17:00:00,SPI/USDT,4.388,4.468,4.361,4.468,149.8066,662.3393776
1661356800,2022-08-24 16:00:00,SPI/USDT,4.374,4.429,4.363,4.429,130.6909,573.803443
1661353200,2022-08-24 15:00:00,SPI/USDT,4.279,4.496,4.267,4.374,403.0938,1765.243258
1661349600,2022-08-24 14:00:00,SPI/USDT,4.279,4.334,4.279,4.334,8.0949,34.9001171
1661346000,2022-08-24 13:00:00,SPI/USDT,4.333,4.333,4.279,4.333,47.7113,206.5543103
1661342400,2022-08-24 12:00:00,SPI/USDT,4.321,4.333,4.279,4.333,26.1704,113.3249774
1661338800,2022-08-24 11:00:00,SPI/USDT,4.279,4.314,4.238,4.314,108.6378,467.4864952
1661335200,2022-08-24 10:00:00,SPI/USDT,4.237,4.39,4.232,4.233,121.2716,521.6745371
1661331600,2022-08-24 09:00:00,SPI/USDT,4.177,4.257,4.177,4.183,7.2522,30.5126198
1661328000,2022-08-24 08:00:00,SPI/USDT,4.176,4.176,4.176,4.176,0,0
1661324400,2022-08-24 07:00:00,SPI/USDT,4.153,4.28,4.153,4.176,82.7768,350.3605237
1661320800,2022-08-24 06:00:00,SPI/USDT,4.209,4.21,4.153,4.153,70.5686,296.528187
1661317200,2022-08-24 05:00:00,SPI/USDT,4.209,4.21,4.153,4.21,66.9742,281.8671005
1661313600,2022-08-24 04:00:00,SPI/USDT,4.143,4.209,4.143,4.209,87.6218,367.8204
1661310000,2022-08-24 03:00:00,SPI/USDT,4.156,4.21,4.143,4.143,341.3986,1427.5498275
1661306400,2022-08-24 02:00:00,SPI/USDT,4.142,4.201,4.142,4.143,464.4866,1936.0153071
1661302800,2022-08-24 01:00:00,SPI/USDT,4.085,4.085,4.085,4.085,0,0
1661299200,2022-08-24 00:00:00,SPI/USDT,4.142,4.142,4.085,4.085,156.4366,641.5819779
1661295600,2022-08-23 23:00:00,SPI/USDT,4.111,4.184,4.103,4.184,5.8892,24.3843875
1661292000,2022-08-23 22:00:00,SPI/USDT,4.179,4.183,4.102,4.183,9.3759,38.7907049
1661288400,2022-08-23 21:00:00,SPI/USDT,4.041,4.179,3.98,4.179,291.8623,1197.7247799
1661284800,2022-08-23 20:00:00,SPI/USDT,3.991,4.041,3.988,4.041,31.3426,125.7189366
1661281200,2022-08-23 19:00:00,SPI/USDT,4.019,4.019,4.012,4.012,0.5789,2.3248498
1661277600,2022-08-23 18:00:00,SPI/USDT,3.988,4.062,3.957,4.062,150.0314,601.5435303
1661274000,2022-08-23 17:00:00,SPI/USDT,4.019,4.019,3.992,3.992,1.3167,5.2741506
1661270400,2022-08-23 16:00:00,SPI/USDT,3.988,4.061,3.987,4.061,12.4733,50.1992183
1661266800,2022-08-23 15:00:00,SPI/USDT,3.987,4.063,3.987,4.042,29.1642,118.0191981
1661263200,2022-08-23 14:00:00,SPI/USDT,4.004,4.063,3.987,3.987,83.9465,338.7045655
1661259600,2022-08-23 13:00:00,SPI/USDT,3.953,4.004,3.943,3.943,221.9292,883.1302305
1661256000,2022-08-23 12:00:00,SPI/USDT,3.917,3.917,3.917,3.917,0.7875,3.0846375
1661252400,2022-08-23 11:00:00,SPI/USDT,3.916,3.954,3.916,3.954,5.4268,21.3382358
1661248800,2022-08-23 10:00:00,SPI/USDT,3.934,3.959,3.934,3.959,2.5654,10.1429661
1661245200,2022-08-23 09:00:00,SPI/USDT,3.9,3.9,3.9,3.9,0,0
1661241600,2022-08-23 08:00:00,SPI/USDT,3.9,3.9,3.9,3.9,2.2726,8.86314
1661238000,2022-08-23 07:00:00,SPI/USDT,3.9,3.9,3.9,3.9,0.9185,3.58215
1661234400,2022-08-23 06:00:00,SPI/USDT,3.9,3.9,3.9,3.9,1.2132,4.73148
1661230800,2022-08-23 05:00:00,SPI/USDT,3.9,3.9,3.9,3.9,1.0178,3.96942
1661227200,2022-08-23 04:00:00,SPI/USDT,3.901,3.901,3.901,3.901,1.0713,4.1791413
1661223600,2022-08-23 03:00:00,SPI/USDT,3.937,3.943,3.9,3.943,265.33,1036.5277332
1661220000,2022-08-23 02:00:00,SPI/USDT,3.973,3.977,3.973,3.977,4.8089,19.1207145
1661216400,2022-08-23 01:00:00,SPI/USDT,3.975,3.975,3.931,3.931,3.9663,15.7022331
1661212800,2022-08-23 00:00:00,SPI/USDT,3.937,3.937,3.933,3.933,0.783,3.0813425
1661209200,2022-08-22 23:00:00,SPI/USDT,3.938,3.938,3.938,3.938,0,0
1661205600,2022-08-22 22:00:00,SPI/USDT,3.938,3.938,3.938,3.938,0,0
1661202000,2022-08-22 21:00:00,SPI/USDT,4.014,4.014,3.938,3.938,162.7361,647.4060221
1661198400,2022-08-22 20:00:00,SPI/USDT,3.993,4.054,3.993,4.054,1.8108,7.290707
1661194800,2022-08-22 19:00:00,SPI/USDT,3.992,4.035,3.992,4.035,2.1067,8.4632277
