https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TIME,Volume USDT
1663462800,2022-09-18 01:00:00,TIME/USDT,67.182,67.182,67.182,67.182,0.0145,0.974139
1663459200,2022-09-18 00:00:00,TIME/USDT,67.183,67.48,66.872,67.182,6.0017,403.7616858
1663455600,2022-09-17 23:00:00,TIME/USDT,67.561,67.561,66.938,67.48,21.3981,1434.5746535
1663452000,2022-09-17 22:00:00,TIME/USDT,68.174,68.174,67.55,67.749,11.3797,772.1618632
1663448400,2022-09-17 21:00:00,TIME/USDT,66.232,69.684,66.232,68.447,107.29,7180.7820899
1663444800,2022-09-17 20:00:00,TIME/USDT,65.821,67.147,65.5,66.233,73.5658,4864.1625735
1663441200,2022-09-17 19:00:00,TIME/USDT,65.299,66.645,64.95,65.835,47.4682,3130.6046837
1663437600,2022-09-17 18:00:00,TIME/USDT,65.3,66.341,65.014,65.524,35.1162,2306.2224379
1663434000,2022-09-17 17:00:00,TIME/USDT,65.103,66.626,64.887,65.34,56.844,3724.2094923
1663430400,2022-09-17 16:00:00,TIME/USDT,64.535,65.502,64.32,65.103,104.1123,6771.083097
1663426800,2022-09-17 15:00:00,TIME/USDT,64.439,64.927,64.214,64.214,30.2978,1951.9491992
1663423200,2022-09-17 14:00:00,TIME/USDT,64.536,64.536,64.001,64.438,20.3485,1308.906948
1663419600,2022-09-17 13:00:00,TIME/USDT,64.76,64.914,64.272,64.321,8.593,554.8455111
1663416000,2022-09-17 12:00:00,TIME/USDT,63.806,66.865,63.806,65.037,48.8195,3187.9831784
1663412400,2022-09-17 11:00:00,TIME/USDT,64.916,64.916,63.266,63.78,30.7436,1969.1356457
1663408800,2022-09-17 10:00:00,TIME/USDT,65.67,66.828,64.857,65.168,113.8093,7488.3609896
1663405200,2022-09-17 09:00:00,TIME/USDT,64.158,68.48,64.037,65.928,440.8902,28711.9740904
1663401600,2022-09-17 08:00:00,TIME/USDT,64.841,65.245,64.079,64.16,45.9401,2973.2459996
1663398000,2022-09-17 07:00:00,TIME/USDT,63.213,65.546,63.025,64.841,84.8987,5489.7412267
1663394400,2022-09-17 06:00:00,TIME/USDT,63.028,64,62.908,62.908,489.5551,31054.2799919
1663390800,2022-09-17 05:00:00,TIME/USDT,63.189,63.401,63.028,63.028,1.8196,114.9485827
1663387200,2022-09-17 04:00:00,TIME/USDT,63.211,63.703,63.024,63.2,3.5994,228.7828912
1663383600,2022-09-17 03:00:00,TIME/USDT,63.11,63.11,62.914,62.914,1.0734,67.6199048
1663380000,2022-09-17 02:00:00,TIME/USDT,63.397,63.397,63.397,63.397,0.0086,0.5452142
1663376400,2022-09-17 01:00:00,TIME/USDT,63.188,63.4,63.109,63.384,0.3995,25.2466521
1663372800,2022-09-17 00:00:00,TIME/USDT,63.402,63.624,63.2,63.385,3.9619,250.7093184
1663369200,2022-09-16 23:00:00,TIME/USDT,63.336,63.336,63.188,63.188,1.1905,75.2651949
1663365600,2022-09-16 22:00:00,TIME/USDT,63.447,63.752,63.336,63.336,4.5136,286.3373434
1663362000,2022-09-16 21:00:00,TIME/USDT,63.03,64.037,62.241,63.471,13.6287,860.5624807
1663358400,2022-09-16 20:00:00,TIME/USDT,63,64.775,61.872,63.048,534.2172,33977.133962
1663354800,2022-09-16 19:00:00,TIME/USDT,62.454,63.666,61.852,62.99,50.8126,3189.4055924
1663351200,2022-09-16 18:00:00,TIME/USDT,61.424,62.553,61.414,62.455,4.2019,260.2400616
1663347600,2022-09-16 17:00:00,TIME/USDT,61.726,62.679,61.414,61.423,228.7138,14128.9670262
1663344000,2022-09-16 16:00:00,TIME/USDT,61.701,62.339,60.979,61.512,28.3916,1744.9216547
1663340400,2022-09-16 15:00:00,TIME/USDT,61.353,61.353,61.353,61.353,0.1608,9.8655624
1663336800,2022-09-16 14:00:00,TIME/USDT,60.958,62.331,60.575,61.701,90.6306,5572.8225968
1663333200,2022-09-16 13:00:00,TIME/USDT,60.946,60.959,60.946,60.958,23.636,1440.789668
1663329600,2022-09-16 12:00:00,TIME/USDT,61.199,61.49,60.946,60.946,4.1269,252.4325767
1663326000,2022-09-16 11:00:00,TIME/USDT,60.946,61.15,60.892,61.134,8.7244,531.7154864
1663322400,2022-09-16 10:00:00,TIME/USDT,61.207,61.413,60.756,61.134,20.8941,1282.2831136
1663318800,2022-09-16 09:00:00,TIME/USDT,60.567,61.315,60.567,61.207,171.3305,10492.4661088
1663315200,2022-09-16 08:00:00,TIME/USDT,60.566,60.566,60.35,60.35,1.5862,95.7390509
1663311600,2022-09-16 07:00:00,TIME/USDT,60.567,61.032,60.367,60.367,10.2063,618.8538304
1663308000,2022-09-16 06:00:00,TIME/USDT,61.207,61.489,60.324,60.7,24.2363,1473.4254034
1663304400,2022-09-16 05:00:00,TIME/USDT,61.207,61.207,61.207,61.207,0.005,0.306035
1663300800,2022-09-16 04:00:00,TIME/USDT,60.945,62.184,60.945,61.207,15.2894,940.1997258
1663297200,2022-09-16 03:00:00,TIME/USDT,60.654,61.207,60.65,60.65,3.127,190.0263413
1663293600,2022-09-16 02:00:00,TIME/USDT,60,61.269,60,60.654,57.8437,3494.4224309
1663290000,2022-09-16 01:00:00,TIME/USDT,59.979,60,59.6,59.985,8.4029,502.8298615
1663286400,2022-09-16 00:00:00,TIME/USDT,59.521,60,59.509,59.999,18.792,1121.099041
1663282800,2022-09-15 23:00:00,TIME/USDT,60.358,60.456,59.588,59.588,8.2768,495.516763
1663279200,2022-09-15 22:00:00,TIME/USDT,61.608,63.135,59.893,60.358,208.3805,12722.2479078
1663275600,2022-09-15 21:00:00,TIME/USDT,62.905,62.905,61.301,61.324,76.5706,4721.3420504
1663272000,2022-09-15 20:00:00,TIME/USDT,63.188,63.3,62.905,62.905,10.0939,637.3176494
1663268400,2022-09-15 19:00:00,TIME/USDT,60.926,68.45,60.925,63.188,162.4074,10460.0306929
1663264800,2022-09-15 18:00:00,TIME/USDT,60.673,61.286,60.656,60.927,13.0586,798.5521469
1663261200,2022-09-15 17:00:00,TIME/USDT,60.945,62.229,60.666,60.666,30.2129,1851.1913526
1663257600,2022-09-15 16:00:00,TIME/USDT,62,62,60.654,61.138,15.9259,971.3358898
1663254000,2022-09-15 15:00:00,TIME/USDT,58.662,62,58.662,62,289.749,17572.0730133
1663250400,2022-09-15 14:00:00,TIME/USDT,59.195,61,58.683,58.683,132.8351,7994.270209
1663246800,2022-09-15 13:00:00,TIME/USDT,59.199,59.2,58.894,59.2,1.9078,112.668114
1663243200,2022-09-15 12:00:00,TIME/USDT,58.663,59.518,58.651,58.936,10.9511,648.2732385
1663239600,2022-09-15 11:00:00,TIME/USDT,58.621,59.225,58.621,59.016,15.2889,898.6490634
1663236000,2022-09-15 10:00:00,TIME/USDT,58.203,59.48,58.203,58.65,8.326,490.6332849
1663232400,2022-09-15 09:00:00,TIME/USDT,58.441,58.753,58.203,58.203,6.4261,375.4333627
1663228800,2022-09-15 08:00:00,TIME/USDT,58.441,58.943,58.377,58.569,3.4164,200.63339
1663225200,2022-09-15 07:00:00,TIME/USDT,59.015,59.226,58.303,58.933,60.6266,3545.7424457
1663221600,2022-09-15 06:00:00,TIME/USDT,58.79,59.757,58.422,58.66,19.0038,1123.568369
1663218000,2022-09-15 05:00:00,TIME/USDT,58.091,59.001,58,58.61,154.9525,9135.3230142
1663214400,2022-09-15 04:00:00,TIME/USDT,58.719,58.886,57.803,57.803,96.9416,5657.1274111
1663210800,2022-09-15 03:00:00,TIME/USDT,58.555,58.93,58.377,58.378,19.1572,1120.8541731
1663207200,2022-09-15 02:00:00,TIME/USDT,58.522,58.707,58.504,58.504,89.3677,5230.0951607
1663203600,2022-09-15 01:00:00,TIME/USDT,59.02,59.021,58.52,58.935,91.7409,5411.3060227
1663200000,2022-09-15 00:00:00,TIME/USDT,59.98,59.98,59.02,59.02,566.5787,33607.4659947
1663196400,2022-09-14 23:00:00,TIME/USDT,59.881,59.98,59.528,59.98,22.2116,1328.2347849
1663192800,2022-09-14 22:00:00,TIME/USDT,60.383,61.205,59.525,59.881,43.5439,2624.8469311
1663189200,2022-09-14 21:00:00,TIME/USDT,62.117,65,60.072,60.641,877.6182,55055.1899079
1663185600,2022-09-14 20:00:00,TIME/USDT,60.168,62.079,60.001,62.079,128.7184,7898.7007063
1663182000,2022-09-14 19:00:00,TIME/USDT,59.509,60.922,59.02,59.857,209.6452,12593.9499016
1663178400,2022-09-14 18:00:00,TIME/USDT,60.401,60.641,58.1,59.153,187.0704,11038.7103736
1663174800,2022-09-14 17:00:00,TIME/USDT,65,68.837,58.747,60.4,361.2937,22664.669217
1663171200,2022-09-14 16:00:00,TIME/USDT,70.15,72,61.773,65,1267.6541,83342.9956723
1663167600,2022-09-14 15:00:00,TIME/USDT,59.218,70.961,58.202,70.122,570.1291,37293.7138704
1663164000,2022-09-14 14:00:00,TIME/USDT,58.203,59.509,58.203,59.509,54.4412,3197.1010838
1663160400,2022-09-14 13:00:00,TIME/USDT,59.073,59.218,57.951,58.43,52.0126,3035.138503
1663156800,2022-09-14 12:00:00,TIME/USDT,57,62.721,56.598,59.42,334.0875032,19623.9688921
1663153200,2022-09-14 11:00:00,TIME/USDT,55.998,57.001,54,57,606.5379,34034.9153281
1663149600,2022-09-14 10:00:00,TIME/USDT,55.83,56.17,55.823,55.826,2.806,157.1054433
1663146000,2022-09-14 09:00:00,TIME/USDT,55.83,55.83,55.83,55.83,0,0
1663142400,2022-09-14 08:00:00,TIME/USDT,55.92,56.017,55.83,55.83,3.9717,221.9943477
1663138800,2022-09-14 07:00:00,TIME/USDT,56.336,56.6,55.911,55.912,8.1782,461.3233999
1663135200,2022-09-14 06:00:00,TIME/USDT,56.336,56.378,56,56.074,0.289,16.2762512
1663131600,2022-09-14 05:00:00,TIME/USDT,55.908,56.376,55.907,56.209,1.6034,89.8923944
1663128000,2022-09-14 04:00:00,TIME/USDT,56.174,56.367,55.832,55.955,5.6375,316.4209012
1663124400,2022-09-14 03:00:00,TIME/USDT,55.963,56.362,55.83,55.83,6.3528,356.8700353
1663120800,2022-09-14 02:00:00,TIME/USDT,55.982,55.984,55.575,55.596,3.1061,173.7875799
1663117200,2022-09-14 01:00:00,TIME/USDT,55.8,55.8,55.557,55.761,0.1639,9.1389656
1663113600,2022-09-14 00:00:00,TIME/USDT,55.551,55.826,55.551,55.687,0.1933,10.7457708
1663110000,2022-09-13 23:00:00,TIME/USDT,55.767,55.971,55.289,55.971,17.4563,973.6883326
1663106400,2022-09-13 22:00:00,TIME/USDT,55.43,55.811,55.43,55.809,0.2878,16.0610946
1663102800,2022-09-13 21:00:00,TIME/USDT,56.397,56.397,55.105,55.767,104.5138,5839.2393885
1663099200,2022-09-13 20:00:00,TIME/USDT,56.678,56.734,56.399,56.734,4.0539,229.7104555
1663095600,2022-09-13 19:00:00,TIME/USDT,56.397,56.678,56.25,56.678,9.2082,518.4203006
1663092000,2022-09-13 18:00:00,TIME/USDT,57.119,57.121,56.378,56.398,22.8108,1291.2377537
1663088400,2022-09-13 17:00:00,TIME/USDT,56.472,57.266,56.397,57.12,45.9942,2622.4557784
1663084800,2022-09-13 16:00:00,TIME/USDT,56.2,56.853,56.078,56.473,23.1533,1301.4444516
1663081200,2022-09-13 15:00:00,TIME/USDT,56.736,56.736,56.001,56.396,15.5374,871.7993206
1663077600,2022-09-13 14:00:00,TIME/USDT,57.101,57.493,56.501,56.501,26.2397,1502.0051669
1663074000,2022-09-13 13:00:00,TIME/USDT,56,57.013,55.936,57,52.2,2967.0165528
1663070400,2022-09-13 12:00:00,TIME/USDT,56.537,57.5,56.05,56.05,313.0621,17746.7076587
1663066800,2022-09-13 11:00:00,TIME/USDT,56.801,57.209,56.532,56.532,18.1446,1032.2266672
1663063200,2022-09-13 10:00:00,TIME/USDT,56.686,57.099,56.644,57.099,3.8786,220.4760035
1663059600,2022-09-13 09:00:00,TIME/USDT,56.893,56.998,56.736,56.736,2.4641,140.2319626
1663056000,2022-09-13 08:00:00,TIME/USDT,56.893,57.442,56.51,56.51,8.3941,476.5424939
1663052400,2022-09-13 07:00:00,TIME/USDT,56.679,57.327,56.51,56.545,39.8497,2263.1075975
1663048800,2022-09-13 06:00:00,TIME/USDT,56.626,57.001,56.504,57,13.1708,749.6310656
1663045200,2022-09-13 05:00:00,TIME/USDT,56.396,56.621,56.203,56.621,2.7373,154.705053
1663041600,2022-09-13 04:00:00,TIME/USDT,56.269,56.759,56.268,56.396,5.0593,285.9662957
1663038000,2022-09-13 03:00:00,TIME/USDT,56.256,56.676,56.21,56.676,0.6464,36.4788236
1663034400,2022-09-13 02:00:00,TIME/USDT,56.2,56.55,56.2,56.55,0.1823,10.2471175
