https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRIBE,Volume USDT
1663459200,2022-09-18 00:00:00,TRIBE/USDT,0.2249,0.2255,0.2249,0.2255,4.9977,1.12618515
1663372800,2022-09-17 00:00:00,TRIBE/USDT,0.2262,0.2287,0.2199,0.2255,16608.6612,3712.12364952
1663286400,2022-09-16 00:00:00,TRIBE/USDT,0.2292,0.2317,0.2263,0.2263,8644.2703,1978.95230914
1663200000,2022-09-15 00:00:00,TRIBE/USDT,0.2341,0.2354,0.2288,0.2304,4736.7869,1092.72475465
1663113600,2022-09-14 00:00:00,TRIBE/USDT,0.2307,0.2363,0.2264,0.2339,25337.8891,5895.05638294
1663027200,2022-09-13 00:00:00,TRIBE/USDT,0.2365,0.2365,0.2289,0.2293,11262.8676,2610.87020537
1662940800,2022-09-12 00:00:00,TRIBE/USDT,0.2404,0.242,0.2355,0.2355,38282.1879,9150.18671052
1662854400,2022-09-11 00:00:00,TRIBE/USDT,0.2433,0.2451,0.2403,0.2405,5151.3101,1244.5214404
1662768000,2022-09-10 00:00:00,TRIBE/USDT,0.244,0.2458,0.242,0.2433,8352.4078,2035.73400462
1662681600,2022-09-09 00:00:00,TRIBE/USDT,0.246,0.2502,0.2417,0.2442,13593.9115,3329.17965406
1662595200,2022-09-08 00:00:00,TRIBE/USDT,0.2599,0.2602,0.244,0.2463,22198.6072,5563.22667461
1662508800,2022-09-07 00:00:00,TRIBE/USDT,0.2652,0.266,0.2483,0.2586,55340.3565,14068.57570564
1662422400,2022-09-06 00:00:00,TRIBE/USDT,0.2643,0.2953,0.2557,0.2644,153241.9062,43009.0964591
1662336000,2022-09-05 00:00:00,TRIBE/USDT,0.2844,0.2913,0.2455,0.264,63685.7382,16908.99281091
1662249600,2022-09-04 00:00:00,TRIBE/USDT,0.2738,0.2977,0.2731,0.2857,80052.0949,22884.02832281
1662163200,2022-09-03 00:00:00,TRIBE/USDT,0.2699,0.2762,0.267,0.2746,5191.959,1404.29695418
1662076800,2022-09-02 00:00:00,TRIBE/USDT,0.2753,0.2771,0.2663,0.2698,14193.5079,3831.14367017
1661990400,2022-09-01 00:00:00,TRIBE/USDT,0.2595,0.2845,0.249,0.2747,67420.4505,17892.62172212
1661904000,2022-08-31 00:00:00,TRIBE/USDT,0.2438,0.2995,0.2438,0.258,383204.4124,101229.36127808
1661817600,2022-08-30 00:00:00,TRIBE/USDT,0.2341,0.2438,0.2272,0.2426,47594.1404,11380.755503
1661731200,2022-08-29 00:00:00,TRIBE/USDT,0.2348,0.2452,0.2275,0.2348,22306.3109,5243.80961125
1661644800,2022-08-28 00:00:00,TRIBE/USDT,0.2388,0.2457,0.2353,0.2353,49888.786,12044.97485815
1661558400,2022-08-27 00:00:00,TRIBE/USDT,0.227,0.2489,0.2235,0.2388,45933.1002,10752.72533283
1661472000,2022-08-26 00:00:00,TRIBE/USDT,0.2436,0.2513,0.2271,0.2271,144186.012,34681.5681896
1661385600,2022-08-25 00:00:00,TRIBE/USDT,0.2349,0.2442,0.2242,0.2442,41229.4514,9583.09444052
1661299200,2022-08-24 00:00:00,TRIBE/USDT,0.2266,0.2397,0.2246,0.2348,84800.8301,19726.34322045
1661212800,2022-08-23 00:00:00,TRIBE/USDT,0.2044,0.2458,0.2033,0.2277,403727.79047611,91036.786884713842
1661126400,2022-08-22 00:00:00,TRIBE/USDT,0.197,0.2282,0.1893,0.2045,542193.8798,108389.28402353
1661040000,2022-08-21 00:00:00,TRIBE/USDT,0.1671,0.2252,0.1639,0.198,459179.4532,87611.45714925
1660953600,2022-08-20 00:00:00,TRIBE/USDT,0.1704,0.204,0.1641,0.1672,1039138.3618,184004.9217147
1660867200,2022-08-19 00:00:00,TRIBE/USDT,0.1449,0.2099,0.1439,0.1703,1477927.4989,255390.35819061
1660780800,2022-08-18 00:00:00,TRIBE/USDT,0.1464,0.1477,0.1448,0.1449,22082.851,3218.50856403
1660694400,2022-08-17 00:00:00,TRIBE/USDT,0.1477,0.1489,0.1442,0.1458,11852.189,1743.87979304
1660608000,2022-08-16 00:00:00,TRIBE/USDT,0.148,0.1493,0.1468,0.1476,68130.793,10092.83737388
1660521600,2022-08-15 00:00:00,TRIBE/USDT,0.1501,0.1516,0.1481,0.1482,56438.8407,8464.54120822
1660435200,2022-08-14 00:00:00,TRIBE/USDT,0.1583,0.1583,0.1502,0.1509,42094.9578,6436.42482372
1660348800,2022-08-13 00:00:00,TRIBE/USDT,0.1597,0.1603,0.158,0.158,30875.8198,4913.97722304
1660262400,2022-08-12 00:00:00,TRIBE/USDT,0.1594,0.1607,0.1585,0.1599,30223.8946,4827.1730398
1660176000,2022-08-11 00:00:00,TRIBE/USDT,0.1618,0.1626,0.1594,0.1599,30860.2287,4958.88782179
1660089600,2022-08-10 00:00:00,TRIBE/USDT,0.1592,0.1625,0.1582,0.161,278649.8332,44758.79081177
1660003200,2022-08-09 00:00:00,TRIBE/USDT,0.1607,0.1636,0.1585,0.1594,28433.8867,4561.17614191
1659916800,2022-08-08 00:00:00,TRIBE/USDT,0.1597,0.1622,0.1597,0.1608,51280.9306,8248.36771734
1659830400,2022-08-07 00:00:00,TRIBE/USDT,0.1595,0.1612,0.1588,0.1598,16871.4356,2697.70762496
1659744000,2022-08-06 00:00:00,TRIBE/USDT,0.161,0.161,0.1586,0.1593,44448.7507,7100.93251618
1659657600,2022-08-05 00:00:00,TRIBE/USDT,0.159,0.1617,0.1584,0.1611,53797.7879,8634.12892709
1659571200,2022-08-04 00:00:00,TRIBE/USDT,0.1595,0.1614,0.1575,0.1584,41787.2233,6673.85567709
1659484800,2022-08-03 00:00:00,TRIBE/USDT,0.16,0.1628,0.1574,0.1586,63318.3078,10076.70684038
1659398400,2022-08-02 00:00:00,TRIBE/USDT,0.1633,0.1637,0.1585,0.1603,59122.1223,9468.35566224
1659312000,2022-08-01 00:00:00,TRIBE/USDT,0.1629,0.1674,0.1618,0.1631,97097.453,15941.88296714
1659225600,2022-07-31 00:00:00,TRIBE/USDT,0.1637,0.1659,0.1619,0.1624,40544.6607,6643.23568328
1659139200,2022-07-30 00:00:00,TRIBE/USDT,0.1653,0.1695,0.1623,0.1633,139333.2781,23127.61886087
1659052800,2022-07-29 00:00:00,TRIBE/USDT,0.159,0.168,0.1582,0.1658,165270.6967,26832.68058672
1658966400,2022-07-28 00:00:00,TRIBE/USDT,0.1572,0.1609,0.1549,0.1589,146074.5216,23021.8104566
1658880000,2022-07-27 00:00:00,TRIBE/USDT,0.1546,0.1585,0.1529,0.1575,90748.0827,14072.89372411
1658793600,2022-07-26 00:00:00,TRIBE/USDT,0.1546,0.1555,0.1532,0.1545,30405.7886,4696.78347698
1658707200,2022-07-25 00:00:00,TRIBE/USDT,0.1576,0.1582,0.1543,0.1547,131125.085,20399.10616956
1658620800,2022-07-24 00:00:00,TRIBE/USDT,0.1615,0.1629,0.1571,0.1576,79598.679,12720.31130715
1658534400,2022-07-23 00:00:00,TRIBE/USDT,0.1585,0.162,0.1573,0.1613,100239.2639,15988.24756202
1658448000,2022-07-22 00:00:00,TRIBE/USDT,0.1575,0.1645,0.1567,0.158,160661.4438,25664.71343052
1658361600,2022-07-21 00:00:00,TRIBE/USDT,0.1555,0.1623,0.1545,0.1583,152526.8623,24201.86937697
1658275200,2022-07-20 00:00:00,TRIBE/USDT,0.1562,0.161,0.142,0.1552,138411.1386,21751.0211063
1658188800,2022-07-19 00:00:00,TRIBE/USDT,0.1562,0.1739,0.154,0.1563,147477.2888,23201.84534048
1658102400,2022-07-18 00:00:00,TRIBE/USDT,0.152,0.1704,0.1519,0.1561,166868.5011,25948.20077278
1658016000,2022-07-17 00:00:00,TRIBE/USDT,0.1537,0.1555,0.1517,0.152,64459.939,9896.55533393
1657929600,2022-07-16 00:00:00,TRIBE/USDT,0.1522,0.155,0.1512,0.1535,53157.9244,8096.25154511
1657843200,2022-07-15 00:00:00,TRIBE/USDT,0.1537,0.1588,0.1516,0.1526,99017.4864,15243.42035562
1657756800,2022-07-14 00:00:00,TRIBE/USDT,0.152,0.1704,0.1492,0.1541,188929.4654,29487.42179586
1657670400,2022-07-13 00:00:00,TRIBE/USDT,0.1508,0.1559,0.1484,0.1518,162845.2959,24491.96132349
1657584000,2022-07-12 00:00:00,TRIBE/USDT,0.1507,0.161,0.1492,0.1503,65805.4642,10025.61006914
1657497600,2022-07-11 00:00:00,TRIBE/USDT,0.1531,0.174,0.1502,0.1505,308976.2536,49002.0155019
1657411200,2022-07-10 00:00:00,TRIBE/USDT,0.15,0.2322,0.1486,0.1525,1179058.5724,196197.62670208
1657324800,2022-07-09 00:00:00,TRIBE/USDT,0.1496,0.1508,0.1487,0.1504,18181.3517,2722.81926319
1657238400,2022-07-08 00:00:00,TRIBE/USDT,0.1522,0.1548,0.1487,0.1487,30109.3924,4546.58910992
1657152000,2022-07-07 00:00:00,TRIBE/USDT,0.1519,0.1625,0.15,0.1521,116602.3959033,18090.87647508731
1657065600,2022-07-06 00:00:00,TRIBE/USDT,0.1483,0.1532,0.1479,0.1514,70214.30036145,10601.432130738835
1656979200,2022-07-05 00:00:00,TRIBE/USDT,0.1513,0.1658,0.1481,0.1485,31317.42327627,4695.667840341117
1656892800,2022-07-04 00:00:00,TRIBE/USDT,0.15,0.1601,0.1487,0.1508,92955.39250033,13961.915486459995
1656806400,2022-07-03 00:00:00,TRIBE/USDT,0.1505,0.1543,0.1488,0.1503,14532.6594741,2183.32563656872
1656720000,2022-07-02 00:00:00,TRIBE/USDT,0.1497,0.1536,0.1479,0.1499,27398.05281321,4114.684747591208
1656633600,2022-07-01 00:00:00,TRIBE/USDT,0.1546,0.1564,0.1485,0.1499,38736.72834618,5878.835811911162
1656547200,2022-06-30 00:00:00,TRIBE/USDT,0.1544,0.1704,0.1523,0.1554,129876.86268672,20497.340261014537
