https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TXA,Volume USDT
1663462800,2022-09-18 01:00:00,TXA/USDT,0.5379,0.5379,0.5378,0.5378,7.6216,4.09936869
1663459200,2022-09-18 00:00:00,TXA/USDT,0.5404,0.5431,0.5404,0.5404,1879.1018,1016.83448328
1663455600,2022-09-17 23:00:00,TXA/USDT,0.5302,0.5586,0.5209,0.5404,20585.2325,11083.77824201
1663452000,2022-09-17 22:00:00,TXA/USDT,0.5133,0.5302,0.5083,0.5302,5663.0336,2963.74259911
1663448400,2022-09-17 21:00:00,TXA/USDT,0.4963,0.5292,0.4962,0.51,6348.0834,3235.75073925
1663444800,2022-09-17 20:00:00,TXA/USDT,0.4951,0.499,0.4948,0.4963,5389.9422,2673.47685868
1663441200,2022-09-17 19:00:00,TXA/USDT,0.5235,0.5235,0.4917,0.4951,4258.7259,2159.13446277
1663437600,2022-09-17 18:00:00,TXA/USDT,0.5244,0.5278,0.5201,0.5264,705.2897,370.81092529
1663434000,2022-09-17 17:00:00,TXA/USDT,0.5235,0.5244,0.5235,0.5244,1679.7707,880.70688995
1663430400,2022-09-17 16:00:00,TXA/USDT,0.5127,0.5281,0.5127,0.5193,3199.6598,1679.37886566
1663426800,2022-09-17 15:00:00,TXA/USDT,0.5217,0.5299,0.5083,0.5083,4413.837,2294.14458182
1663423200,2022-09-17 14:00:00,TXA/USDT,0.515,0.5303,0.512,0.5217,3204.1222,1668.65308578
1663419600,2022-09-17 13:00:00,TXA/USDT,0.5,0.515,0.4989,0.515,5507.8173,2790.44400831
1663416000,2022-09-17 12:00:00,TXA/USDT,0.4932,0.5,0.4917,0.4995,7532.9077,3742.23386446
1663412400,2022-09-17 11:00:00,TXA/USDT,0.4782,0.502,0.4723,0.4889,23851.1125,11598.29043502
1663408800,2022-09-17 10:00:00,TXA/USDT,0.48,0.48,0.4772,0.4781,1343.5574,642.89948632
1663405200,2022-09-17 09:00:00,TXA/USDT,0.4841,0.4857,0.48,0.48,5148.1175,2479.008621
1663401600,2022-09-17 08:00:00,TXA/USDT,0.482,0.4841,0.4801,0.484,770.0684,371.69765255
1663398000,2022-09-17 07:00:00,TXA/USDT,0.4984,0.4984,0.4803,0.482,5681.2513,2747.20196186
1663394400,2022-09-17 06:00:00,TXA/USDT,0.4817,0.5018,0.4801,0.4984,4131.9775,2020.24476556
1663390800,2022-09-17 05:00:00,TXA/USDT,0.4813,0.4821,0.48,0.4808,2255.462,1084.66467128
1663387200,2022-09-17 04:00:00,TXA/USDT,0.4919,0.4919,0.4748,0.4806,6581.3729,3147.87677318
1663383600,2022-09-17 03:00:00,TXA/USDT,0.4909,0.494,0.49,0.4921,791.5058,388.4721438
1663380000,2022-09-17 02:00:00,TXA/USDT,0.4917,0.4918,0.49,0.491,1316.3021,646.59338689
1663376400,2022-09-17 01:00:00,TXA/USDT,0.4887,0.4947,0.4885,0.4917,1228.2666,603.89716998
1663372800,2022-09-17 00:00:00,TXA/USDT,0.4909,0.4919,0.4866,0.4887,1320.0422,647.69382375
1663369200,2022-09-16 23:00:00,TXA/USDT,0.488,0.4929,0.4852,0.4909,6000.2023,2928.73421195
1663365600,2022-09-16 22:00:00,TXA/USDT,0.4806,0.4915,0.4806,0.4857,4600.7058,2235.87255322
1663362000,2022-09-16 21:00:00,TXA/USDT,0.4783,0.4813,0.4783,0.4813,217.5126,104.56745105
1663358400,2022-09-16 20:00:00,TXA/USDT,0.4769,0.4782,0.4769,0.4769,70.9485,33.87313653
1663354800,2022-09-16 19:00:00,TXA/USDT,0.4847,0.4863,0.4708,0.4768,1056.6452,503.25145087
1663351200,2022-09-16 18:00:00,TXA/USDT,0.4728,0.4893,0.4696,0.4845,3506.6672,1690.93744712
1663347600,2022-09-16 17:00:00,TXA/USDT,0.4707,0.4798,0.468,0.4732,1938.6674,921.20817943
1663344000,2022-09-16 16:00:00,TXA/USDT,0.4788,0.4788,0.4589,0.4703,5285.0238,2473.15738413
1663340400,2022-09-16 15:00:00,TXA/USDT,0.4816,0.4819,0.47,0.479,8723.3207,4137.63618595
1663336800,2022-09-16 14:00:00,TXA/USDT,0.4856,0.4856,0.4777,0.4816,2402.2784,1156.30571894
1663333200,2022-09-16 13:00:00,TXA/USDT,0.4871,0.4871,0.4813,0.4813,1982.7039,962.12190453
1663329600,2022-09-16 12:00:00,TXA/USDT,0.4754,0.4871,0.473,0.4825,24235.2572,11543.32859109
