https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNFI,Volume USDT
1663459200,2022-09-18 00:00:00,UNFI/USDT,7.22,7.291,7.153,7.172,361.1409,2608.5176517
1663372800,2022-09-17 00:00:00,UNFI/USDT,7.124,7.323,7.014,7.251,19303.1158,138033.0348566
1663286400,2022-09-16 00:00:00,UNFI/USDT,6.874,7.15,6.756,7.14,24617.4239,171305.1326274
1663200000,2022-09-15 00:00:00,UNFI/USDT,7.121,7.19,6.707,6.854,85782.2881,596788.4244171
1663113600,2022-09-14 00:00:00,UNFI/USDT,7.084,7.379,6.799,7.14,58216.4184,411380.4671305
1663027200,2022-09-13 00:00:00,UNFI/USDT,8.048,8.487,7.038,7.091,107530.2602,837909.4577663
1662940800,2022-09-12 00:00:00,UNFI/USDT,7.884,8.24,7.503,8.05,46311.598,365371.1135477
1662854400,2022-09-11 00:00:00,UNFI/USDT,7.841,8.387,7.578,7.895,81348.7517,653625.1165001
1662768000,2022-09-10 00:00:00,UNFI/USDT,8.053,8.147,7.678,7.846,35631.1634,281648.8679949
1662681600,2022-09-09 00:00:00,UNFI/USDT,7.208,8.611,7.17,8.041,125578.9774,1024984.7036905
1662595200,2022-09-08 00:00:00,UNFI/USDT,7.22,7.278,6.945,7.217,30746.1468,218445.4297076
1662508800,2022-09-07 00:00:00,UNFI/USDT,6.749,7.325,6.679,7.201,42864.5429,303002.5970353
1662422400,2022-09-06 00:00:00,UNFI/USDT,7.711,7.964,6.495,6.774,70686.3289,524790.6630156
1662336000,2022-09-05 00:00:00,UNFI/USDT,7.994,8.044,7.478,7.697,58954.9064,452846.8883947
1662249600,2022-09-04 00:00:00,UNFI/USDT,7.751,8.332,7.69,7.988,83101.9734,659226.7545543
1662163200,2022-09-03 00:00:00,UNFI/USDT,7.525,7.897,7.492,7.743,45381.3319,349290.4756822
1662076800,2022-09-02 00:00:00,UNFI/USDT,7.593,7.815,7.377,7.537,57846.3806,440423.8334729
1661990400,2022-09-01 00:00:00,UNFI/USDT,7.568,7.662,7.264,7.59,41002.2584,307053.5457807
1661904000,2022-08-31 00:00:00,UNFI/USDT,7.59,7.98,7.482,7.577,43173.8563,333504.9734482
1661817600,2022-08-30 00:00:00,UNFI/USDT,7.806,8.691,7.381,7.565,90318.0839,717909.0865856
