https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI3L,Volume USDT
1663459200,2022-09-18 00:00:00,UNI3L/USDT,0.000773,0.000773,0.000744,0.000766,4491386.2905,3388.5065076679
1663372800,2022-09-17 00:00:00,UNI3L/USDT,0.000709,0.000782,0.000706,0.000773,48905823.4676,35974.7678265663
1663286400,2022-09-16 00:00:00,UNI3L/USDT,0.000735,0.000744,0.000651,0.00071,48063919.7918,33538.4876965311
1663200000,2022-09-15 00:00:00,UNI3L/USDT,0.000849,0.000869,0.00069,0.000724,116809820.6373,91883.4443002678
1663113600,2022-09-14 00:00:00,UNI3L/USDT,0.000795,0.000872,0.000762,0.000852,92034613.4778,76240.0340011666
1663027200,2022-09-13 00:00:00,UNI3L/USDT,0.001093,0.001146,0.000777,0.000805,154960790.8514,147619.9763872715
1662940800,2022-09-12 00:00:00,UNI3L/USDT,0.001014,0.001238,0.000972,0.001101,170295716.37897681,189567.81468483791
1662854400,2022-09-11 00:00:00,UNI3L/USDT,0.001123,0.001143,0.00096,0.001025,118537985.3785,123611.4913288043
1662768000,2022-09-10 00:00:00,UNI3L/USDT,0.001048,0.00114,0.001018,0.001117,76716546.2995,81660.693069636
1662681600,2022-09-09 00:00:00,UNI3L/USDT,0.000907,0.001136,0.000907,0.001046,136225529.9171,141072.7100745221
1662595200,2022-09-08 00:00:00,UNI3L/USDT,0.000882,0.000942,0.000809,0.000906,116853356.8724,102795.903538886
1662508800,2022-09-07 00:00:00,UNI3L/USDT,0.000769,0.000921,0.00072,0.00087,218461475.2485,177764.6258514745
1662422400,2022-09-06 00:00:00,UNI3L/USDT,0.001163,0.001261,0.000734,0.000772,189598786.9377,172054.1218069509
1662336000,2022-09-05 00:00:00,UNI3L/USDT,0.001126,0.001216,0.000977,0.001165,96450922.2977,106202.7396107607
1662249600,2022-09-04 00:00:00,UNI3L/USDT,0.001051,0.001139,0.001002,0.001125,45677563.063,49133.1571281344
