https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VISION,Volume USDT
1663459200,2022-09-18 00:00:00,VISION/USDT,0.0046,0.00466,0.00459,0.0046,146110.1835,680.469980447
1663455600,2022-09-17 23:00:00,VISION/USDT,0.00461,0.00465,0.00454,0.0046,81920.7859,377.859548481
1663452000,2022-09-17 22:00:00,VISION/USDT,0.00465,0.00466,0.0046,0.0046,4512.7646,20.857521573
1663448400,2022-09-17 21:00:00,VISION/USDT,0.00461,0.00466,0.0045,0.00466,50829.1585,234.190458691
1663444800,2022-09-17 20:00:00,VISION/USDT,0.00454,0.0046,0.00445,0.0046,666590.8703,2977.101500171
1663441200,2022-09-17 19:00:00,VISION/USDT,0.00454,0.00493,0.0045,0.00458,470166.843,2213.364589103
1663437600,2022-09-17 18:00:00,VISION/USDT,0.00465,0.00465,0.0045,0.00455,177829.4106,807.33029512
1663434000,2022-09-17 17:00:00,VISION/USDT,0.0045,0.0047,0.0045,0.0047,231803.7368,1073.377805044
1663430400,2022-09-17 16:00:00,VISION/USDT,0.00466,0.00467,0.00441,0.0045,316090.883,1439.668386013
1663426800,2022-09-17 15:00:00,VISION/USDT,0.00463,0.0047,0.00458,0.00468,47244.9954,218.600131063
1663423200,2022-09-17 14:00:00,VISION/USDT,0.00482,0.00482,0.00463,0.00467,235557.6288,1107.398793356
1663419600,2022-09-17 13:00:00,VISION/USDT,0.00477,0.00481,0.00469,0.00481,48396.3707,229.177214732
1663416000,2022-09-17 12:00:00,VISION/USDT,0.00485,0.00488,0.00466,0.00478,248165.549,1167.592488706
1663412400,2022-09-17 11:00:00,VISION/USDT,0.00492,0.00503,0.0048,0.00489,82136.55,407.041451067
1663408800,2022-09-17 10:00:00,VISION/USDT,0.0049,0.00503,0.00471,0.00491,374520.9467,1839.540176653
1663405200,2022-09-17 09:00:00,VISION/USDT,0.00478,0.00496,0.00478,0.0049,249744.7053,1228.800154813
1663401600,2022-09-17 08:00:00,VISION/USDT,0.00473,0.00493,0.0047,0.00479,78070.1563,375.415686586
1663398000,2022-09-17 07:00:00,VISION/USDT,0.00472,0.00477,0.0047,0.00473,76641.1523,363.34590071
1663394400,2022-09-17 06:00:00,VISION/USDT,0.00465,0.00475,0.00462,0.00471,103516.3385,482.82410835
1663390800,2022-09-17 05:00:00,VISION/USDT,0.00478,0.00493,0.00463,0.0047,401418.9288,1921.088785297
1663387200,2022-09-17 04:00:00,VISION/USDT,0.00447,0.00483,0.00444,0.00479,725874.9945,3379.716952978
1663383600,2022-09-17 03:00:00,VISION/USDT,0.00453,0.00459,0.00443,0.00443,423867.7149,1932.544849943
1663380000,2022-09-17 02:00:00,VISION/USDT,0.0045,0.00453,0.0045,0.00453,6360.0536,28.686589282
1663376400,2022-09-17 01:00:00,VISION/USDT,0.00435,0.00455,0.00435,0.00447,115551.2283,516.514394186
1663372800,2022-09-17 00:00:00,VISION/USDT,0.00438,0.00438,0.0043,0.00434,19627.4966,85.140441344
1663369200,2022-09-16 23:00:00,VISION/USDT,0.00436,0.00442,0.00436,0.00442,138513.284,606.412596676
1663365600,2022-09-16 22:00:00,VISION/USDT,0.00427,0.00438,0.00422,0.00433,153926.5557,668.094161889
1663362000,2022-09-16 21:00:00,VISION/USDT,0.00428,0.0043,0.00425,0.00425,9996.1766,42.77797013
1663358400,2022-09-16 20:00:00,VISION/USDT,0.00425,0.00429,0.00422,0.00425,227627.537,963.176337875
1663354800,2022-09-16 19:00:00,VISION/USDT,0.00425,0.00429,0.00421,0.00429,22514.6273,95.784175663
1663351200,2022-09-16 18:00:00,VISION/USDT,0.00414,0.0043,0.0041,0.00424,311487.9597,1313.953913134
1663347600,2022-09-16 17:00:00,VISION/USDT,0.00435,0.00441,0.0041,0.00419,718283.9328,3011.900598194
1663344000,2022-09-16 16:00:00,VISION/USDT,0.00429,0.00438,0.00425,0.00438,109200.4518,467.246285229
1663340400,2022-09-16 15:00:00,VISION/USDT,0.0044,0.0044,0.00429,0.00429,98320.7171,429.941361884
1663336800,2022-09-16 14:00:00,VISION/USDT,0.00438,0.00444,0.00431,0.0044,74410.5428,326.442731003
1663333200,2022-09-16 13:00:00,VISION/USDT,0.00443,0.00443,0.00431,0.00435,116814.5064,504.85619626
1663329600,2022-09-16 12:00:00,VISION/USDT,0.00446,0.00447,0.00435,0.00443,28317.6381,124.914640699
1663326000,2022-09-16 11:00:00,VISION/USDT,0.00442,0.00449,0.00442,0.00447,498533.7846,2230.601364309
1663322400,2022-09-16 10:00:00,VISION/USDT,0.00437,0.00441,0.00434,0.00441,117448.1712,513.24205542
1663318800,2022-09-16 09:00:00,VISION/USDT,0.00441,0.00445,0.00437,0.00437,94113.3044,413.558213228
1663315200,2022-09-16 08:00:00,VISION/USDT,0.00456,0.00457,0.00442,0.00442,147982.5425,657.214405005
1663311600,2022-09-16 07:00:00,VISION/USDT,0.0045,0.00456,0.0045,0.00456,34072.9144,153.905241496
1663308000,2022-09-16 06:00:00,VISION/USDT,0.00457,0.00457,0.0045,0.00454,22032.826,99.448901956
1663304400,2022-09-16 05:00:00,VISION/USDT,0.00452,0.00463,0.0045,0.00457,163327.333,748.770725315
1663300800,2022-09-16 04:00:00,VISION/USDT,0.00453,0.00457,0.00452,0.00452,57940.5435,263.599832221
1663297200,2022-09-16 03:00:00,VISION/USDT,0.00454,0.00454,0.00453,0.00453,42332.4037,191.785081227
1663293600,2022-09-16 02:00:00,VISION/USDT,0.00455,0.00455,0.00454,0.00454,1662.0248,7.547786877
1663290000,2022-09-16 01:00:00,VISION/USDT,0.00461,0.00461,0.00454,0.00455,37699.0533,171.678162355
1663286400,2022-09-16 00:00:00,VISION/USDT,0.00453,0.00467,0.00453,0.00462,69361.729,318.500661991
1663282800,2022-09-15 23:00:00,VISION/USDT,0.00453,0.00453,0.00453,0.00453,220.3973,0.998399769
1663279200,2022-09-15 22:00:00,VISION/USDT,0.00454,0.00468,0.0045,0.00456,97132.0058,445.351128634
1663275600,2022-09-15 21:00:00,VISION/USDT,0.00456,0.00456,0.0045,0.00452,95047.2004,428.022321839
1663272000,2022-09-15 20:00:00,VISION/USDT,0.0045,0.0046,0.0045,0.00457,25015.6342,114.199612655
1663268400,2022-09-15 19:00:00,VISION/USDT,0.00453,0.00462,0.0045,0.0045,332541.7927,1498.437013557
1663264800,2022-09-15 18:00:00,VISION/USDT,0.00454,0.00457,0.0045,0.00453,237870.6366,1073.248754358
1663261200,2022-09-15 17:00:00,VISION/USDT,0.00461,0.00463,0.00453,0.00453,66505.4397,304.424729634
1663257600,2022-09-15 16:00:00,VISION/USDT,0.00462,0.00468,0.00452,0.0046,513396.7637,2351.543389994
1663254000,2022-09-15 15:00:00,VISION/USDT,0.0046,0.00466,0.00455,0.00466,252829.8819,1165.471251507
1663250400,2022-09-15 14:00:00,VISION/USDT,0.00456,0.00466,0.00452,0.0046,219821.3407,1009.85498931
1663246800,2022-09-15 13:00:00,VISION/USDT,0.00475,0.00478,0.00452,0.00452,396822.0208,1838.604849578
1663243200,2022-09-15 12:00:00,VISION/USDT,0.00476,0.00476,0.0047,0.00473,364912.6785,1719.708830765
1663239600,2022-09-15 11:00:00,VISION/USDT,0.00477,0.00483,0.00475,0.00475,417123.0971,1990.430683421
1663236000,2022-09-15 10:00:00,VISION/USDT,0.00478,0.00485,0.00476,0.00476,234263.9414,1117.902870433
1663232400,2022-09-15 09:00:00,VISION/USDT,0.00492,0.00494,0.00479,0.00479,41153.1813,199.029737867
1663228800,2022-09-15 08:00:00,VISION/USDT,0.00495,0.00495,0.00488,0.00488,13396.5525,65.717588441
1663225200,2022-09-15 07:00:00,VISION/USDT,0.00489,0.00497,0.00479,0.00497,250230.4554,1232.264223851
1663221600,2022-09-15 06:00:00,VISION/USDT,0.00492,0.00495,0.0048,0.00489,137207.4097,662.614854658
1663218000,2022-09-15 05:00:00,VISION/USDT,0.00495,0.005,0.0049,0.00493,79924.9878,395.739508065
1663214400,2022-09-15 04:00:00,VISION/USDT,0.00496,0.00498,0.00494,0.00495,46184.2528,228.766691345
1663210800,2022-09-15 03:00:00,VISION/USDT,0.00498,0.005,0.00495,0.005,103830.0989,514.105590883
1663207200,2022-09-15 02:00:00,VISION/USDT,0.00501,0.00501,0.00498,0.00498,1738.2909,8.695999518
1663203600,2022-09-15 01:00:00,VISION/USDT,0.005,0.00501,0.00495,0.00501,92365.7709,459.91591576
1663200000,2022-09-15 00:00:00,VISION/USDT,0.00496,0.005,0.00495,0.005,47417.3897,234.808528938
1663196400,2022-09-14 23:00:00,VISION/USDT,0.00498,0.005,0.00495,0.00496,8987.2482,44.727721499
1663192800,2022-09-14 22:00:00,VISION/USDT,0.00498,0.00498,0.00495,0.00498,17420.372,86.405846634
1663189200,2022-09-14 21:00:00,VISION/USDT,0.00498,0.00498,0.00498,0.00498,3535.9527,17.609044446
1663185600,2022-09-14 20:00:00,VISION/USDT,0.00496,0.00497,0.00495,0.00497,21695.0044,107.482710936
1663182000,2022-09-14 19:00:00,VISION/USDT,0.00491,0.00495,0.00476,0.00495,183859.8465,888.005258291
