https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VLX,Volume USDT
1663459200,2022-09-18 00:00:00,VLX/USDT,0.04759,0.04762,0.04745,0.04751,107119.1921,5095.10935885
1663372800,2022-09-17 00:00:00,VLX/USDT,0.04573,0.04814,0.04541,0.04759,5364029.6891,252006.523788713
1663286400,2022-09-16 00:00:00,VLX/USDT,0.04405,0.0463,0.04392,0.04573,4821645.2853,215785.127941763
1663200000,2022-09-15 00:00:00,VLX/USDT,0.04463,0.04777,0.04391,0.04405,5590413.1162,249968.862319206
1663113600,2022-09-14 00:00:00,VLX/USDT,0.04029,0.04483,0.03999,0.04464,6815501.2125,291863.552382655
1663027200,2022-09-13 00:00:00,VLX/USDT,0.04209,0.0434,0.03982,0.04007,6433413.4761,266689.609813178
1662940800,2022-09-12 00:00:00,VLX/USDT,0.04186,0.04421,0.04098,0.04211,6931236.405,294389.624661451
1662854400,2022-09-11 00:00:00,VLX/USDT,0.04178,0.04316,0.04063,0.04189,5904319.4632,246457.930053112
1662768000,2022-09-10 00:00:00,VLX/USDT,0.04011,0.04219,0.03942,0.04179,6067920.0513,248441.009131785
1662681600,2022-09-09 00:00:00,VLX/USDT,0.03634,0.041,0.03629,0.0401,6234525.1946,244024.632897503
1662595200,2022-09-08 00:00:00,VLX/USDT,0.03561,0.03675,0.0348,0.03634,3637237.3228,129509.204469256
1662508800,2022-09-07 00:00:00,VLX/USDT,0.03505,0.03575,0.03375,0.03562,5007061.165,175521.800344422
1662422400,2022-09-06 00:00:00,VLX/USDT,0.03897,0.0419,0.03507,0.03509,6486155.5315,244077.129861744
1662336000,2022-09-05 00:00:00,VLX/USDT,0.03982,0.0399,0.03852,0.03898,3133340.5953,122357.152610241
1662249600,2022-09-04 00:00:00,VLX/USDT,0.03952,0.04093,0.03872,0.03981,3549509.4353,140483.92530126
1662163200,2022-09-03 00:00:00,VLX/USDT,0.04085,0.04312,0.0385,0.03952,5736947.6741,227235.005767528
1662076800,2022-09-02 00:00:00,VLX/USDT,0.04044,0.04178,0.03953,0.04085,4079654.8906,164790.111055239
1661990400,2022-09-01 00:00:00,VLX/USDT,0.03985,0.04082,0.0395,0.04048,4166755.1644,166874.221136675
1661904000,2022-08-31 00:00:00,VLX/USDT,0.04093,0.04204,0.03938,0.03988,4368626.9796,177629.784354264
1661817600,2022-08-30 00:00:00,VLX/USDT,0.04179,0.0429,0.04077,0.04097,3161670.3588,131632.006456529
1661731200,2022-08-29 00:00:00,VLX/USDT,0.04123,0.04196,0.04001,0.04172,2462771.9475,101630.861842419
1661644800,2022-08-28 00:00:00,VLX/USDT,0.04174,0.04226,0.04075,0.04122,2104453.3829,87319.759547477
1661558400,2022-08-27 00:00:00,VLX/USDT,0.04311,0.0432,0.04151,0.04173,2591273.8792,109775.923802447
1661472000,2022-08-26 00:00:00,VLX/USDT,0.04425,0.04465,0.042,0.04322,3265334.8254,141999.021361766
1661385600,2022-08-25 00:00:00,VLX/USDT,0.04454,0.04594,0.04419,0.0442,4101395.1706,184210.44762147
1661299200,2022-08-24 00:00:00,VLX/USDT,0.0455,0.0476,0.0445,0.04469,3888569.3046,179048.798487387
1661212800,2022-08-23 00:00:00,VLX/USDT,0.04399,0.0459,0.04341,0.04549,2957279.162,132323.57248469
1661126400,2022-08-22 00:00:00,VLX/USDT,0.04603,0.04605,0.04327,0.04398,3321842.535,147047.450802324
1661040000,2022-08-21 00:00:00,VLX/USDT,0.04354,0.04669,0.04316,0.04603,4549158.3127,204827.432665627
1660953600,2022-08-20 00:00:00,VLX/USDT,0.04191,0.04419,0.0418,0.04353,3826295.8426,164066.968908155
1660867200,2022-08-19 00:00:00,VLX/USDT,0.04314,0.04337,0.041,0.04191,6054253.2337,255001.143275162
1660780800,2022-08-18 00:00:00,VLX/USDT,0.04304,0.045,0.04276,0.04313,3711126.7346,162832.520214806
1660694400,2022-08-17 00:00:00,VLX/USDT,0.04478,0.045,0.04287,0.04303,4268487.2458,188371.870781032
1660608000,2022-08-16 00:00:00,VLX/USDT,0.0431,0.045,0.04256,0.04478,3153143.7381,139333.05273788
1660521600,2022-08-15 00:00:00,VLX/USDT,0.04281,0.045,0.04244,0.04309,3571290.5681,154893.262348094
1660435200,2022-08-14 00:00:00,VLX/USDT,0.04248,0.045,0.04143,0.04278,6250189.46280317,269651.458164151725
1660348800,2022-08-13 00:00:00,VLX/USDT,0.04322,0.044,0.04229,0.04249,2574007.8222,110417.947211061
1660262400,2022-08-12 00:00:00,VLX/USDT,0.04223,0.044,0.0409,0.04323,4255581.6593,178923.079762486
1660176000,2022-08-11 00:00:00,VLX/USDT,0.04069,0.0437,0.04065,0.04223,5468394.6875,231193.216080997
1660089600,2022-08-10 00:00:00,VLX/USDT,0.04082,0.0418,0.0396,0.04069,3653461.0944,148366.227473456
1660003200,2022-08-09 00:00:00,VLX/USDT,0.04085,0.0415,0.0393,0.04083,3611852.5333,146164.335445993
1659916800,2022-08-08 00:00:00,VLX/USDT,0.04098,0.04199,0.0402,0.04086,4767635.105,195539.911465802
1659830400,2022-08-07 00:00:00,VLX/USDT,0.04057,0.04118,0.04001,0.04077,2728011.6623,110790.133795888
1659744000,2022-08-06 00:00:00,VLX/USDT,0.04136,0.04169,0.04025,0.04058,2579564.3339,105876.776580432
1659657600,2022-08-05 00:00:00,VLX/USDT,0.04064,0.04164,0.04025,0.04136,3347063.7285,137177.240327816
1659571200,2022-08-04 00:00:00,VLX/USDT,0.04059,0.042,0.04024,0.04064,4077546.3454,167672.584547877
1659484800,2022-08-03 00:00:00,VLX/USDT,0.04258,0.043,0.04052,0.0406,6568105.48431557,271364.7008382798149
1659398400,2022-08-02 00:00:00,VLX/USDT,0.04234,0.04329,0.04094,0.04258,2993857.4192,126011.808372561
1659312000,2022-08-01 00:00:00,VLX/USDT,0.04126,0.04613,0.0407,0.04231,3273412.2035,137025.767837394
1659225600,2022-07-31 00:00:00,VLX/USDT,0.04125,0.04226,0.041,0.04129,2762589.7237,115219.114833029
1659139200,2022-07-30 00:00:00,VLX/USDT,0.0416,0.042,0.0407,0.04124,2831641.6679,117237.455309405
1659052800,2022-07-29 00:00:00,VLX/USDT,0.04114,0.04263,0.04042,0.04165,3782699.1076,157432.951797719
1658966400,2022-07-28 00:00:00,VLX/USDT,0.04189,0.04347,0.04071,0.04108,5835248.0123,243385.21008993
1658880000,2022-07-27 00:00:00,VLX/USDT,0.03957,0.04203,0.03917,0.04188,2874947.6248,116597.763016875
1658793600,2022-07-26 00:00:00,VLX/USDT,0.04,0.0406,0.03861,0.03958,2460555.20112724,96883.537393013912
1658707200,2022-07-25 00:00:00,VLX/USDT,0.0415,0.04156,0.04,0.04,902331.0947,36648.375894796
1658620800,2022-07-24 00:00:00,VLX/USDT,0.04144,0.0423,0.04029,0.0415,1699606.5891,70291.746126043
1658534400,2022-07-23 00:00:00,VLX/USDT,0.04207,0.043,0.04065,0.04144,2069427.5118,85818.387902797
1658448000,2022-07-22 00:00:00,VLX/USDT,0.04456,0.04519,0.041,0.04207,2869703.54238408,123342.425068770912
1658361600,2022-07-21 00:00:00,VLX/USDT,0.04457,0.047,0.04311,0.0445,1440475.7151,63825.173872347
1658275200,2022-07-20 00:00:00,VLX/USDT,0.04596,0.04682,0.04403,0.04457,1439090.11902602,65866.8184636138889
1658188800,2022-07-19 00:00:00,VLX/USDT,0.046,0.047,0.04522,0.046,1777869.18200184,81592.7912474051218
1658102400,2022-07-18 00:00:00,VLX/USDT,0.04285,0.046,0.04278,0.04596,2042270.14703668,90213.8730978668271
1658016000,2022-07-17 00:00:00,VLX/USDT,0.04233,0.0435,0.04225,0.04285,846071.33280332,36293.8321408862498
1657929600,2022-07-16 00:00:00,VLX/USDT,0.04451,0.0454,0.04158,0.04246,2804777.98074929,121571.1439937987297
1657843200,2022-07-15 00:00:00,VLX/USDT,0.04496,0.04528,0.04405,0.04459,1845070.8519365,82546.4729918712294
1657756800,2022-07-14 00:00:00,VLX/USDT,0.0418,0.04493,0.041,0.04491,2340336.48797645,99754.1337621966575
1657670400,2022-07-13 00:00:00,VLX/USDT,0.0419,0.0436,0.0396,0.04178,2350882.24950693,97579.4255986912409
1657584000,2022-07-12 00:00:00,VLX/USDT,0.0432,0.04321,0.0414,0.0419,1421812.97931329,59885.8297966447509
1657497600,2022-07-11 00:00:00,VLX/USDT,0.04337,0.04485,0.04295,0.04306,1306875.85276141,57349.1165386232993
1657411200,2022-07-10 00:00:00,VLX/USDT,0.04532,0.0455,0.0431,0.04332,1242690.05997692,54949.2637081801138
1657324800,2022-07-09 00:00:00,VLX/USDT,0.04454,0.04598,0.04429,0.04535,1222063.07944108,55234.6415792681844
1657238400,2022-07-08 00:00:00,VLX/USDT,0.04507,0.0456,0.0441,0.04453,1087939.98930325,48832.2909847732714
1657152000,2022-07-07 00:00:00,VLX/USDT,0.04497,0.0461,0.0439,0.0452,1708633.31606577,77076.9995359939826
1657065600,2022-07-06 00:00:00,VLX/USDT,0.04341,0.0451,0.04319,0.0449,1128322.91382069,49706.1893041629225
1656979200,2022-07-05 00:00:00,VLX/USDT,0.04475,0.0448,0.0426,0.04332,1631975.2089261,70899.2770843859042
1656892800,2022-07-04 00:00:00,VLX/USDT,0.0431,0.04519,0.04251,0.04467,1917220.66368851,83841.5467867771746
1656806400,2022-07-03 00:00:00,VLX/USDT,0.04179,0.04313,0.0415,0.043,1520005.39071267,64082.2635577396725
1656720000,2022-07-02 00:00:00,VLX/USDT,0.0421,0.04284,0.04101,0.0419,1331851.37601954,55757.3752781864523
1656633600,2022-07-01 00:00:00,VLX/USDT,0.04212,0.04316,0.04112,0.0421,2292005.02527859,96393.8707997808116
