https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WXT,Volume USDT
1663459200,2022-09-18 00:00:00,WXT/USDT,0.004889,0.004889,0.004889,0.004889,201.05,0.98293345
1663372800,2022-09-17 00:00:00,WXT/USDT,0.004892,0.004953,0.004867,0.004872,837676.9488,4111.4564307558
1663286400,2022-09-16 00:00:00,WXT/USDT,0.00508,0.00508,0.004863,0.00489,833967.5583,4168.5446544954
1663200000,2022-09-15 00:00:00,WXT/USDT,0.005089,0.005113,0.005077,0.00508,271114.7396,1383.2401185974
1663113600,2022-09-14 00:00:00,WXT/USDT,0.005233,0.005233,0.005086,0.005119,305358.9664,1573.639839701
1663027200,2022-09-13 00:00:00,WXT/USDT,0.005281,0.005315,0.005227,0.005255,1285939.39,6773.2745371154
1662940800,2022-09-12 00:00:00,WXT/USDT,0.005329,0.005331,0.00528,0.00528,401005.8631,2130.5373446704
1662854400,2022-09-11 00:00:00,WXT/USDT,0.005288,0.005397,0.005263,0.005316,545332.1719,2915.2736275996
1662768000,2022-09-10 00:00:00,WXT/USDT,0.005268,0.005293,0.005164,0.005258,1754995.965,9201.0797251951
1662681600,2022-09-09 00:00:00,WXT/USDT,0.00519,0.005312,0.005168,0.005268,1983245.1308,10418.6883920241
1662595200,2022-09-08 00:00:00,WXT/USDT,0.00521,0.005242,0.005164,0.005168,1077777.4553,5626.1725316674
1662508800,2022-09-07 00:00:00,WXT/USDT,0.005103,0.00521,0.005103,0.005207,1777886.7093,9128.7035721144
1662422400,2022-09-06 00:00:00,WXT/USDT,0.005432,0.005445,0.00492,0.005103,1683608.0035,8660.7305559939
1662336000,2022-09-05 00:00:00,WXT/USDT,0.005709,0.005729,0.00535,0.005404,856009.84921803,4690.38481393327652
1662249600,2022-09-04 00:00:00,WXT/USDT,0.005751,0.00576,0.005715,0.005715,6721401.4833,38651.0415906139
1662163200,2022-09-03 00:00:00,WXT/USDT,0.005781,0.005781,0.005729,0.005754,279908.2964,1609.933994767
1662076800,2022-09-02 00:00:00,WXT/USDT,0.005848,0.00588,0.005781,0.005782,125308.9375,727.8454544371
1661990400,2022-09-01 00:00:00,WXT/USDT,0.005936,0.005936,0.005823,0.005847,2153471.9746,12630.3440916488
