https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XAVA,Volume USDT
1663459200,2022-09-18 00:00:00,XAVA/USDT,0.3466,0.3474,0.3435,0.3441,1239.8082,427.75257874
1663372800,2022-09-17 00:00:00,XAVA/USDT,0.3431,0.3597,0.3409,0.3468,74409.7789,25872.99470776
1663286400,2022-09-16 00:00:00,XAVA/USDT,0.3372,0.346,0.3221,0.3428,77756.269,26018.78339612
1663200000,2022-09-15 00:00:00,XAVA/USDT,0.3454,0.3555,0.3301,0.3375,62446.8114,21566.93918482
1663113600,2022-09-14 00:00:00,XAVA/USDT,0.3556,0.3652,0.33,0.3448,95095.8737,33314.19817759
1663027200,2022-09-13 00:00:00,XAVA/USDT,0.3888,0.4034,0.3501,0.3566,125862.5699,47303.77546052
1662940800,2022-09-12 00:00:00,XAVA/USDT,0.3624,0.4079,0.3549,0.3891,142512.4324,54474.29274419
1662854400,2022-09-11 00:00:00,XAVA/USDT,0.3655,0.38,0.3544,0.3627,57961.0125,21037.67637376
1662768000,2022-09-10 00:00:00,XAVA/USDT,0.3545,0.37,0.349,0.3652,71645.9782,25760.88410582
1662681600,2022-09-09 00:00:00,XAVA/USDT,0.3432,0.375,0.343,0.3548,116759.5608,41420.70375606
1662595200,2022-09-08 00:00:00,XAVA/USDT,0.3424,0.3621,0.3258,0.3433,79144.1043,26840.04677641
1662508800,2022-09-07 00:00:00,XAVA/USDT,0.3273,0.3483,0.3173,0.3421,74177.1673,24417.27080826
1662422400,2022-09-06 00:00:00,XAVA/USDT,0.3392,0.368,0.3258,0.3272,110635.2083,38343.4423355
1662336000,2022-09-05 00:00:00,XAVA/USDT,0.3332,0.3414,0.33,0.3393,57874.8799,19349.5598578
1662249600,2022-09-04 00:00:00,XAVA/USDT,0.3423,0.3547,0.3275,0.3342,153881.5868,52175.12935516
1662163200,2022-09-03 00:00:00,XAVA/USDT,0.3506,0.3716,0.3373,0.3422,164107.3986,57883.75705847
1662076800,2022-09-02 00:00:00,XAVA/USDT,0.3373,0.89,0.3299,0.3507,333272.9577,139168.60058369
1661990400,2022-09-01 00:00:00,XAVA/USDT,0.3425,0.3444,0.3201,0.337,66991.8881,22394.88012681
1661904000,2022-08-31 00:00:00,XAVA/USDT,0.3353,0.3541,0.3316,0.3422,59371.6239,20375.78821225
1661817600,2022-08-30 00:00:00,XAVA/USDT,0.3423,0.3585,0.3261,0.3355,110623.3477,37574.37428766
1661731200,2022-08-29 00:00:00,XAVA/USDT,0.3165,0.3509,0.3019,0.3423,122217.5629,39251.34527857
1661644800,2022-08-28 00:00:00,XAVA/USDT,0.3553,0.3607,0.3128,0.3166,73163.5901,25101.21625375
1661558400,2022-08-27 00:00:00,XAVA/USDT,0.3731,0.3747,0.3467,0.3554,71942.5376,26053.30729733
