https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT
1663462800,2022-09-18 01:00:00,XLM/USDT,0.111541,0.111542,0.11142,0.111512,324095.18887157,36139.17826512608476
1663459200,2022-09-18 00:00:00,XLM/USDT,0.113345,0.113376,0.111444,0.111541,1440929.70278383,161834.09864501493163
1663455600,2022-09-17 23:00:00,XLM/USDT,0.113587,0.113737,0.113316,0.113316,900790.63812423,102261.12440942744503
1663452000,2022-09-17 22:00:00,XLM/USDT,0.11315,0.113736,0.113122,0.113563,1085000.90344266,123085.36208915087338
1663448400,2022-09-17 21:00:00,XLM/USDT,0.112135,0.114107,0.11196,0.113126,850102.83943387,96050.6037135496106
1663444800,2022-09-17 20:00:00,XLM/USDT,0.112116,0.112585,0.11207,0.112132,302860.82092352,34029.375465651341
1663441200,2022-09-17 19:00:00,XLM/USDT,0.112592,0.112738,0.109572,0.112116,2385506.60288699,267481.28179777400483
1663437600,2022-09-17 18:00:00,XLM/USDT,0.112347,0.11281,0.11185,0.1126,640496.70223048,72059.41885958649994
1663434000,2022-09-17 17:00:00,XLM/USDT,0.111366,0.112684,0.111332,0.112347,1023899.43375757,114488.31604235729562
1663430400,2022-09-17 16:00:00,XLM/USDT,0.110916,0.111783,0.1108,0.111331,1357023.60202166,151018.32266293658521
1663426800,2022-09-17 15:00:00,XLM/USDT,0.11062,0.111226,0.11048,0.110915,963505.76049311,106827.23241675880067
1663423200,2022-09-17 14:00:00,XLM/USDT,0.109446,0.11182,0.109446,0.110602,1830064.16069726,202881.67264465602968
1663419600,2022-09-17 13:00:00,XLM/USDT,0.107325,0.109775,0.107275,0.10946,1476562.68588093,160628.69635753329612
1663416000,2022-09-17 12:00:00,XLM/USDT,0.107064,0.107337,0.107026,0.107337,245899.68816271,26363.6301096091045
1663412400,2022-09-17 11:00:00,XLM/USDT,0.107144,0.107337,0.106654,0.107065,269856.72285102,28854.79538600411571
1663408800,2022-09-17 10:00:00,XLM/USDT,0.106907,0.10718,0.10666,0.107155,282905.67522808,30253.21650648265336
1663405200,2022-09-17 09:00:00,XLM/USDT,0.106277,0.107,0.106134,0.106902,239885.30653416,25593.13367172444454
1663401600,2022-09-17 08:00:00,XLM/USDT,0.105916,0.106295,0.105916,0.10628,428426.13075553,45459.19704458676716
1663398000,2022-09-17 07:00:00,XLM/USDT,0.106179,0.106231,0.105818,0.105917,203283.25930127,21535.72186824767295
1663394400,2022-09-17 06:00:00,XLM/USDT,0.105939,0.106366,0.105804,0.106178,169788.98734576,18013.97044795601155
1663390800,2022-09-17 05:00:00,XLM/USDT,0.106388,0.106391,0.10574,0.105939,260749.96441307,27627.24049138530913
1663387200,2022-09-17 04:00:00,XLM/USDT,0.105983,0.106516,0.105979,0.106388,693701.12394597,73717.10930850881812
1663383600,2022-09-17 03:00:00,XLM/USDT,0.106246,0.106316,0.105914,0.105973,1059914.23302113,112389.06388656871157
1663380000,2022-09-17 02:00:00,XLM/USDT,0.106495,0.106592,0.10615,0.106248,369368.35111558,39298.44744964846146
1663376400,2022-09-17 01:00:00,XLM/USDT,0.106766,0.107057,0.106465,0.106497,750246.75621,79989.34302952099673
1663372800,2022-09-17 00:00:00,XLM/USDT,0.107096,0.10757,0.106547,0.106746,477695.03396545,51109.69992081821352
1663369200,2022-09-16 23:00:00,XLM/USDT,0.107095,0.107558,0.106683,0.107094,868054.9914733,92946.97577719218287
1663365600,2022-09-16 22:00:00,XLM/USDT,0.105738,0.10732,0.105652,0.107092,997117.77030014,106249.43819114705452
1663362000,2022-09-16 21:00:00,XLM/USDT,0.105767,0.1061,0.105579,0.105738,656705.26602574,69474.60549325938195
1663358400,2022-09-16 20:00:00,XLM/USDT,0.104317,0.10585,0.104317,0.105767,1138904.25497026,119519.27583419426213
1663354800,2022-09-16 19:00:00,XLM/USDT,0.103644,0.1044,0.103644,0.104349,749786.99939156,78147.08859963996987
1663351200,2022-09-16 18:00:00,XLM/USDT,0.103637,0.104256,0.10306,0.103641,575998.33477747,59730.43183387924483
1663347600,2022-09-16 17:00:00,XLM/USDT,0.103905,0.104338,0.10278,0.103636,1159025.69127777,119921.57885845597337
1663344000,2022-09-16 16:00:00,XLM/USDT,0.103679,0.10407,0.102354,0.103896,679998.10516903,70230.2811477395681
1663340400,2022-09-16 15:00:00,XLM/USDT,0.103154,0.10389,0.103009,0.103687,855825.18583317,88594.54323091721554
1663336800,2022-09-16 14:00:00,XLM/USDT,0.102064,0.10394,0.101837,0.103156,680898.78016825,70197.96725719795332
1663333200,2022-09-16 13:00:00,XLM/USDT,0.103272,0.103347,0.10177,0.101984,458358.45219551,47122.23345669077418
1663329600,2022-09-16 12:00:00,XLM/USDT,0.103438,0.1036,0.103157,0.10327,372265.68121588,38500.2709682622308
1663326000,2022-09-16 11:00:00,XLM/USDT,0.102871,0.103538,0.102752,0.10347,523969.33695755,54032.0338281563514
1663322400,2022-09-16 10:00:00,XLM/USDT,0.102672,0.10305,0.102635,0.102871,256741.63596692,26410.91587585258894
1663318800,2022-09-16 09:00:00,XLM/USDT,0.101621,0.102738,0.10158,0.102669,277028.53575608,28292.9078968574589
1663315200,2022-09-16 08:00:00,XLM/USDT,0.102284,0.102378,0.1016,0.101609,473662.11059317,48353.61588055054935
1663311600,2022-09-16 07:00:00,XLM/USDT,0.102497,0.102636,0.102254,0.102285,247846.95607427,25379.31088866824744
1663308000,2022-09-16 06:00:00,XLM/USDT,0.102663,0.102732,0.102364,0.10246,175983.10839185,18045.09705593509741
1663304400,2022-09-16 05:00:00,XLM/USDT,0.10268,0.102864,0.102624,0.102649,436609.11225185,44837.19960292700938
1663300800,2022-09-16 04:00:00,XLM/USDT,0.102469,0.10298,0.10242,0.102707,241744.40030541,24858.87052711957947
1663297200,2022-09-16 03:00:00,XLM/USDT,0.101881,0.102521,0.101831,0.102471,421942.48902125,43128.89944926294171
1663293600,2022-09-16 02:00:00,XLM/USDT,0.10205,0.102142,0.101292,0.101881,601739.23599769,61176.97384621627254
1663290000,2022-09-16 01:00:00,XLM/USDT,0.102616,0.10264,0.101883,0.102088,440011.81046991,44997.7977519896917
1663286400,2022-09-16 00:00:00,XLM/USDT,0.102064,0.102615,0.101537,0.102606,1034828.74336473,105658.63284634248768
1663282800,2022-09-15 23:00:00,XLM/USDT,0.102238,0.10236,0.101785,0.102051,613908.73278588,62681.08390893747247
1663279200,2022-09-15 22:00:00,XLM/USDT,0.102747,0.102781,0.101767,0.102271,468098.69583518,47964.11429868630724
1663275600,2022-09-15 21:00:00,XLM/USDT,0.102833,0.102868,0.102324,0.102746,271233.39211582,27861.72255615473453
1663272000,2022-09-15 20:00:00,XLM/USDT,0.102562,0.102939,0.102393,0.10286,388456.27345734,39871.48754112578978
1663268400,2022-09-15 19:00:00,XLM/USDT,0.102213,0.102715,0.10198,0.102551,770881.29902791,78777.02265324133272
1663264800,2022-09-15 18:00:00,XLM/USDT,0.102559,0.102651,0.102166,0.10219,446754.85397882,45757.45487695644423
1663261200,2022-09-15 17:00:00,XLM/USDT,0.102501,0.102835,0.102401,0.102588,467552.46173963,47953.87783043832367
1663257600,2022-09-15 16:00:00,XLM/USDT,0.102213,0.102869,0.101874,0.102513,452945.67124148,46349.08663251185052
1663254000,2022-09-15 15:00:00,XLM/USDT,0.102017,0.102568,0.101281,0.102214,1471007.59931998,150009.60849266643331
