https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC
1663459200,2022-09-18 00:00:00,XRP/BTC,0.00001871,0.00001876,0.00001861,0.00001864,71827.75080823,1.3411420055387881
1663372800,2022-09-17 00:00:00,XRP/BTC,0.00001795,0.00001903,0.00001747,0.0000187,3101626.17783358,57.1108782836325585
1663286400,2022-09-16 00:00:00,XRP/BTC,0.00001655,0.00001815,0.00001632,0.00001794,2125996.98487829,36.6304899499359679
1663200000,2022-09-15 00:00:00,XRP/BTC,0.00001689,0.00001697,0.00001638,0.00001656,1392055.28370216,23.1682594003627304
1663113600,2022-09-14 00:00:00,XRP/BTC,0.00001648,0.00001722,0.00001634,0.0000169,1698887.6138464,28.4345216953161809
1663027200,2022-09-13 00:00:00,XRP/BTC,0.00001606,0.00001671,0.00001569,0.0000165,1545344.23695665,24.8728295200080304
1662940800,2022-09-12 00:00:00,XRP/BTC,0.00001627,0.00001634,0.00001577,0.00001607,1579461.68082329,25.3169084209295885
1662854400,2022-09-11 00:00:00,XRP/BTC,0.00001651,0.00001664,0.00001622,0.00001627,943531.499831,15.5108251633421176
1662768000,2022-09-10 00:00:00,XRP/BTC,0.0000167,0.00001684,0.00001644,0.00001649,1180521.69153721,19.655219394953548
1662681600,2022-09-09 00:00:00,XRP/BTC,0.00001758,0.00001788,0.00001619,0.0000167,2384490.81740458,40.2748158654704144
1662595200,2022-09-08 00:00:00,XRP/BTC,0.00001746,0.00001775,0.00001716,0.00001758,861405.88890965,14.9725883947038077
1662508800,2022-09-07 00:00:00,XRP/BTC,0.00001709,0.00001768,0.00001681,0.00001746,1435066.19919717,24.693698608409469
1662422400,2022-09-06 00:00:00,XRP/BTC,0.00001683,0.00001719,0.00001671,0.0000171,1838380.87000173,31.1994824659091176
1662336000,2022-09-05 00:00:00,XRP/BTC,0.0000166,0.00001684,0.00001636,0.00001683,800987.6169686,13.279837989797504
1662249600,2022-09-04 00:00:00,XRP/BTC,0.00001663,0.00001679,0.00001657,0.00001659,537439.79510628,8.9665331541484195
1662163200,2022-09-03 00:00:00,XRP/BTC,0.00001662,0.00001672,0.00001645,0.00001662,1132259.72406122,18.8338933835671001
1662076800,2022-09-02 00:00:00,XRP/BTC,0.00001655,0.00001668,0.00001622,0.00001661,1109822.80105711,18.2436413409567021
1661990400,2022-09-01 00:00:00,XRP/BTC,0.00001635,0.00001665,0.0000161,0.00001657,808835.35412546,13.2456272918825734
1661904000,2022-08-31 00:00:00,XRP/BTC,0.00001648,0.00001654,0.00001618,0.00001633,954211.85119948,15.5869342243452751
1661817600,2022-08-30 00:00:00,XRP/BTC,0.00001645,0.0000166,0.00001617,0.0000165,1539427.71685696,25.2125985541034491
1661731200,2022-08-29 00:00:00,XRP/BTC,0.00001648,0.0000165,0.00001607,0.00001645,1672930.71502454,27.2487260751628839
1661644800,2022-08-28 00:00:00,XRP/BTC,0.00001672,0.00001683,0.00001628,0.00001648,2197693.17927191,36.5838159663706255
1661558400,2022-08-27 00:00:00,XRP/BTC,0.00001676,0.00001704,0.00001644,0.00001671,1162418.54998704,19.3694236879066914
1661472000,2022-08-26 00:00:00,XRP/BTC,0.00001619,0.00001732,0.00001604,0.00001675,2966246.62649125,49.0599003761580386
1661385600,2022-08-25 00:00:00,XRP/BTC,0.00001617,0.00001636,0.00001593,0.00001618,1126451.45935192,18.1601233163987248
1661299200,2022-08-24 00:00:00,XRP/BTC,0.00001615,0.00001625,0.00001586,0.00001617,800428.51240173,12.8532519983322431
1661212800,2022-08-23 00:00:00,XRP/BTC,0.00001608,0.00001617,0.0000158,0.00001613,662892.85650782,10.5841911424872482
1661126400,2022-08-22 00:00:00,XRP/BTC,0.00001603,0.00001621,0.00001571,0.00001607,1095631.43818267,17.4639171883041531
1661040000,2022-08-21 00:00:00,XRP/BTC,0.00001596,0.00001622,0.00001586,0.00001603,1003136.03637782,16.0835489922036067
1660953600,2022-08-20 00:00:00,XRP/BTC,0.00001606,0.00001621,0.00001584,0.00001594,827179.56783296,13.2611047397104227
1660867200,2022-08-19 00:00:00,XRP/BTC,0.00001597,0.00001611,0.00001544,0.00001607,1840342.70547994,29.0838592575424736
1660780800,2022-08-18 00:00:00,XRP/BTC,0.00001628,0.00001628,0.00001589,0.00001596,981268.32630078,15.7650422958398639
1660694400,2022-08-17 00:00:00,XRP/BTC,0.0000158,0.00001638,0.00001576,0.00001627,1743853.49116974,27.9867685649513246
1660608000,2022-08-16 00:00:00,XRP/BTC,0.00001558,0.00001584,0.00001534,0.00001579,966559.47531519,15.1026535084483723
1660521600,2022-08-15 00:00:00,XRP/BTC,0.00001547,0.00001564,0.00001526,0.00001557,640969.12402931,9.8825539121040153
1660435200,2022-08-14 00:00:00,XRP/BTC,0.00001547,0.00001585,0.00001544,0.00001546,1027982.04704835,16.0642244617261446
1660348800,2022-08-13 00:00:00,XRP/BTC,0.00001557,0.00001568,0.00001537,0.00001547,725997.23282995,11.2650737804057871
1660262400,2022-08-12 00:00:00,XRP/BTC,0.00001588,0.00001589,0.00001545,0.00001556,1138323.46137205,17.7760446309024171
1660176000,2022-08-11 00:00:00,XRP/BTC,0.00001592,0.00001606,0.00001544,0.00001588,1518715.30285494,23.7948704887097227
1660089600,2022-08-10 00:00:00,XRP/BTC,0.00001588,0.00001598,0.00001565,0.00001593,1307223.92928062,20.6601515389497263
1660003200,2022-08-09 00:00:00,XRP/BTC,0.00001589,0.00001595,0.00001569,0.00001587,870073.28972207,13.7678087723381571
1659916800,2022-08-08 00:00:00,XRP/BTC,0.00001606,0.00001607,0.00001576,0.00001589,1490918.87401594,23.7076762325703682
1659830400,2022-08-07 00:00:00,XRP/BTC,0.00001618,0.00001622,0.00001605,0.00001607,449041.30769744,7.2534891409753685
1659744000,2022-08-06 00:00:00,XRP/BTC,0.00001616,0.00001622,0.00001609,0.00001619,404788.46413478,6.5359490017003162
1659657600,2022-08-05 00:00:00,XRP/BTC,0.00001641,0.0000165,0.00001603,0.00001615,913889.57198217,14.7941963827819704
1659571200,2022-08-04 00:00:00,XRP/BTC,0.00001619,0.00001648,0.00001597,0.0000164,1157371.18474924,18.7438192971513343
1659484800,2022-08-03 00:00:00,XRP/BTC,0.00001616,0.00001621,0.0000159,0.00001619,804545.05308061,12.8996494310420186
1659398400,2022-08-02 00:00:00,XRP/BTC,0.00001631,0.00001699,0.00001609,0.00001615,1754528.56018814,28.7334326696960952
1659312000,2022-08-01 00:00:00,XRP/BTC,0.00001627,0.00001647,0.00001616,0.00001631,700762.1772255,11.4218760302174415
1659225600,2022-07-31 00:00:00,XRP/BTC,0.0000164,0.00001673,0.00001621,0.0000163,1761333.52972396,28.974434143151115
1659139200,2022-07-30 00:00:00,XRP/BTC,0.00001548,0.00001672,0.00001529,0.0000164,2951368.14193457,47.6674430026650006
1659052800,2022-07-29 00:00:00,XRP/BTC,0.00001567,0.00001579,0.00001521,0.00001547,1360468.08367334,21.1508162310561288
1658966400,2022-07-28 00:00:00,XRP/BTC,0.00001566,0.00001582,0.0000153,0.00001566,1564676.29045655,24.3073095831325594
1658880000,2022-07-27 00:00:00,XRP/BTC,0.00001588,0.00001598,0.00001545,0.00001566,1164541.65062877,18.2800830076866798
1658793600,2022-07-26 00:00:00,XRP/BTC,0.00001578,0.00001597,0.00001557,0.00001587,990079.75878147,15.6286509778980758
1658707200,2022-07-25 00:00:00,XRP/BTC,0.00001588,0.00001591,0.00001558,0.00001578,956495.7407038,15.0808689674261634
1658620800,2022-07-24 00:00:00,XRP/BTC,0.00001599,0.00001612,0.00001583,0.00001589,678780.8003547,10.8559011696526043
1658534400,2022-07-23 00:00:00,XRP/BTC,0.00001577,0.00001601,0.00001571,0.000016,627178.87310635,9.9568346957038353
1658448000,2022-07-22 00:00:00,XRP/BTC,0.00001583,0.0000159,0.00001544,0.00001578,921717.11649995,14.4610855421550377
1658361600,2022-07-21 00:00:00,XRP/BTC,0.00001564,0.0000159,0.00001543,0.00001584,1090315.29004095,17.0419789155170856
1658275200,2022-07-20 00:00:00,XRP/BTC,0.00001593,0.00001617,0.00001539,0.00001563,1442069.91173045,22.74056513911358
1658188800,2022-07-19 00:00:00,XRP/BTC,0.00001628,0.00001645,0.0000157,0.00001594,2087829.33936787,33.5556094414135616
1658102400,2022-07-18 00:00:00,XRP/BTC,0.00001653,0.00001702,0.00001619,0.00001627,2003184.34780531,33.2000685638588434
1658016000,2022-07-17 00:00:00,XRP/BTC,0.00001656,0.0000168,0.00001632,0.00001653,1243417.02367263,20.533017951220922
