https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1663462800,2022-09-18 01:00:00,XRP/USDT,0.37238,0.37291,0.3702,0.37072,1139202.39377797,422446.334560599899
1663459200,2022-09-18 00:00:00,XRP/USDT,0.3762,0.3767,0.3718,0.37234,2050428.28234881,765584.8658256214168
1663455600,2022-09-17 23:00:00,XRP/USDT,0.37552,0.37829,0.37356,0.3761,2653311.59755735,996492.8726526124841
1663452000,2022-09-17 22:00:00,XRP/USDT,0.37395,0.37708,0.37386,0.37537,1810990.15598583,679925.2657001874178
1663448400,2022-09-17 21:00:00,XRP/USDT,0.37251,0.37473,0.37163,0.37392,887350.12775976,331226.7900580422724
1663444800,2022-09-17 20:00:00,XRP/USDT,0.37263,0.37313,0.37105,0.37251,1894666.491638,705095.8426958734759
1663441200,2022-09-17 19:00:00,XRP/USDT,0.37884,0.37886,0.37192,0.37259,3570131.85998109,1338137.9230415776821
1663437600,2022-09-17 18:00:00,XRP/USDT,0.37555,0.381,0.37392,0.37881,3535043.26881082,1332439.2206348576389
1663434000,2022-09-17 17:00:00,XRP/USDT,0.37358,0.37632,0.37112,0.37545,2524811.12435821,944951.8386567585108
1663430400,2022-09-17 16:00:00,XRP/USDT,0.37084,0.37641,0.37076,0.37354,3845421.27790188,1437846.55220203571
1663426800,2022-09-17 15:00:00,XRP/USDT,0.37269,0.3744,0.3701,0.37082,4457505.95409008,1658897.2673024207464
1663423200,2022-09-17 14:00:00,XRP/USDT,0.36956,0.37937,0.36956,0.3726,10339376.09008156,3885187.9614753695424
1663419600,2022-09-17 13:00:00,XRP/USDT,0.3545,0.37038,0.35399,0.36951,10869515.76903406,3963120.389615760837
1663416000,2022-09-17 12:00:00,XRP/USDT,0.35277,0.35491,0.35146,0.3545,1799789.37260711,635718.1432325386399
1663412400,2022-09-17 11:00:00,XRP/USDT,0.35525,0.35654,0.3516,0.35279,1335439.02568969,472785.2150585464131
1663408800,2022-09-17 10:00:00,XRP/USDT,0.34954,0.3562,0.34952,0.35528,2485709.26036885,879276.097026872894
1663405200,2022-09-17 09:00:00,XRP/USDT,0.34851,0.34999,0.34742,0.34952,793429.40973419,276470.2436830623723
1663401600,2022-09-17 08:00:00,XRP/USDT,0.34781,0.3499,0.34777,0.34849,859739.54011064,299981.4101772037072
1663398000,2022-09-17 07:00:00,XRP/USDT,0.3485,0.34927,0.34728,0.34781,920982.0583745,320916.7521471039441
1663394400,2022-09-17 06:00:00,XRP/USDT,0.34972,0.34999,0.3464,0.34865,824042.64735595,286834.249615462282
1663390800,2022-09-17 05:00:00,XRP/USDT,0.35045,0.35065,0.34849,0.34965,841626.42872533,294099.3859312887978
1663387200,2022-09-17 04:00:00,XRP/USDT,0.35019,0.3513,0.34888,0.35046,822550.68502451,288013.9974995921072
