https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZCX,Volume USDT
1663462800,2022-09-18 01:00:00,ZCX/USDT,0.0745,0.0745,0.0745,0.0745,13.4013,0.99839685
1663459200,2022-09-18 00:00:00,ZCX/USDT,0.0737,0.075,0.0736,0.0744,22372.8922,1661.92632889
1663455600,2022-09-17 23:00:00,ZCX/USDT,0.0738,0.074,0.0721,0.0733,83944.4464,6127.10148687
1663452000,2022-09-17 22:00:00,ZCX/USDT,0.0738,0.0741,0.073,0.0737,24725.8642,1819.26827121
1663448400,2022-09-17 21:00:00,ZCX/USDT,0.0731,0.0737,0.0725,0.0737,30797.6604,2251.88614137
1663444800,2022-09-17 20:00:00,ZCX/USDT,0.0725,0.0746,0.0725,0.0734,51678.4596,3798.80866302
1663441200,2022-09-17 19:00:00,ZCX/USDT,0.0727,0.0737,0.0711,0.0725,68081.8693,4925.88806822
1663437600,2022-09-17 18:00:00,ZCX/USDT,0.0752,0.0761,0.0709,0.0727,457084.919,33105.46040387
1663434000,2022-09-17 17:00:00,ZCX/USDT,0.0766,0.0766,0.0739,0.0745,159572.1958,12034.62360525
1663430400,2022-09-17 16:00:00,ZCX/USDT,0.0755,0.0774,0.0754,0.0764,90200.2245,6878.21654126
1663426800,2022-09-17 15:00:00,ZCX/USDT,0.076,0.0772,0.0738,0.0755,85909.2873,6525.18834144
1663423200,2022-09-17 14:00:00,ZCX/USDT,0.0744,0.077,0.0734,0.0761,54131.6738,4075.36549391
1663419600,2022-09-17 13:00:00,ZCX/USDT,0.0723,0.0761,0.0714,0.0744,89551.9195,6615.51568813
1663416000,2022-09-17 12:00:00,ZCX/USDT,0.0735,0.0747,0.0724,0.0724,54274.7935,3981.11499004
1663412400,2022-09-17 11:00:00,ZCX/USDT,0.0712,0.075,0.0706,0.0736,119001.4835,8692.23005656
1663408800,2022-09-17 10:00:00,ZCX/USDT,0.0724,0.0746,0.0704,0.0712,133403.15,9596.44838899
1663405200,2022-09-17 09:00:00,ZCX/USDT,0.0712,0.0751,0.0702,0.0722,308197.2352,22648.57012482
1663401600,2022-09-17 08:00:00,ZCX/USDT,0.0714,0.0716,0.0705,0.0714,35956.2862,2555.37114769
1663398000,2022-09-17 07:00:00,ZCX/USDT,0.0699,0.0735,0.0696,0.0715,132319.7937,9452.2237366
1663394400,2022-09-17 06:00:00,ZCX/USDT,0.0698,0.071,0.0694,0.0699,146586.7508,10263.12421686
1663390800,2022-09-17 05:00:00,ZCX/USDT,0.0687,0.0724,0.068,0.0698,279116.2614,19321.20793931
1663387200,2022-09-17 04:00:00,ZCX/USDT,0.0706,0.0707,0.0688,0.0688,31020.3219,2154.92783926
1663383600,2022-09-17 03:00:00,ZCX/USDT,0.0703,0.0714,0.0699,0.0707,42727.2278,3016.46025968
1663380000,2022-09-17 02:00:00,ZCX/USDT,0.0707,0.0713,0.0698,0.0703,70131.7719,4950.28796068
1663376400,2022-09-17 01:00:00,ZCX/USDT,0.0704,0.0713,0.0698,0.0707,27419.0982,1934.96223353
1663372800,2022-09-17 00:00:00,ZCX/USDT,0.0689,0.0703,0.0689,0.0703,106397.6549,7413.98544868
1663369200,2022-09-16 23:00:00,ZCX/USDT,0.0669,0.0709,0.0661,0.069,200840.0011,13811.4014972
1663365600,2022-09-16 22:00:00,ZCX/USDT,0.0687,0.0691,0.0659,0.067,263369.2303,17726.81853113
1663362000,2022-09-16 21:00:00,ZCX/USDT,0.0688,0.073,0.0682,0.0686,433679.2528,30849.01462771
1663358400,2022-09-16 20:00:00,ZCX/USDT,0.0788,0.0788,0.0625,0.0688,1880750.5888,132659.14570517796
1663354800,2022-09-16 19:00:00,ZCX/USDT,0.0756,0.0796,0.0755,0.0783,110944.133,8662.92847532
1663351200,2022-09-16 18:00:00,ZCX/USDT,0.0769,0.0769,0.0756,0.0756,19699.5005,1499.63998674
1663347600,2022-09-16 17:00:00,ZCX/USDT,0.0779,0.0779,0.0755,0.0768,84282.3468,6409.95106544
1663344000,2022-09-16 16:00:00,ZCX/USDT,0.0791,0.0791,0.0775,0.0775,14945.4205,1167.33290757
1663340400,2022-09-16 15:00:00,ZCX/USDT,0.0787,0.0813,0.0785,0.0791,118017.7206,9441.01775054
1663336800,2022-09-16 14:00:00,ZCX/USDT,0.0773,0.0791,0.0766,0.0785,115845.456,9015.21129655
1663333200,2022-09-16 13:00:00,ZCX/USDT,0.0779,0.0779,0.077,0.0776,22904.581,1767.81047599
1663329600,2022-09-16 12:00:00,ZCX/USDT,0.0773,0.0789,0.077,0.0779,43678.6243,3388.99928677
1663326000,2022-09-16 11:00:00,ZCX/USDT,0.0789,0.079,0.0766,0.0773,31513.4052,2441.30711018
1663322400,2022-09-16 10:00:00,ZCX/USDT,0.0791,0.0808,0.0767,0.079,88765.3694,7020.80503181
1663318800,2022-09-16 09:00:00,ZCX/USDT,0.0806,0.0836,0.0784,0.0793,158369.9042,12821.99266481
1663315200,2022-09-16 08:00:00,ZCX/USDT,0.0812,0.0813,0.0801,0.081,7288.9473,588.69635408
1663311600,2022-09-16 07:00:00,ZCX/USDT,0.0796,0.0817,0.0789,0.0806,53112.8796,4297.45406919
1663308000,2022-09-16 06:00:00,ZCX/USDT,0.08,0.08,0.0795,0.0795,5885.3096,470.23044803
1663304400,2022-09-16 05:00:00,ZCX/USDT,0.0794,0.0799,0.0794,0.0799,13699.4319,1089.77657944
1663300800,2022-09-16 04:00:00,ZCX/USDT,0.0797,0.08,0.0794,0.0797,19576.634,1560.47897126
1663297200,2022-09-16 03:00:00,ZCX/USDT,0.0804,0.0804,0.0796,0.0796,10248.8676,819.03611088
1663293600,2022-09-16 02:00:00,ZCX/USDT,0.0799,0.0809,0.0799,0.0804,7465.937,598.7334988
1663290000,2022-09-16 01:00:00,ZCX/USDT,0.0798,0.08,0.0795,0.0797,5712.3216,454.70058698
1663286400,2022-09-16 00:00:00,ZCX/USDT,0.081,0.0812,0.0799,0.08,17833.0536,1432.70508129
1663282800,2022-09-15 23:00:00,ZCX/USDT,0.0818,0.0819,0.0804,0.0804,4510.197,365.25128799
1663279200,2022-09-15 22:00:00,ZCX/USDT,0.0813,0.0831,0.0813,0.0819,38723.1574,3191.61627718
1663275600,2022-09-15 21:00:00,ZCX/USDT,0.0826,0.083,0.0811,0.0815,19681.3755,1608.41910112
1663272000,2022-09-15 20:00:00,ZCX/USDT,0.0797,0.0831,0.0796,0.0831,50399.4182,4111.21702304
1663268400,2022-09-15 19:00:00,ZCX/USDT,0.0795,0.0811,0.0794,0.0798,31713.904,2545.63019114
1663264800,2022-09-15 18:00:00,ZCX/USDT,0.0793,0.0802,0.0793,0.0797,17812.0623,1417.8032021
1663261200,2022-09-15 17:00:00,ZCX/USDT,0.0781,0.0806,0.0781,0.0793,77027.138,6122.32874332
1663257600,2022-09-15 16:00:00,ZCX/USDT,0.0767,0.0783,0.0751,0.0778,48442.6458,3721.74483442
1663254000,2022-09-15 15:00:00,ZCX/USDT,0.0772,0.0784,0.0746,0.0769,101743.4007,7862.02200084
1663250400,2022-09-15 14:00:00,ZCX/USDT,0.0836,0.0842,0.0745,0.077,287757.7952,22778.67864665
1663246800,2022-09-15 13:00:00,ZCX/USDT,0.0818,0.0845,0.0815,0.0836,67856.9382,5629.96628169
1663243200,2022-09-15 12:00:00,ZCX/USDT,0.0792,0.082,0.0792,0.0811,25193.9483,2034.29259515
1663239600,2022-09-15 11:00:00,ZCX/USDT,0.0804,0.0804,0.079,0.0792,31175.3139,2471.08259496
1663236000,2022-09-15 10:00:00,ZCX/USDT,0.08,0.081,0.08,0.0801,13982.7718,1125.35204633
1663232400,2022-09-15 09:00:00,ZCX/USDT,0.0795,0.0817,0.0792,0.0798,111337.1644,8985.80598874
1663228800,2022-09-15 08:00:00,ZCX/USDT,0.0817,0.0817,0.0792,0.0795,53361.9351,4260.89416803
1663225200,2022-09-15 07:00:00,ZCX/USDT,0.0791,0.083,0.0791,0.0817,236368.0847,19249.86448362
1663221600,2022-09-15 06:00:00,ZCX/USDT,0.0777,0.079,0.0775,0.079,48212.0197,3770.6005327
1663218000,2022-09-15 05:00:00,ZCX/USDT,0.0758,0.0785,0.0754,0.0776,30976.2282,2385.69617088
1663214400,2022-09-15 04:00:00,ZCX/USDT,0.0765,0.0769,0.0749,0.0757,44366.2526,3368.95284696
1663210800,2022-09-15 03:00:00,ZCX/USDT,0.0757,0.0769,0.0752,0.0765,16735.3094,1275.0248065
1663207200,2022-09-15 02:00:00,ZCX/USDT,0.0756,0.0756,0.0749,0.0753,6693.7713,504.03450381
1663203600,2022-09-15 01:00:00,ZCX/USDT,0.0769,0.0769,0.0753,0.0756,20094.2281,1527.32863223
1663200000,2022-09-15 00:00:00,ZCX/USDT,0.0772,0.0773,0.0765,0.0765,12323.6958,948.04473553
1663196400,2022-09-14 23:00:00,ZCX/USDT,0.0782,0.0782,0.0771,0.0771,1673.8149,130.17175419
1663192800,2022-09-14 22:00:00,ZCX/USDT,0.0785,0.0789,0.0769,0.0789,37975.7673,2963.29101546
1663189200,2022-09-14 21:00:00,ZCX/USDT,0.0785,0.0785,0.0778,0.0785,12357.341,964.47575431
1663185600,2022-09-14 20:00:00,ZCX/USDT,0.0772,0.0799,0.0765,0.0782,100447.7912,7894.21741513
1663182000,2022-09-14 19:00:00,ZCX/USDT,0.0755,0.0773,0.0741,0.077,66186.9757,5035.39520592
1663178400,2022-09-14 18:00:00,ZCX/USDT,0.0769,0.0774,0.0733,0.0754,174531.6324,13109.54902174
1663174800,2022-09-14 17:00:00,ZCX/USDT,0.0784,0.0784,0.0765,0.0765,51798.2248,4004.82945922
1663171200,2022-09-14 16:00:00,ZCX/USDT,0.0782,0.0793,0.0767,0.078,89782.0161,6990.9848203
1663167600,2022-09-14 15:00:00,ZCX/USDT,0.0789,0.0791,0.078,0.078,15486.0949,1212.27054091
1663164000,2022-09-14 14:00:00,ZCX/USDT,0.0788,0.081,0.0788,0.0789,82909.7046,6673.42877882
1663160400,2022-09-14 13:00:00,ZCX/USDT,0.0773,0.0809,0.0773,0.0788,77534.6331,6143.72222787
1663156800,2022-09-14 12:00:00,ZCX/USDT,0.0785,0.0798,0.0773,0.0773,45109.7479,3537.18511189
1663153200,2022-09-14 11:00:00,ZCX/USDT,0.0779,0.0808,0.0771,0.0785,75018.119,5917.36344154
1663149600,2022-09-14 10:00:00,ZCX/USDT,0.0774,0.0783,0.077,0.0783,67250.1637,5218.66248553
1663146000,2022-09-14 09:00:00,ZCX/USDT,0.0784,0.0784,0.0774,0.0778,24231.3968,1888.66392286
1663142400,2022-09-14 08:00:00,ZCX/USDT,0.0776,0.0793,0.0776,0.0784,22570.2443,1765.95821923
1663138800,2022-09-14 07:00:00,ZCX/USDT,0.0788,0.0789,0.0772,0.0776,67000.0961,5230.66229687
1663135200,2022-09-14 06:00:00,ZCX/USDT,0.0809,0.081,0.0785,0.0786,26718.2079,2117.07715248
1663131600,2022-09-14 05:00:00,ZCX/USDT,0.0794,0.0808,0.0783,0.0808,17457.0244,1384.01999629
1663128000,2022-09-14 04:00:00,ZCX/USDT,0.08,0.0822,0.0782,0.0794,182294.3668,14663.6658482
1663124400,2022-09-14 03:00:00,ZCX/USDT,0.0803,0.0805,0.08,0.08,29149.6407,2343.79845062
1663120800,2022-09-14 02:00:00,ZCX/USDT,0.0805,0.0805,0.0802,0.0803,24503.3617,1967.8277705
1663117200,2022-09-14 01:00:00,ZCX/USDT,0.0778,0.0808,0.0775,0.0808,36746.3052,2906.41214167
1663113600,2022-09-14 00:00:00,ZCX/USDT,0.079,0.0793,0.0776,0.0783,45681.0952,3586.75102718
1663110000,2022-09-13 23:00:00,ZCX/USDT,0.0816,0.0816,0.079,0.079,70359.5742,5579.24825564
1663106400,2022-09-13 22:00:00,ZCX/USDT,0.0817,0.0838,0.081,0.0817,54221.375,4464.13962469
1663102800,2022-09-13 21:00:00,ZCX/USDT,0.0818,0.0833,0.0814,0.0824,41392.9521,3418.38380783
1663099200,2022-09-13 20:00:00,ZCX/USDT,0.0818,0.0819,0.0809,0.0819,11234.569,917.06300816
1663095600,2022-09-13 19:00:00,ZCX/USDT,0.0807,0.0817,0.0792,0.0817,37725.1293,3029.1316022
1663092000,2022-09-13 18:00:00,ZCX/USDT,0.0826,0.0828,0.0776,0.0803,248971.7638,20054.22860511
1663088400,2022-09-13 17:00:00,ZCX/USDT,0.0799,0.0828,0.079,0.0822,159692.4945,12964.41092086
1663084800,2022-09-13 16:00:00,ZCX/USDT,0.0807,0.0807,0.0787,0.0798,89237.1051,7084.644554
1663081200,2022-09-13 15:00:00,ZCX/USDT,0.0822,0.0836,0.079,0.0812,104320.0456,8430.8273857
1663077600,2022-09-13 14:00:00,ZCX/USDT,0.0813,0.0842,0.0785,0.082,136990.3308,11140.02581031
1663074000,2022-09-13 13:00:00,ZCX/USDT,0.0874,0.0874,0.0812,0.0813,346395.5952,28966.06232922
1663070400,2022-09-13 12:00:00,ZCX/USDT,0.0904,0.0933,0.0866,0.0883,215367.9048,19192.73014786
1663066800,2022-09-13 11:00:00,ZCX/USDT,0.0894,0.092,0.0894,0.09,122937.115,11225.90221357
1663063200,2022-09-13 10:00:00,ZCX/USDT,0.0868,0.0894,0.0867,0.0894,18939.4274,1665.00052594
1663059600,2022-09-13 09:00:00,ZCX/USDT,0.0878,0.0887,0.0866,0.0869,51743.2683,4529.89380557
1663056000,2022-09-13 08:00:00,ZCX/USDT,0.0888,0.0891,0.0877,0.0877,51216.2357,4539.18998374
1663052400,2022-09-13 07:00:00,ZCX/USDT,0.0888,0.0894,0.0887,0.0888,21298.5722,1890.92927449
1663048800,2022-09-13 06:00:00,ZCX/USDT,0.0899,0.0899,0.0887,0.0889,30106.7595,2677.05197897
1663045200,2022-09-13 05:00:00,ZCX/USDT,0.0909,0.0919,0.0894,0.0899,51961.2971,4697.46124459
1663041600,2022-09-13 04:00:00,ZCX/USDT,0.09,0.091,0.0898,0.0908,14937.2872,1351.52602946
1663038000,2022-09-13 03:00:00,ZCX/USDT,0.0869,0.09,0.0863,0.0892,36734.005,3231.96583567
1663034400,2022-09-13 02:00:00,ZCX/USDT,0.0882,0.0882,0.0869,0.087,4511.8009,393.55022138
1663030800,2022-09-13 01:00:00,ZCX/USDT,0.0884,0.0907,0.0876,0.0876,30713.6389,2739.09469127
1663027200,2022-09-13 00:00:00,ZCX/USDT,0.0878,0.0889,0.0875,0.0889,4047.9521,356.76523219
1663023600,2022-09-12 23:00:00,ZCX/USDT,0.0888,0.0894,0.0878,0.0885,6654.4694,587.96693068
1663020000,2022-09-12 22:00:00,ZCX/USDT,0.0913,0.0913,0.0889,0.0889,15396.9927,1387.21384502
1663016400,2022-09-12 21:00:00,ZCX/USDT,0.0913,0.0919,0.0902,0.0907,15164.9716,1375.33760297
1663012800,2022-09-12 20:00:00,ZCX/USDT,0.0886,0.093,0.0878,0.0913,301192.0624,27117.95048961
1663009200,2022-09-12 19:00:00,ZCX/USDT,0.0879,0.0887,0.0879,0.0887,29400.7651,2599.3038868
1663005600,2022-09-12 18:00:00,ZCX/USDT,0.087,0.0879,0.0867,0.0878,79502.3013,6965.59753388
1663002000,2022-09-12 17:00:00,ZCX/USDT,0.0862,0.0876,0.0859,0.087,84968.894,7355.87726877
1662998400,2022-09-12 16:00:00,ZCX/USDT,0.0892,0.0892,0.0831,0.0865,310626.8741,26534.16024776
1662994800,2022-09-12 15:00:00,ZCX/USDT,0.0935,0.0935,0.0892,0.0893,174510.993,15815.25099629
1662991200,2022-09-12 14:00:00,ZCX/USDT,0.0916,0.0941,0.0905,0.0934,117404.3426,10838.05705323
1662987600,2022-09-12 13:00:00,ZCX/USDT,0.0908,0.0915,0.0901,0.0915,34077.4706,3092.02147805
1662984000,2022-09-12 12:00:00,ZCX/USDT,0.0913,0.0918,0.0905,0.0905,40107.8545,3638.75110453
1662980400,2022-09-12 11:00:00,ZCX/USDT,0.091,0.0914,0.0899,0.091,125359.9518,11328.93331018
1662976800,2022-09-12 10:00:00,ZCX/USDT,0.0948,0.0948,0.0902,0.0908,75456.835,6960.15582543
1662973200,2022-09-12 09:00:00,ZCX/USDT,0.0917,0.0964,0.0915,0.0947,268745.6191,25199.13784772
1662969600,2022-09-12 08:00:00,ZCX/USDT,0.092,0.0925,0.09,0.092,30626.5426,2798.96900241
1662966000,2022-09-12 07:00:00,ZCX/USDT,0.0871,0.0926,0.0867,0.0919,81540.246,7356.33104051
1662962400,2022-09-12 06:00:00,ZCX/USDT,0.0877,0.0886,0.086,0.0872,33648.1216,2945.68563447
1662958800,2022-09-12 05:00:00,ZCX/USDT,0.0879,0.0882,0.0866,0.0878,22949.7335,2006.33821045
1662955200,2022-09-12 04:00:00,ZCX/USDT,0.0874,0.0887,0.087,0.088,9771.6911,859.99587189
1662951600,2022-09-12 03:00:00,ZCX/USDT,0.0888,0.0888,0.0861,0.0867,66672.3835,5802.56056147
1662948000,2022-09-12 02:00:00,ZCX/USDT,0.0865,0.0892,0.0865,0.0888,54455.8514,4818.0701534
1662944400,2022-09-12 01:00:00,ZCX/USDT,0.0864,0.087,0.0839,0.087,60369.4802,5166.79421722
1662940800,2022-09-12 00:00:00,ZCX/USDT,0.0918,0.0919,0.0838,0.0865,875285.9153,75937.77726835
1662937200,2022-09-11 23:00:00,ZCX/USDT,0.0909,0.0918,0.0904,0.0918,12608.0152,1147.20539008
1662933600,2022-09-11 22:00:00,ZCX/USDT,0.0907,0.091,0.09,0.091,22626.3021,2042.80187353
1662930000,2022-09-11 21:00:00,ZCX/USDT,0.0915,0.0915,0.0901,0.0901,59251.8905,5374.94853063
1662926400,2022-09-11 20:00:00,ZCX/USDT,0.093,0.093,0.0915,0.0918,7136.4033,656.88210643
1662922800,2022-09-11 19:00:00,ZCX/USDT,0.092,0.0953,0.092,0.0929,32707.6258,3057.55908832
1662919200,2022-09-11 18:00:00,ZCX/USDT,0.0947,0.0947,0.0915,0.092,76080.7363,7050.75395743
1662915600,2022-09-11 17:00:00,ZCX/USDT,0.0965,0.0974,0.0931,0.0951,150469.7984,14308.00604706
1662912000,2022-09-11 16:00:00,ZCX/USDT,0.0901,0.0999,0.09,0.0964,453753.1541,42935.19481183
1662908400,2022-09-11 15:00:00,ZCX/USDT,0.0879,0.0903,0.087,0.09,237478.0765,21028.73371495
1662904800,2022-09-11 14:00:00,ZCX/USDT,0.0893,0.0897,0.0879,0.088,89315.9699,7927.78937521
1662901200,2022-09-11 13:00:00,ZCX/USDT,0.091,0.091,0.0887,0.0891,91892.1947,8222.46474974
1662897600,2022-09-11 12:00:00,ZCX/USDT,0.0911,0.0921,0.0902,0.0911,33058.9011,3024.05309528
1662894000,2022-09-11 11:00:00,ZCX/USDT,0.0924,0.0937,0.0903,0.0912,57140.182,5218.54806545
1662890400,2022-09-11 10:00:00,ZCX/USDT,0.0922,0.0929,0.0901,0.0926,51284.7274,4696.34151658
1662886800,2022-09-11 09:00:00,ZCX/USDT,0.0925,0.0928,0.0923,0.0924,4210.3133,389.26942496
1662883200,2022-09-11 08:00:00,ZCX/USDT,0.0917,0.0937,0.0911,0.0921,28201.5944,2604.41880811
1662879600,2022-09-11 07:00:00,ZCX/USDT,0.0907,0.0939,0.0886,0.0917,220257.3586,19917.07721609
