https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEN,Volume USDT
1663462800,2022-09-18 01:00:00,ZEN/USDT,14.84,14.84,14.84,14.84,0.0258,0.382872
1663459200,2022-09-18 00:00:00,ZEN/USDT,14.878,14.878,14.787,14.817,0.7063,10.4640555
1663455600,2022-09-17 23:00:00,ZEN/USDT,14.863,14.93,14.863,14.902,25.0658,374.188718
1663452000,2022-09-17 22:00:00,ZEN/USDT,14.856,14.86,14.806,14.806,8.0795,120.0257974
1663448400,2022-09-17 21:00:00,ZEN/USDT,14.834,14.834,14.797,14.814,25.8252,382.1369891
1663444800,2022-09-17 20:00:00,ZEN/USDT,14.787,14.787,14.773,14.773,0.1649,2.4363169
1663441200,2022-09-17 19:00:00,ZEN/USDT,14.713,14.833,14.71,14.757,1.1786,17.3456435
1663437600,2022-09-17 18:00:00,ZEN/USDT,14.839,14.843,14.747,14.747,12.5388,185.9177238
1663434000,2022-09-17 17:00:00,ZEN/USDT,14.785,14.834,14.765,14.777,6.7523,99.8000133
1663430400,2022-09-17 16:00:00,ZEN/USDT,14.702,14.779,14.702,14.748,6.2259,91.8257348
1663426800,2022-09-17 15:00:00,ZEN/USDT,14.67,14.681,14.654,14.681,27.1529,398.4213405
1663423200,2022-09-17 14:00:00,ZEN/USDT,14.577,14.665,14.577,14.665,1.1601,16.9800304
1663419600,2022-09-17 13:00:00,ZEN/USDT,14.499,14.614,14.499,14.581,30.0516,437.1266276
1663416000,2022-09-17 12:00:00,ZEN/USDT,14.481,14.499,14.481,14.496,2.538,36.7536507
1663412400,2022-09-17 11:00:00,ZEN/USDT,14.438,14.47,14.438,14.46,0.0804,1.1619177
1663408800,2022-09-17 10:00:00,ZEN/USDT,14.53,14.53,14.428,14.462,1.4768,21.3416711
1663405200,2022-09-17 09:00:00,ZEN/USDT,14.497,14.497,14.497,14.497,0.0328,0.4755016
1663401600,2022-09-17 08:00:00,ZEN/USDT,14.502,14.502,14.469,14.499,6.0597,87.679428
1663398000,2022-09-17 07:00:00,ZEN/USDT,14.461,14.464,14.461,14.464,13.8157,199.7994662
1663394400,2022-09-17 06:00:00,ZEN/USDT,14.475,14.484,14.475,14.483,0.1222,1.7697671
1663390800,2022-09-17 05:00:00,ZEN/USDT,14.499,14.499,14.474,14.493,0.3089,4.4760181
1663387200,2022-09-17 04:00:00,ZEN/USDT,14.569,14.588,14.527,14.527,0.2603,3.7927286
1663383600,2022-09-17 03:00:00,ZEN/USDT,14.531,14.531,14.531,14.531,0,0
1663380000,2022-09-17 02:00:00,ZEN/USDT,14.51,14.531,14.487,14.531,3.2973,47.9057746
1663376400,2022-09-17 01:00:00,ZEN/USDT,14.502,14.502,14.502,14.502,0.0807,1.1703114
1663372800,2022-09-17 00:00:00,ZEN/USDT,14.343,14.612,14.343,14.474,7.5459,109.1262037
1663369200,2022-09-16 23:00:00,ZEN/USDT,14.365,14.365,14.316,14.316,6.2557,89.8625866
1663365600,2022-09-16 22:00:00,ZEN/USDT,14.337,14.358,14.332,14.348,52.3045,749.8947203
1663362000,2022-09-16 21:00:00,ZEN/USDT,14.36,14.4,14.339,14.347,1.7831,25.6048879
1663358400,2022-09-16 20:00:00,ZEN/USDT,14.278,14.36,14.278,14.36,3.2409,46.314764
1663354800,2022-09-16 19:00:00,ZEN/USDT,14.265,14.309,14.239,14.309,11.1265,158.8543121
1663351200,2022-09-16 18:00:00,ZEN/USDT,14.275,14.295,14.188,14.279,14.2224,203.2425486
1663347600,2022-09-16 17:00:00,ZEN/USDT,14.293,14.293,14.176,14.218,4.7259,67.2270343
1663344000,2022-09-16 16:00:00,ZEN/USDT,14.545,14.545,14.218,14.301,288.5915,4126.8690966
1663340400,2022-09-16 15:00:00,ZEN/USDT,14.516,14.516,14.516,14.516,0.024,0.348384
1663336800,2022-09-16 14:00:00,ZEN/USDT,14.428,14.641,14.428,14.57,18.3114,266.4736414
1663333200,2022-09-16 13:00:00,ZEN/USDT,14.548,14.596,14.339,14.374,48.245,694.7368009
1663329600,2022-09-16 12:00:00,ZEN/USDT,14.657,14.688,14.57,14.57,89.8008,1316.7006417
1663326000,2022-09-16 11:00:00,ZEN/USDT,14.59,14.707,14.59,14.689,1.4325,20.9666192
1663322400,2022-09-16 10:00:00,ZEN/USDT,14.5,14.612,14.5,14.596,9.3578,135.7472949
1663318800,2022-09-16 09:00:00,ZEN/USDT,14.36,14.5,14.355,14.5,0.5483,7.9109719
1663315200,2022-09-16 08:00:00,ZEN/USDT,14.516,14.55,14.386,14.386,69.9947,1008.0647849
1663311600,2022-09-16 07:00:00,ZEN/USDT,14.584,14.623,14.57,14.57,11.9081,173.6551569
1663308000,2022-09-16 06:00:00,ZEN/USDT,14.596,14.615,14.587,14.59,0.4785,6.9866285
1663304400,2022-09-16 05:00:00,ZEN/USDT,14.603,14.641,14.573,14.588,2.0998,30.6704485
1663300800,2022-09-16 04:00:00,ZEN/USDT,14.536,14.612,14.536,14.567,0.7055,10.2854295
