https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GAS,Volume BTC
1659227400,2022-07-31 00:30:00,GAS/BTC,0.00012241,0.00012241,0.0001224,0.0001224,0.00023659,1.93288217
1659225600,2022-07-31 00:00:00,GAS/BTC,0.00012333,0.00012462,0.00012273,0.00012274,0.00613161,49.50671151
1659218400,2022-07-30 22:00:00,GAS/BTC,0.00012235,0.00012301,0.00012235,0.00012301,0.00027599,2.25055978
1659216600,2022-07-30 21:30:00,GAS/BTC,0.00012143,0.00012143,0.00012143,0.00012143,0.00010991,0.90517338
1659209400,2022-07-30 19:30:00,GAS/BTC,0.00012141,0.00012236,0.00012141,0.00012236,0.00033142,2.72258876
1659202200,2022-07-30 17:30:00,GAS/BTC,0.0001209,0.0001209,0.0001209,0.0001209,0.00022438,1.85599005
1659196800,2022-07-30 16:00:00,GAS/BTC,0.00012048,0.0001206,0.00012048,0.0001206,0.00022143,1.83706433
1659186000,2022-07-30 13:00:00,GAS/BTC,0.00011993,0.00011993,0.00011956,0.00011956,0.00044273,3.69541206
1659184200,2022-07-30 12:30:00,GAS/BTC,0.00012061,0.00012061,0.00012051,0.00012051,0.00021999,1.82481783
1659180600,2022-07-30 11:30:00,GAS/BTC,0.00012274,0.00012301,0.00012176,0.00012176,0.00027751,2.26726017
1659141000,2022-07-30 00:30:00,GAS/BTC,0.00012177,0.00012177,0.00012177,0.00012177,0.00023008,1.88948884
1659139200,2022-07-30 00:00:00,GAS/BTC,0.00012275,0.00012275,0.00012275,0.00012275,0.00010999,0.89612304
1659137400,2022-07-29 23:30:00,GAS/BTC,0.00012272,0.00012272,0.00012272,0.00012272,0.00232266,18.92655138
1659112200,2022-07-29 16:30:00,GAS/BTC,0.00012239,0.00012384,0.00012157,0.00012157,0.00099672,8.11330607
1659103200,2022-07-29 14:00:00,GAS/BTC,0.00011956,0.00011956,0.00011956,0.00011956,0.00010999,0.92004014
1659092400,2022-07-29 11:00:00,GAS/BTC,0.00012195,0.00012195,0.00012195,0.00012195,0.00010999,0.90200902
1659076200,2022-07-29 06:30:00,GAS/BTC,0.00012096,0.00012096,0.00012095,0.00012095,0.00032603,2.695545
1659056400,2022-07-29 01:00:00,GAS/BTC,0.00012411,0.00012411,0.00012411,0.00012411,0.00025501,2.0547454
1659054600,2022-07-29 00:30:00,GAS/BTC,0.00012327,0.000126,0.00012327,0.000126,0.00638838,51.62320933
1659052800,2022-07-29 00:00:00,GAS/BTC,0.00012216,0.00012258,0.00012216,0.00012258,0.00033219,2.71362899
1659040200,2022-07-28 20:30:00,GAS/BTC,0.00011954,0.00011954,0.00011899,0.00011899,0.00015129,1.26715783
1659034800,2022-07-28 19:00:00,GAS/BTC,0.00012003,0.00012003,0.00012001,0.00012001,0.00022537,1.87777345
1659033000,2022-07-28 18:30:00,GAS/BTC,0.00012035,0.00012035,0.00012035,0.00012035,0.00011213,0.9317008
1659011400,2022-07-28 12:30:00,GAS/BTC,0.00012122,0.00012122,0.00012076,0.00012076,0.00134655,11.13029599
1659007800,2022-07-28 11:30:00,GAS/BTC,0.00012217,0.00012217,0.00012217,0.00012217,0.00011,0.90038471
1659004200,2022-07-28 10:30:00,GAS/BTC,0.0001213,0.00012175,0.0001213,0.00012175,0.00033575,2.7615689
1659000600,2022-07-28 09:30:00,GAS/BTC,0.00012097,0.000121,0.00012097,0.000121,0.00049901,4.12430323
1658998800,2022-07-28 09:00:00,GAS/BTC,0.00012049,0.00012096,0.00012049,0.00012096,0.00022495,1.86337054
1658993400,2022-07-28 07:30:00,GAS/BTC,0.00012041,0.00012041,0.00012041,0.00012041,0.00526574,43.73177186
1658979000,2022-07-28 03:30:00,GAS/BTC,0.0001193,0.00011955,0.0001193,0.00011955,0.00043096,3.61051963
1658977200,2022-07-28 03:00:00,GAS/BTC,0.00011899,0.00011921,0.00011899,0.00011921,0.00033493,2.81136496
1658975400,2022-07-28 02:30:00,GAS/BTC,0.00011879,0.00011879,0.00011747,0.00011847,0.01074812,91.2487949
1658968200,2022-07-28 00:30:00,GAS/BTC,0.00012035,0.00012035,0.00011954,0.00011954,0.00044611,3.71828314
1658966400,2022-07-28 00:00:00,GAS/BTC,0.00012119,0.00012218,0.00012036,0.00012167,0.01177898,97.18112754
1658964600,2022-07-27 23:30:00,GAS/BTC,0.00012097,0.00012098,0.00012097,0.00012098,0.00022418,1.85316118
1658961000,2022-07-27 22:30:00,GAS/BTC,0.00012002,0.00012002,0.00011973,0.00011973,0.0027737,23.1538855
1658957400,2022-07-27 21:30:00,GAS/BTC,0.00012045,0.00012095,0.00012045,0.00012095,0.00033345,2.76117028
1658946600,2022-07-27 18:30:00,GAS/BTC,0.00012084,0.00012084,0.00011955,0.00011955,0.00066177,5.50197605
1658944800,2022-07-27 18:00:00,GAS/BTC,0.00012128,0.00012128,0.00012128,0.00012128,0.00010999,0.90699208
1658943000,2022-07-27 17:30:00,GAS/BTC,0.00012134,0.00012134,0.00012134,0.00012134,0.00015251,1.25692246
1658941200,2022-07-27 17:00:00,GAS/BTC,0.00012164,0.00012164,0.00012142,0.00012142,0.03281874,270.28155651
1658935800,2022-07-27 15:30:00,GAS/BTC,0.00012165,0.00012165,0.00012165,0.00012165,0.00010999,0.90423345
1658925000,2022-07-27 12:30:00,GAS/BTC,0.00012274,0.00012274,0.00012237,0.00012237,0.00022057,1.79984848
1658878200,2022-07-26 23:30:00,GAS/BTC,0.00012362,0.00012362,0.00012362,0.00012362,0.00010999,0.88976607
1658871000,2022-07-26 21:30:00,GAS/BTC,0.00012327,0.00012328,0.00012327,0.00012328,0.00021444,1.73954075
