https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume BTC
1659229200,2022-07-31 01:00:00,QTUM/BTC,0.0001842,0.0001842,0.0001842,0.0001842,0.00056477,3.06612
1659227400,2022-07-31 00:30:00,QTUM/BTC,0.00018482,0.00018482,0.00018482,0.00018482,0.00270907,14.65789854
1659225600,2022-07-31 00:00:00,QTUM/BTC,0.00018175,0.00018495,0.00018175,0.00018495,0.02005394,109.42249275
1659222000,2022-07-30 23:00:00,QTUM/BTC,0.00018334,0.00018334,0.00018212,0.00018213,0.00129271,7.0771139
1659220200,2022-07-30 22:30:00,QTUM/BTC,0.00018367,0.00018367,0.00018334,0.00018334,0.00032094,1.74900058
1659218400,2022-07-30 22:00:00,QTUM/BTC,0.00018405,0.00018405,0.00018405,0.00018405,0.00010999,0.59766367
1659216600,2022-07-30 21:30:00,QTUM/BTC,0.00018419,0.00018419,0.00018418,0.00018418,0.00031209,1.69444186
1659214800,2022-07-30 21:00:00,QTUM/BTC,0.00018619,0.00018619,0.00018421,0.00018421,0.00422393,22.75749119
1659213000,2022-07-30 20:30:00,QTUM/BTC,0.00018563,0.00018563,0.00018563,0.00018563,0.0003643,1.96252337
1659211200,2022-07-30 20:00:00,QTUM/BTC,0.00018719,0.00018773,0.00018563,0.00018563,0.0066329,35.49761712
1659209400,2022-07-30 19:30:00,QTUM/BTC,0.00018642,0.00018642,0.00018642,0.00018642,0.00127722,6.85133071
1659207600,2022-07-30 19:00:00,QTUM/BTC,0.00018642,0.00018642,0.00018642,0.00018642,0.00061714,3.31050929
1659205800,2022-07-30 18:30:00,QTUM/BTC,0.00018643,0.00018643,0.00018643,0.00018643,0.00096067,5.15298
1659204000,2022-07-30 18:00:00,QTUM/BTC,0.00018699,0.00018722,0.00018591,0.00018643,0.0093271,50.03035975
1659202200,2022-07-30 17:30:00,QTUM/BTC,0.00018629,0.00018687,0.00018629,0.00018687,0.00212295,11.38025321
1659200400,2022-07-30 17:00:00,QTUM/BTC,0.00018768,0.00018768,0.00018643,0.00018643,0.00588476,31.49038006
1659198600,2022-07-30 16:30:00,QTUM/BTC,0.00018845,0.00018845,0.00018768,0.00018768,0.00160925,8.54459533
1659196800,2022-07-30 16:00:00,QTUM/BTC,0.00018899,0.00018899,0.00018845,0.00018845,0.00986008,52.20458574
1659193200,2022-07-30 15:00:00,QTUM/BTC,0.00019015,0.00019015,0.00018908,0.00018908,0.0046306,24.40720832
1659191400,2022-07-30 14:30:00,QTUM/BTC,0.00019039,0.00019039,0.00019016,0.00019016,0.00109012,5.73196606
1659189600,2022-07-30 14:00:00,QTUM/BTC,0.00019172,0.00019172,0.00019046,0.00019046,0.00463009,24.24670112
1659187800,2022-07-30 13:30:00,QTUM/BTC,0.000191,0.00019121,0.0001904,0.00019121,0.00106831,5.59454222
1659186000,2022-07-30 13:00:00,QTUM/BTC,0.00019197,0.00019332,0.0001907,0.0001907,0.00803832,42.05382661
1659184200,2022-07-30 12:30:00,QTUM/BTC,0.00019202,0.0001932,0.00019198,0.0001932,0.01242091,64.51401215
1659182400,2022-07-30 12:00:00,QTUM/BTC,0.00019305,0.00019365,0.00019285,0.00019285,0.00514855,26.67892177
1659180600,2022-07-30 11:30:00,QTUM/BTC,0.00019306,0.00019306,0.00019306,0.00019306,0.00219591,11.37428
1659178800,2022-07-30 11:00:00,QTUM/BTC,0.00019308,0.0001938,0.00019306,0.00019378,0.0156961,81.08154165
1659177000,2022-07-30 10:30:00,QTUM/BTC,0.00019392,0.00019392,0.0001938,0.0001938,0.0014054,7.24767481
1659175200,2022-07-30 10:00:00,QTUM/BTC,0.000196,0.000196,0.00019381,0.00019381,0.03833272,196.24358448
1659173400,2022-07-30 09:30:00,QTUM/BTC,0.00019658,0.00019658,0.00019658,0.00019658,0.00054181,2.75620972
1659171600,2022-07-30 09:00:00,QTUM/BTC,0.00019678,0.00019714,0.00019658,0.00019658,0.01707667,86.79064307
1659169800,2022-07-30 08:30:00,QTUM/BTC,0.00019753,0.00019753,0.00019731,0.00019753,0.00174139,8.81641042
1659168000,2022-07-30 08:00:00,QTUM/BTC,0.00019677,0.00019878,0.00019677,0.00019803,0.00852092,43.17177297
1659166200,2022-07-30 07:30:00,QTUM/BTC,0.00019676,0.00019734,0.00019676,0.00019734,0.00379821,19.26157893
1659164400,2022-07-30 07:00:00,QTUM/BTC,0.00019754,0.00019754,0.00019676,0.00019676,0.00194292,9.87071361
1659162600,2022-07-30 06:30:00,QTUM/BTC,0.00019453,0.0001995,0.00019453,0.00019804,0.0392448,201.33237145
1659160800,2022-07-30 06:00:00,QTUM/BTC,0.00019335,0.00019453,0.00019335,0.00019453,0.099146,509.76772863
1659159000,2022-07-30 05:30:00,QTUM/BTC,0.00019329,0.00019381,0.00019243,0.00019381,0.00186413,9.67786364
1659157200,2022-07-30 05:00:00,QTUM/BTC,0.00019206,0.0001926,0.00019199,0.0001926,0.00966861,50.32806969
1659155400,2022-07-30 04:30:00,QTUM/BTC,0.00019186,0.00019276,0.00019186,0.00019276,0.0010972,5.70175544
1659153600,2022-07-30 04:00:00,QTUM/BTC,0.00019344,0.00019344,0.00019199,0.0001922,0.00248843,12.88977104
1659151800,2022-07-30 03:30:00,QTUM/BTC,0.00019343,0.00019361,0.00019343,0.00019361,0.00020197,1.04344237
1659150000,2022-07-30 03:00:00,QTUM/BTC,0.00019464,0.00019537,0.00019271,0.00019343,0.02699263,138.73415685
1659148200,2022-07-30 02:30:00,QTUM/BTC,0.00019464,0.00019464,0.00019464,0.00019464,0.00364274,18.71528
1659146400,2022-07-30 02:00:00,QTUM/BTC,0.00019601,0.00019601,0.00019464,0.00019464,0.02472655,126.5491148
1659144600,2022-07-30 01:30:00,QTUM/BTC,0.00019674,0.00019751,0.0001952,0.00019599,0.01148736,58.43735187
1659142800,2022-07-30 01:00:00,QTUM/BTC,0.00019956,0.00019956,0.0001967,0.00019752,0.07698207,387.5749615
1659141000,2022-07-30 00:30:00,QTUM/BTC,0.00020104,0.00020104,0.00019959,0.00019959,0.0589602,295.05217266
1659139200,2022-07-30 00:00:00,QTUM/BTC,0.00019533,0.00020179,0.00019532,0.00020179,0.00995114,50.41219091
1659137400,2022-07-29 23:30:00,QTUM/BTC,0.00019756,0.00019756,0.00019533,0.00019533,0.00531616,27.09498718
1659135600,2022-07-29 23:00:00,QTUM/BTC,0.00019815,0.00019815,0.00019806,0.00019806,0.00386158,19.48845149
1659133800,2022-07-29 22:30:00,QTUM/BTC,0.00019611,0.00019888,0.00019611,0.00019888,0.02738438,138.34905916
1659132000,2022-07-29 22:00:00,QTUM/BTC,0.00019611,0.00019612,0.00019611,0.00019611,0.00705911,35.99507
1659130200,2022-07-29 21:30:00,QTUM/BTC,0.00019676,0.00019694,0.00019611,0.00019611,0.00876059,44.51647598
1659128400,2022-07-29 21:00:00,QTUM/BTC,0.00019743,0.00019743,0.00019675,0.00019675,0.00193077,9.78492888
1659126600,2022-07-29 20:30:00,QTUM/BTC,0.00019703,0.00019812,0.00019703,0.00019812,0.00068353,3.46613905
1659124800,2022-07-29 20:00:00,QTUM/BTC,0.00019695,0.0001978,0.00019695,0.00019708,0.00458771,23.28005005
