https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC
1659225600,2022-07-31 00:00:00,XRP/BTC,1.64e-05,1.662e-05,1.639e-05,1.653e-05,0.06824845,4142.4857133
1659139200,2022-07-30 00:00:00,XRP/BTC,1.548e-05,1.67e-05,1.529e-05,1.642e-05,9.16855968,570931.3917388
1659052800,2022-07-29 00:00:00,XRP/BTC,1.568e-05,1.579e-05,1.521e-05,1.549e-05,8.9316166,575462.95492619
1658966400,2022-07-28 00:00:00,XRP/BTC,1.565e-05,1.581e-05,1.531e-05,1.567e-05,3.79940038,244907.73137822
1658880000,2022-07-27 00:00:00,XRP/BTC,1.589e-05,1.599e-05,1.545e-05,1.566e-05,3.62300227,230970.17370226
1658793600,2022-07-26 00:00:00,XRP/BTC,1.579e-05,1.596e-05,1.558e-05,1.588e-05,2.38889364,151592.39797398
1658707200,2022-07-25 00:00:00,XRP/BTC,1.589e-05,1.591e-05,1.558e-05,1.578e-05,5.48338006,347704.77149897
1658620800,2022-07-24 00:00:00,XRP/BTC,1.6e-05,1.612e-05,1.582e-05,1.588e-05,2.13574402,133537.77372904
1658534400,2022-07-23 00:00:00,XRP/BTC,1.579e-05,1.602e-05,1.57e-05,1.602e-05,2.13912122,134906.45294991
1658448000,2022-07-22 00:00:00,XRP/BTC,1.583e-05,1.591e-05,1.545e-05,1.578e-05,4.37336979,278680.18469593
1658361600,2022-07-21 00:00:00,XRP/BTC,1.563e-05,1.59e-05,1.542e-05,1.586e-05,3.37148818,215775.14002479
1658275200,2022-07-20 00:00:00,XRP/BTC,1.593e-05,1.617e-05,1.538e-05,1.564e-05,4.68861075,297977.59335499
1658188800,2022-07-19 00:00:00,XRP/BTC,1.627e-05,1.644e-05,1.571e-05,1.595e-05,3.7646338,234816.99072084
1658102400,2022-07-18 00:00:00,XRP/BTC,1.652e-05,1.703e-05,1.619e-05,1.626e-05,6.76464286,408117.06038821
1658016000,2022-07-17 00:00:00,XRP/BTC,1.654e-05,1.678e-05,1.632e-05,1.65e-05,2.87078465,173593.63196706
1657929600,2022-07-16 00:00:00,XRP/BTC,1.605e-05,1.669e-05,1.601e-05,1.653e-05,7.32363655,445604.56548235
1657843200,2022-07-15 00:00:00,XRP/BTC,1.621e-05,1.703e-05,1.573e-05,1.604e-05,17.18955092,1046465.02550489
1657756800,2022-07-14 00:00:00,XRP/BTC,1.6e-05,1.623e-05,1.566e-05,1.62e-05,14.27873321,896460.86881235
1657670400,2022-07-13 00:00:00,XRP/BTC,1.611e-05,1.629e-05,1.585e-05,1.598e-05,16.90388403,1052088.43195688
