Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.393689,0.414802,0.382621,0.392193,0.392193,12087
2021-08-23,0.392107,0.417515,0.388180,0.397269,0.397269,12168
2021-08-24,0.397360,0.417716,0.378658,0.382048,0.382048,11692
2021-08-25,0.377832,0.408153,0.374204,0.387777,0.387777,12140
2021-08-26,0.387769,0.406081,0.367492,0.379281,0.379281,11409
2021-08-27,0.379293,0.415507,0.369723,0.390016,0.390016,12020
2021-08-28,0.390016,0.409228,0.384450,0.396109,0.396109,12014
2021-08-29,0.398066,0.407958,0.380612,0.390598,0.390598,11948
2021-08-30,0.390639,0.401801,0.372175,0.374046,0.374046,11524
2021-08-31,0.374558,0.395651,0.370254,0.376232,0.376232,11585
2021-09-01,0.375919,0.406330,0.368775,0.389410,0.389410,11999
2021-09-02,0.399080,0.979672,0.384840,0.922169,0.922169,35033
2021-09-03,0.921935,1.373035,0.836708,1.206959,1.206959,33331
2021-09-04,1.206612,2.168205,1.083806,1.136734,1.136734,45395
2021-09-05,1.136740,1.197847,1.082954,1.124490,1.124490,35633
2021-09-06,1.124602,1.215160,1.121666,1.191434,1.191434,36309
2021-09-07,1.191097,1.224917,0.519081,0.546393,0.546393,26215
2021-09-08,0.546286,0.659344,0.504981,0.550796,0.550796,16606
2021-09-09,0.516054,0.652684,0.508221,0.554673,0.554673,16842
2021-09-10,0.554841,0.663132,0.490367,0.501663,0.501663,16258
2021-09-11,0.501802,0.645856,0.496014,0.530452,0.530452,15940
2021-09-12,0.530665,0.628528,0.499928,0.519545,0.519545,16675
2021-09-13,0.519133,0.611578,0.482120,0.500018,0.500018,15631
2021-09-14,0.499989,0.541120,0.495089,0.520165,0.520165,16067
2021-09-15,0.520372,0.560705,0.518526,0.536179,0.536179,16488
2021-09-16,0.536203,0.551733,0.521641,0.532723,0.532723,16232
2021-09-17,0.532784,0.551972,0.517968,0.525649,0.525649,16115
2021-09-18,0.526087,0.566595,0.521523,0.536512,0.536512,16548
2021-09-19,0.536855,0.562908,0.354065,0.480753,0.480753,14013
2021-09-20,0.480636,0.552774,0.434603,0.442507,0.442507,14076
2021-09-21,0.442148,0.502434,0.410445,0.448553,0.448553,13254
2021-09-22,0.450072,0.501115,0.412628,0.480741,0.480741,12429
2021-09-23,0.480627,0.521973,0.438195,0.495684,0.495684,14677
2021-09-24,0.495642,0.518251,0.413904,0.458411,0.458411,14010
2021-09-25,0.458385,0.505771,0.407576,0.446817,0.446817,13711
2021-09-26,0.446816,0.506608,0.396789,0.504557,0.504557,13597
2021-09-27,0.504244,0.510817,0.406668,0.498384,0.498384,13271
2021-09-28,0.498382,0.498382,0.398697,0.442542,0.442542,12860
2021-09-29,0.443173,0.498069,0.391151,0.416995,0.416995,11942
2021-09-30,0.417306,0.437840,0.411545,0.434721,0.434721,48
2021-10-01,0.434844,0.597726,0.434844,0.594517,0.594517,0
2021-10-02,0.594257,0.596060,0.587185,0.590082,0.590082,0
2021-10-03,0.589862,0.605267,0.583855,0.595094,0.595094,0
2021-10-04,0.595160,0.595857,0.235225,0.245551,0.245551,7
2021-10-05,0.245565,0.664524,0.245364,0.661211,0.661211,0
2021-10-06,0.661438,0.698926,0.527034,0.529030,0.529030,827
2021-10-07,0.528702,0.528702,0.404117,0.406217,0.406217,740
2021-10-08,0.406235,0.669469,0.405345,0.653015,0.653015,0
2021-10-09,0.653150,0.666221,0.651027,0.662214,0.662214,0
2021-10-10,0.662280,0.675388,0.655879,0.660972,0.660972,0
2021-10-11,0.660638,0.688134,0.658338,0.685171,0.685171,0
2021-10-12,0.685379,0.686625,0.657843,0.672270,0.672270,0
2021-10-13,0.672091,0.687144,0.656914,0.684641,0.684641,0
2021-10-14,0.684518,0.694327,0.680468,0.683900,0.683900,0
2021-10-15,0.683781,0.733287,0.134100,0.135581,0.135581,1361
2021-10-16,0.135507,0.675410,0.132453,0.673730,0.673730,0
2021-10-17,0.673784,0.715471,0.097584,0.714218,0.714218,7133
2021-10-18,0.714022,0.829113,0.696148,0.829113,0.829113,0
2021-10-19,0.829109,0.855108,0.824842,0.853164,0.853164,0
2021-10-20,0.853245,0.882015,0.846259,0.871963,0.871963,0
2021-10-21,0.871888,0.878454,0.830098,0.831208,0.831208,0
2021-10-22,0.831096,0.847360,0.808554,0.814748,0.814748,0
2021-10-23,0.814698,0.826095,0.805428,0.822192,0.822192,0
2021-10-24,0.822421,0.823625,0.803476,0.817581,0.817581,0
2021-10-25,0.817327,0.847576,0.814734,0.839773,0.839773,0
2021-10-26,0.839955,0.842019,0.807172,0.810981,0.810981,0
2021-10-27,0.811211,0.822666,0.788005,0.791449,0.791449,0
2021-10-28,0.791005,0.830266,0.788011,0.813945,0.813945,0
2021-10-29,0.814039,0.838827,0.810884,0.831506,0.831506,0
2021-10-30,0.831289,0.832392,0.817258,0.826214,0.826214,0
2021-10-31,0.827709,0.833267,0.808171,0.821515,0.821515,0
2021-11-01,0.821538,0.833398,0.312761,0.312761,0.312761,411
2021-11-02,0.312776,0.737155,0.311062,0.736892,0.736892,0
2021-11-03,0.737068,0.739761,0.718444,0.734652,0.734652,0
2021-11-04,0.734710,0.736101,0.279552,0.282660,0.282660,81
2021-11-05,0.282549,0.682374,0.274117,0.670612,0.670612,0
2021-11-06,0.670647,0.674444,0.221355,0.357419,0.357419,187
2021-11-07,0.357340,0.692551,0.356787,0.692513,0.692513,0
2021-11-08,0.692823,0.729184,0.692823,0.728371,0.728371,0
2021-11-09,0.728308,0.736461,0.718318,0.723253,0.723253,0
2021-11-10,0.723265,0.738563,0.691620,0.705908,0.705908,0
2021-11-11,0.706625,0.711546,0.699819,0.705513,0.705513,0
2021-11-12,0.706332,0.710641,0.684264,0.700180,0.700180,0
2021-11-13,0.699570,0.705951,0.692260,0.702406,0.702406,0
2021-11-14,0.702324,0.710876,0.695299,0.710580,0.710580,0
2021-11-15,0.710635,0.717462,0.694466,0.695398,0.695398,0
2021-11-16,0.694762,0.696128,0.214819,0.227447,0.227447,69
2021-11-17,0.227219,0.585058,0.220545,0.233510,0.233510,6695
2021-11-18,0.233624,0.657260,0.214415,0.523748,0.523748,22894
2021-11-19,0.523868,0.654256,0.395040,0.436093,0.436093,14271
2021-11-20,0.435897,0.637319,0.408890,0.447273,0.447273,14303
2021-11-21,0.447132,0.605651,0.415018,0.436987,0.436987,14137
2021-11-22,0.437542,0.631735,0.398310,0.447383,0.447383,13606
2021-11-23,0.446937,0.590234,0.391703,0.430845,0.430845,13850
2021-11-24,0.430617,0.549378,0.317135,0.401335,0.401335,13555
2021-11-25,0.478245,0.548664,0.430459,0.439459,0.439459,13245
2021-11-26,0.487923,0.554520,0.404208,0.444332,0.444332,13306
2021-11-27,0.444093,0.519149,0.385362,0.429092,0.429092,13292
2021-11-28,0.430298,0.513870,0.382138,0.446828,0.446828,13661
2021-11-29,0.447110,0.549632,0.403344,0.445144,0.445144,13731
2021-11-30,0.445111,0.547026,0.401808,0.460034,0.460034,13497
2021-12-01,0.459247,0.540722,0.399265,0.431599,0.431599,13647
2021-12-02,0.431513,0.512033,0.396242,0.404091,0.404091,13431
2021-12-03,0.403816,0.497019,0.392452,0.433758,0.433758,0
2021-12-04,0.433610,0.637318,0.327886,0.381211,0.381211,8664
2021-12-05,0.381305,0.454086,0.343161,0.401898,0.401898,11816
2021-12-06,0.401862,0.466218,0.336358,0.389024,0.389024,11977
2021-12-07,0.389486,0.471392,0.356001,0.372699,0.372699,12125
2021-12-08,0.372646,0.466392,0.347767,0.422929,0.422929,11994
2021-12-09,0.422725,0.477810,0.336797,0.380408,0.380408,11363
2021-12-10,0.379947,0.464726,0.335111,0.384017,0.384017,11251
2021-12-11,0.383616,0.445616,0.337612,0.425496,0.425496,11752
2021-12-12,0.425011,0.470636,0.347195,0.396199,0.396199,11912
2021-12-13,0.396278,0.462150,0.330212,0.377808,0.377808,11132
2021-12-14,0.378106,0.446909,0.308271,0.355262,0.355262,10827
2021-12-15,0.370620,0.450503,0.309307,0.392854,0.392854,11047
2021-12-16,0.392641,0.437360,0.315317,0.331884,0.331884,10664
2021-12-17,0.332228,0.447619,0.305597,0.378621,0.378621,10368
2021-12-18,0.377934,0.412664,0.304798,0.329780,0.329780,10561
2021-12-19,0.329815,0.432949,0.309018,0.349429,0.349429,10462
2021-12-20,0.349836,0.422629,0.301354,0.329831,0.329831,10541
2021-12-21,0.329568,0.433414,0.311970,0.367215,0.367215,11015
2021-12-22,0.367514,0.465859,0.320330,0.435108,0.435108,10967
2021-12-23,0.435225,0.470919,0.321279,0.394130,0.394130,11397
2021-12-24,0.394088,0.458485,0.334872,0.360635,0.360635,11399
2021-12-25,0.360329,0.461921,0.333829,0.376157,0.376157,11412
2021-12-26,0.375702,0.463776,0.329602,0.387590,0.387590,11385
2021-12-27,0.387677,0.456774,0.333919,0.348512,0.348512,11429
2021-12-28,0.347900,0.439870,0.315073,0.324546,0.324546,10737
2021-12-29,0.324080,0.442904,0.305362,0.370130,0.370130,10434
2021-12-30,0.369700,0.429490,0.306237,0.337396,0.337396,10700
2021-12-31,0.337324,0.431806,0.304818,0.335722,0.335722,10444
2022-01-01,0.335760,0.429835,0.308405,0.343822,0.343822,10738
2022-01-02,0.343779,0.425220,0.310336,0.355089,0.355089,10685
2022-01-03,0.355077,0.442452,0.308597,0.389784,0.389784,10975
2022-01-04,0.389790,0.444106,0.372266,0.380032,0.380032,12236
2022-01-05,0.380047,0.442180,0.351100,0.384279,0.384279,11796
2022-01-06,0.384248,0.411555,0.288153,0.302126,0.302126,11193
2022-01-07,0.302075,0.373533,0.272904,0.316671,0.316671,9314
2022-01-08,0.316698,0.383054,0.271315,0.283373,0.283373,9358
2022-01-09,0.283379,0.394719,0.274708,0.303021,0.303021,9344
2022-01-10,0.303011,0.385638,0.271370,0.328297,0.328297,9456
2022-01-11,0.328283,0.404366,0.276132,0.303852,0.303852,9596
2022-01-12,0.303897,1.893730,0.177478,1.885856,1.885856,65411
2022-01-13,1.885755,1.889250,0.477784,0.883775,0.883775,33752
2022-01-14,0.883927,1.122520,0.428851,0.468494,0.468494,19918
2022-01-15,0.468518,0.598352,0.431343,0.508630,0.508630,14265
2022-01-16,0.508567,0.607050,0.433247,0.452265,0.452265,14275
2022-01-17,0.452309,0.455543,0.416803,0.422505,0.422505,60
2022-01-18,0.422501,0.424116,0.362124,0.373515,0.373515,0
2022-01-19,0.373477,0.377757,0.359503,0.359998,0.359998,0
2022-01-20,0.360019,0.371044,0.345602,0.360394,0.360394,0
2022-01-21,0.360593,0.375892,0.341995,0.360849,0.360849,0
2022-01-22,0.361027,0.366856,0.342027,0.353867,0.353867,0
2022-01-23,0.354106,0.361172,0.321283,0.332596,0.332596,0
2022-01-24,0.332613,0.370635,0.310445,0.360206,0.360206,0
2022-01-25,0.360214,0.360379,0.327572,0.332813,0.332813,0
2022-01-26,0.332773,0.354375,0.326180,0.346714,0.346714,0
2022-01-27,0.346619,0.351438,0.258312,0.269252,0.269252,24
2022-01-28,0.269181,0.271324,0.212144,0.219117,0.219117,0
2022-01-29,0.219094,0.221061,0.214850,0.218296,0.218296,0
2022-01-30,0.218380,0.219025,0.212435,0.214749,0.214749,0
2022-01-31,0.214761,0.224912,0.208912,0.223718,0.223718,0
2022-02-01,0.223708,0.228087,0.221694,0.225138,0.225138,0
2022-02-02,0.225142,0.225608,0.213906,0.215218,0.215218,0
2022-02-03,0.215163,0.216021,0.210838,0.214040,0.214040,0
2022-02-04,0.214059,0.242812,0.213492,0.242665,0.242665,0
2022-02-05,0.242644,0.303392,0.241850,0.300448,0.300448,28
2022-02-06,0.300448,0.302597,0.232878,0.239650,0.239650,0
2022-02-07,0.239629,0.260072,0.236641,0.256935,0.256935,0
2022-02-08,0.257019,0.264784,0.251166,0.258483,0.258483,0
2022-02-09,0.258357,0.259083,0.251161,0.255112,0.255112,0
2022-02-10,0.255151,0.264204,0.248916,0.253204,0.253204,0
2022-02-11,0.253256,0.349923,0.249512,0.333752,0.333752,0
2022-02-12,0.333786,0.333810,0.311947,0.312540,0.312540,0
2022-02-13,0.312477,0.313660,0.302515,0.303527,0.303527,0
2022-02-14,0.303245,0.317864,0.301226,0.316705,0.316705,0
2022-02-15,0.316651,0.339160,0.315855,0.323170,0.323170,32
2022-02-16,0.323193,0.332371,0.317276,0.327666,0.327666,0
2022-02-17,0.327468,0.328023,0.290600,0.292684,0.292684,43
2022-02-18,0.292786,0.315910,0.291812,0.304473,0.304473,0
2022-02-19,0.304396,0.305013,0.284625,0.285311,0.285311,0
2022-02-20,0.285281,0.286937,0.278823,0.284461,0.284461,0
2022-02-21,0.284411,0.296178,0.277467,0.287311,0.287311,0
2022-02-22,0.287315,1.079446,0.275760,1.077369,1.077369,144
2022-02-23,1.077348,1.100904,0.521716,0.522311,0.522311,0
2022-02-24,0.522116,0.636149,0.506155,0.629470,0.629470,0
2022-02-25,0.629442,0.635976,0.550366,0.565707,0.565707,0
2022-02-26,0.565712,0.581746,0.510634,0.511617,0.511617,0
2022-02-27,0.511511,0.527362,0.485388,0.526823,0.526823,0
2022-02-28,0.526843,0.546783,0.488106,0.532056,0.532056,0
2022-03-01,0.532103,0.544424,0.510644,0.513289,0.513289,0
2022-03-02,0.513277,0.514825,0.486043,0.501143,0.501143,0
2022-03-03,0.501114,0.501114,0.449077,0.457789,0.457789,0
2022-03-04,0.457871,0.461999,0.430399,0.435809,0.435809,0
2022-03-05,0.435962,0.436521,0.381677,0.381906,0.381906,0
2022-03-06,0.381901,0.388624,0.369001,0.388096,0.388096,0
2022-03-07,0.388256,0.427166,0.388256,0.422094,0.422094,0
2022-03-08,0.421998,0.434718,0.416674,0.416674,0.416674,0
2022-03-09,0.416764,0.472304,0.415753,0.461742,0.461742,0
2022-03-10,0.461669,0.462660,0.429003,0.432051,0.432051,0
2022-03-11,0.432059,0.432059,0.403193,0.408677,0.408677,0
2022-03-12,0.408668,0.412421,0.352600,0.352600,0.352600,0
2022-03-13,0.352754,0.363517,0.346607,0.363369,0.363369,0
2022-03-14,0.363062,0.412088,0.362101,0.409051,0.409051,0
2022-03-15,0.408989,0.416090,0.392697,0.406404,0.406404,0
2022-03-16,0.406336,0.468761,0.401148,0.468712,0.468712,0
2022-03-17,0.468809,0.472305,0.408781,0.409236,0.409236,0
2022-03-18,0.409004,0.436847,0.398106,0.433745,0.433745,0
2022-03-19,0.433675,0.435466,0.396641,0.401411,0.401411,0
2022-03-20,0.401449,0.403262,0.063847,0.063934,0.063934,2
2022-03-21,0.063932,0.301443,0.063035,0.298901,0.298901,0
2022-03-22,0.298853,0.343383,0.298238,0.334493,0.334493,0
2022-03-23,0.334532,0.339560,0.308930,0.327664,0.327664,0
2022-03-24,0.327619,0.361830,0.327619,0.360106,0.360106,0
2022-03-25,0.360086,0.360217,0.340418,0.341114,0.341114,0
2022-03-26,0.341096,0.341850,0.263461,0.263840,0.263840,0
2022-03-27,0.263810,0.321783,0.263492,0.321783,0.321783,0
2022-03-28,0.321845,0.406532,0.321785,0.393101,0.393101,0
2022-03-29,0.392932,0.397543,0.381675,0.381675,0.381675,0
2022-03-30,0.381475,0.391085,0.367729,0.367752,0.367752,0
2022-03-31,0.367727,0.389975,0.359667,0.389801,0.389801,0
2022-04-01,0.389959,0.418726,0.389562,0.401508,0.401508,0
2022-04-02,0.401527,0.406443,0.329178,0.329481,0.329481,0
