Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.312273,0.343393,0.304154,0.338839,0.338839,208163
2021-08-23,0.338634,0.350698,0.330120,0.335428,0.335428,228359
2021-08-24,0.334051,0.347238,0.304524,0.313758,0.313758,224363
2021-08-25,0.317723,0.341622,0.303935,0.332450,0.332450,224414
2021-08-26,0.332444,0.340686,0.302670,0.309340,0.309340,190712
2021-08-27,0.309350,0.336132,0.304441,0.329306,0.329306,192214
2021-08-28,0.329579,0.337305,0.319847,0.325423,0.325423,113300
2021-08-29,0.325390,0.330218,0.315123,0.319020,0.319020,52416
2021-08-30,0.319014,0.327006,0.306106,0.306143,0.306143,61246
2021-08-31,0.306447,0.316467,0.302456,0.311614,0.311614,70268
2021-09-01,0.311253,0.325888,0.306988,0.320522,0.320522,164914
2021-09-02,0.320532,0.334401,0.313507,0.314807,0.314807,203675
2021-09-03,0.314728,0.334104,0.309004,0.333633,0.333633,217607
2021-09-04,0.333646,0.363133,0.318529,0.333370,0.333370,264241
2021-09-05,0.333370,0.340009,0.320080,0.322391,0.322391,211974
2021-09-06,0.322426,0.344889,0.315058,0.324111,0.324111,203440
2021-09-07,0.323528,0.325822,0.257109,0.275426,0.275426,217612
2021-09-08,0.275378,0.287393,0.260843,0.262180,0.262180,168535
2021-09-09,0.253238,0.265488,0.248702,0.255371,0.255371,163995
2021-09-10,0.255442,0.274195,0.247276,0.250237,0.250237,143496
2021-09-11,0.250163,0.259636,0.235900,0.238765,0.238765,146130
2021-09-12,0.239213,0.264243,0.232122,0.261323,0.261323,120066
2021-09-13,0.261284,0.262464,0.213885,0.250693,0.250693,184696
2021-09-14,0.250677,0.267264,0.241712,0.262477,0.262477,155996
2021-09-15,0.262557,0.301051,0.254632,0.289893,0.289893,189150
2021-09-16,0.290840,0.302230,0.278051,0.288910,0.288910,170211
2021-09-17,0.288948,0.298476,0.252946,0.261271,0.261271,161911
2021-09-18,0.261479,0.269439,0.238045,0.242326,0.242326,130443
2021-09-19,0.242470,0.264661,0.236676,0.264661,0.264661,156569
2021-09-20,0.264556,0.275211,0.241983,0.254466,0.254466,123199
2021-09-21,0.254252,0.267122,0.235688,0.258406,0.258406,79948
2021-09-22,0.259169,0.340077,0.259169,0.320627,0.320627,415559
2021-09-23,0.320568,0.330122,0.284297,0.324021,0.324021,257941
2021-09-24,0.323979,0.402766,0.302925,0.362362,0.362362,425212
2021-09-25,0.362361,0.447127,0.335740,0.397703,0.397703,509844
2021-09-26,0.397656,0.431942,0.378072,0.418221,0.418221,345705
2021-09-27,0.418082,0.509938,0.416968,0.438385,0.438385,354768
2021-09-28,0.438393,0.455622,0.419515,0.420318,0.420318,213208
2021-09-29,0.420627,0.441258,0.391910,0.398803,0.398803,218308
2021-09-30,0.399030,0.454082,0.397337,0.448829,0.448829,255583
2021-10-01,0.448955,0.592999,0.441996,0.567847,0.567847,893354
2021-10-02,0.567624,0.608430,0.546286,0.564981,0.564981,673251
2021-10-03,0.564953,0.590472,0.537454,0.563884,0.563884,467071
2021-10-04,0.563887,0.582093,0.536282,0.568914,0.568914,335787
2021-10-05,0.568973,0.600983,0.561419,0.595678,0.595678,265086
2021-10-06,0.595881,0.635398,0.585242,0.603644,0.603644,317851
2021-10-07,0.603399,0.620129,0.579082,0.599521,0.599521,344642
2021-10-08,0.599553,0.632235,0.574695,0.600571,0.600571,356661
2021-10-09,0.600712,0.622860,0.576424,0.586205,0.586205,286741
2021-10-10,0.586314,0.595971,0.525782,0.538734,0.538734,356140
2021-10-11,0.538328,0.587338,0.533020,0.564085,0.564085,436086
2021-10-12,0.564159,0.571335,0.483220,0.529781,0.529781,693003
2021-10-13,0.529717,0.604049,0.513345,0.600498,0.600498,773726
2021-10-14,0.600429,0.656612,0.588380,0.638209,0.638209,543541
2021-10-15,0.638133,0.707540,0.623227,0.678146,0.678146,652590
2021-10-16,0.677791,0.713853,0.650110,0.663263,0.663263,517942
2021-10-17,0.663093,0.676609,0.632479,0.672629,0.672629,703726
2021-10-18,0.672458,0.685403,0.462984,0.566759,0.566759,1220112
2021-10-19,0.566800,0.585233,0.510393,0.532939,0.532939,554190
2021-10-20,0.533068,0.569051,0.523922,0.523922,0.523922,436329
2021-10-21,0.524005,0.558422,0.521831,0.527928,0.527928,296411
2021-10-22,0.527741,0.579081,0.504544,0.507723,0.507723,272165
2021-10-23,0.507674,0.538665,0.502955,0.538338,0.538338,223781
2021-10-24,0.538496,0.539885,0.496227,0.515614,0.515614,579826
2021-10-25,0.515430,0.535240,0.487839,0.507976,0.507976,528058
2021-10-26,0.508100,0.537670,0.496016,0.508920,0.508920,451264
2021-10-27,0.509018,0.564209,0.482232,0.497120,0.497120,706491
2021-10-28,0.496833,0.505954,0.406390,0.410252,0.410252,541937
2021-10-29,0.382184,0.445297,0.369365,0.437997,0.437997,566083
2021-10-30,0.437349,0.466986,0.415553,0.463044,0.463044,418400
2021-10-31,0.463922,0.469305,0.425425,0.438042,0.438042,301492
2021-11-01,0.438079,0.709364,0.424610,0.587909,0.587909,4069006
2021-11-02,0.584953,0.643711,0.521313,0.545036,0.545036,1573577
2021-11-03,0.545003,0.564545,0.507582,0.529376,0.529376,597665
2021-11-04,0.529011,0.529425,0.499257,0.514136,0.514136,462094
2021-11-05,0.513877,0.573539,0.511309,0.554137,0.554137,558611
2021-11-06,0.554168,0.569825,0.530299,0.545830,0.545830,403243
2021-11-07,0.545737,0.571594,0.534293,0.537121,0.537121,459752
2021-11-08,0.537345,0.555545,0.525868,0.542142,0.542142,541191
2021-11-09,0.542100,0.549375,0.523265,0.535213,0.535213,804915
2021-11-10,0.534941,0.564106,0.475103,0.493752,0.493752,738506
2021-11-11,0.494225,0.502987,0.477765,0.485189,0.485189,206737
2021-11-12,0.485641,0.498158,0.474482,0.479696,0.479696,419004
2021-11-13,0.479186,0.491433,0.473280,0.490116,0.490116,441209
2021-11-14,0.490056,0.505803,0.475873,0.504718,0.504718,590701
2021-11-15,0.504743,0.508882,0.472047,0.474252,0.474252,382403
2021-11-16,0.473667,0.502391,0.455746,0.468572,0.468572,560238
2021-11-17,0.469122,0.475143,0.445362,0.455918,0.455918,702261
2021-11-18,0.456095,0.461357,0.429066,0.431831,0.431831,478155
2021-11-19,0.431914,0.443536,0.423232,0.435249,0.435249,813114
2021-11-20,0.435061,0.460392,0.432971,0.455871,0.455871,273882
2021-11-21,0.455863,0.456187,0.432949,0.434634,0.434634,1029069
2021-11-22,0.435157,0.446110,0.420684,0.433295,0.433295,978761
2021-11-23,0.432332,0.455633,0.417456,0.425649,0.425649,987753
2021-11-24,0.425434,0.445456,0.423784,0.425572,0.425572,740229
2021-11-25,0.426322,0.471682,0.426043,0.441394,0.441394,627615
2021-11-26,0.448778,0.449429,0.402585,0.406806,0.406806,726562
2021-11-27,0.406612,0.439058,0.403563,0.436095,0.436095,832456
2021-11-28,0.435702,0.622453,0.421484,0.572436,0.572436,1946053
2021-11-29,0.572489,0.580884,0.516243,0.534675,0.534675,944416
2021-11-30,0.534793,0.542058,0.500074,0.521861,0.521861,423821
2021-12-01,0.521243,0.544298,0.512788,0.540226,0.540226,571976
2021-12-02,0.540535,0.543341,0.514646,0.521186,0.521186,208458
2021-12-03,0.521028,0.522948,0.479627,0.486603,0.486603,576659
2021-12-04,0.486458,0.488581,0.405753,0.445764,0.445764,953965
2021-12-05,0.446117,0.451459,0.431214,0.444195,0.444195,587192
2021-12-06,0.444181,0.462734,0.419314,0.454725,0.454725,698680
2021-12-07,0.455237,0.488145,0.454317,0.466860,0.466860,705551
2021-12-08,0.466764,0.468987,0.419683,0.458143,0.458143,1099360
2021-12-09,0.458205,0.462862,0.422660,0.427945,0.427945,550835
2021-12-10,0.427486,0.449416,0.419776,0.420762,0.420762,638954
2021-12-11,0.420465,0.429677,0.403537,0.419060,0.419060,825929
