Date,Open,High,Low,Close,Adj Close,Volume
2021-08-27,254.859329,279.206268,208.078079,208.341019,208.341019,204425
2021-08-28,208.344650,208.825546,184.805450,200.130981,200.130981,136260
2021-08-29,200.317764,200.406723,138.690826,144.858994,144.858994,215484
2021-08-30,144.705002,154.479416,138.292480,147.677429,147.677429,61730
2021-08-31,147.676895,149.743103,135.667587,144.282318,144.282318,56891
2021-09-01,144.224823,203.310349,143.470306,190.346573,190.346573,87272
2021-09-02,190.688736,197.536819,190.688736,192.032196,192.032196,21594
2021-09-03,191.991562,205.627136,169.208527,174.584152,174.584152,173929
2021-09-04,174.541428,176.605194,159.903015,162.511841,162.511841,122912
2021-09-05,162.575546,177.475693,162.104462,167.566696,167.566696,62273
2021-09-06,167.593094,171.735840,164.599396,165.269424,165.269424,14360
2021-09-07,165.288239,165.422073,140.538452,151.196182,151.196182,107945
2021-09-08,151.169220,151.205399,114.561874,138.940750,138.940750,60392
2021-09-09,138.100388,150.920868,133.680099,142.925797,142.925797,30616
2021-09-10,142.918243,161.235123,142.455719,149.768112,149.768112,38959
2021-09-11,149.785583,157.883850,149.618530,155.124207,155.124207,42450
2021-09-12,155.074844,165.896866,153.318741,158.283173,158.283173,41880
2021-09-13,158.256607,159.487045,146.853867,152.839737,152.839737,8797
2021-09-14,152.845352,157.194885,146.805649,153.452194,153.452194,31483
2021-09-15,153.493439,160.817642,152.081100,160.674423,160.674423,6267
2021-09-16,160.634491,357.610474,153.855591,157.524673,157.524673,37186
2021-09-17,157.451630,158.115967,146.841385,147.929840,147.929840,49988
2021-09-18,147.975281,152.103577,130.356628,147.868378,147.868378,194315
2021-09-19,147.853027,155.113083,146.545349,154.139191,154.139191,27836
2021-09-20,154.257278,154.615479,127.602570,128.040741,128.040741,82249
2021-09-21,128.019897,128.540451,109.786354,110.632591,110.632591,191966
2021-09-22,110.623276,142.611771,106.729736,142.066284,142.066284,119697
2021-09-23,142.077530,168.465698,135.541153,148.416885,148.416885,95110
2021-09-24,148.420059,149.889587,117.301247,118.821983,118.821983,83909
2021-09-25,118.811317,136.224609,118.446732,131.660217,131.660217,58466
2021-09-26,131.103653,138.587296,119.457581,135.860565,135.860565,14631
2021-09-27,135.313599,140.181564,128.155731,130.804962,130.804962,41398
2021-09-28,130.799896,135.199478,118.398140,119.012062,119.012062,64010
2021-09-29,118.983856,129.148788,117.628868,126.550087,126.550087,43620
2021-09-30,126.542671,133.675247,117.861504,123.991219,123.991219,84048
2021-10-01,123.991493,159.654831,121.617554,154.226395,154.226395,232995
2021-10-02,154.237015,170.652878,153.475250,165.831192,165.831192,100503
2021-10-03,165.699722,169.926865,143.959518,144.047958,144.047958,140457
2021-10-04,144.046921,149.082565,140.095505,148.518616,148.518616,32980
2021-10-05,148.549286,208.765854,146.877701,208.535080,208.535080,477455
2021-10-06,208.343948,241.825241,181.980667,190.891724,190.891724,506026
2021-10-07,190.949448,280.022949,164.748550,181.347198,181.347198,453526
2021-10-08,181.351471,186.734482,148.255142,162.149399,162.149399,243076
2021-10-09,162.158783,192.519135,152.813416,164.915466,164.915466,282758
2021-10-10,164.897186,167.080658,159.235428,160.055222,160.055222,123107
2021-10-11,160.070770,189.266815,154.404037,189.254868,189.254868,229442
2021-10-12,189.268478,205.401184,174.039276,199.984558,199.984558,381291
