Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.313664,0.314837,0.280070,0.290275,0.290275,78983
2021-08-23,0.290200,0.323685,0.263942,0.267334,0.267334,113907
2021-08-24,0.267359,0.298488,0.251431,0.286597,0.286597,101930
2021-08-25,0.286425,0.287914,0.250224,0.273261,0.273261,87913
2021-08-26,0.273264,0.277383,0.261561,0.261696,0.261696,79651
2021-08-27,0.261696,0.279509,0.256990,0.257336,0.257336,72462
2021-08-28,0.257336,0.258433,0.248939,0.249898,0.249898,68207
2021-08-29,0.250011,0.251876,0.246572,0.248949,0.248949,107258
2021-08-30,0.248983,0.297745,0.245836,0.266378,0.266378,128414
2021-08-31,0.266386,0.268279,0.257877,0.267317,0.267317,137107
2021-09-01,0.267244,0.465823,0.265273,0.435631,0.435631,111104
2021-09-02,0.435469,0.480901,0.391930,0.425776,0.425776,137313
2021-09-03,0.425654,0.447040,0.419325,0.433113,0.433113,94820
2021-09-04,0.433245,0.443415,0.379448,0.440609,0.440609,75281
2021-09-05,0.440683,0.523893,0.435187,0.505801,0.505801,129335
2021-09-06,0.505679,0.506348,0.433604,0.434382,0.434382,138795
2021-09-07,0.434285,0.497164,0.330056,0.377384,0.377384,145697
2021-09-08,0.377280,0.403716,0.368123,0.400336,0.400336,62978
2021-09-09,0.399895,0.402827,0.361618,0.366663,0.366663,66612
2021-09-10,0.366536,0.386085,0.341480,0.343586,0.343586,87586
2021-09-11,0.343727,0.358823,0.231941,0.285921,0.285921,64691
2021-09-12,0.285987,0.305513,0.280520,0.303174,0.303174,113065
2021-09-13,0.303115,0.303367,0.245806,0.268366,0.268366,208909
2021-09-14,0.268313,0.335071,0.262829,0.331387,0.331387,81181
2021-09-15,0.331572,0.354310,0.293472,0.308532,0.308532,103568
2021-09-16,0.309202,0.312187,0.303665,0.306849,0.306849,92064
2021-09-17,0.306925,0.314714,0.284029,0.285288,0.285288,81824
2021-09-18,0.285428,0.359252,0.272530,0.274407,0.274407,85609
2021-09-19,0.274512,0.281347,0.271974,0.273973,0.273973,90439
2021-09-20,0.273956,0.281911,0.265338,0.271881,0.271881,222429
2021-09-21,0.271691,0.298808,0.266776,0.296845,0.296845,126202
2021-09-22,0.297450,0.397146,0.276015,0.277726,0.277726,74717
2021-09-23,0.277826,0.282605,0.274435,0.277895,0.277895,73088
2021-09-24,0.277838,0.277893,0.257209,0.260165,0.260165,151941
2021-09-25,0.260129,0.276000,0.254996,0.271830,0.271830,44058
2021-09-26,0.271742,0.421404,0.202904,0.290725,0.290725,105377
2021-09-27,0.290617,0.300147,0.283756,0.283756,0.283756,89328
2021-09-28,0.283825,0.286099,0.278241,0.281012,0.281012,105131
2021-09-29,0.281239,0.296501,0.280810,0.291079,0.291079,90991
2021-09-30,0.291241,0.312865,0.290170,0.308626,0.308626,250849
2021-10-01,0.308595,0.316183,0.294467,0.305699,0.305699,155675
2021-10-02,0.305617,0.307749,0.259768,0.274543,0.274543,55002
2021-10-03,0.274463,0.288225,0.260090,0.287343,0.287343,99784
2021-10-04,0.287399,0.303329,0.210859,0.245440,0.245440,169443
2021-10-05,0.245414,0.271959,0.243494,0.264016,0.264016,129334
2021-10-06,0.264014,0.264156,0.232663,0.246164,0.246164,155238
2021-10-07,0.246026,0.247186,0.225763,0.227485,0.227485,70909
2021-10-08,0.227491,0.229389,0.215408,0.220112,0.220112,77900
2021-10-09,0.220167,0.236013,0.219450,0.234617,0.234617,114888
2021-10-10,0.234593,0.239150,0.227898,0.228915,0.228915,101190
2021-10-11,0.228697,0.262000,0.226357,0.253119,0.253119,61248
2021-10-12,0.253237,0.340379,0.248386,0.334663,0.334663,94781
2021-10-13,0.334630,0.336228,0.282655,0.293881,0.293881,108484
2021-10-14,0.293984,0.294291,0.250265,0.253626,0.253626,77267
2021-10-15,0.253562,0.319099,0.240480,0.242430,0.242430,140506
2021-10-16,0.242381,0.246906,0.239998,0.244295,0.244295,62831
2021-10-17,0.244222,0.306435,0.243593,0.274336,0.274336,94213
2021-10-18,0.274291,0.279881,0.268603,0.269508,0.269508,86576
2021-10-19,0.269504,0.273162,0.241345,0.251255,0.251255,59590
2021-10-20,0.251275,0.257654,0.231700,0.233230,0.233230,47496
2021-10-21,0.233409,0.237130,0.227869,0.232439,0.232439,72585
2021-10-22,0.232318,0.249342,0.229277,0.239677,0.239677,46708
2021-10-23,0.239676,0.246679,0.231694,0.237104,0.237104,45415
2021-10-24,0.237157,0.256540,0.233581,0.249079,0.249079,62977
2021-10-25,0.249057,0.251034,0.241196,0.242098,0.242098,75409
2021-10-26,0.242136,0.273934,0.232258,0.233887,0.233887,54678
2021-10-27,0.233873,0.236334,0.210944,0.230257,0.230257,77556
2021-10-28,0.230143,0.250918,0.208086,0.212737,0.212737,62443
2021-10-29,0.212751,0.252396,0.207531,0.208698,0.208698,57644
2021-10-30,0.208714,0.245615,0.205810,0.236652,0.236652,59977
2021-10-31,0.236796,0.272775,0.231660,0.267547,0.267547,77672
2021-11-01,0.267566,0.274782,0.238465,0.267168,0.267168,74157
2021-11-02,0.267139,0.292438,0.264733,0.291404,0.291404,72189
2021-11-03,0.291315,0.347240,0.276964,0.346665,0.346665,83894
2021-11-04,0.346747,0.442755,0.319536,0.383554,0.383554,71647
2021-11-05,0.383469,0.383469,0.222861,0.300744,0.300744,64438
2021-11-06,0.300791,0.301064,0.261000,0.277368,0.277368,56533
2021-11-07,0.277465,0.296695,0.272265,0.296155,0.296155,72444
2021-11-08,0.296182,0.416881,0.249050,0.290825,0.290825,82092
2021-11-09,0.290759,0.327963,0.275964,0.303921,0.303921,70836
2021-11-10,0.303867,0.322300,0.285713,0.311934,0.311934,72797
2021-11-11,0.311975,0.323820,0.306848,0.323820,0.323820,63945
2021-11-12,0.323847,0.339674,0.264681,0.298973,0.298973,54902
2021-11-13,0.299043,0.391780,0.282505,0.329947,0.329947,48698
2021-11-14,0.329939,0.354939,0.284749,0.308057,0.308057,58931
2021-11-15,0.308029,0.329814,0.303609,0.318605,0.318605,78969
2021-11-16,0.318672,0.371685,0.289958,0.315997,0.315997,78364
2021-11-17,0.315763,0.370372,0.280681,0.285911,0.285911,45925
2021-11-18,0.285933,0.300953,0.225831,0.282449,0.282449,72571
