Date,Open,High,Low,Close,Adj Close,Volume
2021-10-27,0.052571,0.055035,0.040817,0.052595,0.052595,2647323
2021-10-28,0.052587,0.066165,0.045162,0.059928,0.059928,2192991
2021-10-29,0.059916,0.059916,0.048363,0.051968,0.051968,1919623
2021-10-30,0.051956,0.058975,0.051956,0.057752,0.057752,910529
2021-10-31,0.057756,0.062916,0.054662,0.061243,0.061243,671945
2021-11-01,0.061261,0.061697,0.049708,0.051826,0.051826,732699
2021-11-02,0.051838,0.051838,0.044905,0.046801,0.046801,589563
2021-11-03,0.046866,0.046866,0.038223,0.042057,0.042057,493817
2021-11-04,0.042108,0.043119,0.040218,0.042994,0.042994,300776
2021-11-05,0.042911,0.046657,0.041784,0.044966,0.044966,215621
2021-11-06,0.045001,0.047444,0.041852,0.043699,0.043699,186901
2021-11-07,0.043702,0.045628,0.040104,0.043221,0.043221,175175
2021-11-08,0.043244,0.045466,0.039962,0.044978,0.044978,213868
2021-11-09,0.044983,0.057151,0.044516,0.054741,0.054741,440511
2021-11-10,0.054645,0.057620,0.050101,0.051930,0.051930,456448
2021-11-11,0.051985,0.056803,0.050297,0.053384,0.053384,258028
2021-11-12,0.053399,0.054605,0.051431,0.052208,0.052208,247791
2021-11-13,0.052264,0.052421,0.049131,0.050758,0.050758,204719
2021-11-14,0.050760,0.050818,0.043288,0.043958,0.043958,136464
2021-11-15,0.043952,0.045644,0.041864,0.043830,0.043830,182347
2021-11-16,0.043773,0.043866,0.038731,0.040807,0.040807,163021
2021-11-17,0.040809,0.040864,0.038541,0.040043,0.040043,97768
2021-11-18,0.040026,0.042011,0.034591,0.035773,0.035773,196542
2021-11-19,0.035866,0.040962,0.035849,0.039640,0.039640,232684
2021-11-20,0.039657,0.041061,0.039014,0.040811,0.040811,109997
2021-11-21,0.040780,0.041125,0.036976,0.036976,0.036976,91777
2021-11-22,0.036954,0.037595,0.035508,0.035563,0.035563,91899
2021-11-23,0.035569,0.050238,0.035569,0.047067,0.047067,260760
2021-11-24,0.047053,0.055485,0.039595,0.050171,0.050171,257351
2021-11-25,0.046158,0.189468,0.045979,0.050691,0.050691,512517
2021-11-26,0.169226,0.408942,0.154710,0.221457,0.221457,0
2021-11-27,0.221326,0.577806,0.220434,0.542573,0.542573,0
2021-11-28,0.542620,0.542620,0.294731,0.371699,0.371699,0
2021-11-29,0.371640,0.431889,0.242071,0.282744,0.282744,0
2021-11-30,0.282821,0.323484,0.221361,0.232944,0.232944,0
2021-12-01,0.232572,0.264297,0.175804,0.210374,0.210374,0
2021-12-02,0.210078,0.212879,0.144077,0.147999,0.147999,0
2021-12-03,0.147931,0.176971,0.139792,0.162341,0.162341,2802049
2021-12-04,0.162383,0.164787,0.129428,0.143862,0.143862,829363
2021-12-05,0.143928,0.177356,0.139624,0.154719,0.154719,1344402
