Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.006057,0.006127,0.005895,0.006067,0.006067,0
2021-08-23,0.006069,0.006305,0.006061,0.006239,0.006239,0
2021-08-24,0.006240,0.006281,0.005865,0.005940,0.005940,0
2021-08-25,0.005940,0.006071,0.005810,0.006020,0.006020,0
2021-08-26,0.006025,0.006066,0.005743,0.005819,0.005819,0
2021-08-27,0.005828,0.006129,0.005749,0.006114,0.006114,0
2021-08-28,0.006114,0.006131,0.006039,0.006075,0.006075,0
2021-08-29,0.006083,0.006162,0.005953,0.006079,0.006079,0
2021-08-30,0.006072,0.006238,0.005903,0.006050,0.006050,0
2021-08-31,0.006047,0.006441,0.006004,0.006424,0.006424,0
2021-09-01,0.006422,0.007105,0.006355,0.007105,0.007105,0
2021-09-02,0.007108,0.007163,0.006999,0.007103,0.007103,0
2021-09-03,0.007102,0.007490,0.006994,0.007369,0.007369,0
2021-09-04,0.007367,0.007454,0.007196,0.007276,0.007276,0
2021-09-05,0.007279,0.007432,0.007208,0.007398,0.007398,0
2021-09-06,0.007400,0.007456,0.007243,0.007385,0.007385,0
2021-09-07,0.007386,0.007412,0.006178,0.006431,0.006431,0
2021-09-08,0.006436,0.006648,0.006061,0.006545,0.006545,0
2021-09-09,0.006506,0.006659,0.006392,0.006431,0.006431,0
2021-09-10,0.006431,0.006571,0.005953,0.006019,0.006019,0
2021-09-11,0.006019,0.006261,0.006013,0.006119,0.006119,0
2021-09-12,0.006117,0.006469,0.006072,0.006371,0.006371,0
2021-09-13,0.006370,0.006420,0.005893,0.006153,0.006153,0
2021-09-14,0.006153,0.006385,0.006142,0.006365,0.006365,0
2021-09-15,0.006367,0.006734,0.006344,0.006726,0.006726,0
2021-09-16,0.006729,0.006847,0.006570,0.006692,0.006692,0
2021-09-17,0.006686,0.006729,0.006302,0.006369,0.006369,0
2021-09-18,0.006373,0.006613,0.006327,0.006417,0.006417,0
2021-09-19,0.006420,0.006470,0.006182,0.006223,0.006223,0
2021-09-20,0.006224,0.006234,0.005540,0.005572,0.005572,0
2021-09-21,0.005567,0.005784,0.005095,0.005156,0.005156,0
2021-09-22,0.005156,0.005762,0.005155,0.005742,0.005742,0
2021-09-23,0.005736,0.005918,0.005702,0.005900,0.005900,0
2021-09-24,0.005901,0.005915,0.005217,0.005472,0.005472,0
2021-09-25,0.005474,0.005529,0.005299,0.005500,0.005500,0
2021-09-26,0.005499,0.005821,0.005168,0.005726,0.005726,0
2021-09-27,0.005723,0.005932,0.005523,0.005523,0.005523,0
2021-09-28,0.005524,0.005575,0.005258,0.005269,0.005269,0
2021-09-29,0.005262,0.005515,0.005250,0.005334,0.005334,0
2021-09-30,0.005328,0.005695,0.005324,0.005628,0.005628,0
2021-10-01,0.005628,0.006221,0.005590,0.006183,0.006183,0
2021-10-02,0.006183,0.006474,0.006114,0.006366,0.006366,0
2021-10-03,0.006357,0.006542,0.006299,0.006407,0.006407,0
2021-10-04,0.006410,0.006422,0.006190,0.006352,0.006352,0
2021-10-05,0.006353,0.006639,0.006295,0.006603,0.006603,0
2021-10-06,0.006592,0.006781,0.006283,0.006713,0.006713,0
2021-10-07,0.006717,0.006963,0.006530,0.006747,0.006747,0
2021-10-08,0.006738,0.006856,0.006639,0.006681,0.006681,0
2021-10-09,0.006678,0.006778,0.006633,0.006729,0.006729,0
2021-10-10,0.006721,0.006732,0.006442,0.006447,0.006447,0
2021-10-11,0.006441,0.006776,0.006396,0.006736,0.006736,0
2021-10-12,null,null,null,null,null,null
2021-10-13,null,null,null,null,null,null
2021-10-14,null,null,null,null,null,null
2021-10-15,null,null,null,null,null,null
2021-10-16,null,null,null,null,null,null
2021-10-17,null,null,null,null,null,null
2021-10-18,null,null,null,null,null,null
2021-10-19,null,null,null,null,null,null
2021-10-20,null,null,null,null,null,null
2021-10-21,null,null,null,null,null,null
2021-10-22,null,null,null,null,null,null
2021-10-23,null,null,null,null,null,null
2021-10-24,null,null,null,null,null,null
2021-10-25,null,null,null,null,null,null
2021-10-26,null,null,null,null,null,null
2021-10-27,null,null,null,null,null,null
2021-10-28,0.007555,0.008014,0.004763,0.004914,0.004914,0
2021-10-29,0.004920,0.004921,0.004892,0.004902,0.004902,0
2021-10-30,null,null,null,null,null,null
2021-10-31,null,null,null,null,null,null
2021-11-01,null,null,null,null,null,null
2021-11-02,0.008133,0.008546,0.005167,0.005171,0.005171,0
2021-11-03,null,null,null,null,null,null
