Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.003281,0.003387,0.003007,0.003246,0.003246,986657
2021-08-23,0.003244,0.003460,0.003049,0.003112,0.003112,1056710
2021-08-24,0.003113,0.003501,0.002859,0.002942,0.002942,1034546
2021-08-25,0.002939,0.003413,0.002894,0.002985,0.002985,987269
2021-08-26,0.002985,0.003038,0.002775,0.002890,0.002890,924269
2021-08-27,0.002890,0.003068,0.002730,0.002989,0.002989,1099773
2021-08-28,0.002993,0.003065,0.002646,0.002913,0.002913,26882
2021-08-29,0.002915,0.002921,0.002775,0.002896,0.002896,6680
2021-08-30,0.002898,0.003019,0.002864,0.002912,0.002912,15989
2021-08-31,0.002913,0.003020,0.002858,0.003000,0.003000,12198
2021-09-01,0.002995,0.003204,0.002961,0.003025,0.003025,36375
2021-09-02,0.003028,0.003049,0.002849,0.002907,0.002907,24175
2021-09-03,0.002907,0.003013,0.002715,0.002735,0.002735,14424
2021-09-04,0.002734,0.002951,0.002668,0.002849,0.002849,72903
2021-09-05,0.002850,0.003009,0.002765,0.002768,0.002768,63878
2021-09-06,0.002767,0.002782,0.002538,0.002541,0.002541,42239
2021-09-07,0.002540,0.002565,0.002096,0.002141,0.002141,21993
2021-09-08,0.002141,0.002187,0.002022,0.002151,0.002151,27321
2021-09-09,0.002129,0.002176,0.002082,0.002128,0.002128,7561
2021-09-10,0.002129,0.002180,0.001863,0.001882,0.001882,65069
2021-09-11,0.001882,0.001997,0.001847,0.001925,0.001925,54241
2021-09-12,0.001924,0.002062,0.001890,0.001922,0.001922,10850
2021-09-13,0.001921,0.001941,0.001739,0.001770,0.001770,15081
2021-09-14,0.001770,0.001851,0.001652,0.001689,0.001689,125171
2021-09-15,0.001689,0.001896,0.001685,0.001880,0.001880,37437
2021-09-16,0.001881,0.001915,0.001788,0.001815,0.001815,2321027
2021-09-17,0.001814,0.001878,0.001761,0.001797,0.001797,9123
2021-09-18,0.001798,0.001884,0.001786,0.001820,0.001820,3293
2021-09-19,0.001821,0.001829,0.001730,0.001742,0.001742,2075
2021-09-20,0.001742,0.001775,0.001536,0.001543,0.001543,7167
2021-09-21,0.001542,0.001625,0.001440,0.001444,0.001444,5447
2021-09-22,0.001444,0.001672,0.001444,0.001636,0.001636,2000221
2021-09-23,0.001637,0.001719,0.001614,0.001686,0.001686,29004
2021-09-24,0.001687,0.001690,0.001492,0.001574,0.001574,2818
2021-09-25,0.001575,0.001580,0.001437,0.001530,0.001530,12593
2021-09-26,0.001530,0.001530,0.001386,0.001465,0.001465,312725
2021-09-27,0.001465,0.001659,0.001463,0.001515,0.001515,35657
2021-09-28,0.001515,0.001517,0.001403,0.001405,0.001405,13030
2021-09-29,0.001404,0.001467,0.001397,0.001467,0.001467,2045
2021-09-30,0.001466,0.001562,0.001464,0.001546,0.001546,1056
2021-10-01,0.001546,0.001648,0.001536,0.001631,0.001631,6390
2021-10-02,0.001631,0.001703,0.001611,0.001673,0.001673,4935
2021-10-03,0.001671,0.001705,0.001598,0.001668,0.001668,12701
2021-10-04,0.001668,0.001693,0.001573,0.001632,0.001632,28793
2021-10-05,0.001632,0.001697,0.001621,0.001672,0.001672,3966
2021-10-06,0.001671,0.001909,0.001545,0.001630,0.001630,66585
2021-10-07,0.001630,0.001700,0.001588,0.001655,0.001655,6397
2021-10-08,0.001654,0.001721,0.001601,0.001624,0.001624,17249
2021-10-09,0.001623,0.001665,0.001607,0.001617,0.001617,8867
2021-10-10,0.001615,0.001678,0.001590,0.001602,0.001602,5449
2021-10-11,0.001601,0.001668,0.001590,0.001621,0.001621,5714
2021-10-12,0.001620,0.001620,0.001434,0.001454,0.001454,23340
2021-10-13,0.001454,0.001468,0.001365,0.001438,0.001438,15458
2021-10-14,0.001438,0.001536,0.001438,0.001525,0.001525,4636
2021-10-15,0.001524,0.001611,0.001493,0.001542,0.001542,15169
2021-10-16,0.001544,0.001591,0.001506,0.001516,0.001516,10591
2021-10-17,0.001516,0.001629,0.001502,0.001604,0.001604,30500
2021-10-18,0.001605,0.002488,0.001537,0.002050,0.002050,388729
2021-10-19,0.002050,0.002053,0.001703,0.001743,0.001743,96195
2021-10-20,0.001736,0.002203,0.001732,0.002027,0.002027,94154
2021-10-21,0.002025,0.002494,0.002024,0.002182,0.002182,85896
2021-10-22,0.002180,0.002241,0.002107,0.002227,0.002227,10595
2021-10-23,0.002228,0.002421,0.002197,0.002339,0.002339,53580
2021-10-24,0.002341,0.002374,0.002077,0.002113,0.002113,17527
2021-10-25,0.002111,0.002209,0.002102,0.002196,0.002196,22508
2021-10-26,0.002199,0.002296,0.002171,0.002192,0.002192,11674
2021-10-27,0.002191,0.002205,0.001799,0.001944,0.001944,12177
2021-10-28,0.001947,0.002110,0.001894,0.002076,0.002076,20923
2021-10-29,0.002078,0.002133,0.002057,0.002062,0.002062,7682
2021-10-30,0.002063,0.002068,0.001982,0.002022,0.002022,5267
2021-10-31,0.002026,0.002186,0.001941,0.002178,0.002178,26276
2021-11-01,0.002178,0.002560,0.002165,0.002500,0.002500,77020
2021-11-02,0.002502,0.002715,0.002438,0.002693,0.002693,13403
2021-11-03,0.002694,0.002753,0.002489,0.002500,0.002500,29679
2021-11-04,0.002502,0.002505,0.002281,0.002379,0.002379,22448
2021-11-05,0.002376,0.002403,0.002153,0.002224,0.002224,1105647
2021-11-06,0.002225,0.002347,0.002210,0.002329,0.002329,17206
2021-11-07,0.002331,0.002368,0.002240,0.002265,0.002265,10621
2021-11-08,0.002264,0.002550,0.002234,0.002374,0.002374,13176
2021-11-09,0.002376,0.002376,0.002113,0.002139,0.002139,17677
2021-11-10,0.002138,0.003684,0.000037,0.002079,0.002079,11531
2021-11-11,0.002080,0.002090,0.001836,0.001837,0.001837,24331
2021-11-12,0.001839,0.001894,0.001786,0.001886,0.001886,8878
2021-11-13,0.001882,0.001906,0.001350,0.001350,0.001350,3535409
2021-11-14,0.001354,0.001768,0.001353,0.001705,0.001705,26950
2021-11-15,0.001703,0.001775,0.001666,0.001670,0.001670,4063
2021-11-16,0.001668,0.009582,0.001238,0.001401,0.001401,40937
2021-11-17,0.001400,0.002128,0.001360,0.001431,0.001431,20477
2021-11-18,0.001432,0.001492,0.001352,0.001360,0.001360,7393
2021-11-19,0.001361,0.001655,0.001314,0.001653,0.001653,6494
2021-11-20,0.001653,0.002308,0.001458,0.001571,0.001571,4900
2021-11-21,0.001570,0.001578,0.001437,0.001446,0.001446,5394
2021-11-22,0.001446,0.001453,0.001377,0.001389,0.001389,6645
2021-11-23,0.001388,0.001414,0.001360,0.001407,0.001407,3892
2021-11-24,0.001407,0.001414,0.001306,0.001387,0.001387,3827
2021-11-25,0.001336,0.001657,0.001332,0.001349,0.001349,6802
2021-11-26,0.001526,0.001531,0.001120,0.001122,0.001122,34785
2021-11-27,0.001121,0.001203,0.001119,0.001127,0.001127,16969
2021-11-28,0.001127,0.001204,0.001098,0.001204,0.001204,7416
2021-11-29,0.001203,0.001309,0.001177,0.001249,0.001249,8603
2021-11-30,0.001249,0.001291,0.001212,0.001240,0.001240,4641
2021-12-01,0.001239,0.001300,0.001223,0.001247,0.001247,7439
2021-12-02,0.001247,0.001250,0.001121,0.001131,0.001131,22592
2021-12-03,0.001130,0.001200,0.001061,0.001123,0.001123,11410
2021-12-04,0.001122,0.001894,0.000997,0.001006,0.001006,6545
2021-12-05,0.001005,0.001053,0.000991,0.001047,0.001047,6394
2021-12-06,0.001048,0.001114,0.001001,0.001111,0.001111,19946
2021-12-07,0.001112,0.001254,0.001112,0.001231,0.001231,6489
2021-12-08,0.001231,0.001243,0.001100,0.001109,0.001109,7490
2021-12-09,0.001109,0.001148,0.001023,0.001034,0.001034,5704
2021-12-10,0.001032,0.001054,0.000977,0.000981,0.000981,3292
