Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.019265,0.019850,0.019022,0.019719,0.019719,878287
2021-08-23,0.019711,0.020139,0.019171,0.019247,0.019247,1054714
2021-08-24,0.019254,0.019278,0.018927,0.019116,0.019116,834726
2021-08-25,0.019114,0.020445,0.018940,0.019517,0.019517,844989
2021-08-26,0.019519,0.020562,0.019435,0.020119,0.020119,897804
2021-08-27,0.020079,0.021002,0.019518,0.019861,0.019861,998812
2021-08-28,0.019860,0.020263,0.019766,0.020018,0.020018,926025
2021-08-29,0.020014,0.020039,0.019820,0.020014,0.020014,1010158
2021-08-30,0.020026,0.020687,0.019987,0.020496,0.020496,770673
2021-08-31,0.020510,0.020796,0.020487,0.020571,0.020571,331777
2021-09-01,0.020569,0.491674,0.020149,0.020482,0.020482,813070
2021-09-02,0.020479,0.020802,0.019328,0.020028,0.020028,742992
2021-09-03,0.020014,0.020738,0.019006,0.020193,0.020193,452670
2021-09-04,0.020193,0.020453,0.019498,0.020044,0.020044,607145
2021-09-05,0.020041,0.020275,0.020031,0.020223,0.020223,446252
2021-09-06,0.020222,0.020797,0.020215,0.020758,0.020758,552071
2021-09-07,0.020759,0.022185,0.019547,0.019705,0.019705,362157
2021-09-08,0.019622,0.019714,0.018820,0.018865,0.018865,370428
2021-09-09,0.018907,0.019506,0.018711,0.018887,0.018887,456127
2021-09-10,0.018875,0.019509,0.018738,0.019269,0.019269,820342
2021-09-11,0.019270,0.019509,0.019256,0.019496,0.019496,506666
2021-09-12,0.019494,0.019858,0.019377,0.019550,0.019550,592695
2021-09-13,0.019555,0.020407,0.019391,0.019671,0.019671,541461
2021-09-14,0.019659,0.020362,0.019227,0.019888,0.019888,506824
2021-09-15,0.019886,0.020497,0.019844,0.020493,0.020493,477392
2021-09-16,0.020495,0.020684,0.020488,0.020669,0.020669,518742
2021-09-17,0.020671,0.020895,0.020033,0.020727,0.020727,677892
2021-09-18,0.020729,0.021008,0.020023,0.020722,0.020722,754507
2021-09-19,0.020722,0.021038,0.020649,0.021027,0.021027,618573
2021-09-20,0.021021,0.022989,0.021005,0.021104,0.021104,977335
2021-09-21,0.021094,0.022970,0.021012,0.022787,0.022787,821853
2021-09-22,0.022786,0.026528,0.022374,0.026203,0.026203,929225
2021-09-23,0.026205,0.031082,0.025964,0.029600,0.029600,1121935
2021-09-24,0.029599,0.031644,0.026072,0.028138,0.028138,877696
2021-09-25,0.028138,0.028142,0.023603,0.026407,0.026407,896303
2021-09-26,0.026435,0.026448,0.019763,0.021992,0.021992,913087
2021-09-27,0.022003,0.022031,0.020034,0.021521,0.021521,885843
2021-09-28,0.021497,0.022853,0.020334,0.022194,0.022194,837095
2021-09-29,0.022193,0.022193,0.021093,0.021938,0.021938,639848
2021-09-30,0.021938,0.022545,0.021792,0.022374,0.022374,884713
2021-10-01,0.022373,0.023003,0.021334,0.022459,0.022459,654267
2021-10-02,0.022461,0.022985,0.021455,0.022878,0.022878,277228
2021-10-03,0.022874,0.022917,0.021804,0.021853,0.021853,538387
2021-10-04,0.021855,0.022218,0.021547,0.022119,0.022119,527468
2021-10-05,0.022118,0.022248,0.021628,0.021985,0.021985,207537
2021-10-06,0.021985,0.022175,0.021529,0.021529,0.021529,416927
2021-10-07,0.021800,0.022183,0.021197,0.021848,0.021848,421534
2021-10-08,0.021848,0.022991,0.021265,0.022594,0.022594,382621
2021-10-09,0.022595,0.022633,0.021766,0.022462,0.022462,579478
2021-10-10,0.022460,0.022619,0.022374,0.022500,0.022500,476607
2021-10-11,0.022502,0.022843,0.022419,0.022679,0.022679,626156
2021-10-12,0.022681,0.022721,0.022023,0.022284,0.022284,486704
2021-10-13,0.022280,0.022280,0.021996,0.022202,0.022202,293539
2021-10-14,0.022198,0.022465,0.021572,0.022068,0.022068,546299
2021-10-15,0.022068,0.022073,0.021253,0.021595,0.021595,432684
2021-10-16,0.021596,0.022510,0.021247,0.021860,0.021860,526572
2021-10-17,0.021859,0.022015,0.021761,0.021947,0.021947,291391
2021-10-18,0.021947,0.021948,0.021285,0.021527,0.021527,757441
2021-10-19,0.021527,0.021574,0.021256,0.021291,0.021291,588236
2021-10-20,0.021292,0.021910,0.021254,0.021909,0.021909,725190
2021-10-21,0.021910,0.021961,0.021221,0.021282,0.021282,655759
2021-10-22,0.021282,0.021995,0.020406,0.021979,0.021979,530688
2021-10-23,0.021962,0.094803,0.021175,0.024936,0.024936,743453
2021-10-24,0.024959,0.026974,0.022804,0.025682,0.025682,872532
2021-10-25,0.025664,0.025718,0.023065,0.023755,0.023755,948040
2021-10-26,0.023763,0.024849,0.023588,0.023868,0.023868,858107
2021-10-27,0.023868,0.025183,0.022022,0.022157,0.022157,960435
2021-10-28,0.022160,0.024531,0.020957,0.022316,0.022316,847201
2021-10-29,0.022316,0.023096,0.021125,0.021631,0.021631,795674
2021-10-30,0.021639,0.021790,0.021380,0.021433,0.021433,901867
2021-10-31,0.021435,0.021902,0.021029,0.021350,0.021350,712033
2021-11-01,0.021349,0.021628,0.021179,0.021277,0.021277,858663
2021-11-02,0.021281,0.021293,0.020526,0.021070,0.021070,601822
2021-11-03,0.021070,0.022687,0.018144,0.019879,0.019879,764935
2021-11-04,0.019874,0.020513,0.017905,0.018999,0.018999,750037
2021-11-05,0.018998,0.019069,0.017628,0.018386,0.018386,756034
2021-11-06,0.018386,0.018955,0.017852,0.018765,0.018765,700105
2021-11-07,0.018794,0.019588,0.018480,0.019195,0.019195,710636
2021-11-08,0.019204,0.019632,0.018074,0.018794,0.018794,667995
2021-11-09,0.018799,0.019016,0.017735,0.018057,0.018057,699231
2021-11-10,0.018059,0.018349,0.017966,0.018328,0.018328,724169
2021-11-11,0.018306,0.020945,0.018182,0.018931,0.018931,729786
2021-11-12,0.018905,0.024665,0.018826,0.021613,0.021613,779351
2021-11-13,0.021640,0.021671,0.020102,0.020273,0.020273,430927
2021-11-14,0.020273,0.021504,0.019994,0.020459,0.020459,554479
2021-11-15,0.020462,0.021371,0.020416,0.020567,0.020567,615260
2021-11-16,0.020599,0.021259,0.019803,0.020051,0.020051,506560
2021-11-17,0.020048,0.020426,0.019816,0.019854,0.019854,510145
2021-11-18,0.019852,0.020044,0.018747,0.018776,0.018776,612204
2021-11-19,0.018776,0.019804,0.018776,0.019739,0.019739,555357
2021-11-20,0.019734,0.020013,0.018804,0.019980,0.019980,616818
2021-11-21,0.019966,0.019981,0.018815,0.019547,0.019547,517321
2021-11-22,0.019554,0.019560,0.018322,0.018970,0.018970,528748
2021-11-23,0.018969,0.021915,0.018013,0.020523,0.020523,744702
2021-11-24,0.020490,0.092088,0.020441,0.021837,0.021837,813479
2021-11-25,0.082873,0.199738,0.075178,0.157884,0.157884,18700811
2021-11-26,0.148096,0.164700,0.106683,0.154349,0.154349,15057755
2021-11-27,0.154034,0.154631,0.128609,0.141507,0.141507,12142692
2021-11-28,0.141532,0.151775,0.135643,0.148241,0.148241,12635627
2021-11-29,0.148245,0.153465,0.137299,0.152490,0.152490,13764439
2021-11-30,0.153049,0.154144,0.140543,0.152120,0.152120,16167820
2021-12-01,0.151740,0.199292,0.140507,0.170104,0.170104,19418426
2021-12-02,0.170187,0.177098,0.157707,0.157861,0.157861,8923325
2021-12-03,0.158032,0.163517,0.121818,0.127533,0.127533,7326733
2021-12-04,0.127528,0.159494,0.094716,0.146906,0.146906,8521651
2021-12-05,0.146898,0.156101,0.128055,0.132581,0.132581,7508072
2021-12-06,0.132634,0.145485,0.122904,0.128524,0.128524,7180102
2021-12-07,0.128563,0.150945,0.121911,0.147251,0.147251,13003091
2021-12-08,0.147246,0.154702,0.126377,0.145245,0.145245,16082053
2021-12-09,0.145433,0.149269,0.127882,0.139056,0.139056,10664506
2021-12-10,0.139102,0.143470,0.123561,0.143457,0.143457,14249471
2021-12-11,0.143443,0.148312,0.124637,0.144339,0.144339,19021535
2021-12-12,0.144176,0.146040,0.127898,0.140213,0.140213,15364807
2021-12-13,0.140381,0.140521,0.122782,0.133680,0.133680,15603733
2021-12-14,0.133704,0.137208,0.124545,0.136099,0.136099,20541542
2021-12-15,0.133320,0.137133,0.118329,0.130161,0.130161,15335986
2021-12-16,0.130160,0.134357,0.126184,0.128557,0.128557,15361453
2021-12-17,0.128575,0.128797,0.122857,0.126143,0.126143,12572517
2021-12-18,0.126216,0.127761,0.123263,0.125108,0.125108,12708395
2021-12-19,0.125093,0.126683,0.123274,0.124179,0.124179,11385286
2021-12-20,0.124190,0.125163,0.113041,0.118867,0.118867,12414433
2021-12-21,0.118764,0.120547,0.061567,0.087577,0.087577,11095756
2021-12-22,0.087741,0.102239,0.065809,0.081086,0.081086,13602839
2021-12-23,0.080760,0.095973,0.067788,0.083701,0.083701,13295877
2021-12-24,0.083697,0.095130,0.079993,0.094695,0.094695,10544626
2021-12-25,0.094487,0.107927,0.087967,0.100970,0.100970,9370709
2021-12-26,0.100958,0.103532,0.090213,0.091627,0.091627,4296219
2021-12-27,0.091616,0.092186,0.086774,0.086821,0.086821,3809534
2021-12-28,0.086847,0.088268,0.068448,0.072040,0.072040,3385545
2021-12-29,0.072279,0.076739,0.061812,0.067609,0.067609,2982183
2021-12-30,0.067614,0.094509,0.067492,0.093166,0.093166,5722326
2021-12-31,0.093537,0.093966,0.077705,0.083845,0.083845,3509610
2022-01-01,0.083928,0.085382,0.077093,0.080124,0.080124,3561244
2022-01-02,0.080109,0.085049,0.080068,0.082074,0.082074,3847628
2022-01-03,0.082073,0.083239,0.069471,0.078173,0.078173,3941459
2022-01-04,0.078379,0.079383,0.065903,0.071270,0.071270,2969667
2022-01-05,0.071282,0.073137,0.060008,0.060926,0.060926,1789886
2022-01-06,0.060890,0.060927,0.052926,0.055166,0.055166,1164667
2022-01-07,0.055163,0.055636,0.044947,0.047265,0.047265,1156843
2022-01-08,0.047380,0.079874,0.046540,0.077955,0.077955,4865585
2022-01-09,0.077953,0.089654,0.065527,0.065666,0.065666,4657151
2022-01-10,0.065662,0.072452,0.058719,0.060791,0.060791,1557770
2022-01-11,0.060790,0.064982,0.057339,0.059230,0.059230,986937
2022-01-12,0.059226,0.059631,0.054374,0.055069,0.055069,844863
2022-01-13,0.055065,0.055431,0.051099,0.052307,0.052307,1045039
2022-01-14,0.052307,0.057293,0.049932,0.051791,0.051791,971803
2022-01-15,0.051791,0.058537,0.051750,0.053573,0.053573,1399289
2022-01-16,0.053577,0.053780,0.051746,0.051997,0.051997,912987
2022-01-17,0.052000,0.052001,0.047909,0.049745,0.049745,470556
2022-01-18,0.049746,0.050619,0.046416,0.047392,0.047392,677318
2022-01-19,0.047392,0.047451,0.031596,0.037074,0.037074,1348542
2022-01-20,0.036930,0.036930,0.031331,0.031616,0.031616,900053
2022-01-21,0.031591,0.033161,0.024005,0.024146,0.024146,549862
2022-01-22,0.024154,0.024154,0.017076,0.021279,0.021279,549727
2022-01-23,0.021290,0.023031,0.020489,0.021896,0.021896,484788
2022-01-24,0.021912,0.022508,0.017139,0.020221,0.020221,398225
2022-01-25,0.020220,0.021076,0.019842,0.020001,0.020001,297648
