Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.014283,0.014475,0.013748,0.014027,0.014027,2364736
2021-08-23,0.014025,0.015542,0.013846,0.015340,0.015340,2502685
2021-08-24,0.015341,0.015534,0.013394,0.013896,0.013896,2585758
2021-08-25,0.013934,0.015453,0.013910,0.015259,0.015259,2543447
2021-08-26,0.015238,0.015278,0.014343,0.014645,0.014645,2947398
2021-08-27,0.014645,0.015422,0.014521,0.015415,0.015415,2817145
2021-08-28,0.015422,0.016008,0.014647,0.014839,0.014839,2848524
2021-08-29,0.014829,0.015275,0.014679,0.014955,0.014955,2490771
2021-08-30,0.014956,0.015163,0.014557,0.015035,0.015035,2297978
2021-08-31,0.015040,0.015268,0.014188,0.015037,0.015037,2099255
2021-09-01,0.015035,0.015105,0.014520,0.014805,0.014805,1851429
2021-09-02,0.014818,0.014872,0.013867,0.014022,0.014022,2064963
2021-09-03,0.014018,0.014430,0.013706,0.013858,0.013858,2777643
2021-09-04,0.013859,0.014404,0.013801,0.013937,0.013937,3013901
2021-09-05,0.013938,0.013968,0.012681,0.012914,0.012914,3331811
2021-09-06,0.012913,0.013691,0.011740,0.012703,0.012703,2947579
2021-09-07,0.012702,0.012814,0.010054,0.010313,0.010313,2658554
2021-09-08,0.010311,0.011569,0.009636,0.011410,0.011410,2287545
2021-09-09,0.011183,0.013123,0.010176,0.012189,0.012189,2360797
2021-09-10,0.012188,0.012955,0.010955,0.011282,0.011282,2500113
2021-09-11,0.011281,0.011672,0.010856,0.011420,0.011420,2525439
2021-09-12,0.011420,0.011635,0.011133,0.011445,0.011445,2235717
2021-09-13,0.011442,0.011668,0.010720,0.010819,0.010819,2441735
2021-09-14,0.010818,0.011451,0.010647,0.010823,0.010823,2438375
2021-09-15,0.010826,0.010960,0.010421,0.010917,0.010917,2250650
2021-09-16,0.010927,0.011114,0.010210,0.010450,0.010450,1670651
2021-09-17,0.010452,0.010660,0.009739,0.010174,0.010174,1582502
2021-09-18,0.010177,0.010440,0.009714,0.010271,0.010271,1693581
2021-09-19,0.010273,0.010671,0.009082,0.009091,0.009091,1587211
2021-09-20,0.009091,0.009290,0.007907,0.008331,0.008331,1287264
2021-09-21,0.008327,0.009395,0.007888,0.008642,0.008642,1380702
2021-09-22,0.008651,0.008717,0.007304,0.008391,0.008391,1409188
2021-09-23,0.008392,0.008968,0.008356,0.008756,0.008756,1386694
2021-09-24,0.008755,0.008920,0.007787,0.008218,0.008218,1347729
2021-09-25,0.008217,0.008787,0.008073,0.008163,0.008163,1360418
2021-09-26,0.008162,0.008382,0.007115,0.008011,0.008011,1280615
2021-09-27,0.008008,0.008265,0.007534,0.007537,0.007537,1113566
2021-09-28,0.007538,0.007882,0.007529,0.007711,0.007711,1219798
2021-09-29,0.007715,0.007911,0.007616,0.007871,0.007871,1088668
2021-09-30,0.007874,0.008182,0.007723,0.007953,0.007953,1153991
2021-10-01,0.007953,0.008837,0.007748,0.008628,0.008628,1187791
2021-10-02,0.008626,0.008705,0.007940,0.008333,0.008333,985019
2021-10-03,0.008331,0.008843,0.007513,0.007641,0.007641,1420607
