Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,6.286220,6.583841,6.096215,6.263280,6.263280,674003
2021-08-23,6.267804,7.130776,6.261212,7.057760,7.057760,629020
2021-08-24,7.058429,7.187285,6.155602,6.335374,6.335374,680995
2021-08-25,6.335115,6.710802,6.218121,6.677651,6.677651,653724
2021-08-26,6.680937,7.060548,6.556439,6.729026,6.729026,769135
2021-08-27,6.727496,7.644158,6.406703,7.592306,7.592306,454835
2021-08-28,7.693064,7.969865,7.483880,7.535091,7.535091,226624
2021-08-29,7.519422,7.646411,7.084940,7.378777,7.378777,121528
2021-08-30,7.374805,7.374805,6.724266,6.891722,6.891722,137407
2021-08-31,6.891927,7.156592,6.588352,6.675556,6.675556,132408
2021-09-01,6.669533,7.317871,6.560216,7.245291,7.245291,148546
2021-09-02,7.246926,7.298549,6.843465,7.022525,7.022525,117379
2021-09-03,7.018601,7.461287,6.855659,6.900009,6.900009,87110
2021-09-04,6.906278,6.942312,6.605897,6.713336,6.713336,91855
2021-09-05,6.716170,6.903476,6.591231,6.713988,6.713988,89524
2021-09-06,6.713271,7.160555,6.459797,6.994122,6.994122,152738
2021-09-07,6.992949,7.050907,4.463732,4.708130,4.708130,393221
2021-09-08,4.707954,5.141757,4.378021,5.088198,5.088198,213601
2021-09-09,5.037652,5.167536,4.801786,4.805349,4.805349,91284
2021-09-10,4.804271,5.380052,4.767739,5.112535,5.112535,186848
2021-09-11,5.113290,5.526603,5.042677,5.381469,5.381469,177581
2021-09-12,5.380132,5.700966,5.339533,5.684512,5.684512,25308
2021-09-13,5.683998,5.697806,5.072736,5.204027,5.204027,68060
2021-09-14,5.203752,5.385786,5.083670,5.384660,5.384660,36251
2021-09-15,5.386487,6.410442,4.785983,6.207598,6.207598,275148
2021-09-16,6.210931,6.326279,5.680634,6.178476,6.178476,125553
2021-09-17,6.179396,6.179396,5.468574,5.833530,5.833530,88084
2021-09-18,5.833437,5.961092,5.310422,5.342622,5.342622,66296
2021-09-19,5.343854,5.470426,4.502043,4.634612,4.634612,339399
2021-09-20,4.633084,4.633084,4.019959,4.207352,4.207352,105412
2021-09-21,4.203119,4.207118,3.788315,3.954685,3.954685,188761
2021-09-22,3.959596,4.398256,3.927223,4.352308,4.352308,160814
2021-09-23,4.349461,5.886135,4.234562,5.273847,5.273847,359102
2021-09-24,5.274009,5.590877,4.493593,5.208790,5.208790,485262
2021-09-25,5.210846,5.258992,4.722067,4.888291,4.888291,107727
2021-09-26,4.886604,4.989327,4.465577,4.524314,4.524314,148391
2021-09-27,4.522677,4.788327,4.439105,4.452717,4.452717,62999
2021-09-28,4.453401,4.573211,4.247241,4.256004,4.256004,29178
2021-09-29,4.253019,4.818564,4.253019,4.383630,4.383630,50169
2021-09-30,4.381392,4.759059,4.308881,4.503539,4.503539,87875
2021-10-01,4.504088,5.576166,4.489495,5.248008,5.248008,145919
2021-10-02,5.248371,5.797062,4.907480,5.118048,5.118048,111725
2021-10-03,5.118633,5.329603,4.896111,5.074388,5.074388,128804
2021-10-04,5.074382,5.247864,4.668174,4.986611,4.986611,58237
2021-10-05,4.987639,5.150035,4.821476,4.922780,4.922780,74102
2021-10-06,4.921268,5.166565,4.581070,4.833542,4.833542,89931
2021-10-07,4.835730,5.136319,4.789027,4.933055,4.933055,97759
2021-10-08,4.931001,5.068289,4.693858,4.934404,4.934404,157180
2021-10-09,4.934417,4.977116,4.673514,4.694481,4.694481,113319
2021-10-10,4.694019,4.833974,4.469190,4.477915,4.477915,46355
2021-10-11,4.474554,5.105974,4.374945,4.638010,4.638010,215282
2021-10-12,4.635572,4.650863,4.360714,4.383084,4.383084,73984
2021-10-13,4.385950,5.104145,4.385950,5.099260,5.099260,176499
2021-10-14,5.101410,5.590038,5.056237,5.586729,5.586729,53560
2021-10-15,5.584549,5.584549,4.931180,5.095507,5.095507,127152
2021-10-16,5.095831,5.365762,4.923875,5.095292,5.095292,77385
2021-10-17,5.092107,5.092107,4.555415,4.732463,4.732463,62755
2021-10-18,4.733253,4.938044,4.634070,4.658856,4.658856,43902
2021-10-19,4.660262,4.791177,4.492796,4.661491,4.661491,72225
2021-10-20,4.648871,5.089962,4.440393,5.065292,5.065292,91315
2021-10-21,5.063595,5.070324,4.586515,4.808417,4.808417,74181
2021-10-22,4.787610,5.166129,4.787610,5.071878,5.071878,88000
2021-10-23,5.075849,5.237387,4.932013,5.118039,5.118039,75777
2021-10-24,5.117954,5.188577,4.861892,5.137009,5.137009,73787
2021-10-25,5.134332,5.253004,5.020315,5.200069,5.200069,107291
2021-10-26,5.203798,5.808448,4.899548,4.899548,4.899548,271407
2021-10-27,4.902820,5.069278,4.751129,4.975704,4.975704,146081
2021-10-28,4.974997,5.140104,4.697106,4.926530,4.926530,132732
2021-10-29,4.934191,5.136290,4.640644,4.745533,4.745533,156661
2021-10-30,4.746367,4.879034,4.436741,4.701601,4.701601,149066
2021-10-31,4.706022,4.781829,4.113630,4.303381,4.303381,271997
2021-11-01,4.295187,4.488296,4.069695,4.132876,4.132876,169248
2021-11-02,4.134805,5.008479,4.028497,4.956837,4.956837,255011
2021-11-03,4.962629,5.253675,4.735168,5.251860,5.251860,222363
2021-11-04,5.251883,5.469834,5.140375,5.421363,5.421363,267329
2021-11-05,5.417126,6.117785,5.124986,5.985661,5.985661,416727
2021-11-06,5.993249,6.342625,5.737293,6.205008,6.205008,293014
2021-11-07,6.208357,6.807275,6.006500,6.261487,6.261487,235716
2021-11-08,6.251114,7.348570,6.218210,7.267665,7.267665,271612
2021-11-09,7.271835,8.581746,6.992447,7.810422,7.810422,577852
2021-11-10,7.811812,8.695785,6.791105,7.060147,7.060147,398397
2021-11-11,7.028054,7.201523,6.023574,6.316942,6.316942,656144
2021-11-12,6.316641,6.819799,6.034690,6.356906,6.356906,228988
2021-11-13,6.369769,6.686456,6.036566,6.409875,6.409875,225503
2021-11-14,6.412868,7.111257,6.053996,6.959896,6.959896,442327
2021-11-15,6.959249,7.746220,6.923351,7.196642,7.196642,455683
2021-11-16,7.199863,18.926443,6.222550,6.430045,6.430045,358205
2021-11-17,6.591508,7.637081,6.151777,6.576082,6.576082,368944
2021-11-18,6.575073,7.555475,6.483472,6.530859,6.530859,413636
