Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.124227,0.127553,0.118299,0.120314,0.120314,78550
2021-08-23,0.120309,0.123041,0.116051,0.121559,0.121559,120353
2021-08-24,0.121572,0.123175,0.114280,0.115046,0.115046,96872
2021-08-25,0.115020,0.116654,0.114541,0.116390,0.116390,98804
2021-08-26,0.116414,0.116664,0.113879,0.114595,0.114595,93165
2021-08-27,0.114586,0.118087,0.114154,0.116995,0.116995,41936
2021-08-28,0.116995,0.117674,0.101387,0.113338,0.113338,73274
2021-08-29,0.114129,0.119971,0.112886,0.116146,0.116146,38449
2021-08-30,0.116156,0.116937,0.108938,0.112857,0.112857,52028
2021-08-31,0.112981,0.119406,0.108405,0.115262,0.115262,79865
2021-09-01,0.115144,0.127047,0.112170,0.127047,0.127047,107283
2021-09-02,0.127034,0.129379,0.121213,0.124159,0.124159,47460
2021-09-03,0.124131,0.130687,0.120288,0.125625,0.125625,83618
2021-09-04,0.125595,0.127124,0.122538,0.122745,0.122745,56954
2021-09-05,0.122742,0.129395,0.120343,0.128573,0.128573,99275
2021-09-06,0.128582,0.131447,0.123219,0.129975,0.129975,77869
2021-09-07,0.129946,0.135007,0.110012,0.114946,0.114946,26018
2021-09-08,0.114924,0.115849,0.112385,0.113859,0.113859,61
2021-09-09,0.113808,0.122351,0.112014,0.112799,0.112799,20
2021-09-10,0.112807,0.117761,0.110737,0.113297,0.113297,7647
2021-09-11,0.113319,0.119991,0.110975,0.116819,0.116819,24900
2021-09-12,0.116862,0.119212,0.112773,0.116955,0.116955,9031
2021-09-13,0.116862,0.118221,0.107953,0.114672,0.114672,11199
2021-09-14,0.114664,0.121906,0.114664,0.121906,0.121906,75251
2021-09-15,0.121916,0.127882,0.120754,0.122250,0.122250,18015
2021-09-16,0.122261,0.122614,0.117190,0.118548,0.118548,13042
2021-09-17,0.118562,0.119391,0.114136,0.114809,0.114809,97091
2021-09-18,0.114879,0.117691,0.114116,0.114689,0.114689,99327
2021-09-19,0.114738,0.114836,0.110949,0.112480,0.112480,89092
2021-09-20,0.112463,0.121121,0.108505,0.112874,0.112874,84542
2021-09-21,0.112813,0.116581,0.106593,0.108506,0.108506,43775
2021-09-22,0.108468,0.116983,0.108158,0.116215,0.116215,120854
2021-09-23,0.116182,0.119177,0.115195,0.119177,0.119177,30474
2021-09-24,0.119170,0.120632,0.109226,0.115487,0.115487,29532
2021-09-25,0.115480,0.117869,0.112769,0.116564,0.116564,44038
2021-09-26,0.116565,0.120740,0.113860,0.118939,0.118939,41863
2021-09-27,0.118894,0.122368,0.117150,0.117464,0.117464,20506
2021-09-28,0.117464,0.118841,0.113249,0.113596,0.113596,13515
2021-09-29,0.113751,0.116726,0.111949,0.113677,0.113677,49809
2021-09-30,0.113762,0.120309,0.113310,0.118963,0.118963,66513
2021-10-01,0.118995,0.132569,0.115433,0.131315,0.131315,42006
2021-10-02,0.131265,0.132070,0.129617,0.131035,0.131035,48033
2021-10-03,0.131012,0.135294,0.128498,0.132736,0.132736,24663
2021-10-04,0.132731,0.135043,0.125406,0.130585,0.130585,10288
2021-10-05,0.130583,0.134199,0.119901,0.127378,0.127378,4754
2021-10-06,0.127426,0.135490,0.125321,0.131314,0.131314,0
2021-10-07,0.131265,0.131265,0.127712,0.128375,0.128375,0
2021-10-08,0.128381,0.130376,0.100177,0.106153,0.106153,88089
2021-10-09,0.106176,0.107900,0.083250,0.087388,0.087388,44658
2021-10-10,0.087401,0.090424,0.085491,0.085800,0.085800,52535
2021-10-11,0.085746,0.090078,0.074966,0.078163,0.078163,15531
2021-10-12,0.078192,0.079778,0.067000,0.079142,0.079142,27022
2021-10-13,0.079112,0.085255,0.069396,0.085197,0.085197,65885
2021-10-14,0.085190,0.107340,0.080941,0.105284,0.105284,38692
2021-10-15,0.105271,0.108504,0.079763,0.080247,0.080247,7347
2021-10-16,0.080223,0.083026,0.076049,0.076180,0.076180,5929
2021-10-17,0.076182,0.076581,0.066394,0.068559,0.068559,8534
2021-10-18,0.068549,0.070344,0.068501,0.069590,0.069590,5505
2021-10-19,0.069588,0.074261,0.067625,0.067998,0.067998,10575
2021-10-20,0.068002,0.071569,0.067815,0.070132,0.070132,9607
2021-10-21,0.070136,0.081761,0.064247,0.067914,0.067914,13579
2021-10-22,0.067910,0.105938,0.067910,0.095766,0.095766,22464
2021-10-23,0.095761,0.097474,0.088600,0.095214,0.095214,10350
2021-10-24,0.095215,0.095577,0.086255,0.095325,0.095325,21005
2021-10-25,0.095305,0.097348,0.084215,0.094402,0.094402,24670
2021-10-26,0.094413,0.095028,0.089796,0.090909,0.090909,1603
2021-10-27,0.090934,0.095829,0.087860,0.092162,0.092162,12238
2021-10-28,0.092100,0.101200,0.091716,0.099775,0.099775,21559
2021-10-29,0.099785,0.101928,0.095803,0.100514,0.100514,11984
2021-10-30,0.100489,0.101260,0.098822,0.100971,0.100971,36063
2021-10-31,0.101071,0.103641,0.093775,0.095959,0.095959,49646
2021-11-01,0.095957,0.100165,0.090142,0.090584,0.090584,49191
2021-11-02,0.090580,0.094756,0.090124,0.093305,0.093305,42849
2021-11-03,0.093317,0.093802,0.084610,0.085845,0.085845,31459
2021-11-04,0.085848,0.094260,0.082436,0.082441,0.082441,28279
2021-11-05,0.082434,0.099453,0.073068,0.073372,0.073372,40639
2021-11-06,0.073371,0.083869,0.071346,0.075133,0.075133,39799
2021-11-07,0.075135,0.075525,0.068920,0.069374,0.069374,41837
2021-11-08,0.069396,0.079677,0.069000,0.079677,0.079677,63930
2021-11-09,0.079673,0.083383,0.078194,0.078567,0.078567,48238
2021-11-10,0.078544,0.080396,0.073827,0.075684,0.075684,25057
2021-11-11,0.075784,0.083807,0.074963,0.083807,0.083807,37033
2021-11-12,0.083877,0.090517,0.083601,0.088952,0.088952,72173
2021-11-13,0.088958,0.093081,0.086434,0.092476,0.092476,71308
2021-11-14,0.092467,0.093996,0.089796,0.092830,0.092830,52408
2021-11-15,0.092840,0.097997,0.091867,0.093562,0.093562,62692
2021-11-16,0.093574,0.094262,0.080270,0.085031,0.085031,27553
2021-11-17,0.085001,0.088602,0.081924,0.086174,0.086174,17914
2021-11-18,0.086188,0.091525,0.081105,0.086959,0.086959,35071
2021-11-19,0.086963,0.091677,0.080801,0.085439,0.085439,57619
2021-11-20,0.085419,0.090271,0.083062,0.088753,0.088753,59019
2021-11-21,0.088773,0.090733,0.085693,0.086871,0.086871,58827
2021-11-22,0.086900,0.088257,0.081431,0.082389,0.082389,54158
2021-11-23,0.082353,0.084089,0.078293,0.081787,0.081787,50027
2021-11-24,0.081764,0.082254,0.077902,0.079258,0.079258,48964
2021-11-25,0.080587,0.082601,0.079588,0.080597,0.080597,54070
2021-11-26,0.081766,0.082357,0.067085,0.070173,0.070173,43981
2021-11-27,0.070152,0.076654,0.069841,0.073483,0.073483,52657
2021-11-28,0.073555,0.074185,0.067173,0.071090,0.071090,26618
2021-11-29,0.071128,0.072363,0.069604,0.070586,0.070586,27114
2021-11-30,0.070600,0.072922,0.067431,0.071932,0.071932,47876
2021-12-01,0.071938,0.072497,0.069148,0.071252,0.071252,46452
2021-12-02,0.071246,0.071499,0.067513,0.068449,0.068449,44639
2021-12-03,0.068359,0.071535,0.064469,0.065862,0.065862,50646
2021-12-04,0.065851,0.075057,0.056795,0.069905,0.069905,47624
2021-12-05,0.069908,0.073644,0.066146,0.068371,0.068371,39242
2021-12-06,0.068376,0.070655,0.066158,0.070155,0.070155,38798
2021-12-07,0.070202,0.070485,0.067572,0.068784,0.068784,50073
2021-12-08,0.068778,0.074301,0.063866,0.066879,0.066879,53248
2021-12-09,0.066824,0.072276,0.055518,0.065049,0.065049,45830
2021-12-10,0.065035,0.066294,0.055729,0.062484,0.062484,44335
2021-12-11,0.062455,0.063806,0.058356,0.060441,0.060441,39714
2021-12-12,0.060407,0.061602,0.057597,0.059752,0.059752,30273
2021-12-13,0.059772,0.060110,0.051914,0.054921,0.054921,16906
2021-12-14,0.054940,0.056253,0.053884,0.054304,0.054304,40023
2021-12-15,0.055762,0.067487,0.052239,0.061785,0.061785,41810
2021-12-16,0.061771,0.062790,0.053494,0.054102,0.054102,43195
2021-12-17,0.054131,0.055815,0.046808,0.047934,0.047934,26538
2021-12-18,0.047885,0.055722,0.043658,0.047190,0.047190,37679
2021-12-19,0.047188,0.050909,0.044529,0.048556,0.048556,30690
2021-12-20,0.048571,0.050342,0.045287,0.050201,0.050201,29784
2021-12-21,0.050186,0.064230,0.050144,0.064175,0.064175,52940
2021-12-22,0.064202,0.072553,0.062409,0.069461,0.069461,66010
2021-12-23,0.069467,0.078986,0.067767,0.078606,0.078606,75945
2021-12-24,0.078607,0.081389,0.074960,0.081152,0.081152,79196
2021-12-25,0.081124,0.081477,0.079228,0.079699,0.079699,79420
2021-12-26,0.079661,0.080264,0.078497,0.079939,0.079939,78664
2021-12-27,0.079940,0.083865,0.079690,0.082664,0.082664,80344
2021-12-28,0.082615,0.084648,0.080492,0.083641,0.083641,79712
2021-12-29,0.083585,0.106652,0.083424,0.102770,0.102770,93860
2021-12-30,0.102721,0.110811,0.102342,0.109585,0.109585,126727
2021-12-31,0.109579,0.116148,0.109237,0.111450,0.111450,137818
2022-01-01,0.111449,0.123180,0.111300,0.123180,0.123180,142878
2022-01-02,0.123173,0.123181,0.118122,0.121852,0.121852,133963
2022-01-03,0.121850,0.122859,0.117358,0.117976,0.117976,91267
2022-01-04,0.117976,0.120985,0.115131,0.118338,0.118338,141757
2022-01-05,0.118340,0.133726,0.112681,0.129374,0.129374,138682
2022-01-06,0.129370,0.130024,0.124527,0.124691,0.124691,135580
2022-01-07,0.124684,0.127152,0.104147,0.107462,0.107462,150639
2022-01-08,0.107467,0.124423,0.104550,0.120853,0.120853,145585
2022-01-09,0.120854,0.125819,0.111754,0.123510,0.123510,115486
2022-01-10,0.123508,0.124438,0.116860,0.122239,0.122239,145571
2022-01-11,0.122237,0.123707,0.121205,0.123408,0.123408,144500
2022-01-12,0.123417,0.124686,0.122814,0.122939,0.122939,153261
2022-01-13,0.122936,0.124471,0.114334,0.116400,0.116400,114039
2022-01-14,0.116408,0.119099,0.105132,0.118570,0.118570,89377
2022-01-15,0.118574,0.118689,0.114562,0.114669,0.114669,142043
2022-01-16,0.114669,0.114996,0.105891,0.106165,0.106165,141435
2022-01-17,0.106171,0.106677,0.065065,0.075874,0.075874,132166
