Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.067175,0.089641,0.060922,0.076702,0.076702,29678
2021-08-23,0.076703,0.078089,0.064413,0.067596,0.067596,27131
2021-08-24,0.067598,0.077091,0.062753,0.070312,0.070312,31387
2021-08-25,0.070301,0.072235,0.054736,0.059603,0.059603,28551
2021-08-26,0.059609,0.078199,0.055286,0.076961,0.076961,45409
2021-08-27,0.076963,0.082749,0.072068,0.079000,0.079000,30856
2021-08-28,0.078996,0.081189,0.067782,0.081189,0.081189,276
2021-08-29,0.081178,0.082302,0.076681,0.078120,0.078120,367
2021-08-30,0.078128,0.082414,0.076028,0.082234,0.082234,251
2021-08-31,0.082346,0.082346,0.075735,0.076845,0.076845,354
2021-09-01,0.076882,0.077871,0.073819,0.076709,0.076709,221
2021-09-02,0.076690,0.079282,0.076384,0.077958,0.077958,218
2021-09-03,0.077938,0.078368,0.075482,0.076060,0.076060,271
2021-09-04,0.076039,0.077221,0.074825,0.075915,0.075915,1643
2021-09-05,0.075916,0.079607,0.074534,0.079175,0.079175,490
2021-09-06,0.079183,0.080457,0.077602,0.079499,0.079499,173
2021-09-07,0.079477,0.080186,0.065361,0.070699,0.070699,5375
2021-09-08,0.070685,0.091212,0.067288,0.080200,0.080200,2026
2021-09-09,0.078759,0.085543,0.078552,0.078841,0.078841,193
2021-09-10,0.078865,0.082531,0.070508,0.071346,0.071346,235
2021-09-11,0.071365,0.076313,0.070813,0.071841,0.071841,182
2021-09-12,0.071870,0.072927,0.069297,0.071916,0.071916,114
2021-09-13,0.071859,0.072130,0.066259,0.070146,0.070146,539
2021-09-14,0.070142,0.075549,0.069814,0.072494,0.072494,260
2021-09-15,0.072522,0.075583,0.071953,0.075152,0.075152,149
2021-09-16,0.075155,0.075639,0.071090,0.072145,0.072145,173
2021-09-17,0.072153,0.072626,0.070249,0.071314,0.071314,224
2021-09-18,0.071374,0.075014,0.070631,0.073336,0.073336,300
2021-09-19,0.073383,0.073899,0.070849,0.071380,0.071380,144
2021-09-20,0.071363,0.071466,0.064004,0.064747,0.064747,480
2021-09-21,0.064694,0.066566,0.060477,0.063889,0.063889,162
2021-09-22,0.063864,0.066848,0.061893,0.065813,0.065813,155
2021-09-23,0.065776,0.073204,0.065095,0.073185,0.073185,2853
2021-09-24,0.073179,0.073179,0.063042,0.064692,0.064692,560
2021-09-25,0.064688,0.067504,0.063057,0.064502,0.064502,1556
2021-09-26,0.064502,0.066408,0.061273,0.064853,0.064853,862
2021-09-27,0.064813,0.067656,0.063367,0.065466,0.065466,213
2021-09-28,0.065465,0.065697,0.061397,0.061464,0.061464,244
