Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.007703,0.007792,0.007591,0.007770,0.007770,0
2021-08-23,0.007768,0.007951,0.007729,0.007802,0.007802,0
2021-08-24,0.007804,0.007856,0.007511,0.007522,0.007522,0
2021-08-25,0.007514,0.007741,0.007428,0.007711,0.007711,0
2021-08-26,0.007711,0.007771,0.004797,0.004835,0.004835,14
2021-08-27,0.004835,0.006704,0.004779,0.006691,0.006691,0
2021-08-28,0.006697,0.006725,0.004995,0.005037,0.005037,13
2021-08-29,0.005037,0.006743,0.004936,0.006665,0.006665,0
2021-08-30,0.006665,0.006678,0.006409,0.006423,0.006423,0
2021-08-31,0.006419,0.006578,0.006381,0.006444,0.006444,0
2021-09-01,0.006435,0.007121,0.006356,0.007075,0.007075,161
2021-09-02,0.007085,0.007850,0.007055,0.007771,0.007771,0
2021-09-03,0.007769,0.008026,0.007621,0.007881,0.007881,0
2021-09-04,0.007879,0.007961,0.007804,0.007866,0.007866,0
2021-09-05,0.007866,0.008169,0.007802,0.008150,0.008150,0
2021-09-06,0.008151,0.008300,0.008041,0.008292,0.008292,0
2021-09-07,0.008290,0.008324,0.003896,0.004214,0.004214,70
2021-09-08,0.004213,0.005494,0.004011,0.005416,0.005416,0
2021-09-09,0.005380,0.005553,0.005366,0.005449,0.005449,0
2021-09-10,0.005451,0.005526,0.005210,0.005272,0.005272,0
2021-09-11,0.005274,0.005401,0.005266,0.005309,0.005309,0
2021-09-12,0.005311,0.005448,0.005263,0.005417,0.005417,0
2021-09-13,0.005412,0.005475,0.005122,0.005283,0.005283,0
2021-09-14,0.005283,0.005548,0.005258,0.005531,0.005531,0
2021-09-15,0.005533,0.005693,0.005496,0.005660,0.005660,0
2021-09-16,0.005661,0.005697,0.005532,0.005614,0.005614,0
2021-09-17,0.005615,0.007609,0.005580,0.007462,0.007462,3
2021-09-18,0.007468,0.007635,0.005930,0.005983,0.005983,0
2021-09-19,0.005987,0.014326,0.005852,0.014182,0.014182,113
2021-09-20,0.014178,0.014198,0.009755,0.009819,0.009819,0
2021-09-21,0.009811,0.009986,0.009111,0.009287,0.009287,0
2021-09-22,0.009319,0.010069,0.009303,0.009981,0.009981,0
2021-09-23,0.009979,0.010292,0.009872,0.010282,0.010282,0
2021-09-24,0.010281,0.010323,0.009374,0.009811,0.009811,0
2021-09-25,0.009810,0.009846,0.009563,0.009782,0.009782,0
2021-09-26,0.009782,0.009998,0.003083,0.003113,0.003113,12
2021-09-27,0.003111,0.009202,0.003095,0.008827,0.008827,61
2021-09-28,0.008827,0.010886,0.000819,0.000820,0.000820,418
2021-09-29,0.000821,0.012338,0.000817,0.012045,0.012045,17
