Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,3.512537,3.522579,3.367039,3.486387,3.486387,1558709
2021-08-23,3.486318,3.509815,3.271950,3.345822,3.345822,1717372
2021-08-24,3.345860,3.428709,2.883423,3.200276,3.200276,1615509
2021-08-25,3.200348,3.295563,2.931763,3.212997,3.212997,1631436
2021-08-26,3.210353,3.275407,2.894764,3.046367,3.046367,2181814
2021-08-27,3.046956,3.134283,2.987180,3.090903,3.090903,1546022
2021-08-28,3.090845,3.131272,2.850936,3.046574,3.046574,1804290
2021-08-29,3.033109,3.157403,3.000136,3.115748,3.115748,1539152
2021-08-30,3.116049,3.208468,3.030824,3.102174,3.102174,1751642
2021-08-31,3.101504,3.308960,3.089451,3.224853,3.224853,1602430
2021-09-01,3.225031,3.389633,3.196358,3.330390,3.330390,1941559
2021-09-02,3.331331,3.375343,3.182808,3.249741,3.249741,2333603
2021-09-03,3.248415,3.268148,3.112007,3.169839,3.169839,1700867
2021-09-04,3.169771,3.233973,3.091482,3.184528,3.184528,1662238
2021-09-05,3.184121,3.224640,3.087383,3.193161,3.193161,1426575
2021-09-06,3.193040,3.197557,2.833478,3.111877,3.111877,1648123
2021-09-07,3.112298,3.638618,3.091000,3.407900,3.407900,3572215
2021-09-08,3.408283,3.755627,3.152254,3.154834,3.154834,2518258
2021-09-09,3.122476,3.454794,3.032429,3.354779,3.354779,2284154
2021-09-10,3.353393,3.387260,3.187258,3.202191,3.202191,2243594
2021-09-11,3.202524,3.326110,3.039593,3.282726,3.282726,2608320
2021-09-12,3.281312,3.366187,3.198236,3.201936,3.201936,1986503
2021-09-13,3.201835,3.266120,3.006626,3.232851,3.232851,1841504
2021-09-14,3.232167,3.352431,3.149016,3.187183,3.187183,2228589
2021-09-15,3.187450,3.243916,3.104266,3.180749,3.180749,1592419
2021-09-16,3.180857,3.367267,3.139519,3.188666,3.188666,1859328
2021-09-17,3.189328,3.303626,3.061137,3.068550,3.068550,1803700
2021-09-18,3.068828,3.156481,2.969143,3.040207,3.040207,1697507
