Date,Open,High,Low,Close,Adj Close,Volume
2021-11-24,0.428955,0.447032,0.404475,0.405226,0.405226,151103
2021-11-25,0.405015,0.485143,0.400606,0.433572,0.433572,587208
2021-11-26,0.403155,0.430062,0.385073,0.390751,0.390751,531426
2021-11-27,0.390678,0.398409,0.373933,0.376412,0.376412,501430
2021-11-28,0.376288,0.415196,0.370883,0.394360,0.394360,526836
2021-11-29,0.393923,0.403839,0.363688,0.376657,0.376657,529555
2021-11-30,0.376574,0.447266,0.358473,0.397981,0.397981,575714
2021-12-01,0.397964,0.439422,0.396383,0.437889,0.437889,495148
2021-12-02,0.438220,0.461371,0.414726,0.414726,0.414726,473888
2021-12-03,0.415240,0.418556,0.379053,0.379140,0.379140,487857
2021-12-04,0.379549,0.414092,0.365868,0.375373,0.375373,502139
2021-12-05,0.375340,0.377127,0.360951,0.361564,0.361564,462020
2021-12-06,0.361612,0.381783,0.338661,0.379513,0.379513,523959
2021-12-07,0.379668,0.398990,0.373576,0.381775,0.381775,437232
2021-12-08,0.381798,0.381798,0.367077,0.367384,0.367384,413970
2021-12-09,0.366978,0.383131,0.366282,0.368062,0.368062,498364
2021-12-10,0.368360,0.381283,0.358103,0.360830,0.360830,479855
2021-12-11,0.360808,0.363224,0.356215,0.360946,0.360946,489863
2021-12-12,0.360971,0.367660,0.330913,0.362691,0.362691,508826
2021-12-13,0.362867,0.375055,0.326611,0.369741,0.369741,515485
2021-12-14,0.369900,0.370991,0.356945,0.357336,0.357336,467036
2021-12-15,0.357229,0.372028,0.356469,0.368112,0.368112,445247
2021-12-16,0.368030,0.370037,0.365625,0.366159,0.366159,441540
2021-12-17,0.366176,0.488206,0.326072,0.488206,0.488206,709890
2021-12-18,0.486044,0.723206,0.374015,0.387153,0.387153,816793
2021-12-19,0.389076,0.426930,0.363969,0.376228,0.376228,506476
2021-12-20,0.376135,0.490931,0.349587,0.384960,0.384960,518443
2021-12-21,0.384960,0.393961,0.383649,0.386104,0.386104,493530
2021-12-22,0.386293,0.386691,0.354572,0.368747,0.368747,480565
2021-12-23,0.368592,0.369270,0.341844,0.361317,0.361317,440275
2021-12-24,0.361411,0.367521,0.353033,0.354741,0.354741,425015
2021-12-25,0.354591,0.355650,0.340147,0.341407,0.341407,436249
2021-12-26,0.341420,0.350274,0.326880,0.350274,0.350274,453582
2021-12-27,0.350144,0.355803,0.343188,0.344489,0.344489,386038
2021-12-28,0.344604,0.347493,0.340391,0.341542,0.341542,427809
2021-12-29,0.341804,0.345280,0.330690,0.332777,0.332777,455333
2021-12-30,0.332798,0.334351,0.328907,0.329419,0.329419,411299
2021-12-31,0.329441,0.329441,0.257054,0.260787,0.260787,521267
2022-01-01,0.260762,0.274571,0.260371,0.263432,0.263432,373508
2022-01-02,0.263429,0.270093,0.261474,0.261720,0.261720,426178
2022-01-03,0.261718,0.263891,0.250120,0.253142,0.253142,280442
2022-01-04,0.253141,0.262091,0.246376,0.250802,0.250802,610284
2022-01-05,0.250801,0.251394,0.185922,0.190473,0.190473,370929
2022-01-06,0.190473,0.197932,0.138634,0.147539,0.147539,447063
2022-01-07,0.147541,0.149724,0.120056,0.131733,0.131733,496139
2022-01-08,0.131734,0.131734,0.114588,0.117006,0.117006,437816
2022-01-09,0.116706,0.121829,0.107818,0.118686,0.118686,282497
2022-01-10,0.118685,0.118919,0.108858,0.110430,0.110430,441863
2022-01-11,0.110430,0.120201,0.110375,0.117242,0.117242,429976
2022-01-12,0.117243,0.119782,0.113667,0.115533,0.115533,450161
2022-01-13,0.115533,0.127141,0.115044,0.123500,0.123500,468657
2022-01-14,0.123726,0.125700,0.122201,0.122728,0.122728,538600
2022-01-15,0.122730,0.123227,0.121942,0.122675,0.122675,451994
2022-01-16,0.122682,0.122830,0.121970,0.122451,0.122451,461699
2022-01-17,0.122449,0.188704,0.114825,0.117207,0.117207,529744
2022-01-18,0.117426,0.151469,0.109619,0.116899,0.116899,546114
2022-01-19,0.116898,0.116898,0.110497,0.114124,0.114124,579494
2022-01-20,0.114123,0.114598,0.109147,0.110775,0.110775,421365
2022-01-21,0.110776,0.111040,0.090545,0.091091,0.091091,446889
2022-01-22,0.091092,0.091589,0.081623,0.082098,0.082098,418854
2022-01-23,0.082093,0.082268,0.082091,0.082238,0.082238,432535
2022-01-24,0.082238,0.082774,0.082206,0.082223,0.082223,455660
2022-01-25,0.082223,0.085831,0.082203,0.083087,0.083087,458729
2022-01-26,0.083090,0.083240,0.082218,0.083159,0.083159,458360
2022-01-27,0.083159,0.083280,0.082262,0.082392,0.082392,437620
2022-01-28,0.082393,0.082744,0.081740,0.082198,0.082198,443326
2022-01-29,0.082197,0.082866,0.081799,0.082797,0.082797,448091
2022-01-30,0.082797,0.084049,0.082341,0.082997,0.082997,458732
2022-01-31,0.082991,0.083417,0.067693,0.069723,0.069723,450566
2022-02-01,0.069736,0.089190,0.063528,0.082798,0.082798,692611
2022-02-02,0.082784,0.235469,0.082519,0.114743,0.114743,1045757
2022-02-03,0.114743,0.131859,0.109942,0.115046,0.115046,542180
2022-02-04,0.114968,0.118087,0.102524,0.103535,0.103535,468957
2022-02-05,0.103535,0.141618,0.097818,0.104129,0.104129,559232
2022-02-06,0.104128,0.131905,0.103409,0.111843,0.111843,542741
2022-02-07,0.111843,0.125779,0.108101,0.113475,0.113475,486372
2022-02-08,0.113473,0.116543,0.111732,0.115863,0.115863,486785
2022-02-09,0.115862,0.117480,0.111267,0.113352,0.113352,438494
