Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.451586,0.460176,0.414080,0.444407,0.444407,706478
2021-08-23,0.444359,0.512512,0.419683,0.456677,0.456677,938460
2021-08-24,0.456826,0.459476,0.395515,0.407103,0.407103,618157
2021-08-25,0.406765,0.418220,0.380283,0.407533,0.407533,497393
2021-08-26,0.408476,0.408964,0.380177,0.383929,0.383929,469476
2021-08-27,0.384224,0.396819,0.377989,0.395705,0.395705,337121
2021-08-28,0.395880,0.414701,0.393667,0.404577,0.404577,577696
2021-08-29,0.404767,0.412794,0.395236,0.412158,0.412158,518963
2021-08-30,0.412177,0.425122,0.359911,0.368383,0.368383,464212
2021-08-31,0.371362,0.379285,0.355568,0.369556,0.369556,397340
2021-09-01,0.369555,0.416129,0.369555,0.392329,0.392329,652358
2021-09-02,0.392644,0.407395,0.379988,0.389011,0.389011,827804
2021-09-03,0.388246,0.392358,0.351136,0.356335,0.356335,717564
2021-09-04,0.354361,0.357125,0.324061,0.351017,0.351017,524841
2021-09-05,0.350911,0.360235,0.338990,0.344746,0.344746,779490
2021-09-06,0.344125,0.358860,0.341640,0.350097,0.350097,936215
2021-09-07,0.349618,0.353763,0.285052,0.286920,0.286920,637497
2021-09-08,0.287123,0.298556,0.262777,0.274852,0.274852,617122
2021-09-09,0.270746,0.303484,0.265796,0.284941,0.284941,668679
2021-09-10,0.285361,0.292690,0.273047,0.277925,0.277925,533428
2021-09-11,0.277549,0.301485,0.266516,0.288052,0.288052,603308
2021-09-12,0.288523,0.304044,0.283395,0.289517,0.289517,527511
2021-09-13,0.290043,0.290577,0.261081,0.278981,0.278981,660153
2021-09-14,0.278927,0.290000,0.270729,0.287772,0.287772,546280
2021-09-15,0.288605,0.381335,0.282501,0.345321,0.345321,978617
2021-09-16,0.345666,0.345776,0.308584,0.311896,0.311896,552340
2021-09-17,0.311711,0.311711,0.293617,0.296584,0.296584,459742
2021-09-18,0.296763,0.370517,0.294367,0.316898,0.316898,672882
2021-09-19,0.316945,0.323216,0.314213,0.320750,0.320750,525329
2021-09-20,0.320989,0.321795,0.283457,0.285748,0.285748,454774
2021-09-21,0.284927,0.290203,0.260293,0.260788,0.260788,411714
2021-09-22,0.261500,0.271597,0.258231,0.271241,0.271241,394972
2021-09-23,0.271253,0.342900,0.264069,0.295188,0.295188,548676
2021-09-24,0.293638,0.296374,0.230607,0.265950,0.265950,547091
2021-09-25,0.266262,0.269372,0.255004,0.260432,0.260432,372801
2021-09-26,0.260373,0.262795,0.241816,0.260213,0.260213,321342
2021-09-27,0.260131,0.265803,0.251447,0.253655,0.253655,478347
2021-09-28,0.253549,0.256774,0.237229,0.237628,0.237628,428663
2021-09-29,0.237722,0.245474,0.235420,0.239691,0.239691,353290
2021-09-30,0.240011,0.252805,0.236946,0.250180,0.250180,436272
2021-10-01,0.250347,0.275191,0.244895,0.265606,0.265606,415354
2021-10-02,0.265565,0.275776,0.261874,0.267512,0.267512,380792
2021-10-03,0.267470,0.269161,0.256489,0.259340,0.259340,422580
2021-10-04,0.259292,0.262611,0.251908,0.260345,0.260345,414537
2021-10-05,0.260268,0.273031,0.254765,0.271288,0.271288,680994
2021-10-06,0.271527,0.273343,0.259728,0.271494,0.271494,417370
2021-10-07,0.270192,0.273330,0.258269,0.258982,0.258982,440521
2021-10-08,0.258935,0.261641,0.243312,0.243765,0.243765,368865
2021-10-09,0.243879,0.259823,0.231126,0.240629,0.240629,379610
2021-10-10,0.240609,0.242294,0.227333,0.228533,0.228533,285140
2021-10-11,0.228413,0.232972,0.226003,0.229233,0.229233,253831
2021-10-12,0.228570,0.237077,0.215797,0.229523,0.229523,225118
