Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,4.569155,4.569155,0.797271,1.440393,1.440393,103162901
2022-06-01,1.442230,1.988328,1.062896,1.236157,1.236157,682774811
2022-06-02,1.235608,1.601671,1.069720,1.546957,1.546957,620359139
2022-06-03,1.546316,1.641030,1.301170,1.381000,1.381000,417955791
2022-06-04,1.380276,1.475509,1.308525,1.392702,1.392702,241114246
2022-06-05,1.393220,1.430932,1.161252,1.164587,1.164587,212004311
2022-06-06,1.164969,1.360216,1.161051,1.319743,1.319743,227393598
2022-06-07,1.320509,1.321283,1.091441,1.108456,1.108456,200098424
2022-06-08,1.108025,1.114632,0.714168,0.728440,0.728440,253208849
2022-06-09,0.726897,0.901302,0.726897,0.827789,0.827789,236508205
2022-06-10,0.826857,0.959821,0.801327,0.878311,0.878311,283016458
2022-06-11,0.878724,0.925882,0.730957,0.756035,0.756035,157632364
2022-06-12,0.756495,0.775144,0.633513,0.649787,0.649787,187200982
2022-06-13,0.648438,0.665762,0.500105,0.542144,0.542144,213773087
2022-06-14,0.542235,0.621216,0.513070,0.569307,0.569307,149746335
2022-06-15,0.568763,0.600700,0.474707,0.594102,0.594102,302721500
2022-06-16,0.593922,0.619953,0.481949,0.488835,0.488835,110466875
2022-06-17,0.489220,0.525981,0.487664,0.518645,0.518645,61169677
2022-06-18,0.518371,0.525718,0.400508,0.449491,0.449491,80869407
2022-06-19,0.449555,0.524874,0.436651,0.507939,0.507939,58129880
2022-06-20,0.507833,0.543353,0.471344,0.503554,0.503554,66742196
2022-06-21,0.503324,0.568366,0.492547,0.511118,0.511118,72080094
2022-06-22,0.511642,0.513655,0.459383,0.461039,0.461039,50826853
2022-06-23,0.461183,0.529707,0.461183,0.524947,0.524947,49094801
2022-06-24,0.524135,0.636158,0.512327,0.588017,0.588017,115970123
2022-06-25,0.588178,0.646916,0.553464,0.582581,0.582581,111669737
2022-06-26,0.582484,0.632632,0.536679,0.537212,0.537212,88363510
2022-06-27,0.537971,0.580901,0.518620,0.536431,0.536431,50550424
2022-06-28,0.536216,0.563315,0.508138,0.529356,0.529356,68945121
2022-06-29,0.529454,0.610675,0.522695,0.580708,0.580708,99720860
2022-06-30,0.580796,0.605489,0.510469,0.543376,0.543376,63890832
2022-07-01,0.543937,0.570812,0.518905,0.527909,0.527909,44177893
2022-07-02,0.528408,0.546525,0.512261,0.525543,0.525543,29698910
2022-07-03,0.525539,0.533280,0.511854,0.520688,0.520688,22068114
2022-07-04,0.520706,0.568357,0.514760,0.561407,0.561407,35452857
2022-07-05,0.561431,0.565108,0.515967,0.524358,0.524358,39910755
2022-07-06,0.524727,0.552744,0.518415,0.542131,0.542131,34084146
2022-07-07,0.542362,0.587232,0.542362,0.576168,0.576168,50825107
2022-07-08,0.576253,0.620904,0.559289,0.568748,0.568748,57656545
2022-07-09,0.568138,0.584188,0.558227,0.574651,0.574651,33273609
2022-07-10,0.574368,0.574368,0.526149,0.533861,0.533861,30622607
2022-07-11,0.533763,0.534588,0.476143,0.481893,0.481893,30488421
2022-07-12,0.481819,0.489802,0.446676,0.450625,0.450625,35842851
2022-07-13,0.450535,0.471150,0.414720,0.470614,0.470614,48140093
2022-07-14,0.471738,0.501791,0.442498,0.491356,0.491356,46990147
2022-07-15,0.491409,0.511149,0.478341,0.483099,0.483099,48015657
2022-07-16,0.483026,0.530494,0.472008,0.520447,0.520447,46313788
2022-07-17,0.520520,0.612841,0.515405,0.579266,0.579266,139693966
2022-07-18,0.579500,0.825112,0.565883,0.824529,0.824529,354671911
2022-07-19,0.822957,0.822957,0.704519,0.722399,0.722399,195372260
2022-07-20,0.722190,0.831628,0.679978,0.684720,0.684720,213509813
2022-07-21,0.684597,0.786290,0.653195,0.772468,0.772468,153724348
2022-07-22,0.773447,0.873666,0.733787,0.825987,0.825987,223030623
2022-07-23,0.828629,0.956943,0.814057,0.934399,0.934399,261397583
2022-07-24,0.935786,0.969920,0.896091,0.921069,0.921069,176804029
2022-07-25,0.921486,0.921486,0.797028,0.797028,0.797028,150477635
2022-07-26,0.797070,0.821883,0.750003,0.821883,0.821883,128878144
2022-07-27,0.821887,1.068287,0.809374,1.053015,1.053015,252881906
2022-07-28,1.053155,1.511077,1.033192,1.452801,1.452801,643624055
2022-07-29,1.450984,1.914640,1.418220,1.846418,1.846418,986132202
2022-07-30,1.844796,1.880452,1.647718,1.788727,1.788727,500438144
2022-07-31,1.789714,1.803921,1.577186,1.586213,1.586213,281601943
2022-08-01,1.585500,1.680146,1.430420,1.520504,1.520504,270305650
2022-08-02,1.519601,1.663092,1.369941,1.614841,1.614841,392474731
2022-08-03,1.617489,2.140233,1.544669,1.993275,1.993275,693619579
2022-08-04,1.993664,2.217135,1.832940,1.914639,1.914639,632686734
