Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,7.376385,7.505926,6.787509,6.960508,6.960508,1469308
2021-08-23,6.958889,8.388214,6.937405,8.197316,8.197316,2469357
2021-08-24,8.184534,8.234318,6.628898,7.104505,7.104505,2605457
2021-08-25,7.102047,7.274167,6.169766,7.158619,7.158619,2021884
2021-08-26,7.061151,7.243800,6.390453,6.416575,6.416575,1243016
2021-08-27,6.417131,7.441612,6.372896,6.882973,6.882973,3748276
2021-08-28,6.886954,6.886954,6.432591,6.661765,6.661765,3860891
2021-08-29,6.650010,6.755623,6.120578,6.287623,6.287623,3125615
2021-08-30,6.282005,6.874066,5.582118,6.232506,6.232506,4254533
2021-08-31,6.236770,6.277431,5.898527,6.076202,6.076202,3616287
2021-09-01,6.073434,6.224266,5.841692,6.188340,6.188340,4238722
2021-09-02,6.182966,6.861893,6.148921,6.843383,6.843383,4878595
2021-09-03,6.842199,7.985038,6.619420,7.499935,7.499935,5325496
2021-09-04,7.499824,7.888247,6.858140,7.274551,7.274551,4836070
2021-09-05,7.274348,7.523993,7.236481,7.439857,7.439857,4151754
2021-09-06,7.439405,7.713174,6.864259,6.981061,6.981061,3473661
2021-09-07,6.981056,7.730379,6.560317,6.584197,6.584197,1747697
2021-09-08,6.584442,6.915435,6.108408,6.529284,6.529284,1315289
2021-09-09,6.551322,7.272768,6.373531,6.590406,6.590406,1249665
2021-09-10,6.597376,6.618886,6.248595,6.296842,6.296842,1110904
2021-09-11,6.295359,7.684635,6.185137,7.312427,7.312427,1514875
2021-09-12,7.314144,7.639431,7.068431,7.611483,7.611483,1015416
2021-09-13,7.609875,7.610737,6.531167,7.047929,7.047929,1432006
2021-09-14,7.046957,7.333233,6.842415,7.096874,7.096874,1016347
2021-09-15,7.097218,7.445429,6.411332,6.933919,6.933919,1614590
2021-09-16,6.935833,7.545082,6.788131,6.839603,6.839603,1607810
2021-09-17,6.839755,7.208089,6.796833,6.899063,6.899063,1438532
2021-09-18,6.900246,8.757743,6.812315,8.525028,8.525028,2665660
2021-09-19,8.525704,10.169467,8.119805,9.366662,9.366662,2898409
2021-09-20,9.349842,9.349842,7.785950,7.839540,7.839540,2441797
2021-09-21,7.832757,8.050331,6.974594,7.177353,7.177353,1823464
2021-09-22,7.176738,9.498434,6.875003,9.455653,9.455653,2237622
2021-09-23,9.457805,9.862107,8.903375,9.182783,9.182783,2212929
2021-09-24,9.207987,9.364771,7.824828,7.940428,7.940428,1819334
2021-09-25,7.943389,8.726062,7.943389,8.471661,8.471661,1617741
2021-09-26,8.469911,9.315399,7.662879,8.801284,8.801284,1956560
2021-09-27,8.801742,9.251671,8.506827,8.581046,8.581046,2263903
2021-09-28,8.581534,8.754872,7.749826,7.779576,7.779576,2307533
2021-09-29,7.776870,8.137041,7.657886,7.807679,7.807679,2485821
2021-09-30,7.807015,8.261048,7.807015,8.060891,8.060891,2581314
2021-10-01,8.060892,8.783931,7.854113,8.637410,8.637410,1311829
2021-10-02,8.638436,8.971223,7.573031,7.881273,7.881273,1745397
2021-10-03,7.878988,8.171908,7.861770,8.000788,8.000788,1500783
2021-10-04,8.000827,8.025223,7.437616,7.955463,7.955463,1607770
2021-10-05,7.955843,7.987995,7.514604,7.890460,7.890460,1497340
2021-10-06,7.889396,7.966438,7.202671,7.534587,7.534587,1164846
2021-10-07,7.533820,7.784322,7.231457,7.559625,7.559625,1183347
2021-10-08,7.559493,7.926875,7.399917,7.718784,7.718784,1378091
2021-10-09,7.719141,7.834581,7.484063,7.629294,7.629294,1221715
2021-10-10,7.628278,7.698815,7.395278,7.409073,7.409073,1430956
2021-10-11,7.408479,7.844571,7.330760,7.557404,7.557404,1521262
2021-10-12,7.555248,7.555248,6.897111,7.121295,7.121295,1235396
2021-10-13,7.124480,7.581642,6.835212,7.103069,7.103069,1397474
2021-10-14,7.104220,7.440286,6.976871,7.293741,7.293741,1652472
2021-10-15,7.293176,7.517275,7.052882,7.186460,7.186460,1200657
2021-10-16,7.187189,7.426981,7.061634,7.150067,7.150067,1202926
2021-10-17,7.148338,7.148338,6.558517,6.769047,6.769047,1197762
2021-10-18,6.769776,7.577945,6.769776,7.384320,7.384320,1525258
2021-10-19,7.385077,9.166315,7.170946,8.792085,8.792085,1541919
2021-10-20,8.787902,9.185908,7.634845,9.016968,9.016968,1914236
2021-10-21,9.013276,9.545742,8.052758,9.545742,9.545742,2412900
2021-10-22,9.542171,11.015085,9.320522,9.320522,9.320522,2646146
2021-10-23,9.319917,10.111840,8.986416,9.873923,9.873923,2068734
2021-10-24,9.875865,10.071752,8.951979,9.006349,9.006349,2330288
2021-10-25,9.006555,9.406752,8.635805,8.929123,8.929123,2346446
2021-10-26,8.930099,10.582348,8.924951,10.086946,10.086946,3864189
2021-10-27,10.080402,10.635399,8.171872,9.930654,9.930654,3977041
2021-10-28,9.935360,11.962561,9.847430,11.962561,11.962561,3663192
2021-10-29,11.963672,12.216841,11.186392,11.572209,11.572209,3515441
2021-10-30,11.577247,11.728613,10.484617,11.249001,11.249001,2788436
2021-10-31,11.253273,12.409599,11.102254,11.666619,11.666619,2570125
2021-11-01,11.672254,12.058901,11.171715,11.835486,11.835486,2700055
2021-11-02,11.836460,13.601422,11.083133,13.126740,13.126740,463780822
2021-11-03,13.126687,14.401964,12.676243,14.126261,14.126261,7310246
2021-11-04,14.128212,15.562190,13.758290,14.706969,14.706969,3986298
2021-11-05,14.698509,14.813129,12.762914,12.974253,12.974253,2595671
2021-11-06,12.976673,13.459348,12.329384,12.975034,12.975034,2565741
2021-11-07,12.975774,13.771447,12.975774,13.443837,13.443837,2789622
2021-11-08,13.443735,14.086670,12.839719,13.738009,13.738009,2617001
