Date,Open,High,Low,Close,Adj Close,Volume
2021-10-09,2.189243,2.713015,2.055036,2.193921,2.193921,17279231
2021-10-10,2.194506,2.835858,2.120741,2.370238,2.370238,10802470
2021-10-11,2.367028,2.628458,2.149997,2.308508,2.308508,8015071
2021-10-12,2.306065,3.053938,2.139989,2.370052,2.370052,6656033
2021-10-13,2.373363,2.536595,2.058129,2.171506,2.171506,6903988
2021-10-14,2.172732,2.651373,2.036412,2.118809,2.118809,5272376
2021-10-15,2.119069,2.326981,1.917485,2.001742,2.001742,3890431
2021-10-16,2.000825,2.062947,1.753096,1.859228,1.859228,3148578
2021-10-17,1.857119,1.988021,1.575166,1.684485,1.684485,2648518
2021-10-18,1.684312,1.760827,1.334361,1.563915,1.563915,3078717
2021-10-19,1.564663,1.602052,1.171599,1.265712,1.265712,2767639
2021-10-20,1.266237,2.326569,1.234446,1.769563,1.769563,5426968
2021-10-21,1.771135,2.148485,1.534768,1.732393,1.732393,5076286
2021-10-22,1.730263,1.891093,1.622525,1.830399,1.830399,1756594
2021-10-23,1.829965,2.264572,1.731428,2.185062,2.185062,2176030
2021-10-24,2.184168,2.702772,1.775501,1.881311,1.881311,6768153
2021-10-25,1.881464,2.297662,1.843583,1.883319,1.883319,6879423
2021-10-26,1.883203,2.286461,1.844248,1.963593,1.963593,4496813
2021-10-27,1.962917,2.340703,1.958160,2.054941,2.054941,5128663
2021-10-28,2.054712,2.091982,1.758051,1.758587,1.758587,4856383
2021-10-29,1.758392,1.948499,1.659895,1.864117,1.864117,4809004
2021-10-30,1.863848,2.290320,1.711062,2.248584,2.248584,4947388
2021-10-31,2.248731,2.969902,1.915691,2.784860,2.784860,6111533
2021-11-01,2.785333,3.662731,2.348401,3.382231,3.382231,11322373
2021-11-02,3.382780,3.861539,2.934848,3.242847,3.242847,11610606
2021-11-03,3.246593,3.303872,2.637018,2.828964,2.828964,5483989
2021-11-04,2.832101,2.929458,2.244566,2.532774,2.532774,4260365
2021-11-05,2.528327,3.082680,2.364601,2.772811,2.772811,3556460
2021-11-06,2.774705,3.230022,2.389189,2.735987,2.735987,4114299
2021-11-07,2.736122,2.873584,2.488096,2.533941,2.533941,3859502
2021-11-08,2.535188,2.588265,2.065458,2.406058,2.406058,3468886
2021-11-09,2.406253,3.129537,2.244975,2.869053,2.869053,5459267
2021-11-10,2.864491,3.738324,2.709459,3.079201,3.079201,7027919
2021-11-11,3.082074,3.451201,2.854787,3.096058,3.096058,6024751
2021-11-12,3.096282,3.154120,2.678528,2.823737,2.823737,3208646
2021-11-13,2.826865,3.773128,2.824403,3.454474,3.454474,4599426
2021-11-14,3.454526,4.466487,3.371776,3.950641,3.950641,5450467
2021-11-15,3.950327,4.255770,3.669100,3.885813,3.885813,4474762
2021-11-16,3.882808,3.882808,3.206388,3.744581,3.744581,3385758
2021-11-17,3.744554,3.938984,2.743404,2.964259,2.964259,5859137
2021-11-18,2.962406,2.962406,2.481908,2.615536,2.615536,4756650
2021-11-19,2.619217,3.143679,2.484134,3.050618,3.050618,4526969
2021-11-20,3.050895,3.153242,2.801231,2.911909,2.911909,4016769
2021-11-21,2.912368,3.194359,2.711184,3.002052,3.002052,3974540
2021-11-22,3.000546,4.467869,2.950971,4.082249,4.082249,12658504
2021-11-23,4.082624,5.002619,3.938003,4.461015,4.461015,16278810
2021-11-24,4.459752,5.672457,3.941883,4.071749,4.071749,9591472
2021-11-25,5.462976,6.682714,5.038835,5.502624,5.502624,9366669
2021-11-26,6.173711,6.348784,4.505865,5.573829,5.573829,12333398
2021-11-27,5.574145,5.951647,5.058733,5.205239,5.205239,8687702
2021-11-28,5.205221,5.339095,3.928010,4.803475,4.803475,7480082
2021-11-29,4.802723,5.634257,4.353053,5.446955,5.446955,8556150
2021-11-30,5.446710,5.480137,4.327104,4.717529,4.717529,7747216
2021-12-01,4.717744,5.297298,4.122979,4.240967,4.240967,8994057
2021-12-02,4.237693,4.274780,3.568772,3.803494,3.803494,8809276
2021-12-03,3.800113,3.868207,3.174039,3.187486,3.187486,7320113
2021-12-04,3.187941,3.187941,2.495679,2.767340,2.767340,5588732
2021-12-05,2.767166,3.098004,2.702252,2.718329,2.718329,5020364
2021-12-06,2.720976,2.748735,1.986595,2.265180,2.265180,4380054
2021-12-07,2.267019,2.699226,2.254871,2.495460,2.495460,3749850
2021-12-08,2.495542,2.506934,2.219824,2.378936,2.378936,3186825
2021-12-09,2.375770,2.413188,2.117684,2.149842,2.149842,2967101
2021-12-10,2.149061,2.239932,1.981904,1.988178,1.988178,3248108
2021-12-11,1.987082,2.297390,1.977769,2.013949,2.013949,3092811
2021-12-12,2.013786,2.038744,1.880982,1.956645,1.956645,2727262
2021-12-13,1.957098,1.969291,1.546690,1.637330,1.637330,2637699
2021-12-14,1.637364,1.637364,1.364867,1.483628,1.483628,2640731
2021-12-15,1.483262,1.767716,1.414479,1.688611,1.688611,2555132
2021-12-16,1.688776,1.936589,1.564450,1.616068,1.616068,2642743
2021-12-17,1.616101,1.646001,1.493510,1.592042,1.592042,2377344
2021-12-18,1.592927,1.764348,1.551227,1.715227,1.715227,2260956
2021-12-19,1.715178,1.749332,1.649010,1.655461,1.655461,1969535
2021-12-20,1.655398,1.670505,1.407105,1.505578,1.505578,1751926
2021-12-21,1.505820,1.678404,1.489166,1.582219,1.582219,2273405
2021-12-22,1.582435,1.743551,1.577518,1.637641,1.637641,1941045
2021-12-23,1.637623,2.024987,1.573661,1.986338,1.986338,1419326
2021-12-24,1.987062,1.987841,1.771732,1.786077,1.786077,1661722
2021-12-25,1.784277,1.817278,1.752067,1.809005,1.809005,1072479
2021-12-26,1.810380,1.824227,1.736531,1.758766,1.758766,851413
2021-12-27,1.758033,1.798017,1.689217,1.694054,1.694054,890632
2021-12-28,1.693930,1.694088,1.494819,1.497071,1.497071,883274
2021-12-29,1.495841,1.538748,1.370050,1.373952,1.373952,1014037
2021-12-30,1.373940,1.407475,1.314685,1.331030,1.331030,1281746
2021-12-31,1.330529,1.394180,1.212120,1.227487,1.227487,1873454
2022-01-01,1.227487,1.321806,1.216412,1.316592,1.316592,1786420
2022-01-02,1.317005,1.368130,1.224970,1.236730,1.236730,1183424
2022-01-03,1.236731,1.347985,1.234037,1.278419,1.278419,1187447
2022-01-04,1.278420,1.283484,1.203219,1.254867,1.254867,1155766
2022-01-05,1.254867,1.278881,1.018373,1.022469,1.022469,1344884
2022-01-06,1.020471,1.083922,1.003494,1.066094,1.066094,1179388
2022-01-07,1.066095,1.067519,0.996156,1.016641,1.016641,1183565
2022-01-08,1.016053,1.064360,0.996872,1.033267,1.033267,1167610
2022-01-09,1.033266,1.036633,0.985053,0.997458,0.997458,1004991
2022-01-10,0.997643,1.013298,0.893349,0.918581,0.918581,1027865
2022-01-11,0.918585,0.990378,0.909470,0.928055,0.928055,1003929
2022-01-12,0.928055,1.084607,0.924704,1.001204,1.001204,1329980
2022-01-13,1.001205,1.348719,0.995754,1.268071,1.268071,2739790
2022-01-14,1.264156,1.507544,1.246476,1.357695,1.357695,3250556
2022-01-15,1.357690,1.378171,1.268638,1.280402,1.280402,2285779
2022-01-16,1.280409,1.280409,1.160768,1.169231,1.169231,1526230
2022-01-17,1.168700,1.209194,1.072722,1.104052,1.104052,1211436
2022-01-18,1.104052,1.139680,0.995158,1.028986,1.028986,1198877
2022-01-19,1.027880,1.282841,0.992509,1.133063,1.133063,1997707
2022-01-20,1.133349,1.193797,1.001553,1.001553,1.001553,1794633
2022-01-21,1.003290,1.005048,0.685057,0.699893,0.699893,1609898
2022-01-22,0.699445,0.721186,0.557301,0.662171,0.662171,1429765
2022-01-23,0.662164,0.693407,0.661634,0.691781,0.691781,1003293
2022-01-24,0.691779,0.692101,0.579596,0.658288,0.658288,985460
2022-01-25,0.658262,0.658348,0.626088,0.652724,0.652724,924508
2022-01-26,0.652792,0.728649,0.632024,0.643913,0.643913,1003720
2022-01-27,0.642850,0.645149,0.604252,0.617039,0.617039,869484
2022-01-28,0.617040,0.620910,0.607236,0.612220,0.612220,774841
2022-01-29,0.612213,0.616997,0.583116,0.610872,0.610872,850942
2022-01-30,0.610870,0.615769,0.605716,0.612991,0.612991,783468
2022-01-31,0.612984,0.615123,0.567148,0.577067,0.577067,764144
2022-02-01,0.577067,0.608319,0.577007,0.593981,0.593981,771429
2022-02-02,0.593980,0.601486,0.568823,0.569432,0.569432,814939
2022-02-03,0.569439,0.570165,0.516394,0.544231,0.544231,820053
2022-02-04,0.544227,0.587058,0.518128,0.579329,0.579329,899532
2022-02-05,0.579331,0.707423,0.576859,0.584872,0.584872,1120162
2022-02-06,0.584939,0.639232,0.582817,0.622503,0.622503,993813
2022-02-07,0.622554,0.733673,0.620284,0.730717,0.730717,1105085
2022-02-08,0.730704,0.895154,0.729626,0.788931,0.788931,1281778
2022-02-09,0.788157,0.942623,0.787497,0.928864,0.928864,1323251
2022-02-10,0.928863,0.945438,0.845916,0.848054,0.848054,1317485
2022-02-11,0.847945,0.849165,0.735945,0.738240,0.738240,1247529
2022-02-12,0.738241,0.752812,0.727247,0.734530,0.734530,1042276
2022-02-13,0.734520,0.745134,0.680065,0.681024,0.681024,984227
2022-02-14,0.681018,0.681401,0.620483,0.633126,0.633126,897628
2022-02-15,0.632708,0.713488,0.631477,0.699929,0.699929,965608
2022-02-16,0.699928,0.702247,0.660072,0.664559,0.664559,756748
2022-02-17,0.664559,0.666707,0.610614,0.612378,0.612378,737726
2022-02-18,0.612378,0.616457,0.574929,0.577547,0.577547,779260
2022-02-19,0.578054,0.602082,0.551043,0.552261,0.552261,799971
2022-02-20,0.552247,0.553032,0.474810,0.477426,0.477426,813535
2022-02-21,0.477422,0.517095,0.468331,0.468572,0.468572,1420792
2022-02-22,0.468519,0.470765,0.423164,0.431172,0.431172,1058956
2022-02-23,0.431172,0.462402,0.430593,0.435367,0.435367,651373
2022-02-24,0.435275,0.440919,0.353942,0.373584,0.373584,926533
2022-02-25,0.373997,0.388265,0.371378,0.380776,0.380776,810769
2022-02-26,0.380783,0.400244,0.378648,0.379236,0.379236,714479
