Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,48981.207031,49457.632813,48368.757813,49319.878906,49319.878906,3243994
2021-08-23,49325.992188,50519.914063,49148.917969,49528.582031,49528.582031,14363308
2021-08-24,49527.707031,49803.207031,47825.382813,47825.382813,47825.382813,12990808
2021-08-25,47801.671875,49092.578125,47290.515625,48963.472656,48963.472656,16779011
2021-08-26,48969.175781,49317.316406,46504.046875,46946.804688,46946.804688,7331143
2021-08-27,46916.253906,49029.613281,46416.226563,48923.453125,48923.453125,3678277
2021-08-28,48944.417969,49177.507813,48505.660156,48836.667969,48836.667969,5851581
2021-08-29,48833.527344,49506.761719,48000.773438,48859.140625,48859.140625,3619229
2021-08-30,48837.324219,48913.769531,47045.664063,47092.531250,47092.531250,9020285
2021-08-31,47083.703125,48244.414063,46685.164063,47516.882813,47516.882813,36376904
2021-09-01,47461.660156,48949.906250,46640.171875,48815.449219,48815.449219,29509119
2021-09-02,48918.667969,50156.582031,48572.871094,49411.691406,49411.691406,26718568
2021-09-03,49411.632813,50830.097656,48781.011719,49982.441406,49982.441406,9360347
2021-09-04,49996.574219,50464.289063,49559.804688,50120.117188,50120.117188,8807667
2021-09-05,50131.128906,51678.355469,49758.878906,51585.105469,51585.105469,4865740
2021-09-06,51599.609375,52564.625000,51038.226563,52466.667969,52466.667969,8340886
2021-09-07,52465.441406,52744.707031,44642.035156,46765.937500,46765.937500,16047534
2021-09-08,46783.265625,47305.000000,44734.703125,46202.144531,46202.144531,5048715
2021-09-09,46271.003906,47329.765625,45277.125000,46580.882813,46580.882813,3034888
2021-09-10,46586.707031,46772.761719,44308.046875,44813.058594,44813.058594,12766571
2021-09-11,44796.945313,45940.246094,44796.945313,45140.648438,45140.648438,9925845
2021-09-12,45171.859375,46342.324219,44783.351563,46081.386719,46081.386719,15070139
2021-09-13,46095.539063,46410.144531,43745.792969,45019.761719,45019.761719,5062063
2021-09-14,44996.000000,47165.289063,44859.164063,47052.617188,47052.617188,6704616
2021-09-15,47069.488281,48629.640625,46853.218750,48215.910156,48215.910156,9990851
2021-09-16,48249.667969,48625.500000,47098.351563,47855.839844,47855.839844,31465867
2021-09-17,47837.437500,48138.113281,46904.503906,47215.847656,47215.847656,7170125
2021-09-18,47229.523438,48732.781250,47078.714844,48204.269531,48204.269531,7405235
2021-09-19,48214.414063,48261.636719,46907.992188,47221.789063,47221.789063,18421670
2021-09-20,47224.367188,47236.589844,42610.453125,42948.171875,42948.171875,27712037
2021-09-21,42933.425781,43546.148438,40046.027344,40611.105469,40611.105469,4769251
2021-09-22,40623.539063,43535.593750,40623.539063,43473.003906,43473.003906,20811779
2021-09-23,43478.253906,44899.695313,43221.156250,44854.472656,44854.472656,16100809
2021-09-24,44856.125000,45005.019531,41037.164063,42775.660156,42775.660156,30722745
2021-09-25,42778.417969,42916.781250,41804.027344,42710.152344,42710.152344,8766570
2021-09-26,42700.347656,43821.554688,41256.136719,43230.496094,43230.496094,6582590
2021-09-27,43237.250000,44254.667969,42249.960938,42249.960938,42249.960938,15363887
2021-09-28,42247.878906,42720.937500,40901.445313,41007.085938,41007.085938,34193652
2021-09-29,41001.789063,42484.078125,40857.406250,41529.695313,41529.695313,2643766
2021-09-30,41534.582031,44021.207031,41464.527344,43732.429688,43732.429688,11536691
2021-10-01,43736.882813,48180.734375,43294.667969,47931.621094,47931.621094,3623245
2021-10-02,47929.917969,48220.468750,47489.859375,47736.078125,47736.078125,25952029
2021-10-03,47726.109375,49074.867188,47218.847656,48194.933594,48194.933594,16823940
2021-10-04,48183.855469,49298.855469,47076.437500,48929.066406,48929.066406,8395730
2021-10-05,48940.128906,51576.640625,48933.660156,51417.253906,51417.253906,5182632
2021-10-06,51398.453125,55426.570313,50461.468750,55335.636719,55335.636719,58428522
2021-10-07,55306.562500,55306.562500,53669.046875,53801.550781,53801.550781,37022489
2021-10-08,53809.171875,55440.222656,53634.277344,53868.203125,53868.203125,27360985
2021-10-09,53875.179688,55295.480469,53704.949219,54961.570313,54961.570313,12389149
2021-10-10,54967.542969,56138.199219,54260.886719,54637.746094,54637.746094,4567971
2021-10-11,54668.394531,57608.015625,54506.742188,57362.882813,57362.882813,6147266
2021-10-12,57425.128906,57511.632813,54807.039063,55862.855469,55862.855469,10528719
2021-10-13,55867.550781,57642.066406,54448.683594,57358.535156,57358.535156,34704570
2021-10-14,57361.628906,58417.378906,56933.597656,57361.679688,57361.679688,9158245
2021-10-15,57381.769531,62334.519531,56881.347656,61486.492188,61486.492188,32207912
2021-10-16,61485.433594,62097.914063,60095.347656,60730.757813,60730.757813,56024790
2021-10-17,60732.492188,61442.269531,59184.281250,61414.476563,61414.476563,8644125
2021-10-18,61406.726563,62404.218750,60033.664063,61849.796875,61849.796875,25410228
2021-10-19,61872.730469,64298.054688,61620.433594,64101.945313,64101.945313,16921969
2021-10-20,64137.093750,66718.046875,63523.425781,65906.695313,65906.695313,9932849
2021-10-21,65923.828125,66424.914063,62107.882813,62157.535156,62157.535156,6718740
2021-10-22,62148.636719,63533.144531,60068.726563,60576.714844,60576.714844,7283975
2021-10-23,60574.792969,61580.199219,59794.964844,61266.820313,61266.820313,21439201
2021-10-24,61273.878906,61390.789063,59599.125000,60820.828125,60820.828125,29722400
2021-10-25,60837.871094,63623.261719,60624.773438,62895.625000,62895.625000,22551939
2021-10-26,62932.515625,63110.859375,60060.761719,60341.921875,60341.921875,14696997
2021-10-27,60333.742188,61302.828125,58132.667969,58489.410156,58489.410156,20078864
2021-10-28,58442.417969,61801.453125,58130.816406,60535.449219,60535.449219,38419321
2021-10-29,60557.542969,62808.507813,60297.093750,62235.839844,62235.839844,40835965
2021-10-30,62235.996094,62279.652344,60856.523438,61758.273438,61758.273438,11444734
2021-10-31,61871.636719,62301.839844,60113.496094,61364.386719,61364.386719,6119020
2021-11-01,61340.898438,62310.648438,59761.164063,61051.308594,61051.308594,21447263
2021-11-02,61020.832031,64136.957031,60744.800781,63080.589844,63080.589844,1383649
2021-11-03,63088.605469,63478.511719,61472.687500,63178.164063,63178.164063,10516188
2021-11-04,63196.273438,63590.542969,60589.171875,61418.488281,61418.488281,644058
2021-11-05,61400.570313,62425.003906,60821.210938,61149.316406,61149.316406,4525745
2021-11-06,61154.628906,61573.375000,60228.945313,61473.437500,61473.437500,3743787
2021-11-07,61467.257813,63257.207031,61375.195313,63243.800781,63243.800781,3202605
2021-11-08,63283.562500,67537.359375,63283.562500,67494.945313,67494.945313,9016226
2021-11-09,67476.906250,68390.351563,66387.851563,66963.718750,66963.718750,3308705
2021-11-10,66938.390625,87142.296875,47586.011719,64822.761719,64822.761719,23594486
2021-11-11,64894.398438,65376.410156,64250.699219,64971.882813,64971.882813,5292180
2021-11-12,64995.476563,65274.957031,62576.625000,64179.089844,64179.089844,3285427
2021-11-13,64224.226563,64596.457031,62825.132813,63826.734375,63826.734375,7294416
2021-11-14,63820.488281,65451.011719,63202.953125,64634.132813,64634.132813,3057811
2021-11-15,64663.492188,65743.953125,63271.746094,63473.617188,63473.617188,4850689
2021-11-16,63437.992188,99439.375000,58412.324219,59182.117188,59182.117188,6722015
2021-11-17,59160.136719,68281.867188,58207.828125,59526.808594,59526.808594,9018428
2021-11-18,59536.429688,60090.230469,55797.257813,55969.074219,55969.074219,10887577
2021-11-19,55974.191406,57894.109375,55329.304688,57692.765625,57692.765625,13109348
2021-11-20,57682.796875,59720.574219,57520.957031,59471.164063,59471.164063,1797057
2021-11-21,59477.292969,59494.664063,58355.457031,58355.457031,58355.457031,2752703
2021-11-22,58344.972656,58392.175781,55737.750000,55871.421875,55871.421875,29034710
2021-11-23,55871.746094,57293.925781,55809.398438,57194.757813,57194.757813,11196052
2021-11-24,57198.062500,57359.710938,55728.117188,56100.292969,56100.292969,4212248
2021-11-25,56566.386719,58908.425781,56487.609375,56872.464844,56872.464844,6736037
2021-11-26,58592.058594,58810.125000,52876.855469,53300.722656,53300.722656,4258978
2021-11-27,53332.296875,54914.753906,53270.171875,53845.195313,53845.195313,4585722
2021-11-28,53851.753906,56097.687500,53073.257813,56066.417969,56066.417969,3984188
2021-11-29,56106.449219,57545.167969,56033.390625,57054.324219,57054.324219,9562739
2021-11-30,57049.851563,57605.070313,55519.621094,55860.316406,55860.316406,6171065
2021-12-01,55863.832031,57589.113281,55534.640625,56213.332031,56213.332031,3315773
2021-12-02,56214.378906,56225.093750,55130.582031,55692.750000,55692.750000,8504004
2021-12-03,55695.277344,56488.070313,52264.046875,52692.378906,52692.378906,9754488
2021-12-04,52676.015625,52795.183594,46620.945313,48808.835938,48808.835938,31712217
2021-12-05,48832.230469,49405.890625,47798.167969,48999.406250,48999.406250,21554066
2021-12-06,49021.312500,50358.125000,47215.031250,50189.578125,50189.578125,7026109
2021-12-07,50216.539063,51642.246094,50089.707031,50481.339844,50481.339844,14200989
2021-12-08,50477.890625,50580.101563,48896.031250,50199.781250,50199.781250,11205517
2021-12-09,50205.835938,50387.132813,47276.988281,47660.171875,47660.171875,2681095
2021-12-10,47625.437500,49484.562500,47073.089844,47298.441406,47298.441406,10765380
2021-12-11,47246.218750,49239.804688,46841.980469,49059.027344,49059.027344,444360
2021-12-12,49036.292969,50061.875000,48445.328125,49682.679688,49682.679688,5867250
2021-12-13,49691.585938,49777.652344,46153.453125,46591.871094,46591.871094,13697876
2021-12-14,46584.105469,48346.074219,46417.214844,47946.781250,47946.781250,14431632
