Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,15.911801,19.233019,14.904365,18.468639,18.468639,4139430
2021-10-08,18.468819,27.974447,17.832048,18.104918,18.104918,5849951
2021-10-09,18.103403,23.319553,18.063366,21.871325,21.871325,3489181
2021-10-10,21.874458,22.337791,18.508081,18.911680,18.911680,1439304
2021-10-11,18.909805,24.661917,18.569435,24.017027,24.017027,1811207
2021-10-12,24.016081,29.015726,23.174095,27.170799,27.170799,5272406
2021-10-13,27.166372,30.522493,25.889496,26.845852,26.845852,6756930
2021-10-14,26.846945,28.508661,21.817284,23.030363,23.030363,5591001
2021-10-15,23.030470,23.064617,19.433733,20.013437,20.013437,3622051
2021-10-16,20.013330,22.283760,19.847755,21.888859,21.888859,1395904
2021-10-17,21.890078,22.061651,21.186045,21.227112,21.227112,726167
2021-10-18,21.227518,21.400583,20.078920,20.556870,20.556870,973253
2021-10-19,20.558138,21.860285,20.261538,21.331278,21.331278,1245512
2021-10-20,21.329901,25.500088,21.171589,25.127438,25.127438,1548066
2021-10-21,25.125904,25.353786,22.188707,22.207823,22.207823,1496376
2021-10-22,22.207285,23.434120,21.556496,21.890339,21.890339,1166273
2021-10-23,21.888033,22.677435,21.779963,22.306501,22.306501,651162
2021-10-24,22.307455,22.779161,21.691017,21.753515,21.753515,519229
2021-10-25,21.751154,21.751154,20.232859,20.363184,20.363184,640980
2021-10-26,20.365419,20.850616,19.813631,20.146452,20.146452,731887
2021-10-27,20.146614,20.260870,18.129705,19.287069,19.287069,909330
2021-10-28,19.287029,20.164658,18.684673,18.829439,18.829439,981030
2021-10-29,18.831764,24.229860,18.728638,23.459282,23.459282,1768663
2021-10-30,23.458565,24.940220,23.372437,24.558487,24.558487,2224665
2021-10-31,24.555384,31.420294,23.442314,29.780367,29.780367,2504838
2021-11-01,29.779186,30.426615,26.506392,28.077688,28.077688,2607256
2021-11-02,28.080179,29.361809,25.071806,26.559225,26.559225,2035462
2021-11-03,26.561760,27.230461,24.622980,24.769758,24.769758,1401843
2021-11-04,24.769529,25.001425,22.600033,22.954933,22.954933,777768
2021-11-05,22.957991,26.052828,21.785521,25.586205,25.586205,1099874
2021-11-06,25.585037,25.905565,22.276379,23.068420,23.068420,1415300
2021-11-07,23.064516,23.289642,21.849985,22.695049,22.695049,1405015
2021-11-08,22.693079,22.970692,21.248692,21.784176,21.784176,888859
2021-11-09,21.784035,22.863989,21.708498,22.528723,22.528723,560968
2021-11-10,22.526781,23.745005,21.780321,21.797419,21.797419,1050615
2021-11-11,21.809160,26.628010,21.809160,26.253963,26.253963,1688752
2021-11-12,26.290813,27.412333,24.903688,24.916607,24.916607,1501062
2021-11-13,24.878733,24.914379,23.118475,24.664568,24.664568,1182406
2021-11-14,24.667519,26.900324,23.992390,26.532581,26.532581,938226
2021-11-15,26.530752,39.661907,26.522045,38.825451,38.825451,5775675
2021-11-16,38.840160,39.523857,31.145855,33.409603,33.409603,6448096
2021-11-17,33.407192,51.362488,33.407192,47.660339,47.660339,5023502
2021-11-18,47.675201,66.698387,46.329796,48.836651,48.836651,8446198
2021-11-19,48.830437,62.927856,46.999908,48.018669,48.018669,11567713
2021-11-20,48.014118,56.155033,47.775421,54.506851,54.506851,8299235
2021-11-21,54.458427,59.365139,54.071301,54.422527,54.422527,5680617
2021-11-22,54.442528,54.639019,46.665615,48.058571,48.058571,4447432
2021-11-23,48.062637,52.203392,48.062637,49.492420,49.492420,2995663
2021-11-24,49.491547,65.381340,49.034306,49.515850,49.515850,1399497
2021-11-25,60.701244,62.074352,58.388287,62.061680,62.061680,6059690
2021-11-26,59.851276,62.312160,50.968678,57.943413,57.943413,4984941
2021-11-27,57.941952,63.982979,57.332554,61.041996,61.041996,4177134
2021-11-28,61.034966,62.774693,54.340389,58.761395,58.761395,3309126
2021-11-29,58.758720,64.165344,57.597832,59.647766,59.647766,3172269
2021-11-30,59.645237,59.645237,56.000854,57.968273,57.968273,1862004
2021-12-01,57.966812,60.399452,54.030495,55.123943,55.123943,3252325
2021-12-02,55.119820,55.461254,52.017368,54.363873,54.363873,4155083
2021-12-03,54.321838,54.632832,51.340771,52.420937,52.420937,2031826
2021-12-04,52.418259,52.559662,45.267189,50.752056,50.752056,3150887
