Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.000119,0.000121,0.000115,0.000119,0.000119,312
2021-08-23,0.000119,0.000124,0.000118,0.000120,0.000120,316
2021-08-24,0.000120,0.000128,0.000116,0.000116,0.000116,303
2021-08-25,0.000116,0.000123,0.000114,0.000123,0.000123,320
2021-08-26,0.000123,0.000124,0.000116,0.000117,0.000117,306
2021-08-27,0.000117,0.000122,0.000115,0.000121,0.000121,317
2021-08-28,0.000121,0.000122,0.000118,0.000118,0.000118,310
2021-08-29,0.000118,0.000121,0.000115,0.000118,0.000118,309
2021-08-30,0.000118,0.000122,0.000114,0.000120,0.000120,305
2021-08-31,0.000120,0.000122,0.000115,0.000120,0.000120,316
2021-09-01,0.000120,0.000129,0.000118,0.000129,0.000129,338
2021-09-02,0.000128,0.000130,0.000126,0.000127,0.000127,333
2021-09-03,0.000127,0.000199,0.000125,0.000197,0.000197,0
2021-09-04,0.000197,0.000198,0.000192,0.000194,0.000194,0
2021-09-05,0.000194,0.000283,0.000194,0.000282,0.000282,0
2021-09-06,0.000282,0.000289,0.000147,0.000151,0.000151,890
2021-09-07,0.000151,0.000152,0.000124,0.000130,0.000130,768
2021-09-08,0.000130,0.000132,0.000121,0.000128,0.000128,764
2021-09-09,0.000127,0.000133,0.000127,0.000129,0.000129,761
2021-09-10,0.000129,0.000132,0.000120,0.000122,0.000122,723
2021-09-11,0.000122,0.000126,0.000122,0.000123,0.000123,730
2021-09-12,0.000123,0.000129,0.000122,0.000129,0.000129,762
2021-09-13,0.000128,0.000129,0.000116,0.000123,0.000123,727
2021-09-14,0.000123,0.000130,0.000122,0.000130,0.000130,771
2021-09-15,0.000130,0.000135,0.000129,0.000134,0.000134,797
2021-09-16,0.000134,0.000137,0.000129,0.000132,0.000132,784
2021-09-17,0.000132,0.000133,0.000126,0.000127,0.000127,748
2021-09-18,0.000127,0.000132,0.000126,0.000128,0.000128,758
2021-09-19,0.000128,0.000129,0.000123,0.000125,0.000125,738
2021-09-20,0.000125,0.000125,0.000110,0.000110,0.000110,655
2021-09-21,0.000110,0.000114,0.000102,0.000102,0.000102,610
2021-09-22,0.000102,0.000114,0.000102,0.000113,0.000113,673
2021-09-23,0.000113,0.000116,0.000112,0.000116,0.000116,689
2021-09-24,0.000116,0.000116,0.000104,0.000109,0.000109,640
2021-09-25,0.000109,0.000110,0.000105,0.000109,0.000109,649
2021-09-26,0.000109,0.000113,0.000102,0.000110,0.000110,660
2021-09-27,0.000110,0.000114,0.000107,0.000108,0.000108,632
2021-09-28,0.000108,0.000108,0.000103,0.000104,0.000104,607
2021-09-29,0.000104,0.000108,0.000102,0.000105,0.000105,28
2021-09-30,0.000105,0.000110,0.000105,0.000109,0.000109,30
2021-10-01,0.000109,0.000120,0.000108,0.000119,0.000119,32
2021-10-02,0.000119,0.000124,0.000117,0.000120,0.000120,33
2021-10-03,0.000120,0.000125,0.000119,0.000122,0.000122,33
2021-10-04,0.000122,0.000122,0.000117,0.000120,0.000120,33
2021-10-05,0.000120,0.000127,0.000119,0.000124,0.000124,34
2021-10-06,0.000124,0.000128,0.000118,0.000126,0.000126,34
2021-10-07,0.000126,0.000127,0.000122,0.000124,0.000124,34
2021-10-08,0.000124,0.000128,0.000123,0.000124,0.000124,34
2021-10-09,0.000124,0.000128,0.000123,0.000127,0.000127,34
2021-10-10,0.000127,0.000140,0.000123,0.000136,0.000136,687
2021-10-11,0.000136,0.000141,0.000135,0.000138,0.000138,698
2021-10-12,0.000138,0.000138,0.000131,0.000134,0.000134,32
2021-10-13,0.000134,0.000137,0.000131,0.000137,0.000137,32
2021-10-14,0.000137,0.000143,0.000136,0.000140,0.000140,33
2021-10-15,0.000140,0.000146,0.000138,0.000144,0.000144,34
2021-10-16,0.000144,0.000147,0.000143,0.000145,0.000145,34
2021-10-17,0.000145,0.000146,0.000138,0.000143,0.000143,34
2021-10-18,0.000143,0.000164,0.000142,0.000159,0.000159,859
2021-10-19,0.000159,0.000164,0.000159,0.000163,0.000163,881
2021-10-20,0.000163,0.000172,0.000161,0.000170,0.000170,921
2021-10-21,0.000170,0.000175,0.000166,0.000167,0.000167,901
2021-10-22,0.000166,0.000173,0.000163,0.000165,0.000165,891
2021-10-23,0.000165,0.000169,0.000163,0.000168,0.000168,912
2021-10-24,0.000168,0.000170,0.000161,0.000164,0.000164,888
2021-10-25,0.000164,0.000172,0.000163,0.000170,0.000170,922
2021-10-26,0.000170,0.000174,0.000167,0.000169,0.000169,911
2021-10-27,0.000169,0.000174,0.000158,0.000159,0.000159,855
2021-10-28,0.000158,0.000168,0.000157,0.000167,0.000167,897
2021-10-29,0.000167,0.000173,0.000166,0.000170,0.000170,920
2021-10-30,0.000170,0.000172,0.000165,0.000169,0.000169,916
2021-10-31,0.000169,0.000176,0.000162,0.000169,0.000169,915
2021-11-01,0.000169,0.000173,0.000164,0.000171,0.000171,926
2021-11-02,0.000171,0.000176,0.000156,0.000160,0.000160,824
2021-11-03,0.000160,0.000163,0.000154,0.000158,0.000158,815
2021-11-04,0.000158,0.000160,0.000152,0.000156,0.000156,801
2021-11-05,0.000156,0.000159,0.000153,0.000156,0.000156,805
2021-11-06,0.000156,0.000157,0.000151,0.000156,0.000156,805
2021-11-07,0.000156,0.000161,0.000156,0.000160,0.000160,823
2021-11-08,0.000160,0.000167,0.000160,0.000166,0.000166,853
2021-11-09,0.000166,0.000171,0.000165,0.000168,0.000168,860
2021-11-10,0.000168,0.000840,0.000082,0.000165,0.000165,849
2021-11-11,0.000165,0.000173,0.000163,0.000169,0.000169,859
2021-11-12,0.000169,0.000170,0.000157,0.000165,0.000165,850
2021-11-13,0.000165,0.000167,0.000162,0.000165,0.000165,849
2021-11-14,0.000165,0.000166,0.000158,0.000161,0.000161,830
2021-11-15,0.000161,0.000186,0.000161,0.000178,0.000178,859
2021-11-16,0.000178,0.000190,0.000167,0.000172,0.000172,252
2021-11-17,0.000172,0.000180,0.000165,0.000170,0.000170,253
2021-11-18,0.000170,0.000174,0.000158,0.000159,0.000159,236
2021-11-19,0.000159,0.000170,0.000158,0.000168,0.000168,250
2021-11-20,0.000168,0.000174,0.000165,0.000172,0.000172,257
2021-11-21,0.000172,0.000174,0.000168,0.000170,0.000170,252
