Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,5.236319,5.768471,4.736996,5.549702,5.549702,1062650
2021-08-23,5.546656,6.067214,5.118395,5.742083,5.742083,973840
2021-08-24,5.742915,6.092774,4.909205,5.653740,5.653740,907297
2021-08-25,5.678446,5.846402,4.792084,5.421443,5.421443,957652
2021-08-26,4.973274,5.852923,4.763209,5.517891,5.517891,1037812
2021-08-27,5.518327,5.845484,4.762894,5.822536,5.822536,1000373
2021-08-28,5.830519,6.155371,4.944596,6.154899,6.154899,7269
2021-08-29,6.155329,6.181071,5.957708,5.958709,5.958709,8767
2021-08-30,5.957748,5.960637,5.841258,5.841864,5.841864,9167
2021-08-31,5.842326,5.906041,5.818312,5.821131,5.821131,7561
2021-09-01,5.820858,5.849635,5.811312,5.849635,5.849635,7783
2021-09-02,5.849923,5.851752,5.484997,5.485940,5.485940,7262
2021-09-03,5.485201,5.642093,4.817821,5.532319,5.532319,14226
2021-09-04,5.531802,5.554371,4.681599,5.208395,5.208395,8646
2021-09-05,5.209247,5.249482,4.955603,4.957065,4.957065,10281
2021-09-06,4.956085,4.961170,4.212755,4.217235,4.217235,9236
2021-09-07,4.216074,5.700497,3.381523,3.395949,3.395949,4578
2021-09-08,3.395376,5.233895,3.395376,4.248713,4.248713,4714
2021-09-09,4.090451,4.551934,3.980659,4.513593,4.513593,11943
2021-09-10,4.512535,4.577841,4.031715,4.061510,4.061510,9803
2021-09-11,4.062924,4.323134,4.061835,4.275001,4.275001,9697
2021-09-12,4.275505,4.315202,3.645615,3.770201,3.770201,8263
2021-09-13,3.769299,5.808683,3.520160,4.564633,4.564633,27197
2021-09-14,4.564171,4.778767,3.824840,3.961731,3.961731,63740
2021-09-15,3.962137,4.033899,3.493957,4.033899,4.033899,6983
2021-09-16,4.033483,5.376052,4.033483,5.373234,5.373234,58868
2021-09-17,5.372568,6.053174,5.355235,5.927669,5.927669,28583
2021-09-18,5.931928,6.122326,5.891480,6.028166,6.028166,27662
2021-09-19,6.031715,6.045178,5.587746,5.642196,5.642196,32133
2021-09-20,5.641352,5.651370,5.213385,5.518011,5.518011,10744
2021-09-21,5.517205,5.537669,5.292978,5.315231,5.315231,10293
2021-09-22,5.315023,5.436013,4.474469,4.666374,4.666374,8281
2021-09-23,4.666289,4.710241,4.665449,4.695230,4.695230,8493
2021-09-24,4.695058,4.717476,4.687384,4.713634,4.713634,9482
2021-09-25,4.713442,4.717336,4.657242,4.665347,4.665347,6805
2021-09-26,4.665369,4.692284,4.481080,4.597078,4.597078,9221
2021-09-27,4.596568,4.670493,4.556775,4.652418,4.652418,9386
2021-09-28,4.652388,5.815926,4.649549,5.800133,5.800133,11792
2021-09-29,5.799479,5.805921,5.660895,5.692851,5.692851,11717
2021-09-30,5.692424,5.716089,5.204612,5.453952,5.453952,8497
2021-10-01,5.453865,5.485773,4.452919,4.524210,4.524210,16606
2021-10-02,4.524555,5.170396,4.310465,5.165967,5.165967,3701
2021-10-03,5.165196,5.172223,5.161654,5.166306,5.166306,5223
2021-10-04,5.166050,5.175677,5.160521,5.162953,5.162953,8432
2021-10-05,5.162760,5.169492,5.161048,5.166763,5.166763,7896
2021-10-06,5.166586,5.167309,4.966722,4.972452,4.972452,7210
2021-10-07,4.971919,4.972375,4.534858,4.553088,4.553088,7172
2021-10-08,4.550860,4.988789,4.480449,4.967572,4.967572,5505
2021-10-09,4.967873,4.981874,4.965841,4.981687,4.981687,879
2021-10-10,4.981139,5.692686,4.643356,4.646063,4.646063,525
2021-10-11,4.643471,6.344170,4.625692,6.320710,6.320710,138
2021-10-12,6.322050,6.322100,4.802059,4.885688,4.885688,4570
2021-10-13,4.886377,4.999618,4.884275,4.989858,4.989858,7373
2021-10-14,4.989685,5.000974,4.986315,4.997816,4.997816,6046
2021-10-15,4.997772,5.146699,4.994672,5.128519,5.128519,8299
2021-10-16,5.128567,5.168834,5.127865,5.168554,5.168554,2696
2021-10-17,5.168405,5.401166,4.849974,4.915253,4.915253,5471
2021-10-18,4.916339,5.060568,4.916339,5.052051,5.052051,7705
2021-10-19,5.051899,5.052430,4.956729,4.959440,4.959440,6313
2021-10-20,4.959496,4.964609,4.569857,4.570151,4.570151,6154
2021-10-21,4.570156,4.571484,4.455094,4.457026,4.457026,7499
2021-10-22,4.457027,4.461481,4.080051,4.089357,4.089357,5564
2021-10-23,4.089419,4.200670,4.076247,4.189141,4.189141,5848
2021-10-24,4.189790,4.204913,4.071340,4.076586,4.076586,6236
2021-10-25,4.076331,4.102008,3.880872,3.906417,3.906417,26214
2021-10-26,3.911852,4.130143,3.577256,3.577551,3.577551,5981
2021-10-27,3.577441,3.580729,2.051322,3.534338,3.534338,4557
2021-10-28,3.534191,3.535981,3.266440,3.331959,3.331959,6594
2021-10-29,3.332152,4.905055,3.242418,4.901555,4.901555,9150
2021-10-30,4.901793,5.091645,4.897298,5.044545,5.044545,5587
2021-10-31,5.044947,5.055621,4.765803,4.768395,4.768395,10525
2021-11-01,4.768545,5.159061,4.722797,5.146665,5.146665,7060
2021-11-02,5.146149,5.154589,5.069947,5.072917,5.072917,6976
2021-11-03,5.073026,5.075348,5.045934,5.048251,5.048251,7096
2021-11-04,5.048137,5.671564,4.659312,4.756318,4.756318,6155
2021-11-05,4.755932,4.829694,4.391132,4.396004,4.396004,6006
2021-11-06,4.396037,4.921885,4.391456,4.901060,4.901060,6250
2021-11-07,4.901927,4.901927,3.926116,4.638785,4.638785,7513
2021-11-08,4.638865,6.743468,4.486924,6.743302,6.743302,12720
2021-11-09,6.743121,10.380464,6.548700,7.028824,7.028824,7102
2021-11-10,7.029366,9.742401,6.066303,9.741161,9.741161,3898
2021-11-11,9.740663,9.805562,8.173436,8.188958,8.188958,5207
2021-11-12,8.178630,8.926309,8.165519,8.913788,8.913788,6119
2021-11-13,8.924684,8.940883,6.368376,6.625847,6.625847,10692
2021-11-14,6.632651,8.847406,6.082774,6.095507,6.095507,12584
2021-11-15,6.093448,8.062049,4.465032,8.062049,8.062049,895
2021-11-16,8.074490,8.791130,4.197944,4.891625,4.891625,8203
2021-11-17,4.890855,6.092421,3.188510,4.089187,4.089187,6849
2021-11-18,4.088709,4.228887,4.051484,4.120318,4.120318,13218
2021-11-19,4.120507,4.315820,3.894788,4.248757,4.248757,8658
2021-11-20,4.248590,4.317966,4.234167,4.308809,4.308809,5681
2021-11-21,4.311547,6.398587,4.171793,4.172705,4.172705,8913
2021-11-22,4.171414,4.173440,4.057944,4.156118,4.156118,8016
2021-11-23,4.155920,4.162621,3.801258,3.804886,3.804886,6556
2021-11-24,3.804551,5.170373,3.797730,3.806517,3.806517,6421
2021-11-25,3.805095,3.813479,3.799160,3.804159,3.804159,6950
2021-11-26,3.806827,3.813187,3.798597,3.805241,3.805241,7129
2021-11-27,3.806560,3.813142,3.736974,3.753041,3.753041,6737
2021-11-28,3.752758,3.813150,3.729838,3.807341,3.807341,4966
2021-11-29,3.806779,3.814000,3.731626,3.736294,3.736294,7257
2021-11-30,3.735289,3.740571,3.723227,3.729948,3.729948,7127
2021-12-01,3.729447,9.795541,3.699442,5.698668,5.698668,10769
2021-12-02,5.698595,5.698595,3.754474,4.332193,4.332193,9491
2021-12-03,4.334628,4.509278,3.409895,3.725049,3.725049,7665
2021-12-04,3.724855,4.557612,3.689116,4.546385,4.546385,9043
2021-12-05,4.546031,4.561579,4.537753,4.547151,4.547151,3802
2021-12-06,4.547754,5.023753,4.313429,4.972948,4.972948,8305
2021-12-07,4.975051,5.372949,3.784743,5.267396,5.267396,9335
2021-12-08,5.267090,5.667658,5.167706,5.648104,5.648104,6289
2021-12-09,5.641868,5.670909,5.267175,5.288859,5.288859,8284
2021-12-10,5.290577,5.663503,5.070889,5.081495,5.081495,7012
2021-12-11,5.080954,5.131148,5.044220,5.097044,5.097044,5504
2021-12-12,5.096449,5.099443,3.617149,4.537931,4.537931,6325
2021-12-13,4.540126,4.605393,4.402303,4.413305,4.413305,7913
2021-12-14,4.413286,4.423643,2.906180,4.419712,4.419712,7297
2021-12-15,4.414856,4.419083,2.891582,4.409739,4.409739,3659
2021-12-16,4.409693,4.415558,3.614334,3.703297,3.703297,4716
2021-12-17,3.703831,3.706409,3.495655,3.562246,3.562246,12621
2021-12-18,3.563733,3.932884,3.531300,3.931034,3.931034,5873
2021-12-19,3.930535,3.943842,3.895739,3.897666,3.897666,6778
2021-12-20,3.896421,3.897735,3.662777,3.676591,3.676591,8672
2021-12-21,3.676799,3.703117,3.676614,3.690207,3.690207,7412
2021-12-22,3.690576,3.702811,3.616074,3.653922,3.653922,4849
2021-12-23,3.653676,3.701766,3.360997,3.685230,3.685230,7922
2021-12-24,3.685682,3.688659,3.638003,3.669118,3.669118,7391
2021-12-25,3.669163,3.690584,3.666612,3.678150,3.678150,4942
2021-12-26,3.678353,3.688507,3.626572,3.634811,3.634811,5569
2021-12-27,3.634303,3.638690,3.350073,3.366653,3.366653,5987
2021-12-28,3.367633,3.387776,3.063815,3.351167,3.351167,11152
2021-12-29,3.350824,3.609373,3.105921,3.472784,3.472784,6947
2021-12-30,3.472955,3.488649,3.464034,3.472664,3.472664,6340
2021-12-31,3.472879,3.479042,3.191289,3.232609,3.232609,6558
2022-01-01,3.232795,3.366543,3.232381,3.262213,3.262213,5092
2022-01-02,3.262199,3.376588,2.672800,3.182253,3.182253,5622
2022-01-03,3.182243,3.182904,2.999361,3.105306,3.105306,8155
2022-01-04,3.105301,3.115761,2.932934,2.940354,2.940354,7437
2022-01-05,2.940346,3.052419,2.929693,2.984504,2.984504,5742
2022-01-06,2.984506,2.984506,2.661142,2.662496,2.662496,6893
2022-01-07,2.662530,2.776535,2.660373,2.700262,2.700262,5714
2022-01-08,2.700272,2.724182,2.642432,2.681213,2.681213,5592
2022-01-09,2.681212,2.732318,2.670067,2.708504,2.708504,6577
2022-01-10,2.708503,2.720261,2.583078,2.676846,2.676846,6697
