Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,1.549114,1.872522,1.548532,1.667329,1.667329,3909423
2021-08-23,1.667492,1.975129,1.667446,1.722674,1.722674,4526782
2021-08-24,1.722798,1.779228,1.556766,1.699020,1.699020,3995112
2021-08-25,1.701276,1.703299,1.406943,1.489639,1.489639,3821508
2021-08-26,1.490275,1.518063,1.285578,1.326216,1.326216,2819369
2021-08-27,1.326956,1.522250,1.306574,1.520857,1.520857,3010594
2021-08-28,1.520649,1.554184,1.466414,1.470744,1.470744,1744821
2021-08-29,1.471336,1.472649,1.365788,1.380562,1.380562,1582027
2021-08-30,1.380509,1.390786,1.320489,1.341066,1.341066,1542747
2021-08-31,1.340867,1.360466,1.217720,1.277525,1.277525,1941739
2021-09-01,1.277210,1.592978,1.252315,1.380554,1.380554,3336059
2021-09-02,1.382709,1.385857,1.342009,1.361227,1.361227,1745208
2021-09-03,1.360959,1.408219,1.287242,1.300924,1.300924,1491988
2021-09-04,1.300953,1.315947,1.241860,1.257271,1.257271,1457117
2021-09-05,1.256047,1.293431,1.198506,1.267287,1.267287,1748816
2021-09-06,1.267229,1.311435,1.263847,1.271795,1.271795,1987737
2021-09-07,1.271310,1.304307,1.121780,1.142713,1.142713,3272327
2021-09-08,1.143171,1.385521,1.108349,1.376877,1.376877,3582077
2021-09-09,1.315393,1.423280,1.241590,1.394132,1.394132,3629139
2021-09-10,1.394044,1.433525,1.234089,1.410585,1.410585,3862377
2021-09-11,1.410761,1.544340,1.389466,1.524455,1.524455,2998700
2021-09-12,1.524923,1.954007,1.496194,1.722349,1.722349,7114434
2021-09-13,1.722183,1.775746,1.574799,1.645648,1.645648,6205107
2021-09-14,1.645575,1.793922,1.645575,1.746187,1.746187,3842072
2021-09-15,1.746407,1.757806,1.646748,1.750608,1.750608,2528556
2021-09-16,1.751504,1.797276,1.635938,1.639445,1.639445,2368459
2021-09-17,1.639269,1.650835,1.528737,1.540211,1.540211,2835940
2021-09-18,1.543113,1.585062,1.467080,1.467117,1.467117,1665173
2021-09-19,1.467257,1.480222,1.378489,1.404914,1.404914,1902827
2021-09-20,1.405018,1.418027,1.032023,1.113389,1.113389,5226522
2021-09-21,1.112962,1.132341,0.973100,0.984615,0.984615,2620690
2021-09-22,0.984561,1.170056,0.982025,1.130284,1.130284,2568326
2021-09-23,1.130391,1.170429,1.107609,1.125637,1.125637,1790263
2021-09-24,1.125871,1.131076,1.006451,1.064600,1.064600,2368685
2021-09-25,1.064593,1.067659,0.976966,0.985010,0.985010,1730719
2021-09-26,0.984726,1.116031,0.907873,1.105795,1.105795,2382429
2021-09-27,1.105331,1.127763,1.010158,1.010158,1.010158,2007618
2021-09-28,1.010238,1.010238,0.827208,0.900930,0.900930,2673647
2021-09-29,0.900628,0.955503,0.795230,0.877938,0.877938,3986400
2021-09-30,0.877111,0.949551,0.875799,0.924862,0.924862,1762556
2021-10-01,0.924852,1.074107,0.900147,0.990732,0.990732,2906302
2021-10-02,0.990745,1.018200,0.961547,0.975187,0.975187,2358578
2021-10-03,0.974186,1.024476,0.961103,0.970314,0.970314,1498214
2021-10-04,0.970633,0.979483,0.915186,0.951020,0.951020,1723768
2021-10-05,0.951168,1.011416,0.921767,1.007054,1.007054,2102911
2021-10-06,1.005937,1.011029,0.932811,0.982405,0.982405,2193991
2021-10-07,0.982837,1.028260,0.954926,0.989666,0.989666,2158709
2021-10-08,0.988784,1.107596,0.972038,1.035948,1.035948,2174866
2021-10-09,1.035713,1.043731,0.962538,0.966396,0.966396,1554741
2021-10-10,0.965700,0.965700,0.911049,0.914829,0.914829,1626419
2021-10-11,0.914161,0.978264,0.886806,0.948107,0.948107,2153824
2021-10-12,0.947661,0.956948,0.891879,0.905342,0.905342,2066314
2021-10-13,0.905605,1.084270,0.877355,1.083749,1.083749,3477590
2021-10-14,1.084354,1.412848,1.083681,1.289936,1.289936,7452964
2021-10-15,1.288651,1.320185,1.207892,1.211059,1.211059,2788871
2021-10-16,1.211866,1.211866,1.164268,1.184852,1.184852,2028399
