Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.002504,0.002544,0.002447,0.002499,0.002499,4161897
2021-08-23,0.002498,0.002623,0.002478,0.002521,0.002521,4632471
2021-08-24,0.002522,0.002532,0.002360,0.002360,0.002360,4534435
2021-08-25,0.002352,0.002536,0.002330,0.002427,0.002427,6018119
2021-08-26,0.002430,0.002454,0.002186,0.002229,0.002229,5899084
2021-08-27,0.002224,0.002325,0.002204,0.002292,0.002292,4582439
2021-08-28,0.002293,0.002337,0.002241,0.002279,0.002279,3950178
2021-08-29,0.002277,0.002315,0.002246,0.002257,0.002257,3891774
2021-08-30,0.002257,0.002306,0.002165,0.002201,0.002201,4608173
2021-08-31,0.002202,0.002204,0.002055,0.002070,0.002070,4656901
2021-09-01,0.002070,0.002241,0.002037,0.002176,0.002176,4684000
2021-09-02,0.002170,0.002260,0.002161,0.002209,0.002209,3856683
2021-09-03,0.002212,0.002365,0.002138,0.002276,0.002276,5272409
2021-09-04,0.002277,0.002655,0.002254,0.002534,0.002534,6512182
2021-09-05,0.002532,0.002606,0.002395,0.002521,0.002521,6494469
2021-09-06,0.002522,0.002659,0.002456,0.002581,0.002581,6702729
2021-09-07,0.002580,0.002625,0.001919,0.002195,0.002195,10905450
2021-09-08,0.002201,0.002227,0.001923,0.002083,0.002083,7089190
2021-09-09,0.002177,0.002516,0.002042,0.002233,0.002233,7874153
2021-09-10,0.002231,0.002273,0.002059,0.002094,0.002094,5051071
2021-09-11,0.002092,0.002218,0.002060,0.002218,0.002218,4174055
2021-09-12,0.002219,0.002618,0.002219,0.002452,0.002452,10407443
2021-09-13,0.002451,0.002494,0.002220,0.002320,0.002320,6638976
2021-09-14,0.002321,0.002373,0.002238,0.002276,0.002276,5048649
2021-09-15,0.002277,0.002361,0.002239,0.002297,0.002297,5321726
2021-09-16,0.002303,0.002412,0.002212,0.002256,0.002256,5376650
2021-09-17,0.002257,0.002300,0.002160,0.002295,0.002295,4330345
2021-09-18,0.002296,0.002365,0.002244,0.002270,0.002270,4197802
2021-09-19,0.002270,0.002324,0.002201,0.002238,0.002238,3889723
2021-09-20,0.002238,0.002243,0.001941,0.001941,0.001941,5276921
2021-09-21,0.001935,0.001998,0.001809,0.001841,0.001841,5659137
2021-09-22,0.001843,0.002069,0.001829,0.002013,0.002013,6550558
2021-09-23,0.002014,0.002053,0.001980,0.002010,0.002010,5887511
2021-09-24,0.002011,0.002026,0.001634,0.001694,0.001694,6777137
2021-09-25,0.001693,0.001711,0.001505,0.001598,0.001598,6861292
2021-09-26,0.001599,0.001601,0.001139,0.001256,0.001256,8667119
2021-09-27,0.001256,0.001631,0.001243,0.001372,0.001372,8801174
2021-09-28,0.001374,0.001401,0.001309,0.001318,0.001318,4666824
2021-09-29,0.001327,0.001423,0.001307,0.001343,0.001343,4832047
2021-09-30,0.001346,0.001394,0.001329,0.001362,0.001362,4225296
2021-10-01,0.001361,0.001588,0.001358,0.001505,0.001505,3893361
2021-10-02,0.001506,0.001547,0.001485,0.001495,0.001495,4195088
2021-10-03,0.001493,0.001506,0.001454,0.001491,0.001491,3830225
2021-10-04,0.001489,0.001563,0.001459,0.001531,0.001531,4862930
2021-10-05,0.001523,0.001588,0.001477,0.001551,0.001551,3292445
2021-10-06,0.001553,0.001597,0.001468,0.001557,0.001557,4580796
2021-10-07,0.001554,0.001907,0.001502,0.001577,0.001577,6192801
2021-10-08,0.001577,0.001662,0.001575,0.001612,0.001612,3998409
2021-10-09,0.001613,0.001645,0.001599,0.001606,0.001606,3626180
2021-10-10,0.001605,0.001724,0.001551,0.001560,0.001560,3816658
2021-10-11,0.001559,0.001587,0.001459,0.001461,0.001461,3885778
2021-10-12,0.001468,0.001484,0.001406,0.001464,0.001464,3736007
2021-10-13,0.001461,0.001496,0.001359,0.001438,0.001438,3757582
2021-10-14,0.001437,0.001511,0.001416,0.001490,0.001490,3174476
2021-10-15,0.001489,0.001828,0.001471,0.001615,0.001615,5593905
2021-10-16,0.001618,0.001801,0.001581,0.001753,0.001753,4606440
2021-10-17,0.001752,0.001777,0.001585,0.001671,0.001671,3718203
2021-10-18,0.001674,0.001691,0.001583,0.001618,0.001618,3561927
2021-10-19,0.001617,0.001810,0.001611,0.001724,0.001724,4070173
2021-10-20,0.001723,0.001775,0.001673,0.001703,0.001703,4003527
2021-10-21,0.001707,0.001730,0.001623,0.001653,0.001653,3005915
