Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,0.088718,0.108789,0.088581,0.104245,0.104245,582010
2021-10-05,0.104270,0.107033,0.086575,0.090701,0.090701,132407
2021-10-06,0.090570,0.098028,0.074776,0.078863,0.078863,244621
2021-10-07,0.078910,0.094048,0.072943,0.086837,0.086837,260831
2021-10-08,0.086746,0.089932,0.082344,0.082589,0.082589,189469
2021-10-09,0.082575,0.084267,0.066507,0.075597,0.075597,350348
2021-10-10,0.075526,0.083203,0.071868,0.073148,0.073148,313558
2021-10-11,0.073106,0.075160,0.060563,0.071657,0.071657,147677
2021-10-12,0.071612,0.071868,0.064088,0.069413,0.069413,98579
2021-10-13,0.069431,0.080029,0.066857,0.067447,0.067447,421814
2021-10-14,0.067479,0.071161,0.064885,0.065598,0.065598,64318
2021-10-15,0.065535,0.070220,0.060883,0.067631,0.067631,73047
2021-10-16,0.067697,0.071353,0.066555,0.068611,0.068611,55245
2021-10-17,0.068609,0.076760,0.066895,0.069642,0.069642,65358
2021-10-18,0.069576,0.069576,0.058059,0.061620,0.061620,63428
2021-10-19,0.061624,0.066779,0.057085,0.064190,0.064190,144719
2021-10-20,0.063891,0.064607,0.052367,0.058142,0.058142,122560
2021-10-21,0.058041,0.063766,0.050449,0.056245,0.056245,115442
2021-10-22,0.056186,0.060028,0.051435,0.052691,0.052691,94382
2021-10-23,0.052728,0.062558,0.041873,0.046271,0.046271,234945
2021-10-24,0.046315,0.059168,0.042982,0.046350,0.046350,129699
2021-10-25,0.046279,0.047102,0.038218,0.041469,0.041469,168433
2021-10-26,0.041549,0.044738,0.037832,0.039550,0.039550,68644
2021-10-27,0.039530,0.039952,0.031942,0.031942,0.031942,22709
2021-10-28,0.031986,0.050495,0.030965,0.041235,0.041235,121065
2021-10-29,0.041279,0.047858,0.040023,0.044797,0.044797,36897
2021-10-30,0.044832,0.084619,0.043234,0.077413,0.077413,233709
2021-10-31,0.077706,0.079293,0.059148,0.059588,0.059588,44032
2021-11-01,0.059600,0.065983,0.055931,0.056045,0.056045,43378
2021-11-02,0.056099,0.070645,0.055354,0.064198,0.064198,59751
2021-11-03,0.064229,0.071224,0.054260,0.061213,0.061213,92715
2021-11-04,0.061160,0.061361,0.057225,0.058614,0.058614,15559
2021-11-05,0.058535,0.058652,0.051164,0.051585,0.051585,16537
2021-11-06,0.051632,0.059420,0.050912,0.053802,0.053802,59218
2021-11-07,0.053850,0.060941,0.051473,0.057606,0.057606,77289
2021-11-08,0.057544,0.062787,0.056403,0.060839,0.060839,34860
2021-11-09,0.060939,0.060939,0.056334,0.056733,0.056733,10135
2021-11-10,0.056727,0.081548,0.054670,0.060722,0.060722,110822
2021-11-11,0.060766,0.062545,0.060003,0.061768,0.061768,6179
2021-11-12,0.061823,0.062947,0.059435,0.060033,0.060033,1803
2021-11-13,0.060021,0.075681,0.060018,0.071011,0.071011,51018
2021-11-14,0.071215,0.073313,0.063208,0.064044,0.064044,43844
2021-11-15,0.063991,0.074539,0.058223,0.063925,0.063925,77809
2021-11-16,0.063880,0.464635,0.000000,0.059578,0.059578,82259
2021-11-17,0.059562,0.103510,0.000000,0.063477,0.063477,89594
2021-11-18,0.063505,0.092333,0.061576,0.064133,0.064133,129472
2021-11-19,0.064155,0.065858,0.063570,0.064981,0.064981,9150
2021-11-20,0.065006,0.066508,0.062179,0.064599,0.064599,15914
2021-11-21,0.064581,0.064888,0.059775,0.060715,0.060715,33372
2021-11-22,0.060693,0.061998,0.058218,0.059099,0.059099,16909
2021-11-23,0.059098,0.073192,0.050225,0.060874,0.060874,149624
2021-11-24,0.060902,0.061088,0.053990,0.059249,0.059249,146825
2021-11-25,0.054051,0.056732,0.049690,0.051499,0.051499,43987
2021-11-26,0.054219,0.054427,0.049120,0.052971,0.052971,26863
2021-11-27,0.052912,0.058697,0.049775,0.053510,0.053510,58791
2021-11-28,0.053538,0.056896,0.044749,0.051635,0.051635,79484
2021-11-29,0.051629,0.055427,0.050859,0.055062,0.055062,16307
2021-11-30,0.055059,0.055960,0.043743,0.050035,0.050035,90063
2021-12-01,0.050030,0.052281,0.048893,0.051075,0.051075,15849
2021-12-02,0.051072,0.061740,0.044522,0.044759,0.044759,82864
2021-12-03,0.044740,0.054963,0.039222,0.044999,0.044999,270141
2021-12-04,0.044995,0.044999,0.040733,0.042623,0.042623,35068
2021-12-05,0.042609,0.051370,0.042437,0.043542,0.043542,40395
2021-12-06,0.043560,0.051076,0.040425,0.041825,0.041825,62055
2021-12-07,0.041862,0.042433,0.038133,0.038162,0.038162,9502
2021-12-08,0.038163,0.046870,0.035892,0.042296,0.042296,46667
2021-12-09,0.042308,0.059047,0.039990,0.048214,0.048214,69436
2021-12-10,0.048185,0.048185,0.038742,0.040150,0.040150,34704
2021-12-11,0.040139,0.043281,0.039283,0.040734,0.040734,17617
2021-12-12,0.040729,0.040894,0.038105,0.038109,0.038109,7859
2021-12-13,0.038112,0.040813,0.035120,0.036566,0.036566,24966
2021-12-14,0.036555,0.044426,0.036516,0.037732,0.037732,34676
2021-12-15,0.037738,0.039836,0.036853,0.039734,0.039734,5547
2021-12-16,0.039730,0.039875,0.037668,0.039043,0.039043,10172
2021-12-17,0.039043,0.045050,0.035351,0.039377,0.039377,43881
2021-12-18,0.039388,0.040073,0.038722,0.039021,0.039021,2563
2021-12-19,0.039020,0.039414,0.036729,0.036729,0.036729,5049
2021-12-20,0.036725,0.045557,0.034739,0.040635,0.040635,39122
2021-12-21,0.040627,0.040721,0.037393,0.037454,0.037454,18355
2021-12-22,0.037433,0.039192,0.037332,0.038591,0.038591,3543
2021-12-23,0.038555,0.038621,0.037041,0.038555,0.038555,2721
2021-12-24,0.038542,0.040057,0.038109,0.038905,0.038905,6511
2021-12-25,0.038940,0.039356,0.035504,0.035923,0.035923,8589
2021-12-26,0.035790,0.047063,0.033004,0.038180,0.038180,106679
2021-12-27,0.038184,0.059392,0.037417,0.045649,0.045649,112110
2021-12-28,0.045648,0.048605,0.043065,0.044756,0.044756,18794
2021-12-29,0.044753,0.054080,0.042183,0.054080,0.054080,66232
2021-12-30,0.054038,0.070123,0.052718,0.062496,0.062496,209272
2021-12-31,0.062495,0.087535,0.062478,0.084637,0.084637,388018
2022-01-01,0.084645,0.118422,0.083476,0.104368,0.104368,993852
2022-01-02,0.104368,0.116416,0.080434,0.084924,0.084924,509659
2022-01-03,0.084895,0.103269,0.081318,0.088215,0.088215,598418
2022-01-04,0.088214,0.100524,0.056211,0.089828,0.089828,762609
2022-01-05,0.089828,0.092980,0.073719,0.075399,0.075399,783789
2022-01-06,0.075399,0.092641,0.070217,0.072314,0.072314,599191
2022-01-07,0.072315,0.080437,0.060122,0.066276,0.066276,735266
2022-01-08,0.066276,0.077050,0.060515,0.061926,0.061926,634657
2022-01-09,0.061926,0.077603,0.061252,0.068618,0.068618,562542
2022-01-10,0.068618,0.076676,0.065518,0.070293,0.070293,571505
2022-01-11,0.070293,0.105595,0.066569,0.087212,0.087212,930162
2022-01-12,0.087212,0.116618,0.077060,0.084922,0.084922,1038084
2022-01-13,0.084922,0.128857,0.078800,0.101317,0.101317,1302882
2022-01-14,0.101317,0.101337,0.093084,0.094802,0.094802,951342
2022-01-15,0.094804,0.096809,0.068493,0.086620,0.086620,1021660
2022-01-16,0.086626,0.097670,0.060379,0.089808,0.089808,990725
2022-01-17,0.089809,0.089809,0.074109,0.077973,0.077973,727705
2022-01-18,0.077972,0.083586,0.050240,0.076012,0.076012,1118536
2022-01-19,0.076012,0.082226,0.070817,0.081936,0.081936,847216
2022-01-20,0.081935,0.084541,0.072893,0.078129,0.078129,847902
2022-01-21,0.078128,0.079450,0.063155,0.066040,0.066040,868926
2022-01-22,0.066040,0.070660,0.051124,0.070476,0.070476,747131
2022-01-23,0.070476,0.073296,0.059227,0.072054,0.072054,785230
2022-01-24,0.072055,0.072235,0.057677,0.059053,0.059053,666555
2022-01-25,0.059053,0.068534,0.058130,0.066315,0.066315,654766
2022-01-26,0.066314,0.071816,0.058222,0.060263,0.060263,613126
2022-01-27,0.060263,0.071585,0.054510,0.059581,0.059581,723235
2022-01-28,0.059581,0.076888,0.054601,0.061807,0.061807,695570
2022-01-29,0.061807,0.066786,0.061384,0.066506,0.066506,698022
2022-01-30,0.066512,0.068591,0.060523,0.061439,0.061439,665880
2022-01-31,0.061439,0.062628,0.055177,0.061766,0.061766,626815
2022-02-01,0.061768,0.063935,0.061428,0.062322,0.062322,639349
2022-02-02,0.062322,0.063952,0.059665,0.060363,0.060363,628515
2022-02-03,0.060363,0.061688,0.057857,0.058086,0.058086,607324
2022-02-04,0.058086,0.066275,0.056939,0.066275,0.066275,628648
2022-02-05,0.066275,0.066399,0.062547,0.064135,0.064135,603234
2022-02-06,0.064134,0.064453,0.062293,0.064133,0.064133,527492
2022-02-07,0.064133,0.070123,0.059977,0.061920,0.061920,744142
2022-02-08,0.061920,0.064425,0.060930,0.063118,0.063118,643324
2022-02-09,0.063117,0.063825,0.060152,0.063176,0.063176,667070
2022-02-10,0.063175,0.072547,0.056792,0.059740,0.059740,781420
2022-02-11,0.059740,0.067478,0.058889,0.059104,0.059104,697683
2022-02-12,0.059104,0.062250,0.056086,0.056648,0.056648,663947
2022-02-13,0.056649,0.063961,0.054710,0.054728,0.054728,691113
2022-02-14,0.054727,0.063070,0.053243,0.057113,0.057113,668344
2022-02-15,0.057113,0.062074,0.056443,0.061192,0.061192,581992
2022-02-16,0.061192,0.061192,0.053207,0.055929,0.055929,670967
2022-02-17,0.055929,0.060220,0.047002,0.054585,0.054585,919496
2022-02-18,0.054585,0.056095,0.047886,0.048397,0.048397,620078
2022-02-19,0.048396,0.060404,0.046177,0.046739,0.046739,675612
2022-02-20,0.046740,0.054067,0.043862,0.047270,0.047270,520667
