Date,Open,High,Low,Close,Adj Close,Volume
2022-01-13,0.088551,0.112350,0.083300,0.090132,0.090132,1057279
2022-01-14,0.090132,0.092593,0.082544,0.085737,0.085737,1048044
2022-01-15,0.085737,0.088626,0.084924,0.086918,0.086918,71017
2022-01-16,0.086918,0.095647,0.082025,0.092442,0.092442,49722
2022-01-17,0.092442,0.092821,0.082964,0.086447,0.086447,60289
2022-01-18,0.086447,0.096566,0.082842,0.095834,0.095834,49117
2022-01-19,0.095834,0.096357,0.085489,0.086244,0.086244,35040
2022-01-20,0.086244,0.089200,0.082170,0.082170,0.082170,5836
2022-01-21,0.082170,0.087389,0.077989,0.077989,0.077989,14758
2022-01-22,0.077989,0.089391,0.071551,0.080303,0.080303,30854
2022-01-23,0.080303,0.086541,0.080145,0.085574,0.085574,20707
2022-01-24,0.085574,0.085597,0.072855,0.084537,0.084537,22398
2022-01-25,0.084537,0.084803,0.077151,0.082605,0.082605,25311
2022-01-26,0.082605,0.086140,0.078177,0.079911,0.079911,6015
2022-01-27,0.079911,0.083720,0.076549,0.082692,0.082692,1933
2022-01-28,0.082692,0.083467,0.080328,0.082145,0.082145,383
2022-01-29,0.082145,0.086476,0.081954,0.084791,0.084791,1493
2022-01-30,0.084791,0.085222,0.081930,0.082439,0.082439,1965
2022-01-31,0.082439,0.084210,0.079956,0.081822,0.081822,1028
2022-02-01,0.081822,0.085458,0.081822,0.084912,0.084912,760
2022-02-02,0.084912,0.085171,0.079610,0.079788,0.079788,1128
2022-02-03,0.079788,0.080471,0.078037,0.080171,0.080171,727
2022-02-04,0.080171,0.088234,0.080171,0.085275,0.085275,4327
2022-02-05,0.085275,0.092207,0.084845,0.088805,0.088805,5040
2022-02-06,0.088805,0.099892,0.088580,0.092929,0.092929,18013
2022-02-07,0.092929,0.098535,0.091773,0.092391,0.092391,121260
2022-02-08,0.092391,0.094741,0.090255,0.092869,0.092869,198632
2022-02-09,0.092869,0.101742,0.092427,0.099665,0.099665,245794
2022-02-10,0.099665,0.103890,0.097652,0.101404,0.101404,586470
2022-02-11,0.101404,0.104828,0.098235,0.099904,0.099904,1691709
2022-02-12,0.099904,0.102144,0.096746,0.098091,0.098091,2209926
2022-02-13,0.098091,0.100054,0.094386,0.094645,0.094645,2066145
2022-02-14,0.094645,0.101452,0.090502,0.101083,0.101083,2285323
2022-02-15,0.101083,0.107403,0.100368,0.107060,0.107060,3006836
2022-02-16,0.107060,0.110871,0.102301,0.108377,0.108377,1417995
2022-02-17,0.108377,0.113860,0.095833,0.096967,0.096967,1585921
2022-02-18,0.096967,0.113666,0.092832,0.107119,0.107119,1844792
2022-02-19,0.107119,0.122486,0.102081,0.111018,0.111018,1695357
2022-02-20,0.111018,0.116269,0.104934,0.108804,0.108804,1152856
2022-02-21,0.108804,0.126374,0.106889,0.107060,0.107060,1171440
2022-02-22,0.107060,0.122623,0.104949,0.114501,0.114501,1492778
2022-02-23,0.114501,0.119511,0.107481,0.112620,0.112620,1503531
2022-02-24,0.112620,0.119306,0.095511,0.114313,0.114313,1690133
2022-02-25,0.114313,0.119784,0.108551,0.108994,0.108994,1713029
2022-02-26,0.108994,0.121819,0.084246,0.100222,0.100222,1923668
2022-02-27,0.100222,0.110566,0.095037,0.095431,0.095431,1908602
2022-02-28,0.095431,0.112166,0.083876,0.110489,0.110489,1455462
2022-03-01,0.110489,0.118110,0.109730,0.117134,0.117134,913840
2022-03-02,0.117134,0.124655,0.112024,0.112814,0.112814,1123705
2022-03-03,0.112814,0.118957,0.109046,0.111555,0.111555,1945279
2022-03-04,0.111555,0.114465,0.100071,0.109461,0.109461,1868670
2022-03-05,0.109461,0.113337,0.099837,0.110658,0.110658,1841088
2022-03-06,0.110658,0.117125,0.106894,0.109003,0.109003,2085848
2022-03-07,0.109003,0.112815,0.103068,0.110009,0.110009,2257181
2022-03-08,0.110009,0.115092,0.101966,0.107287,0.107287,1810292
2022-03-09,0.107287,0.114671,0.107035,0.114326,0.114326,1457355
2022-03-10,0.114326,0.116020,0.109135,0.113363,0.113363,1642889
2022-03-11,0.113363,0.117829,0.095977,0.098710,0.098710,1716217
2022-03-12,0.098710,0.146083,0.097014,0.135650,0.135650,1821992
2022-03-13,0.135650,0.142361,0.132632,0.135266,0.135266,2096903
2022-03-14,0.135266,0.218643,0.133051,0.210204,0.210204,2071925
2022-03-15,0.210204,0.272458,0.187761,0.242032,0.242032,2413450
2022-03-16,0.242032,0.287175,0.236120,0.284836,0.284836,2670765
2022-03-17,0.284836,0.442423,0.271549,0.419818,0.419818,2642899
2022-03-18,0.419818,0.466957,0.346706,0.425936,0.425936,2499583
2022-03-19,0.425936,0.448451,0.166736,0.190544,0.190544,3354819
2022-03-20,0.190543,0.192669,0.153475,0.167871,0.167871,1811338
2022-03-21,0.167871,0.170813,0.139833,0.162845,0.162845,943697
2022-03-22,0.162863,0.195531,0.156542,0.166469,0.166469,758645
2022-03-23,0.166427,0.169747,0.156942,0.164822,0.164822,680476
2022-03-24,0.164825,0.166603,0.128690,0.153321,0.153321,848334
