Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.016817,0.017203,0.016661,0.017162,0.017162,432728
2021-08-23,0.017161,0.017618,0.016325,0.016591,0.016591,425203
2021-08-24,0.016593,0.017265,0.016051,0.016079,0.016079,386990
2021-08-25,0.016071,0.016828,0.015784,0.016584,0.016584,316678
2021-08-26,0.016614,0.016695,0.015750,0.016581,0.016581,291312
2021-08-27,0.016580,0.017364,0.016347,0.016734,0.016734,210725
2021-08-28,0.016782,0.017051,0.016222,0.016911,0.016911,177310
2021-08-29,0.016929,0.017258,0.016371,0.017180,0.017180,751206
2021-08-30,0.017179,0.017294,0.016436,0.016436,0.016436,695454
2021-08-31,0.016439,0.016511,0.015335,0.015951,0.015951,812937
2021-09-01,0.015945,0.016119,0.015344,0.016049,0.016049,681437
2021-09-02,0.016079,0.016522,0.015431,0.015872,0.015872,852656
2021-09-03,0.015865,0.016715,0.015656,0.016284,0.016284,680647
2021-09-04,0.016281,0.016341,0.015451,0.015493,0.015493,516652
2021-09-05,0.015490,0.016778,0.015274,0.016256,0.016256,635498
2021-09-06,0.016258,0.016413,0.015800,0.015992,0.015992,767334
2021-09-07,0.015990,0.016509,0.013527,0.014373,0.014373,908832
2021-09-08,0.014361,0.014561,0.013167,0.013967,0.013967,654843
2021-09-09,0.013784,0.014281,0.013745,0.013941,0.013941,478213
2021-09-10,0.013942,0.014155,0.012629,0.012799,0.012799,478832
2021-09-11,0.012801,0.013461,0.012754,0.013061,0.013061,847674
2021-09-12,0.013063,0.014080,0.012965,0.013986,0.013986,819082
2021-09-13,0.013982,0.014011,0.012761,0.013393,0.013393,593309
2021-09-14,0.013391,0.013840,0.013263,0.013347,0.013347,581473
2021-09-15,0.013349,0.013907,0.013131,0.013847,0.013847,402681
2021-09-16,0.013851,0.014105,0.012992,0.013588,0.013588,893554
2021-09-17,0.013589,0.014064,0.013245,0.013581,0.013581,780792
2021-09-18,0.013586,0.013939,0.013266,0.013544,0.013544,660143
2021-09-19,0.013547,0.013783,0.013068,0.013207,0.013207,660620
2021-09-20,0.013206,0.013680,0.011543,0.011668,0.011668,872371
2021-09-21,0.011663,0.011864,0.010650,0.010718,0.010718,654254
2021-09-22,0.010716,0.012021,0.010716,0.011907,0.011907,678709
2021-09-23,0.011905,0.013171,0.011764,0.013111,0.013111,670506
2021-09-24,0.013111,0.013179,0.011184,0.011930,0.011930,687400
2021-09-25,0.011929,0.012001,0.010919,0.011191,0.011191,451768
2021-09-26,0.011191,0.011191,0.006862,0.008301,0.008301,1396941
2021-09-27,0.008299,0.008668,0.007806,0.007962,0.007962,694273
2021-09-28,0.007962,0.007969,0.006694,0.007336,0.007336,586656
2021-09-29,0.007340,0.007654,0.007061,0.007075,0.007075,302450
2021-09-30,0.007083,0.007302,0.006753,0.007025,0.007025,291111
2021-10-01,0.007026,0.007791,0.006952,0.007643,0.007643,289677
2021-10-02,0.007642,0.008094,0.007016,0.007918,0.007918,471998
