Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,0.320453,0.711774,0.226016,0.423989,0.423989,102896869
2021-12-03,0.428438,0.506539,0.340017,0.371590,0.371590,49262230
2021-12-04,0.370571,0.464159,0.301495,0.424017,0.424017,38828928
2021-12-05,0.425162,0.434542,0.347644,0.369899,0.369899,23888535
2021-12-06,0.370255,0.370255,0.310749,0.342526,0.342526,14243726
2021-12-07,0.342444,0.389958,0.323737,0.352605,0.352605,19434307
2021-12-08,0.349630,0.390413,0.331284,0.365340,0.365340,18988022
2021-12-09,0.364828,0.570506,0.288882,0.523149,0.523149,60083805
2021-12-10,0.521410,0.627093,0.479579,0.563964,0.563964,30369120
2021-12-11,0.561520,0.620111,0.502642,0.510362,0.510362,23111286
2021-12-12,0.509208,0.588659,0.499973,0.556288,0.556288,20837199
2021-12-13,0.557339,0.576850,0.475262,0.515568,0.515568,17959495
2021-12-14,0.516834,0.540662,0.457753,0.488682,0.488682,17558557
2021-12-15,0.488629,0.520868,0.454727,0.482944,0.482944,16335677
2021-12-16,0.482653,0.486900,0.416310,0.420348,0.420348,15298069
2021-12-17,0.420399,0.427961,0.370170,0.388861,0.388861,16272505
2021-12-18,0.389274,0.458192,0.373466,0.422411,0.422411,17187104
2021-12-19,0.422358,0.449892,0.386498,0.428176,0.428176,18098196
2021-12-20,0.428039,0.433616,0.399888,0.415760,0.415760,15320971
2021-12-21,0.416620,0.529957,0.408962,0.507182,0.507182,23751837
2021-12-22,0.506879,0.518172,0.465729,0.501636,0.501636,19832713
2021-12-23,0.501592,0.541047,0.472757,0.494340,0.494340,19928327
2021-12-24,0.494742,0.505305,0.464069,0.468428,0.468428,18302022
2021-12-25,0.467186,0.492479,0.455249,0.474918,0.474918,16838621
2021-12-26,0.474974,0.501113,0.468854,0.477937,0.477937,15795735
2021-12-27,0.477077,0.499869,0.452562,0.488738,0.488738,18069995
2021-12-28,0.488646,0.528819,0.481523,0.522903,0.522903,16263872
2021-12-29,0.522760,0.522760,0.481586,0.491179,0.491179,14099698
2021-12-30,0.489660,0.492281,0.466079,0.475036,0.475036,15291644
