Date,Open,High,Low,Close,Adj Close,Volume
2022-05-10,0.141042,0.141110,0.111795,0.112188,0.112188,9310440
2022-05-11,0.111841,0.111978,0.069711,0.070182,0.070182,10456978
2022-05-12,0.070324,0.072099,0.033024,0.034057,0.034057,8357544
2022-05-13,0.034352,0.036926,0.029990,0.030509,0.030509,5384763
2022-05-14,0.030524,0.032453,0.028909,0.032453,0.032453,4843034
2022-05-15,0.032435,0.041399,0.032401,0.035946,0.035946,3732815
2022-05-16,0.035941,0.040177,0.031307,0.031882,0.031882,4632132
2022-05-17,0.031855,0.037155,0.031642,0.034023,0.034023,7799262
2022-05-18,0.033987,0.039781,0.033946,0.036147,0.036147,6713907
2022-05-19,0.036167,0.038577,0.035822,0.037093,0.037093,8671412
2022-05-20,0.037060,0.039113,0.035519,0.036088,0.036088,8992486
2022-05-21,0.036033,0.038933,0.036017,0.037859,0.037859,8622305
2022-05-22,0.037867,0.041042,0.037713,0.039559,0.039559,8212287
2022-05-23,0.039561,0.039794,0.037743,0.038113,0.038113,8455136
2022-05-24,0.038159,0.038385,0.037096,0.037443,0.037443,8975567
2022-05-25,0.037480,0.037834,0.036801,0.037265,0.037265,3547207
2022-05-26,0.037326,0.037645,0.035601,0.036951,0.036951,507571
2022-05-27,0.036936,0.037165,0.033624,0.033653,0.033653,551390
2022-05-28,0.033789,0.034198,0.033264,0.033976,0.033976,523787
2022-05-29,0.033969,0.034054,0.032011,0.033254,0.033254,530253
2022-05-30,0.033297,0.033911,0.033227,0.033567,0.033567,488651
2022-05-31,0.033582,0.034648,0.033495,0.033693,0.033693,555610
2022-06-01,0.033691,0.035934,0.033580,0.033809,0.033809,564071
2022-06-02,0.033798,0.033978,0.031915,0.032046,0.032046,507527
2022-06-03,0.032030,0.034218,0.031795,0.032870,0.032870,488580
2022-06-04,0.032842,0.033321,0.032717,0.033036,0.033036,555469
2022-06-05,0.033025,0.033371,0.032961,0.033135,0.033135,536805
2022-06-06,0.033122,0.033315,0.032237,0.032284,0.032284,556952
2022-06-07,0.032264,0.032310,0.031578,0.031946,0.031946,642860
2022-06-08,0.031968,0.031968,0.031458,0.031527,0.031527,651160
2022-06-09,0.031524,0.031701,0.031486,0.031580,0.031580,655002
2022-06-10,0.031587,0.031983,0.031489,0.031604,0.031604,653293
2022-06-11,0.031600,0.031625,0.031374,0.031409,0.031409,645524
2022-06-12,0.031395,0.031477,0.030945,0.031018,0.031018,580834
2022-06-13,0.031012,0.031037,0.029432,0.029498,0.029498,670570
2022-06-14,0.029496,0.029527,0.028405,0.028462,0.028462,546506
2022-06-15,0.028455,0.028910,0.028257,0.028772,0.028772,418472
2022-06-16,0.028765,0.029006,0.028044,0.028284,0.028284,422754
2022-06-17,0.028316,0.028916,0.028210,0.028522,0.028522,422528
2022-06-18,0.028522,0.032161,0.027826,0.028881,0.028881,498639
2022-06-19,0.028878,0.032574,0.028506,0.031401,0.031401,458653
2022-06-20,0.031398,0.031398,0.028577,0.028748,0.028748,398117
2022-06-21,0.028749,0.028764,0.027896,0.028121,0.028121,428137
2022-06-22,0.028121,0.028479,0.027770,0.028264,0.028264,442608
2022-06-23,0.028264,0.028930,0.028259,0.028514,0.028514,457758
2022-06-24,0.028515,0.028763,0.028365,0.028653,0.028653,442402
2022-06-25,0.028653,0.031394,0.028640,0.029739,0.029739,493512
2022-06-26,0.029750,0.031725,0.028975,0.030067,0.030067,475020
2022-06-27,0.030066,0.039224,0.029958,0.031141,0.031141,515236
2022-06-28,0.031142,0.031161,0.030190,0.030258,0.030258,301214
2022-06-29,0.030268,0.030288,0.029730,0.029825,0.029825,335493
2022-06-30,0.029825,0.029825,0.029164,0.029370,0.029370,334836
2022-07-01,0.029373,0.029553,0.029049,0.029235,0.029235,332817
2022-07-02,0.029234,0.029313,0.029087,0.029280,0.029280,331643
2022-07-03,0.029279,0.029355,0.029227,0.029277,0.029277,301014
2022-07-04,0.029263,0.029390,0.029259,0.029377,0.029377,222301
2022-07-05,0.029374,0.032689,0.029368,0.030212,0.030212,253262
2022-07-06,0.030212,0.030215,0.030048,0.030052,0.030052,205558
2022-07-07,0.030052,0.030054,0.029136,0.029514,0.029514,209662
2022-07-08,0.029513,0.031481,0.029247,0.030149,0.030149,225356
2022-07-09,0.030146,0.032370,0.029944,0.030314,0.030314,233380
2022-07-10,0.030313,0.030313,0.029817,0.029819,0.029819,209692
2022-07-11,0.029816,0.030231,0.029685,0.029714,0.029714,212429
2022-07-12,0.029714,0.029720,0.028317,0.028356,0.028356,224008
2022-07-13,0.028357,0.036007,0.028098,0.030390,0.030390,341114
2022-07-14,0.030341,0.031547,0.028740,0.029318,0.029318,376279
2022-07-15,0.029298,0.029798,0.028773,0.028972,0.028972,320971
2022-07-16,0.028977,0.029276,0.028921,0.028978,0.028978,223514
2022-07-17,0.028977,0.029072,0.028413,0.028907,0.028907,214256
2022-07-18,0.028911,0.030369,0.028902,0.029395,0.029395,232769
2022-07-19,0.029397,0.029577,0.029319,0.029547,0.029547,226476
2022-07-20,0.029546,0.029546,0.029395,0.029423,0.029423,220800
2022-07-21,0.029441,0.029457,0.029319,0.029372,0.029372,22068
2022-07-22,0.029372,0.029462,0.029319,0.029340,0.029340,25041
2022-07-23,0.029338,0.029553,0.029334,0.029391,0.029391,8608
2022-07-24,0.029391,0.029911,0.029391,0.029781,0.029781,14934
2022-07-25,0.029781,0.030062,0.029151,0.029382,0.029382,60061
2022-07-26,0.029342,0.029612,0.029001,0.029331,0.029331,46430
2022-07-27,0.029331,0.031117,0.029322,0.030308,0.030308,54501
2022-07-28,0.030309,0.030974,0.030219,0.030519,0.030519,6924983
2022-07-29,0.030519,0.030895,0.030476,0.030570,0.030570,6901360
2022-07-30,0.030568,0.031566,0.030495,0.031096,0.031096,6825806
2022-07-31,0.031095,0.031095,0.030365,0.030579,0.030579,6921271
2022-08-01,0.030579,0.033443,0.030086,0.030106,0.030106,6907813
2022-08-02,0.030108,0.031096,0.029983,0.030502,0.030502,6917140
2022-08-03,0.030503,0.032414,0.030378,0.030547,0.030547,6876891
