Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.377821,0.381892,0.363671,0.368016,0.368016,25557
2021-08-23,0.367724,0.386204,0.355769,0.367246,0.367246,39203
2021-08-24,0.367300,0.376807,0.351623,0.366417,0.366417,28569
2021-08-25,0.366455,0.392471,0.354195,0.391772,0.391772,29936
2021-08-26,0.391766,0.414966,0.385203,0.386108,0.386108,32413
2021-08-27,0.386231,0.426357,0.384359,0.395091,0.395091,31383
2021-08-28,0.396098,0.420900,0.393378,0.402062,0.402062,25733
2021-08-29,0.401774,0.424729,0.390084,0.410346,0.410346,29982
2021-08-30,0.410200,0.514601,0.407915,0.470382,0.470382,58301
2021-08-31,0.477785,0.572658,0.450894,0.548437,0.548437,63308
2021-09-01,0.548005,0.549528,0.427055,0.459147,0.459147,55971
2021-09-02,0.458112,0.462451,0.417806,0.419011,0.419011,40995
2021-09-03,0.419024,0.428097,0.340402,0.391416,0.391416,49970
2021-09-04,0.391376,0.392462,0.355549,0.375398,0.375398,28157
2021-09-05,0.375645,0.395675,0.374496,0.382160,0.382160,5854
2021-09-06,0.382161,0.382631,0.273667,0.328211,0.328211,8746
2021-09-07,0.328223,0.352196,0.296899,0.327905,0.327905,14346
2021-09-08,0.327845,0.384351,0.276157,0.292868,0.292868,9629
2021-09-09,0.298255,0.335178,0.221225,0.279593,0.279593,1572
2021-09-10,0.279601,0.348163,0.265482,0.321652,0.321652,4531
2021-09-11,0.321687,0.376770,0.270695,0.357297,0.357297,18990
2021-09-12,0.357285,0.376162,0.334665,0.345984,0.345984,6164
2021-09-13,0.345991,0.374963,0.244321,0.244323,0.244323,4461
2021-09-14,0.244252,0.342560,0.243665,0.342560,0.342560,4247
2021-09-15,0.342602,0.345278,0.261694,0.271662,0.271662,1024
2021-09-16,0.271688,0.328477,0.268165,0.313128,0.313128,1428
2021-09-17,0.313163,0.349468,0.288704,0.341377,0.341377,2730
2021-09-18,0.341393,0.396869,0.327536,0.386178,0.386178,2207
2021-09-19,0.386232,0.413180,0.287194,0.292281,0.292281,4479
2021-09-20,0.292303,0.362992,0.271749,0.308324,0.308324,5491
2021-09-21,0.308268,0.436934,0.298274,0.372777,0.372777,7753
2021-09-22,0.372852,0.372852,0.298249,0.299076,0.299076,2049
2021-09-23,0.299082,0.321452,0.231113,0.240323,0.240323,1672
2021-09-24,0.240313,0.312017,0.221391,0.285327,0.285327,13336
2021-09-25,0.285321,0.316727,0.265611,0.266200,0.266200,2247
2021-09-26,0.266202,0.281195,0.254628,0.274332,0.274332,4054
2021-09-27,0.274305,0.302502,0.236302,0.236628,0.236628,5399
2021-09-28,0.236628,0.335175,0.199185,0.317376,0.317376,2869
2021-09-29,0.317409,0.317600,0.266821,0.266864,0.266864,1485
2021-09-30,0.266849,0.283848,0.252031,0.254690,0.254690,795
2021-10-01,0.254684,0.305231,0.240454,0.273805,0.273805,2149
2021-10-02,0.273827,0.289936,0.262613,0.283405,0.283405,882
2021-10-03,0.283364,0.305716,0.151417,0.172056,0.172056,6535
2021-10-04,0.172069,0.465126,0.171906,0.333968,0.333968,61015
2021-10-05,0.333958,0.357173,0.278611,0.291382,0.291382,34237
2021-10-06,0.291430,0.319094,0.278689,0.285422,0.285422,12858
2021-10-07,0.285339,0.305400,0.275024,0.286816,0.286816,3865
2021-10-08,0.286823,0.317722,0.266701,0.291438,0.291438,3848
2021-10-09,0.291459,0.303261,0.277248,0.282263,0.282263,1942
2021-10-10,0.282242,0.282242,0.232109,0.263039,0.263039,2402
2021-10-11,0.263031,0.285618,0.246407,0.269774,0.269774,3292
2021-10-12,0.269805,0.303597,0.263670,0.287238,0.287238,735
2021-10-13,0.287257,0.313454,0.268577,0.285682,0.285682,10891
2021-10-14,0.285665,0.305653,0.191363,0.191385,0.191385,3028
2021-10-15,0.191371,0.289737,0.180693,0.289632,0.289632,6785
2021-10-16,0.289634,0.312435,0.286840,0.294352,0.294352,2246
2021-10-17,0.294346,0.294366,0.229627,0.239834,0.239834,673
2021-10-18,0.239827,0.307700,0.239791,0.304795,0.304795,2869
2021-10-19,0.304786,0.512517,0.217899,0.319801,0.319801,46991
2021-10-20,0.319805,0.319912,0.295689,0.316434,0.316434,12355
2021-10-21,0.316457,0.316457,0.288177,0.297540,0.297540,14960
2021-10-22,0.298108,0.314637,0.289235,0.314081,0.314081,19154
2021-10-23,0.314080,0.314737,0.281920,0.290171,0.290171,29545
2021-10-24,0.290182,0.291961,0.279788,0.282598,0.282598,24743
2021-10-25,0.282562,0.283386,0.280804,0.281751,0.281751,21897
2021-10-26,0.281752,0.285266,0.275964,0.279021,0.279021,20672
2021-10-27,0.279040,0.280714,0.261714,0.270072,0.270072,22018
2021-10-28,0.269605,0.275124,0.265387,0.274399,0.274399,21978
2021-10-29,0.274409,0.278704,0.268043,0.272579,0.272579,22073
2021-10-30,0.272564,0.280792,0.268404,0.280052,0.280052,18504
2021-10-31,0.279548,0.487707,0.260510,0.317952,0.317952,312702
2021-11-01,0.316173,0.359123,0.259120,0.284251,0.284251,138986
2021-11-02,0.284678,0.303199,0.276170,0.289430,0.289430,51503
2021-11-03,0.289579,0.297976,0.278652,0.287600,0.287600,30215
2021-11-04,0.287458,0.306941,0.284287,0.294462,0.294462,22602
2021-11-05,0.294461,0.306703,0.285052,0.292143,0.292143,19797
2021-11-06,0.290882,0.305770,0.282033,0.288084,0.288084,26725
2021-11-07,0.287841,0.317306,0.286030,0.307072,0.307072,24280
2021-11-08,0.306499,0.322715,0.295434,0.320125,0.320125,29941
2021-11-09,0.319256,0.343996,0.299890,0.314981,0.314981,37498
2021-11-10,0.315084,0.369100,0.304935,0.320399,0.320399,31007
2021-11-11,0.320452,0.354908,0.300121,0.311564,0.311564,32108
2021-11-12,0.310966,0.323390,0.306299,0.312503,0.312503,27632
2021-11-13,0.312980,0.316697,0.299888,0.316697,0.316697,18432
2021-11-14,0.316803,0.329158,0.315341,0.326054,0.326054,21080
2021-11-15,0.325932,0.326361,0.290076,0.310244,0.310244,26844
2021-11-16,0.310629,0.311595,0.276695,0.287340,0.287340,26376
2021-11-17,0.287466,0.299375,0.282117,0.292179,0.292179,18013
2021-11-18,0.292179,0.297130,0.267623,0.280614,0.280614,25245
2021-11-19,0.280429,0.288283,0.266255,0.272390,0.272390,19417
2021-11-20,0.272130,0.291359,0.271170,0.283275,0.283275,21783
2021-11-21,0.283394,0.340414,0.275266,0.284427,0.284427,44369
2021-11-22,0.282447,0.285842,0.273020,0.278064,0.278064,23509
2021-11-23,0.278834,0.283041,0.275701,0.279262,0.279262,19281
2021-11-24,0.279366,0.283131,0.265719,0.279543,0.279543,21012
2021-11-25,0.266274,0.271578,0.251705,0.256259,0.256259,25399
2021-11-26,0.270463,0.271643,0.252212,0.264705,0.264705,27321
2021-11-27,0.265101,0.270985,0.260944,0.269386,0.269386,17332
