Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.041081,0.042051,0.040970,0.041933,0.041933,25
2021-08-23,0.041923,0.042860,0.034843,0.035170,0.035170,105
2021-08-24,0.035178,0.041332,0.034684,0.034862,0.034862,55
2021-08-25,0.034841,0.035426,0.033486,0.035252,0.035252,61
2021-08-26,0.035282,0.039370,0.033412,0.038961,0.038961,24
2021-08-27,0.038922,0.056521,0.034400,0.043662,0.043662,2617
2021-08-28,0.043662,0.077879,0.043331,0.059661,0.059661,4983
2021-08-29,0.059661,0.069502,0.053482,0.053707,0.053707,1013
2021-08-30,0.053713,0.231217,0.053255,0.089752,0.089752,88523
2021-08-31,0.089875,0.109621,0.079969,0.089691,0.089691,15975
2021-09-01,0.089617,0.098341,0.073254,0.082063,0.082063,6230
2021-09-02,0.082063,0.084511,0.071620,0.077464,0.077464,861
2021-09-03,0.077445,0.146287,0.037984,0.117593,0.117593,28306
2021-09-04,0.117560,0.149914,0.102757,0.137347,0.137347,33896
2021-09-05,0.137348,0.144585,0.083124,0.124713,0.124713,16350
2021-09-06,0.124726,0.150237,0.106436,0.147416,0.147416,16815
2021-09-07,0.147374,0.147687,0.118169,0.126415,0.126415,7067
2021-09-08,0.126390,0.127802,0.105819,0.106011,0.106011,5248
2021-09-09,0.111728,0.123717,0.094161,0.101103,0.101103,5104
2021-09-10,0.101133,0.101840,0.089132,0.090192,0.090192,1179
2021-09-11,0.090217,0.099559,0.086376,0.090818,0.090818,1824
2021-09-12,0.090855,0.091507,0.080545,0.082058,0.082058,157
2021-09-13,0.081993,0.082302,0.056713,0.072844,0.072844,1479
2021-09-14,0.072840,0.073472,0.060651,0.060725,0.060725,524
2021-09-15,0.060749,0.094359,0.060749,0.086232,0.086232,3037
2021-09-16,0.086236,0.086269,0.070897,0.075967,0.075967,823
2021-09-17,0.075976,0.076576,0.074464,0.075093,0.075093,0
2021-09-18,0.075155,0.077510,0.071733,0.074301,0.074301,286
2021-09-19,0.074349,0.074426,0.061793,0.065708,0.065708,2051
2021-09-20,0.065692,0.066188,0.059212,0.059601,0.059601,684
2021-09-21,0.059553,0.062267,0.055305,0.056373,0.056373,221
2021-09-22,0.056564,0.061130,0.056395,0.056660,0.056660,154
2021-09-23,0.056647,0.061093,0.056038,0.057022,0.057022,375
2021-09-24,0.057017,0.079827,0.051989,0.070690,0.070690,7166
2021-09-25,0.070686,0.078668,0.056567,0.067065,0.067065,3654
2021-09-26,0.067065,0.067138,0.057092,0.063556,0.063556,553
2021-09-27,0.063517,0.063554,0.055692,0.055751,0.055751,607
2021-09-28,0.055751,0.060989,0.054030,0.054088,0.054088,328
2021-09-29,0.054166,0.059989,0.053658,0.056070,0.056070,97
2021-09-30,0.056112,0.069790,0.055950,0.069608,0.069608,649
2021-10-01,0.069628,0.074095,0.067146,0.069805,0.069805,33
2021-10-02,0.069770,0.069897,0.066649,0.066823,0.066823,120
2021-10-03,0.066796,0.067711,0.064606,0.065543,0.065543,235
2021-10-04,0.065552,0.069662,0.061564,0.067281,0.067281,862
2021-10-05,0.067285,0.068912,0.064490,0.066938,0.066938,623
2021-10-06,0.066969,0.070016,0.065306,0.069799,0.069799,120
2021-10-07,0.069755,0.074142,0.066907,0.067254,0.067254,842
2021-10-08,0.067257,0.072952,0.067196,0.071759,0.071759,6
2021-10-09,0.071777,0.074233,0.064247,0.070897,0.070897,1158
2021-10-10,0.070909,0.072248,0.043751,0.051521,0.051521,3412
2021-10-11,0.051485,0.069516,0.045347,0.052866,0.052866,4535
2021-10-12,0.052886,0.055062,0.045686,0.048214,0.048214,969
2021-10-13,0.048195,0.048589,0.044215,0.046505,0.046505,751
2021-10-14,0.046495,0.050352,0.045075,0.045868,0.045868,2066
2021-10-15,0.045857,0.052088,0.044926,0.051151,0.051151,363
2021-10-16,0.051123,0.051167,0.047563,0.048099,0.048099,955
2021-10-17,0.048105,0.048700,0.046740,0.048641,0.048641,371
2021-10-18,0.048627,0.051114,0.046856,0.047140,0.047140,402
2021-10-19,0.047140,0.052695,0.046833,0.051404,0.051404,1642
2021-10-20,0.051410,0.055552,0.043312,0.052141,0.052141,672
2021-10-21,0.052134,0.052614,0.041882,0.047910,0.047910,198
2021-10-22,0.047902,0.048350,0.044078,0.045523,0.045523,131
2021-10-23,0.045519,0.046754,0.032236,0.044188,0.044188,978
2021-10-24,0.044203,0.044284,0.040121,0.040229,0.040229,108
2021-10-25,0.040214,0.044156,0.033374,0.041595,0.041595,787
2021-10-26,0.041606,0.042266,0.038625,0.040429,0.040429,161
2021-10-27,0.040444,0.043005,0.032635,0.032773,0.032773,365
2021-10-28,0.032750,0.034792,0.032596,0.033944,0.033944,0
2021-10-29,0.033948,0.041532,0.033053,0.034237,0.034237,3260
2021-10-30,0.034225,0.045354,0.034039,0.040138,0.040138,668
2021-10-31,0.040228,0.040564,0.039321,0.039855,0.039855,9
2021-11-01,0.039857,0.042525,0.037211,0.037211,0.037211,582
2021-11-02,0.037213,0.041911,0.037076,0.039188,0.039188,343
2021-11-03,0.039200,0.043128,0.038949,0.042815,0.042815,712
2021-11-04,0.042820,0.042924,0.037696,0.041804,0.041804,311
2021-11-05,0.041788,0.042407,0.037724,0.038506,0.038506,184
2021-11-06,0.038509,0.038802,0.036483,0.036925,0.036925,406
2021-11-07,0.036916,0.039194,0.035400,0.036076,0.036076,320
2021-11-08,0.036096,0.043311,0.036096,0.043247,0.043247,87
2021-11-09,0.043243,0.043859,0.036107,0.036183,0.036183,898
2021-11-10,0.036165,0.037146,0.033823,0.035051,0.035051,397
2021-11-11,0.035097,0.037222,0.034657,0.036952,0.036952,76
2021-11-12,0.037021,0.037376,0.033660,0.037266,0.037266,229
2021-11-13,0.037210,0.038011,0.034817,0.035463,0.035463,324
2021-11-14,0.035458,0.049137,0.035384,0.043206,0.043206,1299
2021-11-15,0.043208,0.046796,0.038764,0.038834,0.038834,149
2021-11-16,0.038770,0.041220,0.036947,0.039746,0.039746,302
2021-11-17,0.039706,0.040752,0.039108,0.039823,0.039823,159
2021-11-18,0.039843,0.040226,0.037324,0.037573,0.037573,25
2021-11-19,0.037582,0.052421,0.035231,0.036632,0.036632,8660
2021-11-20,0.036615,0.043099,0.036525,0.042995,0.042995,1015
2021-11-21,0.042982,0.058331,0.040447,0.054550,0.054550,2891
2021-11-22,0.054619,0.054659,0.045101,0.045640,0.045640,414
2021-11-23,0.045594,0.051302,0.044272,0.046080,0.046080,1601
2021-11-24,0.046055,0.053450,0.044212,0.045031,0.045031,1565
2021-11-25,0.053202,0.055913,0.049888,0.052207,0.052207,2087
2021-11-26,0.051857,0.058118,0.047002,0.050919,0.050919,1274
2021-11-27,0.050891,0.052563,0.048439,0.048649,0.048649,269
2021-11-28,0.048785,0.048850,0.043667,0.045770,0.045770,182
2021-11-29,0.045799,0.047687,0.042175,0.042185,0.042185,251
2021-11-30,0.042216,0.044317,0.040922,0.042762,0.042762,557
2021-12-01,0.042681,0.047401,0.034497,0.040633,0.040633,5776
2021-12-02,0.040633,0.041291,0.036691,0.036736,0.036736,553
2021-12-03,0.036711,0.037363,0.034123,0.034851,0.034851,206
2021-12-04,0.034839,0.035038,0.023586,0.030005,0.030005,1812
2021-12-05,0.030012,0.030359,0.023818,0.029130,0.029130,4172
2021-12-06,0.029128,0.031671,0.025532,0.029303,0.029303,2856
2021-12-07,0.029338,0.029745,0.025412,0.026875,0.026875,1038
2021-12-08,0.026871,0.026943,0.024871,0.026275,0.026275,100
2021-12-09,0.026262,0.026415,0.024581,0.024820,0.024820,69
2021-12-10,0.024790,0.029527,0.024751,0.026484,0.026484,454
2021-12-11,0.026456,0.028823,0.026288,0.027675,0.027675,234
2021-12-12,0.027643,0.027899,0.026799,0.027549,0.027549,0
2021-12-13,0.027554,0.027796,0.025227,0.026152,0.026152,1434
2021-12-14,0.026173,0.027974,0.025251,0.026575,0.026575,308
2021-12-15,0.027579,0.030026,0.025015,0.029843,0.029843,1643
2021-12-16,0.029827,0.032708,0.029469,0.029522,0.029522,775
2021-12-17,0.029553,0.029763,0.026072,0.026383,0.026383,13
2021-12-18,0.026335,0.026969,0.025991,0.026232,0.026232,35
2021-12-19,0.026235,0.027411,0.025613,0.025659,0.025659,118
2021-12-20,0.025689,0.027493,0.025471,0.027212,0.027212,34
2021-12-21,0.027191,0.028595,0.027085,0.028360,0.028360,0
2021-12-22,0.028384,0.028736,0.026736,0.026738,0.026738,152
2021-12-23,0.026746,0.030799,0.025956,0.030474,0.030474,377
2021-12-24,0.030471,0.031607,0.028321,0.028485,0.028485,233
2021-12-25,0.028460,0.031184,0.028414,0.028780,0.028780,67
2021-12-26,0.028745,0.029182,0.028285,0.028955,0.028955,0
2021-12-27,0.028961,0.031693,0.028785,0.029423,0.029423,657
2021-12-28,0.029371,0.029394,0.012816,0.022875,0.022875,8933
2021-12-29,0.022843,0.023097,0.019405,0.019529,0.019529,355
2021-12-30,0.019507,0.021782,0.019069,0.021707,0.021707,171
2021-12-31,0.021702,0.021813,0.019703,0.020375,0.020375,66
2022-01-01,0.020377,0.021886,0.017056,0.020028,0.020028,623
2022-01-02,0.020026,0.022437,0.019694,0.021779,0.021779,118
2022-01-03,0.021778,0.021855,0.019512,0.019512,0.019512,0
2022-01-04,0.019513,0.022067,0.019344,0.021572,0.021572,61
2022-01-05,0.021573,0.022057,0.018403,0.018735,0.018735,821
2022-01-06,0.018733,0.022499,0.018674,0.019422,0.019422,4140
2022-01-07,0.019419,0.022113,0.018557,0.021610,0.021610,2188
2022-01-08,0.021612,0.023648,0.021150,0.023371,0.023371,190
2022-01-09,0.023371,0.023587,0.021909,0.022213,0.022213,57
2022-01-10,0.022212,0.022366,0.021092,0.022165,0.022165,50
2022-01-11,0.022164,0.022462,0.021118,0.021795,0.021795,36
2022-01-12,0.021799,0.025966,0.020414,0.025930,0.025930,186
