Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.011248,0.011285,0.009672,0.010360,0.010360,70
2021-08-23,0.010358,0.011820,0.009405,0.010402,0.010402,65
2021-08-24,0.010405,0.011105,0.008584,0.008596,0.008596,82
2021-08-25,0.008587,0.009288,0.007577,0.007834,0.007834,67
2021-08-26,0.009311,0.009313,0.007476,0.007980,0.007980,54
2021-08-27,0.007980,0.011397,0.007482,0.008831,0.008831,55
2021-08-28,0.008831,0.012245,0.007332,0.010270,0.010270,101
2021-08-29,0.010270,0.012639,0.010082,0.010743,0.010743,87
2021-08-30,0.010743,0.012973,0.008458,0.008458,0.008458,78
2021-08-31,0.008464,0.009156,0.007598,0.008497,0.008497,59
2021-09-01,0.008957,0.012365,0.007916,0.009283,0.009283,106
2021-09-02,0.009281,0.012854,0.008768,0.010359,0.010359,70
2021-09-03,0.010351,0.011528,0.008960,0.009505,0.009505,97
2021-09-04,0.009502,0.013500,0.008967,0.009989,0.009989,79
2021-09-05,0.009988,0.011585,0.009037,0.010351,0.010351,66
2021-09-06,0.010354,0.011888,0.009274,0.010530,0.010530,91
2021-09-07,0.010527,0.014815,0.008853,0.013110,0.013110,242
2021-09-08,0.013107,0.017300,0.008320,0.017054,0.017054,346
2021-09-09,0.017400,0.017937,0.009793,0.016696,0.016696,319
2021-09-10,0.016701,0.017745,0.010179,0.016154,0.016154,165
2021-09-11,0.016158,0.016808,0.008586,0.011748,0.011748,176
2021-09-12,0.011752,0.015606,0.009406,0.014291,0.014291,137
2021-09-13,0.014280,0.016673,0.009334,0.016637,0.016637,92
2021-09-14,0.016636,0.016755,0.011178,0.011768,0.011768,84
2021-09-15,0.011773,0.017417,0.011226,0.016861,0.016861,106
2021-09-16,0.016862,0.019495,0.013831,0.019111,0.019111,302
2021-09-17,0.019113,0.019454,0.015827,0.018891,0.018891,189
2021-09-18,0.018907,0.019987,0.018676,0.019299,0.019299,123
2021-09-19,0.019311,0.019540,0.014693,0.016072,0.016072,168
2021-09-20,0.016068,0.025876,0.012099,0.017151,0.017151,264
2021-09-21,0.017138,0.017205,0.011538,0.012208,0.012208,149
2021-09-22,0.012203,0.013194,0.011781,0.013072,0.013072,89
2021-09-23,0.013068,0.013483,0.012933,0.013470,0.013470,0
2021-09-24,0.013469,0.024246,0.013189,0.023562,0.023562,325
2021-09-25,0.023562,0.023629,0.019079,0.020504,0.020504,696
2021-09-26,0.020504,0.020526,0.018842,0.019456,0.019456,22
2021-09-27,0.019444,0.019912,0.018777,0.019006,0.019006,35
2021-09-28,0.019006,0.019249,0.018109,0.018439,0.018439,40
2021-09-29,0.018466,0.027849,0.018205,0.027827,0.027827,555
2021-09-30,0.027848,0.029342,0.027768,0.028894,0.028894,239
2021-10-01,0.028902,0.030943,0.028158,0.029848,0.029848,653
2021-10-02,0.029833,0.030117,0.027103,0.027684,0.027684,183
2021-10-03,0.027673,0.028496,0.026880,0.027952,0.027952,296
2021-10-04,0.027956,0.028685,0.026913,0.028484,0.028484,214
2021-10-05,0.028485,0.029256,0.027865,0.028835,0.028835,341
2021-10-06,0.028848,0.029793,0.028017,0.028806,0.028806,319
2021-10-07,0.028788,0.029245,0.026959,0.027440,0.027440,377
2021-10-08,0.027441,0.028521,0.026887,0.027517,0.027517,196
2021-10-09,0.027524,0.028208,0.026937,0.027480,0.027480,221
2021-10-10,0.027484,0.031027,0.027240,0.029597,0.029597,953
2021-10-11,0.029577,0.033462,0.028104,0.028732,0.028732,572
2021-10-12,0.028742,0.028814,0.027220,0.028031,0.028031,270
2021-10-13,0.028021,0.028250,0.021837,0.022391,0.022391,523
2021-10-14,0.022386,0.023355,0.017781,0.020067,0.020067,757
2021-10-15,0.020063,0.022012,0.018370,0.019105,0.019105,233
2021-10-16,0.019094,0.025020,0.018350,0.021310,0.021310,1827
2021-10-17,0.021312,0.024566,0.018765,0.022781,0.022781,286
2021-10-18,0.022775,0.025462,0.017947,0.018608,0.018608,83
2021-10-19,0.018608,0.026418,0.017987,0.026344,0.026344,119
2021-10-20,0.026347,0.027441,0.019190,0.026400,0.026400,651
2021-10-21,0.026397,0.027512,0.019307,0.025510,0.025510,551
2021-10-22,0.025506,0.026647,0.019473,0.020637,0.020637,342
2021-10-23,0.020635,0.025276,0.020567,0.024549,0.024549,195
2021-10-24,0.024557,0.024886,0.019746,0.020724,0.020724,146
2021-10-25,0.020716,0.026563,0.020635,0.025209,0.025209,204
2021-10-26,0.025216,0.026252,0.018606,0.019310,0.019310,337
2021-10-27,0.019316,0.025005,0.017642,0.023409,0.023409,411
