Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.002934,0.003462,0.002892,0.002960,0.002960,12
2021-08-23,0.002959,0.003474,0.002948,0.002972,0.002972,20
2021-08-24,0.002973,0.002993,0.002861,0.002865,0.002865,1
2021-08-25,0.002862,0.003444,0.002830,0.003427,0.003427,79
2021-08-26,0.003427,0.004740,0.002320,0.004225,0.004225,647
2021-08-27,0.004225,0.005399,0.004175,0.004902,0.004902,197
2021-08-28,0.004906,0.005406,0.004888,0.005380,0.005380,41
2021-08-29,0.005379,0.005928,0.004793,0.005859,0.005859,484
2021-08-30,0.005860,0.005871,0.005634,0.005639,0.005639,125
2021-08-31,0.005647,0.006265,0.005632,0.006129,0.006129,72
2021-09-01,0.006132,0.007166,0.006053,0.006352,0.006352,603
2021-09-02,0.006350,0.006958,0.006325,0.006414,0.006414,13
2021-09-03,0.006413,0.006628,0.006290,0.006505,0.006505,15
2021-09-04,0.006503,0.007040,0.006441,0.006493,0.006493,49
2021-09-05,0.006493,0.006743,0.006440,0.006727,0.006727,8
2021-09-06,0.006728,0.007244,0.006222,0.006318,0.006318,52
2021-09-07,0.006316,0.006329,0.004761,0.005150,0.005150,77
2021-09-08,0.005149,0.005207,0.004116,0.004148,0.004148,31
2021-09-09,0.004121,0.004187,0.003657,0.003710,0.003710,4
2021-09-10,0.003711,0.003763,0.003548,0.003590,0.003590,32
2021-09-11,0.003591,0.005036,0.003585,0.003615,0.003615,4
2021-09-12,0.003616,0.004173,0.003583,0.004149,0.004149,4
2021-09-13,0.004146,0.004506,0.003923,0.004497,0.004497,47
2021-09-14,0.004496,0.004528,0.003254,0.003766,0.003766,90
2021-09-15,0.003767,0.004346,0.003315,0.003854,0.003854,174
2021-09-16,0.003854,0.004774,0.003793,0.004300,0.004300,52
2021-09-17,0.004301,0.004334,0.003780,0.004251,0.004251,35
2021-09-18,0.004254,0.004391,0.004238,0.004342,0.004342,6
2021-09-19,0.004345,0.004350,0.003754,0.003782,0.003782,3
2021-09-20,0.003781,0.003786,0.002987,0.003430,0.003430,19
2021-09-21,0.003428,0.003489,0.003183,0.003245,0.003245,1
2021-09-22,0.003255,0.003518,0.003250,0.003487,0.003487,1
2021-09-23,0.003486,0.003971,0.003083,0.003592,0.003592,24
2021-09-24,0.003592,0.003606,0.002866,0.003427,0.003427,5
2021-09-25,0.003427,0.003851,0.003341,0.003417,0.003417,19
2021-09-26,0.003417,0.003514,0.003020,0.003459,0.003459,23
2021-09-27,0.003457,0.003545,0.003375,0.003379,0.003379,5
2021-09-28,0.003379,0.003422,0.003275,0.003278,0.003278,4
2021-09-29,0.003283,0.003404,0.003266,0.003323,0.003323,5
2021-09-30,0.003325,0.003504,0.002995,0.003064,0.003064,4
2021-10-01,0.003065,0.003391,0.003032,0.003370,0.003370,4
2021-10-02,0.003368,0.003380,0.003323,0.003341,0.003341,15
2021-10-03,0.003340,0.003439,0.003301,0.003374,0.003374,3
2021-10-04,0.003374,0.003462,0.003293,0.003438,0.003438,5
2021-10-05,0.003438,0.003629,0.003435,0.003604,0.003604,6
2021-10-06,0.003606,0.003890,0.003534,0.003878,0.003878,6
2021-10-07,0.003875,0.004361,0.003747,0.003766,0.003766,18
2021-10-08,0.003766,0.003915,0.003758,0.003777,0.003777,5
2021-10-09,0.003778,0.003878,0.003761,0.003847,0.003847,63
2021-10-10,0.003848,0.003848,0.003256,0.003837,0.003837,7
2021-10-11,0.003834,0.004446,0.003414,0.003448,0.003448,7
2021-10-12,0.003449,0.003458,0.003269,0.003364,0.003364,5
2021-10-13,0.003362,0.003461,0.003262,0.003445,0.003445,4
2021-10-14,0.003444,0.003509,0.003417,0.003440,0.003440,4
2021-10-15,0.003439,0.003765,0.003412,0.003698,0.003698,4
2021-10-16,0.003696,0.003736,0.003612,0.003653,0.003653,28
2021-10-17,0.003654,0.003699,0.003550,0.003694,0.003694,5
2021-10-18,0.003693,0.003757,0.003601,0.003722,0.003722,6
2021-10-19,0.003722,0.004510,0.003091,0.004498,0.004498,10
2021-10-20,0.004498,0.004685,0.004453,0.004620,0.004620,5
2021-10-21,0.004619,0.004662,0.003727,0.003733,0.003733,15
2021-10-22,0.003733,0.003823,0.003607,0.003642,0.003642,3
2021-10-23,0.003642,0.003705,0.003590,0.003682,0.003682,3
2021-10-24,0.003684,0.003690,0.003579,0.003657,0.003657,39
2021-10-25,0.003656,0.004428,0.003642,0.003781,0.003781,6
2021-10-26,0.003782,0.003794,0.003599,0.003621,0.003621,5
2021-10-27,0.003622,0.003686,0.003492,0.003511,0.003511,4
2021-10-28,0.003509,0.003728,0.003492,0.003637,0.003637,6
2021-10-29,0.003637,0.004300,0.003620,0.003735,0.003735,23
2021-10-30,0.003734,0.003740,0.003655,0.003705,0.003705,3
2021-10-31,0.003713,0.004924,0.003604,0.003679,0.003679,50
2021-11-01,0.003679,0.003745,0.003582,0.003660,0.003660,5
2021-11-02,0.003660,0.003790,0.003067,0.003160,0.003160,3
2021-11-03,0.003161,0.003176,0.003059,0.003148,0.003148,4
2021-11-04,0.003149,0.003720,0.003040,0.003074,0.003074,12
2021-11-05,0.003073,0.003127,0.003042,0.003056,0.003056,2
2021-11-06,0.003056,0.003080,0.003008,0.003077,0.003077,0
2021-11-07,0.003076,0.003165,0.003072,0.003165,0.003165,2
2021-11-08,0.003166,0.003384,0.003166,0.003379,0.003379,5
2021-11-09,0.003378,0.003427,0.003319,0.003350,0.003350,12
2021-11-10,0.003349,0.003439,0.003160,0.003245,0.003245,3
2021-11-11,0.003250,0.003279,0.003209,0.003241,0.003241,4
2021-11-12,0.003247,0.003273,0.003117,0.003213,0.003213,4
2021-11-13,0.003208,0.003246,0.003165,0.003224,0.003224,3
2021-11-14,0.003223,0.004561,0.003182,0.003273,0.003273,27
2021-11-15,0.003273,0.003306,0.002612,0.003183,0.003183,4
2021-11-16,0.003178,0.003186,0.002951,0.003011,0.003011,3
2021-11-17,0.003008,0.003041,0.002926,0.003017,0.003017,3
2021-11-18,0.003018,0.003047,0.002828,0.002846,0.002846,3
2021-11-19,0.002847,0.002918,0.002785,0.002907,0.002907,3
2021-11-20,0.002906,0.002993,0.002873,0.002986,0.002986,4
2021-11-21,0.002985,0.003000,0.002931,0.002933,0.002933,3
2021-11-22,0.002937,0.002963,0.002784,0.002817,0.002817,5
2021-11-23,0.002814,0.002841,0.002225,0.002304,0.002304,3
2021-11-24,0.002303,0.002312,0.002239,0.002252,0.002252,3
2021-11-25,0.002288,0.002375,0.002286,0.002295,0.002295,2
2021-11-26,0.002357,0.002367,0.002144,0.002144,0.002144,2
2021-11-27,0.002143,0.002213,0.002143,0.002186,0.002186,3
2021-11-28,0.002193,0.002870,0.002152,0.002861,0.002861,3
2021-11-29,0.002862,0.002910,0.002272,0.002312,0.002312,26
2021-11-30,0.002312,0.002915,0.002242,0.002281,0.002281,8
2021-12-01,0.002280,0.002952,0.002270,0.002862,0.002862,2
2021-12-02,0.002861,0.002867,0.002795,0.002826,0.002826,20
2021-12-03,0.002824,0.002852,0.002100,0.002681,0.002681,10
2021-12-04,0.002680,0.002695,0.001850,0.001968,0.001968,3
2021-12-05,0.001968,0.001991,0.001914,0.001975,0.001975,2
2021-12-06,0.001975,0.002466,0.001891,0.002021,0.002021,5
2021-12-07,0.002023,0.002077,0.002007,0.002028,0.002028,3
2021-12-08,0.002028,0.002047,0.001951,0.002021,0.002021,3
2021-12-09,0.002020,0.002032,0.001894,0.001909,0.001909,2
2021-12-10,0.001907,0.002001,0.001881,0.001892,0.001892,2
2021-12-11,0.001890,0.001978,0.001878,0.001977,0.001977,2
2021-12-12,0.001975,0.002029,0.001949,0.002004,0.002004,2
2021-12-13,0.002004,0.002008,0.001836,0.001868,0.001868,2
2021-12-14,0.001869,0.001937,0.001857,0.001865,0.001865,10
2021-12-15,0.001935,0.002396,0.001867,0.001957,0.001957,2
2021-12-16,0.001956,0.001977,0.001901,0.001905,0.001905,2
2021-12-17,0.001907,0.001920,0.001825,0.001851,0.001851,2
2021-12-18,0.001848,0.001893,0.001824,0.001874,0.001874,2
2021-12-19,0.001874,0.001924,0.001860,0.001866,0.001866,4
2021-12-20,0.001868,0.001896,0.001823,0.001877,0.001877,3
2021-12-21,0.001875,0.001951,0.001401,0.001467,0.001467,7
2021-12-22,0.001468,0.001486,0.001454,0.001458,0.001458,0
2021-12-23,0.001459,0.002038,0.001442,0.002032,0.002032,4
2021-12-24,0.002031,0.002073,0.002021,0.002035,0.002035,18
2021-12-25,0.002033,0.004082,0.002022,0.003534,0.003534,84
2021-12-26,0.003530,0.004608,0.003474,0.004572,0.004572,22
2021-12-27,0.004573,0.004602,0.004042,0.004058,0.004058,28
2021-12-28,0.004051,0.004802,0.003793,0.003813,0.003813,3
2021-12-29,0.003807,0.004752,0.003804,0.004185,0.004185,45
2021-12-30,0.004180,0.004294,0.003277,0.003303,0.003303,4
2021-12-31,0.003302,0.004744,0.003300,0.003705,0.003705,6
2022-01-01,0.003705,0.003826,0.003703,0.003815,0.003815,3
2022-01-02,0.003814,0.003831,0.003749,0.003788,0.003788,3
2022-01-03,0.003787,0.004236,0.003667,0.003717,0.003717,9
2022-01-04,0.003717,0.004160,0.003660,0.003672,0.003672,5
2022-01-05,0.003672,0.004672,0.003424,0.003486,0.003486,6
2022-01-06,0.003485,0.003500,0.003412,0.003453,0.003453,4
2022-01-07,0.003452,0.003775,0.002875,0.003325,0.003325,49
2022-01-08,0.003325,0.003378,0.003254,0.003339,0.003339,2
2022-01-09,0.003339,0.003370,0.002909,0.002934,0.002934,2
2022-01-10,0.002934,0.003790,0.002912,0.003346,0.003346,3
2022-01-11,0.003346,0.003870,0.002899,0.002992,0.002992,9
2022-01-12,0.002992,0.003961,0.002977,0.003516,0.003516,13
2022-01-13,0.003516,0.003521,0.002971,0.002981,0.002981,5
2022-01-14,0.002982,0.003034,0.002939,0.003017,0.003017,1
2022-01-15,0.003017,0.003061,0.002987,0.003022,0.003022,3
2022-01-16,0.003022,0.003041,0.002988,0.003018,0.003018,3
2022-01-17,0.003018,0.003023,0.002918,0.002958,0.002958,4
2022-01-18,0.002958,0.002977,0.002897,0.002966,0.002966,4
2022-01-19,0.002966,0.002973,0.002887,0.002922,0.002922,3
2022-01-20,0.002922,0.003039,0.002847,0.002848,0.002848,4
2022-01-21,0.002849,0.002874,0.002147,0.002187,0.002187,3
2022-01-22,0.002188,0.002484,0.002061,0.002452,0.002452,5
2022-01-23,0.002453,0.002502,0.002087,0.002177,0.002177,2
2022-01-24,0.002177,0.002235,0.001991,0.002199,0.002199,1
2022-01-25,0.002199,0.002247,0.002147,0.002217,0.002217,2
2022-01-26,0.002217,0.002330,0.002182,0.002211,0.002211,3
2022-01-27,0.002211,0.002591,0.002138,0.002228,0.002228,8
2022-01-28,0.002228,0.002277,0.001820,0.002267,0.002267,3
2022-01-29,0.002267,0.002670,0.002244,0.002670,0.002670,3
2022-01-30,0.002671,0.003421,0.002621,0.002654,0.002654,20
2022-01-31,0.002654,0.002705,0.002571,0.002694,0.002694,4
2022-02-01,0.002694,0.002738,0.002668,0.002712,0.002712,3
2022-02-02,0.002712,0.002718,0.002578,0.002587,0.002587,4
