Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.089008,0.090006,0.074710,0.076465,0.076465,1360
2021-08-23,0.076449,0.078205,0.073612,0.074302,0.074302,1322
2021-08-24,0.074319,0.074818,0.069146,0.069246,0.069246,3695
2021-08-25,0.069174,0.070024,0.066029,0.068545,0.068545,2439
2021-08-26,0.068545,0.069087,0.064968,0.065717,0.065717,0
2021-08-27,0.065652,0.066692,0.062940,0.066229,0.066229,3291
2021-08-28,0.066229,0.066507,0.062564,0.063084,0.063084,2244
2021-08-29,0.063084,0.064041,0.061824,0.062984,0.062984,2241
2021-08-30,0.062990,0.063080,0.060566,0.060618,0.060618,0
2021-08-31,0.060661,0.062165,0.060308,0.060896,0.060896,0
2021-09-01,0.060816,0.061010,0.057961,0.060017,0.060017,1876
2021-09-02,0.060097,0.061922,0.059842,0.060673,0.060673,1613
2021-09-03,0.060625,0.061182,0.059110,0.060030,0.060030,1866
2021-09-04,0.060011,0.060655,0.051535,0.051942,0.051942,2134
2021-09-05,0.051935,0.053943,0.051520,0.053824,0.053824,2510
2021-09-06,0.053840,0.054809,0.053096,0.054754,0.054754,3442
2021-09-07,0.054739,0.054968,0.044584,0.048225,0.048225,1716
2021-09-08,0.048215,0.048754,0.045898,0.047474,0.047474,0
2021-09-09,0.047164,0.048680,0.047040,0.047769,0.047769,1883
2021-09-10,0.047783,0.048443,0.045231,0.045769,0.045769,1869
2021-09-11,0.045782,0.046889,0.045715,0.046087,0.046087,0
2021-09-12,0.046105,0.047292,0.045686,0.047022,0.047022,960
2021-09-13,0.046985,0.047531,0.044463,0.045865,0.045865,2025
2021-09-14,0.045862,0.046856,0.045344,0.046603,0.046603,1747
2021-09-15,0.046622,0.047966,0.046306,0.047692,0.047692,1004
2021-09-16,0.047695,0.048002,0.046609,0.047300,0.047300,664
2021-09-17,0.047306,0.047679,0.021530,0.046756,0.046756,638
2021-09-18,0.046795,0.048304,0.046616,0.047765,0.047765,0
2021-09-19,0.047796,0.047845,0.046451,0.046799,0.046799,0
2021-09-20,0.046788,0.046855,0.042173,0.042450,0.042450,0
2021-09-21,0.042415,0.043172,0.039390,0.040151,0.040151,791
2021-09-22,0.040287,0.043539,0.040219,0.043149,0.043149,1700
2021-09-23,0.043139,0.044493,0.042678,0.044450,0.044450,1751
2021-09-24,0.044446,0.044630,0.040527,0.042414,0.042414,1434
2021-09-25,0.042411,0.042566,0.041342,0.042290,0.042290,0
2021-09-26,0.042289,0.043041,0.040338,0.042344,0.042344,1735
2021-09-27,0.042344,0.043414,0.041769,0.041814,0.041814,863
2021-09-28,0.041779,0.042337,0.040522,0.040566,0.040566,293
2021-09-29,0.040624,0.042120,0.040421,0.041118,0.041118,0
2021-09-30,0.041149,0.043652,0.041030,0.043341,0.043341,1641
2021-10-01,0.043353,0.047952,0.042887,0.047660,0.047660,1317
2021-10-02,0.047636,0.047799,0.046991,0.047253,0.047253,1899
2021-10-03,0.047234,0.048639,0.046686,0.047712,0.047712,0
2021-10-04,0.047718,0.048962,0.046575,0.048619,0.048619,55
2021-10-05,0.048622,0.050803,0.048582,0.050461,0.050461,2028
2021-10-06,0.050485,0.054457,0.049478,0.054288,0.054288,0
2021-10-07,0.054254,0.054254,0.052455,0.052727,0.052727,2690
2021-10-08,0.052730,0.054245,0.052188,0.052336,0.052336,2697
2021-10-09,0.052349,0.053584,0.050048,0.050562,0.050562,2061
2021-10-10,0.050571,0.051889,0.049923,0.050425,0.050425,0
2021-10-11,0.050390,0.052178,0.049771,0.051142,0.051142,3083
2021-10-12,0.051161,0.051289,0.044672,0.045971,0.045971,2803
2021-10-13,0.045954,0.047305,0.044584,0.047079,0.047079,0
2021-10-14,0.047069,0.047953,0.045566,0.045868,0.045868,3686
2021-10-15,0.045857,0.050206,0.045495,0.049302,0.049302,0
2021-10-16,0.049275,0.049820,0.046961,0.047491,0.047491,3817
2021-10-17,0.047496,0.048084,0.046148,0.048025,0.048025,3848
2021-10-18,0.048012,0.048839,0.046810,0.048380,0.048380,3888
2021-10-19,0.048380,0.050259,0.048066,0.050119,0.050119,0
2021-10-20,0.050124,0.052206,0.049616,0.051481,0.051481,4949
2021-10-21,0.051474,0.051948,0.048452,0.048532,0.048532,2728
2021-10-22,0.048524,0.049698,0.046896,0.047344,0.047344,0
2021-10-23,0.047340,0.048160,0.046294,0.046643,0.046643,2248
2021-10-24,0.046659,0.046744,0.045329,0.046325,0.046325,0
2021-10-25,0.046307,0.047265,0.045731,0.046637,0.046637,2248
2021-10-26,0.046649,0.046789,0.043194,0.043446,0.043446,2094
2021-10-27,0.043462,0.044233,0.041910,0.042136,0.042136,2031
2021-10-28,0.042107,0.044733,0.041909,0.043642,0.043642,0
2021-10-29,0.043648,0.045308,0.043438,0.044819,0.044819,0
2021-10-30,0.044804,0.044878,0.043252,0.043844,0.043844,3060
2021-10-31,0.043941,0.044308,0.042653,0.043534,0.043534,2098
2021-11-01,0.043536,0.044317,0.041736,0.042091,0.042091,2029
2021-11-02,0.042093,0.043816,0.040735,0.041085,0.041085,1980
2021-11-03,0.041097,0.041276,0.039158,0.040297,0.040297,1942
2021-11-04,0.040301,0.040399,0.036480,0.036886,0.036886,1886
2021-11-05,0.036871,0.037525,0.036507,0.036672,0.036672,1875
2021-11-06,0.036675,0.036954,0.036098,0.036925,0.036925,0
2021-11-07,0.036916,0.037977,0.036859,0.037974,0.037974,0
2021-11-08,0.037996,0.040604,0.037996,0.040544,0.040544,0
2021-11-09,0.040540,0.041118,0.038502,0.038844,0.038844,1027
2021-11-10,0.038833,0.039898,0.036661,0.037647,0.037647,497
2021-11-11,0.037697,0.038036,0.037225,0.037601,0.037601,991
2021-11-12,0.037671,0.037967,0.036154,0.037266,0.037266,0
2021-11-13,0.037210,0.037651,0.036716,0.037397,0.037397,0
2021-11-14,0.037392,0.037866,0.036279,0.037315,0.037315,999
2021-11-15,0.037316,0.038663,0.037220,0.037561,0.037561,969
2021-11-16,0.037499,0.037596,0.034820,0.035531,0.035531,0
2021-11-17,0.035495,0.035886,0.034524,0.035600,0.035600,917
2021-11-18,0.035617,0.035960,0.033365,0.033588,0.033588,863
2021-11-19,0.033596,0.034427,0.032866,0.034306,0.034306,0
2021-11-20,0.034291,0.034834,0.033332,0.034635,0.034635,904
2021-11-21,0.034624,0.034670,0.032827,0.032847,0.032847,696
2021-11-22,0.032889,0.033189,0.031181,0.031553,0.031553,850
2021-11-23,0.031522,0.032410,0.031154,0.032256,0.032256,0
2021-11-24,0.032239,0.032370,0.031340,0.031521,0.031521,1
2021-11-25,0.032036,0.033246,0.032002,0.032128,0.032128,1
2021-11-26,0.033000,0.033143,0.030021,0.030025,0.030025,1208
2021-11-27,0.029999,0.030984,0.029999,0.030610,0.030610,819
2021-11-28,0.030696,0.032141,0.030003,0.032039,0.032039,0
2021-11-29,0.032059,0.032969,0.031804,0.032361,0.032361,864
2021-11-30,0.032385,0.033090,0.011376,0.011403,0.011403,1332
2021-12-01,0.011382,0.026569,0.011336,0.025753,0.025753,851
2021-12-02,0.025748,0.025807,0.025153,0.025432,0.025432,1258
2021-12-03,0.025415,0.028166,0.025257,0.026272,0.026272,0
2021-12-04,0.026263,0.026413,0.021009,0.024102,0.024102,726
2021-12-05,0.024108,0.024386,0.023450,0.024193,0.024193,728
2021-12-06,0.024191,0.024955,0.023168,0.024756,0.024756,743
2021-12-07,0.024785,0.025448,0.024586,0.024847,0.024847,0
2021-12-08,0.024843,0.024909,0.023492,0.024254,0.024254,742
2021-12-09,0.024242,0.024383,0.021311,0.021479,0.021479,699
2021-12-10,0.021452,0.022507,0.021161,0.021282,0.021282,0
2021-12-11,0.021259,0.022256,0.021124,0.022238,0.022238,723
2021-12-12,0.022213,0.022826,0.021927,0.022540,0.022540,731
2021-12-13,0.022544,0.022592,0.020653,0.021015,0.021015,680
2021-12-14,0.021019,0.021794,0.020891,0.021786,0.021786,704
2021-12-15,0.021773,0.022263,0.021002,0.022004,0.022004,0
2021-12-16,0.022005,0.022242,0.021388,0.021449,0.021449,0
2021-12-17,0.021444,0.021602,0.007299,0.007392,0.007392,670
2021-12-18,0.007395,0.007570,0.007296,0.007496,0.007496,678
2021-12-19,0.007497,0.007694,0.007440,0.007464,0.007464,674
2021-12-20,0.007473,0.007584,0.007293,0.007507,0.007507,677
2021-12-21,0.007501,0.007888,0.007472,0.007823,0.007823,704
2021-12-22,0.007830,0.007927,0.007752,0.007778,0.007778,698
2021-12-23,0.007781,0.008213,0.007691,0.008126,0.008126,0
2021-12-24,0.008126,0.008290,0.008082,0.008138,0.008138,729
2021-12-25,0.008132,0.008188,0.008038,0.008079,0.008079,722
2021-12-26,0.008069,0.008191,0.007940,0.008128,0.008128,725
2021-12-27,0.008130,0.008313,0.008080,0.008117,0.008117,0
2021-12-28,0.008102,0.008109,0.007586,0.007625,0.007625,1018
2021-12-29,0.007614,0.007699,0.007392,0.007440,0.007440,660
2021-12-30,0.007431,0.007661,0.007370,0.007550,0.007550,0
2021-12-31,0.007549,0.007756,0.007331,0.007409,0.007409,659
2022-01-01,0.007410,0.007652,0.007406,0.007630,0.007630,0
2022-01-02,0.007629,0.007661,0.007497,0.007575,0.007575,670
2022-01-03,0.007575,0.007602,0.007334,0.007433,0.007433,656
2022-01-04,0.007433,0.007585,0.007320,0.007344,0.007344,648
2022-01-05,0.007344,0.007509,0.006848,0.006971,0.006971,0
2022-01-06,0.006970,0.007000,0.006823,0.006906,0.006906,609
2022-01-07,0.006905,0.006905,0.006572,0.006649,0.006649,585
2022-01-08,0.006650,0.006757,0.006508,0.006677,0.006677,585
2022-01-09,0.006678,0.006826,0.006614,0.006706,0.006706,585
2022-01-10,0.006706,0.006752,0.006367,0.006691,0.006691,583
2022-01-11,0.006691,0.006880,0.006625,0.006838,0.006838,604
2022-01-12,0.006839,0.007053,0.006805,0.007032,0.007032,0
2022-01-13,0.007031,0.007085,0.006792,0.006815,0.006815,604
2022-01-14,0.006816,0.006935,0.006717,0.006896,0.006896,608
2022-01-15,0.006896,0.006996,0.006827,0.006908,0.006908,603
2022-01-16,0.006908,0.006950,0.006831,0.006898,0.006898,602
2022-01-17,0.006899,0.006909,0.006669,0.006760,0.006760,593
2022-01-18,0.006760,0.006806,0.006623,0.006780,0.006780,591
2022-01-19,0.006780,0.006797,0.006604,0.006679,0.006679,585
2022-01-20,0.006679,0.006733,0.006673,0.006699,0.006699,0
2022-01-21,0.006699,0.006699,0.005727,0.005833,0.005833,510
2022-01-22,0.005835,0.005870,0.005496,0.005605,0.005605,488
2022-01-23,0.005608,0.005829,0.005566,0.005804,0.005804,0
2022-01-24,0.005804,0.005960,0.005309,0.005865,0.005865,0
2022-01-25,0.005865,0.005991,0.005725,0.005913,0.005913,513
2022-01-26,0.005912,0.006212,0.005820,0.005896,0.005896,511
2022-01-27,0.005895,0.005944,0.005701,0.005942,0.005942,514
2022-01-28,0.005941,0.006072,0.005794,0.006045,0.006045,520
2022-01-29,0.006045,0.006172,0.005985,0.006102,0.006102,0
2022-01-30,0.006104,0.006123,0.005990,0.006067,0.006067,521
2022-01-31,0.006067,0.006184,0.005877,0.006157,0.006157,528
2022-02-01,0.006157,0.006258,0.006098,0.006199,0.006199,530
2022-02-02,0.006199,0.006214,0.005893,0.005912,0.005912,507
2022-02-03,0.005911,0.005945,0.005820,0.005945,0.005945,505
2022-02-04,0.005944,0.006644,0.005935,0.006640,0.006640,0
2022-02-05,0.006640,0.006696,0.006566,0.006631,0.006631,565
2022-02-06,0.006631,0.006800,0.006599,0.006786,0.006786,0
2022-02-07,0.006785,0.007104,0.006680,0.007014,0.007014,593
2022-02-08,0.007017,0.007247,0.006849,0.007059,0.007059,598
2022-02-09,0.007055,0.007156,0.006917,0.007094,0.007094,598
2022-02-10,0.007096,0.007306,0.006944,0.006970,0.006970,0
2022-02-11,0.006971,0.007010,0.006738,0.006785,0.006785,574
2022-02-12,0.006786,0.006879,0.006696,0.006759,0.006759,0
2022-02-13,0.006758,0.006831,0.006712,0.006752,0.006752,570
2022-02-14,0.006745,0.006844,0.006669,0.006814,0.006814,0
2022-02-15,0.006814,0.007147,0.006799,0.007132,0.007132,898
2022-02-16,0.007133,0.007133,0.006953,0.007034,0.007034,0
2022-02-17,0.007030,0.007061,0.006440,0.006486,0.006486,543
2022-02-18,0.006488,0.006549,0.006342,0.006405,0.006405,538
2022-02-19,0.006404,0.006467,0.006354,0.006420,0.006420,536
2022-02-20,0.006419,0.006419,0.006098,0.006149,0.006149,513
2022-02-21,0.006148,0.006303,0.005912,0.005932,0.005932,495
2022-02-22,0.005931,0.006138,0.005838,0.006126,0.006126,0
2022-02-23,0.006126,0.006250,0.005952,0.005967,0.005967,496
2022-02-24,0.005965,0.006235,0.005513,0.006133,0.006133,511
2022-02-25,0.006133,0.006341,0.006098,0.006274,0.006274,519
2022-02-26,0.006274,0.006401,0.006192,0.006257,0.006257,513
2022-02-27,0.006256,0.006365,0.005963,0.006034,0.006034,498
2022-02-28,0.006033,0.007002,0.006003,0.006911,0.006911,565
2022-03-01,0.006911,0.007167,0.006872,0.007097,0.007097,578
2022-03-02,0.007097,0.007212,0.006949,0.007028,0.007028,0
2022-03-03,0.007028,0.007043,0.006706,0.006792,0.006792,554
2022-03-04,0.006793,0.006797,0.006209,0.006262,0.006262,510
2022-03-05,0.006264,0.006331,0.006204,0.006304,0.006304,0
2022-03-06,0.006305,0.006342,0.006114,0.006147,0.006147,498
2022-03-07,0.006149,0.006309,0.005962,0.006090,0.006090,0
2022-03-08,0.006090,0.006289,0.006073,0.006198,0.006198,504
2022-03-09,0.006199,0.006795,0.006193,0.006717,0.006717,0
2022-03-10,0.006716,0.006721,0.006213,0.006310,0.006310,510
2022-03-11,0.006310,0.006413,0.006136,0.006207,0.006207,0
2022-03-12,0.006207,0.006289,0.006204,0.006225,0.006225,503
2022-03-13,0.006222,0.006273,0.006037,0.006056,0.006056,487
2022-03-14,0.006055,0.006359,0.006029,0.006347,0.006347,513
2022-03-15,0.006346,0.006367,0.006130,0.006294,0.006294,505
2022-03-16,0.006294,0.006634,0.006244,0.006583,0.006583,0
2022-03-17,0.006583,0.006606,0.006506,0.006552,0.006552,526
2022-03-18,0.006551,0.006751,0.006448,0.006688,0.006688,0
2022-03-19,0.006687,0.006771,0.006656,0.006751,0.006751,539
2022-03-20,0.006751,0.006759,0.006561,0.006600,0.006600,527
2022-03-21,0.006599,0.006633,0.006507,0.006572,0.006572,529
2022-03-22,0.006572,0.006900,0.006552,0.006777,0.006777,0
2022-03-23,0.006778,0.006863,0.006700,0.006863,0.006863,550
2022-03-24,0.006862,0.007061,0.006836,0.007034,0.007034,543
2022-03-25,0.007034,0.007200,0.006993,0.007096,0.007096,0
2022-03-26,0.007096,0.007158,0.007067,0.007120,0.007120,566
2022-03-27,0.007121,0.007492,0.007110,0.007491,0.007491,595
2022-03-28,0.007491,0.007694,0.007470,0.007540,0.007540,0
2022-03-29,0.007536,0.007684,0.007536,0.007595,0.007595,601
2022-03-30,0.007593,0.007625,0.007479,0.007530,0.007530,595
2022-03-31,0.007530,0.007585,0.006809,0.006831,0.006831,574
2022-04-01,0.006833,0.006992,0.006660,0.006942,0.006942,581
2022-04-02,0.006943,0.007054,0.006867,0.006880,0.006880,576
2022-04-03,0.006879,0.007097,0.006845,0.006968,0.006968,583
2022-04-04,0.006967,0.007019,0.006785,0.006993,0.006993,583
2022-04-05,0.006994,0.007066,0.006832,0.006833,0.006833,577
2022-04-06,0.006832,0.006832,0.006479,0.006481,0.006481,538
2022-04-07,0.006481,0.006579,0.006435,0.006526,0.006526,0
2022-04-08,0.006526,0.006585,0.006327,0.006343,0.006343,528
2022-04-09,0.006342,0.006418,0.006327,0.006417,0.006417,0
2022-04-10,0.006417,0.006506,0.006303,0.006331,0.006331,525
2022-04-11,0.006330,0.006364,0.005906,0.005928,0.005928,0
2022-04-12,0.005930,0.006093,0.005908,0.006019,0.006019,498
2022-04-13,0.006019,0.006215,0.005957,0.006175,0.006175,0
2022-04-14,0.006174,0.006218,0.005954,0.005990,0.005990,494
2022-04-15,0.005991,0.006093,0.005980,0.006083,0.006083,0
2022-04-16,0.006083,0.006095,0.006012,0.006064,0.006064,493
2022-04-17,0.006063,0.006086,0.005943,0.005958,0.005958,0
2022-04-18,0.005958,0.006148,0.005804,0.006124,0.006124,0
2022-04-19,0.006124,0.006251,0.006095,0.006225,0.006225,511
2022-04-20,0.006225,0.006319,0.006144,0.006206,0.006206,0
2022-04-21,0.006206,0.006434,0.006010,0.006079,0.006079,500
2022-04-22,0.006079,0.006117,0.005897,0.005961,0.005961,488
2022-04-23,0.005961,0.005990,0.005903,0.005923,0.005923,486
2022-04-24,0.005922,0.005977,0.005885,0.005920,0.005920,484
2022-04-25,0.005921,0.006074,0.005751,0.006069,0.006069,0
2022-04-26,0.006067,0.006107,0.005683,0.005718,0.005718,465
2022-04-27,0.005718,0.005910,0.005700,0.005886,0.005886,0
2022-04-28,0.005886,0.006040,0.005841,0.005966,0.005966,484
2022-04-29,0.005965,0.005983,0.005735,0.005791,0.005791,468
2022-04-30,0.005791,0.005816,0.005655,0.005657,0.005657,0
2022-05-01,0.005657,0.005794,0.005638,0.005770,0.005770,466
2022-05-02,0.005771,0.005861,0.005723,0.005779,0.005779,0
2022-05-03,0.005779,0.005794,0.005638,0.005663,0.005663,457
2022-05-04,0.005662,0.005985,0.005660,0.005955,0.005955,0
2022-05-05,0.005954,0.005968,0.005020,0.005121,0.005121,441
2022-05-06,0.005120,0.005127,0.004967,0.005046,0.005046,0
2022-05-07,0.005046,0.005058,0.004892,0.004970,0.004970,428
2022-05-08,0.004970,0.004970,0.004743,0.004768,0.004768,0
2022-05-09,0.004768,0.004791,0.004242,0.004242,0.004242,365
2022-05-10,0.004238,0.004563,0.004192,0.004343,0.004343,370
2022-05-11,0.004342,0.004482,0.003944,0.004051,0.004051,0
2022-05-12,0.004051,0.004205,0.003689,0.004067,0.004067,349
2022-05-13,0.004064,0.004329,0.004030,0.004100,0.004100,0
2022-05-14,0.004100,0.004227,0.004018,0.004214,0.004214,360
2022-05-15,0.004214,0.004383,0.004134,0.004383,0.004383,373
2022-05-16,0.004383,0.004383,0.004095,0.004181,0.004181,0
2022-05-17,0.004181,0.004297,0.004140,0.004260,0.004260,0
2022-05-18,0.004259,0.004287,0.003734,0.003734,0.003734,320
2022-05-19,0.003734,0.003956,0.003732,0.003941,0.003941,331
2022-05-20,0.003940,0.003986,0.003743,0.003796,0.003796,0
2022-05-21,0.003796,0.003847,0.003774,0.003826,0.003826,328
2022-05-22,0.003826,0.003955,0.003806,0.003942,0.003942,337
2022-05-23,0.003940,0.003977,0.003767,0.003783,0.003783,0
2022-05-24,0.003783,0.003871,0.003742,0.003855,0.003855,329
2022-05-25,0.003855,0.003921,0.003820,0.003843,0.003843,328
2022-05-26,0.003843,0.003878,0.003674,0.003805,0.003805,325
2022-05-27,0.003803,0.003815,0.003682,0.003722,0.003722,0
2022-05-28,0.003749,0.003788,0.003712,0.003773,0.003773,321
2022-05-29,0.003773,0.003835,0.003749,0.003828,0.003828,325
2022-05-30,0.003828,0.004153,0.003809,0.004124,0.004124,350
