Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.567786,0.570203,0.535557,0.569709,0.569709,15341
2021-08-23,0.569716,0.572227,0.569532,0.570905,0.570905,14096
2021-08-24,0.570923,0.571519,0.566892,0.569299,0.569299,14321
2021-08-25,0.569221,0.569221,0.560329,0.563203,0.563203,18406
2021-08-26,0.563255,0.580859,0.562180,0.580600,0.580600,23902
2021-08-27,0.580618,0.581248,0.580358,0.580700,0.580700,13789
2021-08-28,0.580654,0.581427,0.561080,0.579509,0.579509,13497
2021-08-29,0.579517,0.628539,0.579411,0.609058,0.609058,28072
2021-08-30,0.609075,0.620398,0.608811,0.620305,0.620305,27175
2021-08-31,0.620270,0.620270,0.608132,0.617442,0.617442,17011
2021-09-01,0.617386,0.660500,0.616790,0.660374,0.660374,51364
2021-09-02,0.660345,0.672764,0.660335,0.671468,0.671468,16550
2021-09-03,0.671378,1.198405,0.604441,0.659448,0.659448,35831
2021-09-04,0.659430,0.716833,0.658796,0.693344,0.693344,20582
2021-09-05,0.693230,0.718814,0.665523,0.666180,0.666180,26506
2021-09-06,0.666151,0.725405,0.665374,0.724915,0.724915,16610
2021-09-07,0.724938,0.819862,0.523965,0.660067,0.660067,16012
2021-09-08,0.659948,0.669777,0.644198,0.644275,0.644275,14397
2021-09-09,0.643796,0.647503,0.578882,0.590726,0.590726,3500
2021-09-10,0.590726,0.645941,0.590721,0.643805,0.643805,12579
2021-09-11,0.643845,0.649065,0.635920,0.648703,0.648703,18560
2021-09-12,0.648652,0.648808,0.646925,0.647080,0.647080,14301
2021-09-13,0.647119,0.647717,0.642949,0.643487,0.643487,14103
2021-09-14,0.643412,0.643912,0.640031,0.641048,0.641048,14270
2021-09-15,0.641001,0.641170,0.594743,0.635330,0.635330,14167
2021-09-16,0.635413,0.635413,0.620385,0.621913,0.621913,14597
2021-09-17,0.621982,0.622685,0.618521,0.621805,0.621805,10236
2021-09-18,0.621830,0.622726,0.618804,0.621372,0.621372,14056
2021-09-19,0.621354,0.622933,0.620750,0.622086,0.622086,14585
2021-09-20,0.622154,0.622154,0.621330,0.621471,0.621471,14770
2021-09-21,0.621384,0.638952,0.621253,0.635301,0.635301,14759
2021-09-22,0.635311,0.635538,0.605291,0.612020,0.612020,18268
2021-09-23,0.611993,0.614444,0.475457,0.584973,0.584973,17811
2021-09-24,0.584952,0.584952,0.568678,0.568678,0.568678,14947
2021-09-25,0.568668,0.569533,0.559942,0.559992,0.559992,12927
2021-09-26,0.559996,0.559996,0.467664,0.558240,0.558240,14815
2021-09-27,0.558223,0.558723,0.493492,0.558188,0.558188,14856
2021-09-28,0.558188,0.558384,0.554036,0.556522,0.556522,14041
2021-09-29,0.556479,0.599350,0.554929,0.598697,0.598697,14923
2021-09-30,0.598677,0.598736,0.598154,0.598543,0.598543,14706
2021-10-01,0.598535,0.599089,0.517478,0.598930,0.598930,14929
2021-10-02,0.598974,0.599171,0.597576,0.597663,0.597663,15289
2021-10-03,0.597574,0.597839,0.593857,0.594229,0.594229,14941
2021-10-04,0.594198,0.600369,0.593353,0.600198,0.600198,14736
2021-10-05,0.600177,1.435040,0.555542,0.674058,0.674058,93954
2021-10-06,0.674046,0.707099,0.580070,0.700214,0.700214,22166
2021-10-07,0.700136,0.700241,0.666377,0.668592,0.668592,16067
2021-10-08,0.668608,0.669412,0.551198,0.640686,0.640686,15474
2021-10-09,0.640725,0.767834,0.634295,0.722390,0.722390,19102
2021-10-10,0.722311,0.741373,0.503022,0.683994,0.683994,23295
2021-10-11,0.684058,0.684790,0.682484,0.684753,0.684753,14178
2021-10-12,0.684804,0.684836,0.676456,0.683265,0.683265,14600
2021-10-13,0.683342,0.683342,0.680913,0.682831,0.682831,15068
2021-10-14,0.682803,0.684193,0.682660,0.683916,0.683916,14818
2021-10-15,0.683911,0.707420,0.676134,0.701441,0.701441,7647
2021-10-16,0.701449,0.703309,0.657172,0.670934,0.670934,1275
2021-10-17,0.670965,0.746046,0.661306,0.740198,0.740198,15562
2021-10-18,0.740184,0.751403,0.652656,0.716849,0.716849,21968
2021-10-19,0.716834,0.722302,0.680358,0.722042,0.722042,13063
2021-10-20,0.722052,0.722523,0.696446,0.716819,0.716819,13986
2021-10-21,0.716872,0.730279,0.703664,0.704255,0.704255,15134
2021-10-22,0.704255,0.704424,0.672696,0.673185,0.673185,14883
2021-10-23,0.673161,0.749578,0.673161,0.686736,0.686736,21325
2021-10-24,0.686692,0.747286,0.676386,0.747102,0.747102,14218
2021-10-25,0.747052,0.747323,0.742628,0.742661,0.742661,14077
2021-10-26,0.742604,0.745546,0.718922,0.741038,0.741038,14853
2021-10-27,0.741030,0.741401,0.648422,0.713267,0.713267,14773
2021-10-28,0.713235,0.714820,0.707029,0.713781,0.713781,14788
2021-10-29,0.713822,0.731666,0.710175,0.731483,0.731483,16014
2021-10-30,0.731494,0.731970,0.640235,0.709727,0.709727,15642
2021-10-31,0.709791,0.730505,0.709791,0.720708,0.720708,15366
2021-11-01,0.720675,0.725332,0.665149,0.718190,0.718190,15219
2021-11-02,0.718118,0.742163,0.716762,0.742123,0.742123,14958
2021-11-03,0.742143,0.754665,0.716626,0.724811,0.724811,20613
2021-11-04,0.724827,0.744308,0.676044,0.744149,0.744149,14141
2021-11-05,0.744086,0.745019,0.744076,0.744878,0.744878,14019
2021-11-06,0.744880,1.595741,0.656599,0.743814,0.743814,36937
2021-11-07,0.743946,0.828362,0.640933,0.723430,0.723430,17371
2021-11-08,0.723444,0.794701,0.629135,0.784391,0.784391,17938
2021-11-09,0.784358,0.784358,0.685073,0.694741,0.694741,13831
2021-11-10,0.694786,0.781275,0.694341,0.710747,0.710747,2125
2021-11-11,0.710752,0.772439,0.709959,0.772439,0.772439,11938
2021-11-12,0.771493,0.772537,0.765004,0.768859,0.768859,13459
2021-11-13,0.769766,0.827732,0.765063,0.797733,0.797733,12438
2021-11-14,0.797678,0.800115,0.770321,0.770321,0.770321,13641
2021-11-15,0.770469,0.770794,0.734428,0.753063,0.753063,12417
2021-11-16,0.754204,0.776025,0.660163,0.727523,0.727523,12767
2021-11-17,0.727404,0.741101,0.658446,0.701108,0.701108,12629
2021-11-18,0.701029,0.702117,0.649760,0.697333,0.697333,13676
2021-11-19,0.697262,0.698314,0.652658,0.689785,0.689785,13174
2021-11-20,0.689722,0.699425,0.625140,0.678891,0.678891,16225
2021-11-21,0.679262,0.680103,0.628267,0.667361,0.667361,15868
2021-11-22,0.667114,0.672902,0.639232,0.639726,0.639726,14820
2021-11-23,0.639697,0.668733,0.625720,0.641952,0.641952,12549
2021-11-24,0.641896,0.644153,0.639635,0.641644,0.641644,12505
2021-11-25,0.642115,0.699520,0.634910,0.640868,0.640868,14886
2021-11-26,0.698977,0.703050,0.642814,0.643121,0.643121,14857
2021-11-27,0.643030,0.694780,0.619046,0.694289,0.694289,15792
2021-11-28,0.694084,0.694779,0.583413,0.692128,0.692128,14926
2021-11-29,0.692035,0.693518,0.685769,0.690920,0.690920,15042
2021-11-30,0.690737,0.724163,0.685416,0.723330,0.723330,17525
2021-12-01,0.723092,2.673782,0.539382,0.620320,0.620320,59091
2021-12-02,0.620303,0.679680,0.568793,0.676873,0.676873,15000
2021-12-03,0.677425,0.680590,0.594311,0.648506,0.648506,16417
2021-12-04,0.648473,0.648789,0.563837,0.612310,0.612310,17306
2021-12-05,0.612289,1.462674,0.455232,0.621801,0.621801,43393
2021-12-06,0.621891,0.692885,0.562967,0.564782,0.564782,8664
2021-12-07,0.565073,0.620338,0.564967,0.577181,0.577181,7373
2021-12-08,0.577160,0.616992,0.572417,0.610425,0.610425,7208
2021-12-09,0.609795,0.611126,0.606403,0.608127,0.608127,11838
2021-12-10,0.607956,0.608721,0.605818,0.607090,0.607090,7673
2021-12-11,0.607019,0.607519,0.581992,0.583132,0.583132,7607
2021-12-12,0.583056,0.608302,0.581947,0.605522,0.605522,6962
2021-12-13,0.605812,0.606363,0.564872,0.565108,0.565108,8198
2021-12-14,0.565100,0.603370,0.496898,0.599987,0.599987,8458
2021-12-15,0.564375,0.594563,0.504097,0.549791,0.549791,3181
2021-12-16,0.549753,0.585857,0.549351,0.584002,0.584002,7238
2021-12-17,0.584112,0.586014,0.579166,0.581817,0.581817,7078
2021-12-18,0.582130,0.586331,0.580132,0.582535,0.582535,7631
2021-12-19,0.582468,0.587701,0.581408,0.586238,0.586238,4064
2021-12-20,0.586073,0.587346,0.579700,0.580860,0.580860,8522
2021-12-21,0.580885,0.595215,0.549788,0.550902,0.550902,8409
2021-12-22,0.550967,0.593981,0.550373,0.581807,0.581807,2122
2021-12-23,0.581771,0.589646,0.566815,0.589355,0.589355,6995
2021-12-24,0.589423,0.590591,0.568928,0.579991,0.579991,8127
2021-12-25,0.580165,0.588017,0.551036,0.587447,0.587447,6926
2021-12-26,0.587359,0.605466,0.586410,0.605173,0.605173,9488
2021-12-27,0.605257,0.606694,0.603446,0.604561,0.604561,6972
2021-12-28,0.605084,0.607157,0.593385,0.594865,0.594865,11259
2021-12-29,0.594761,0.604422,0.567222,0.567649,0.567649,9242
2021-12-30,0.567676,0.595019,0.567588,0.587345,0.587345,7116
2021-12-31,0.587380,0.676301,0.483210,0.549448,0.549448,7553
2022-01-01,0.549422,0.556940,0.537538,0.556673,0.556673,7314
2022-01-02,0.556670,0.565467,0.512937,0.564618,0.564618,8846
2022-01-03,0.564616,0.676817,0.551805,0.553791,0.553791,16552
2022-01-04,0.553789,0.553966,0.430410,0.448093,0.448093,3631
2022-01-05,0.448089,0.535133,0.447820,0.520357,0.520357,589
2022-01-06,0.520357,0.520357,0.448168,0.471264,0.471264,1055
2022-01-07,0.471276,0.480599,0.381554,0.471054,0.471054,8121
2022-01-08,0.471058,0.471545,0.432074,0.465759,0.465759,7690
2022-01-09,0.465759,0.466087,0.419928,0.464266,0.464266,11917
2022-01-10,0.464265,0.466797,0.449990,0.457515,0.457515,43829
2022-01-11,0.457514,0.467080,0.456117,0.466669,0.466669,6715
2022-01-12,0.466672,0.466766,0.466227,0.466485,0.466485,7481
2022-01-13,0.466484,0.473593,0.404092,0.445480,0.445480,190946
2022-01-14,0.445483,0.461255,0.439753,0.461048,0.461048,15290
2022-01-15,0.461056,0.683034,0.458978,0.617514,0.617514,13198
2022-01-16,0.617566,0.619561,0.481656,0.506356,0.506356,28842
