Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,3.079393,3.147444,3.047064,3.089634,3.089634,10297779
2021-08-23,3.089633,3.586944,3.089633,3.431996,3.431996,10321788
2021-08-24,3.431998,3.601527,3.373094,3.483769,3.483769,10938332
2021-08-25,3.483077,4.036994,3.483077,4.034654,4.034654,11016347
2021-08-26,4.034447,4.238221,3.861221,4.103302,4.103302,11276983
2021-08-27,4.103518,5.054439,3.931929,4.937191,4.937191,14194119
2021-08-28,4.924422,4.979962,4.475197,4.637092,4.637092,9365753
2021-08-29,4.637092,4.727310,4.287072,4.482050,4.482050,9219219
2021-08-30,4.482050,4.717450,4.217841,4.269126,4.269126,9939531
2021-08-31,4.285345,4.413183,3.954967,4.099655,4.099655,14994481
2021-09-01,4.099588,4.576024,3.452154,4.467349,4.467349,14482568
2021-09-02,4.467347,4.611449,4.265089,4.338898,4.338898,10576530
2021-09-03,4.338463,4.406591,4.183827,4.238870,4.238870,12186311
2021-09-04,4.238869,4.324443,4.182652,4.231916,4.231916,12775555
2021-09-05,4.231916,4.260478,4.027732,4.196345,4.196345,12298367
2021-09-06,4.196345,4.263352,4.013960,4.117712,4.117712,10463977
2021-09-07,4.117469,4.247939,3.354818,3.863445,3.863445,6087118
2021-09-08,3.863431,4.077135,3.505132,3.907351,3.907351,1580341
2021-09-09,3.887173,3.986450,3.761256,3.852759,3.852759,1047471
2021-09-10,3.852507,3.917466,3.627104,3.674500,3.674500,1217884
2021-09-11,3.674539,3.930229,3.593874,3.879889,3.879889,8548033
2021-09-12,3.879889,4.134404,3.811550,4.079903,4.079903,17325703
2021-09-13,4.079899,4.138979,3.805062,3.889117,3.889117,15579544
2021-09-14,3.889181,4.005448,3.861912,3.956078,3.956078,3691002
2021-09-15,3.956005,4.080578,3.923512,4.050496,4.050496,6745009
2021-09-16,4.050150,4.361513,3.981717,4.252147,4.252147,9536485
2021-09-17,4.247054,4.305451,3.874583,4.012484,4.012484,11477157
2021-09-18,4.012487,4.085565,3.952442,4.018050,4.018050,10432974
2021-09-19,4.018055,4.178692,4.007949,4.102291,4.102291,9439272
2021-09-20,4.102292,4.124144,3.663376,3.768335,3.768335,9285872
2021-09-21,3.767780,3.839351,3.393694,3.396714,3.396714,9284249
2021-09-22,3.396744,3.958681,3.291499,3.923304,3.923304,7371126
2021-09-23,3.923300,3.964631,3.365865,3.655534,3.655534,8385859
2021-09-24,3.655533,3.719659,2.236732,2.494986,2.494986,769517
2021-09-25,2.494901,2.497183,2.135862,2.232198,2.232198,207803
2021-09-26,2.223596,2.252437,2.104626,2.247729,2.247729,68994
2021-09-27,2.246929,2.662011,2.223010,2.578089,2.578089,92843
2021-09-28,2.578082,2.704374,2.350006,2.350006,2.350006,97385
2021-09-29,2.351752,2.397324,2.294172,2.367346,2.367346,78507
2021-09-30,2.367987,2.510224,2.365425,2.497492,2.497492,12981
2021-10-01,2.497872,2.692076,2.410499,2.686858,2.686858,31526
2021-10-02,2.686469,3.088318,2.669451,2.796438,2.796438,64450
2021-10-03,2.795640,2.886459,2.794782,2.832695,2.832695,10916
2021-10-04,2.832617,2.948604,2.773476,2.849425,2.849425,18318
2021-10-05,2.849375,2.891871,2.707140,2.797876,2.797876,24249
2021-10-06,2.798563,2.907480,2.587265,2.620281,2.620281,121401
2021-10-07,2.619323,2.672520,2.501663,2.600312,2.600312,46783
2021-10-08,2.600405,2.698519,2.558030,2.614595,2.614595,27605
2021-10-09,2.614977,2.622939,2.492066,2.581796,2.581796,18900
2021-10-10,2.581853,2.662939,2.511877,2.542783,2.542783,106107
2021-10-11,2.541290,2.679382,2.482814,2.605163,2.605163,41060
2021-10-12,2.610268,2.616919,2.484761,2.500121,2.500121,16750
2021-10-13,2.499701,2.572737,2.452189,2.568713,2.568713,16368
2021-10-14,2.568434,2.593289,2.450089,2.458092,2.458092,51731
2021-10-15,2.457697,2.754333,2.426086,2.509745,2.509745,116829
2021-10-16,2.509074,2.552717,2.447783,2.488245,2.488245,15747
2021-10-17,2.488402,2.543770,2.446044,2.498925,2.498925,18257
2021-10-18,2.498648,2.557258,2.402871,2.430766,2.430766,36844
2021-10-19,2.430744,2.698933,2.404206,2.624082,2.624082,3762097
2021-10-20,2.624380,2.832011,2.599492,2.714200,2.714200,3384961
2021-10-21,2.713874,2.788767,2.569009,2.575811,2.575811,3399577
2021-10-22,2.575394,2.678369,2.519296,2.558778,2.558778,3828080
2021-10-23,2.558574,2.701586,2.531356,2.668842,2.668842,3435447
2021-10-24,2.669780,2.806981,2.653993,2.769830,2.769830,4695240
2021-10-25,2.768810,2.999073,2.762883,2.896036,2.896036,3811018
2021-10-26,2.896777,3.019197,2.755361,2.834028,2.834028,3840587
2021-10-27,2.835035,2.921444,2.418826,2.665727,2.665727,4280445
2021-10-28,2.663896,2.843477,2.588522,2.759247,2.759247,4212222
2021-10-29,2.759602,2.848369,2.685196,2.712962,2.712962,3740227
2021-10-30,2.712074,2.783079,2.608602,2.670532,2.670532,3585019
2021-10-31,2.676455,2.768369,2.483086,2.539238,2.539238,4554677
2021-11-01,2.539355,2.701233,2.452286,2.510427,2.510427,3729270
2021-11-02,2.510535,2.684654,2.118788,2.548491,2.548491,5001490
2021-11-03,2.549236,2.725604,2.290955,2.631591,2.631591,5234638
2021-11-04,2.631949,3.061941,2.568278,3.061698,3.061698,6034153
2021-11-05,3.060518,3.125800,2.877999,2.878701,2.878701,5220162
2021-11-06,2.879784,3.025064,2.692970,2.797358,2.797358,5131878
2021-11-07,2.796775,3.189323,2.796775,3.189323,3.189323,5847674
2021-11-08,3.192590,3.387714,2.743697,2.852396,2.852396,5908764
2021-11-09,2.852110,3.281546,2.838240,3.128299,3.128299,6227324
2021-11-10,3.126758,3.324987,2.856965,3.010717,3.010717,5870435
2021-11-11,3.014675,3.367577,2.861711,3.062949,3.062949,6984538
2021-11-12,3.068613,3.288201,2.820004,3.025282,3.025282,5785086
2021-11-13,3.020815,3.078254,2.846537,2.988132,2.988132,5390311
2021-11-14,2.987746,3.021808,2.853616,2.968370,2.968370,5122320
2021-11-15,2.968500,3.006821,2.731698,2.775528,2.775528,4930036
2021-11-16,2.770995,2.950655,2.531351,2.668683,2.668683,5316445
2021-11-17,2.666097,2.769287,2.560697,2.636018,2.636018,4593025
2021-11-18,2.637277,2.661567,2.391229,2.404114,2.404114,3972628
2021-11-19,2.404646,2.566097,2.404646,2.517535,2.517535,2779985
2021-11-20,2.516411,2.611818,2.490937,2.550117,2.550117,4549622
2021-11-21,2.549363,2.665093,2.454449,2.528794,2.528794,3995592
2021-11-22,2.531977,2.613626,2.421415,2.489119,2.489119,4477573
2021-11-23,2.486647,2.539650,2.379032,2.447557,2.447557,4830000
2021-11-24,2.446293,2.486324,2.354878,2.402675,2.402675,4803000
2021-11-25,2.367874,2.481088,2.357691,2.384910,2.384910,4029721
2021-11-26,2.422142,2.429751,2.185839,2.186981,2.186981,2947549
2021-11-27,2.185817,2.367578,2.073145,2.313657,2.313657,3376836
2021-11-28,2.320044,2.486339,2.251874,2.452233,2.452233,4850635
2021-11-29,2.453749,2.599405,2.380546,2.441198,2.441198,5058380
2021-11-30,2.441964,2.520287,2.359866,2.372272,2.372272,5101238
2021-12-01,2.371968,2.497546,2.360104,2.387251,2.387251,5676055
2021-12-02,2.386935,2.397041,2.308930,2.364834,2.364834,5210925
2021-12-03,2.362369,2.492445,2.308307,2.342414,2.342414,4064143
2021-12-04,2.341182,2.365791,1.857556,2.095516,2.095516,3348059
2021-12-05,2.096017,2.146949,1.909322,2.001120,2.001120,3545602
2021-12-06,2.000944,2.209982,1.846986,2.071855,2.071855,3678479
2021-12-07,2.074261,2.202576,2.043359,2.151725,2.151725,4092501
2021-12-08,2.151422,2.674125,2.066338,2.179709,2.179709,4156024
2021-12-09,2.178518,2.284647,2.048767,2.100921,2.100921,3410360
2021-12-10,2.098512,2.169174,2.004492,2.052293,2.052293,3097348
2021-12-11,2.050165,2.601275,2.021865,2.298598,2.298598,6095230
2021-12-12,2.296425,2.370356,2.116575,2.233418,2.233418,4240793
2021-12-13,2.237513,2.493336,2.110621,2.188603,2.188603,4434203
2021-12-14,2.190137,2.462566,2.152635,2.348869,2.348869,3971626
2021-12-15,2.444983,2.636003,2.321571,2.436954,2.436954,4250951
2021-12-16,2.435667,2.459518,2.371404,2.377566,2.377566,3854177
2021-12-17,2.379979,2.392189,2.240360,2.281301,2.281301,4063825
2021-12-18,2.276693,2.320380,2.207947,2.223128,2.223128,5872655
2021-12-19,2.223202,2.333676,2.199050,2.205708,2.205708,4196196
2021-12-20,2.207169,2.275573,2.002269,2.269036,2.269036,6623634
2021-12-21,2.267607,2.417871,2.230871,2.375577,2.375577,5098781
2021-12-22,2.370685,2.436514,2.175384,2.185907,2.185907,5534073
2021-12-23,2.187708,4.211380,2.129357,2.509734,2.509734,78694423
2021-12-24,2.506560,2.649633,2.456026,2.515685,2.515685,45583275
2021-12-25,2.513430,2.591953,2.473272,2.527773,2.527773,43861172
