Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.037022,0.038006,0.034654,0.034855,0.034855,1198985
2021-08-23,0.034843,0.034976,0.033264,0.033453,0.033453,890322
2021-08-24,0.033454,0.034083,0.033031,0.033491,0.033491,1068381
2021-08-25,0.033490,0.033515,0.032424,0.033006,0.033006,645755
2021-08-26,0.033033,0.033121,0.031093,0.032708,0.032708,1131329
2021-08-27,0.032721,0.035908,0.032668,0.033852,0.033852,1127179
2021-08-28,0.033852,0.036226,0.033234,0.035579,0.035579,969363
2021-08-29,0.035584,0.036123,0.034114,0.034168,0.034168,588927
2021-08-30,0.034169,0.034170,0.031910,0.032800,0.032800,1406670
2021-08-31,0.032759,0.032782,0.030896,0.031159,0.031159,917838
2021-09-01,0.031130,0.034909,0.029954,0.034762,0.034762,1408100
2021-09-02,0.034705,0.035235,0.030007,0.032790,0.032790,1184045
2021-09-03,0.032774,0.033209,0.030966,0.032355,0.032355,1209948
2021-09-04,0.032322,0.032601,0.031097,0.031445,0.031445,717833
2021-09-05,0.031442,0.031783,0.030299,0.030721,0.030721,1306245
2021-09-06,0.030721,0.031820,0.030418,0.031359,0.031359,1047027
2021-09-07,0.031386,0.032321,0.026254,0.029454,0.029454,1397000
2021-09-08,0.029454,0.029476,0.025679,0.027126,0.027126,924887
2021-09-09,0.027316,0.028515,0.026639,0.026893,0.026893,809589
2021-09-10,0.026891,0.027179,0.024176,0.024729,0.024729,894379
2021-09-11,0.024731,0.026812,0.023106,0.023219,0.023219,826098
2021-09-12,0.023217,0.027072,0.023114,0.025114,0.025114,1020278
2021-09-13,0.025114,0.025392,0.023290,0.023756,0.023756,1156215
2021-09-14,0.023678,0.024605,0.023339,0.024100,0.024100,747274
2021-09-15,0.024099,0.029799,0.023933,0.026874,0.026874,1441038
2021-09-16,0.026911,0.028734,0.026157,0.028447,0.028447,757331
2021-09-17,0.028452,0.034165,0.028452,0.029710,0.029710,1097514
2021-09-18,0.029707,0.034691,0.029567,0.034691,0.034691,1125359
2021-09-19,0.034702,0.034815,0.031467,0.033608,0.033608,1640287
2021-09-20,0.033612,0.033656,0.027285,0.028024,0.028024,1651445
2021-09-21,0.028016,0.029974,0.026745,0.026749,0.026749,1506331
2021-09-22,0.026744,0.029997,0.026038,0.029785,0.029785,637198
2021-09-23,0.029788,0.032793,0.028340,0.028618,0.028618,596489
2021-09-24,0.028618,0.028734,0.025146,0.026464,0.026464,797107
2021-09-25,0.026466,0.026850,0.026168,0.026775,0.026775,388728
2021-09-26,0.026774,0.027348,0.026349,0.026521,0.026521,590961
2021-09-27,0.026489,0.032668,0.025904,0.029091,0.029091,1634322
2021-09-28,0.029047,0.030225,0.027380,0.027728,0.027728,674704
2021-09-29,0.027725,0.029534,0.027501,0.027965,0.027965,472157
2021-09-30,0.027955,0.030142,0.027517,0.028382,0.028382,746200
2021-10-01,0.028382,0.033739,0.027860,0.032303,0.032303,1132210
2021-10-02,0.032305,0.032328,0.030474,0.031895,0.031895,559322
2021-10-03,0.031884,0.032993,0.030944,0.032890,0.032890,740273
2021-10-04,0.032890,0.032922,0.031303,0.031645,0.031645,540831
2021-10-05,0.031645,0.032344,0.030374,0.030469,0.030469,611194
2021-10-06,0.030461,0.031327,0.028720,0.028790,0.028790,570679
2021-10-07,0.028823,0.032546,0.028661,0.031551,0.031551,692306
2021-10-08,0.031549,0.032019,0.029835,0.030619,0.030619,899534
2021-10-09,0.030618,0.030637,0.029668,0.030590,0.030590,432310
2021-10-10,0.030586,0.030641,0.028354,0.028470,0.028470,563881
2021-10-11,0.028426,0.029843,0.028032,0.029088,0.029088,622439
2021-10-12,0.029088,0.029199,0.026324,0.026476,0.026476,738041
2021-10-13,0.026480,0.027545,0.026457,0.026583,0.026583,542868
2021-10-14,0.026584,0.026645,0.025604,0.026401,0.026401,653753
2021-10-15,0.026396,0.027528,0.025317,0.026397,0.026397,972597
2021-10-16,0.026402,0.027958,0.026322,0.026436,0.026436,515060
2021-10-17,0.026436,0.027039,0.025362,0.026321,0.026321,478346
2021-10-18,0.026322,0.026343,0.024928,0.024940,0.024940,610512
2021-10-19,0.024938,0.027492,0.024897,0.026585,0.026585,1046871
2021-10-20,0.026581,0.027496,0.026581,0.027355,0.027355,651437
2021-10-21,0.027351,0.027397,0.026176,0.026444,0.026444,869446
2021-10-22,0.026439,0.027449,0.026057,0.026834,0.026834,1051312
2021-10-23,0.026833,0.028271,0.026233,0.028156,0.028156,1098686
2021-10-24,0.028159,0.028292,0.026246,0.026352,0.026352,918904
2021-10-25,0.026342,0.033422,0.026211,0.031733,0.031733,3431780
2021-10-26,0.031743,0.031766,0.029725,0.029915,0.029915,745730
2021-10-27,0.029912,0.033776,0.027529,0.033621,0.033621,1985417
2021-10-28,0.033632,0.037559,0.030680,0.036630,0.036630,2382310
2021-10-29,0.036645,0.039042,0.034827,0.036492,0.036492,1214520
2021-10-30,0.036497,0.036978,0.031473,0.032820,0.032820,1105685
2021-10-31,0.032831,0.037736,0.032577,0.035748,0.035748,867984
2021-11-01,0.035747,0.035766,0.033419,0.034800,0.034800,547896
2021-11-02,0.034799,0.044831,0.034732,0.042968,0.042968,2495716
2021-11-03,0.043092,0.050718,0.040677,0.047586,0.047586,2876144
2021-11-04,0.047578,0.047602,0.043960,0.046822,0.046822,1444928
2021-11-05,0.046810,0.061302,0.046810,0.055771,0.055771,4380977
2021-11-06,0.055784,0.060654,0.055084,0.056227,0.056227,1628624
2021-11-07,0.056242,0.056356,0.051861,0.053578,0.053578,1438011
2021-11-08,0.053568,0.054555,0.047834,0.051872,0.051872,1358476
2021-11-09,0.051856,0.052444,0.046432,0.048168,0.048168,1328510
2021-11-10,0.048169,0.048227,0.040629,0.042870,0.042870,1269868
2021-11-11,0.042894,0.060585,0.040447,0.046385,0.046385,3427161
2021-11-12,0.046335,0.052734,0.044446,0.044825,0.044825,2354728
2021-11-13,0.044862,0.058283,0.044549,0.054652,0.054652,3249871
2021-11-14,0.054692,0.055898,0.050021,0.051580,0.051580,1150803
2021-11-15,0.051584,0.064257,0.051584,0.056255,0.056255,2699895
2021-11-16,0.056312,0.106186,0.047775,0.047884,0.047884,1638474
2021-11-17,0.047874,0.052941,0.046165,0.050354,0.050354,1392976
2021-11-18,0.050355,0.050593,0.041535,0.041574,0.041574,1783274
2021-11-19,0.041599,0.045393,0.041167,0.044001,0.044001,2167276
2021-11-20,0.044000,0.053334,0.043924,0.047578,0.047578,1812901
2021-11-21,0.047615,0.049496,0.046696,0.048856,0.048856,1385176
2021-11-22,0.048839,0.048856,0.040078,0.045023,0.045023,1833774
2021-11-23,0.045051,0.050795,0.044920,0.046288,0.046288,2230493
2021-11-24,0.046286,0.047427,0.043109,0.046025,0.046025,1773653
2021-11-25,0.043612,0.050633,0.043608,0.045630,0.045630,946753
2021-11-26,0.047842,0.048200,0.042281,0.046894,0.046894,1789212
2021-11-27,0.046863,0.049152,0.046559,0.047950,0.047950,1160728
2021-11-28,0.047962,0.048087,0.044722,0.046117,0.046117,876402
2021-11-29,0.046112,0.048568,0.045821,0.045846,0.045846,638339
2021-11-30,0.045818,0.048154,0.045276,0.048065,0.048065,1063579
2021-12-01,0.048029,0.054829,0.046334,0.046668,0.046668,2034689
2021-12-02,0.046667,0.050100,0.046560,0.047111,0.047111,858074
2021-12-03,0.047135,0.050657,0.045435,0.047274,0.047274,1339396
2021-12-04,0.047177,0.047198,0.040217,0.040849,0.040849,2052135
2021-12-05,0.040855,0.041485,0.036454,0.036454,0.036454,641748
2021-12-06,0.036404,0.038709,0.032818,0.038488,0.038488,889400
2021-12-07,0.038485,0.041505,0.038465,0.041505,0.041505,775304
2021-12-08,0.041503,0.041657,0.039335,0.039717,0.039717,882675
2021-12-09,0.039688,0.044326,0.036524,0.036631,0.036631,1417192
2021-12-10,0.036638,0.040060,0.035320,0.035646,0.035646,1013173
2021-12-11,0.035669,0.035669,0.031052,0.031208,0.031208,975532
2021-12-12,0.031203,0.034147,0.030029,0.034096,0.034096,630869
2021-12-13,0.034111,0.034863,0.028429,0.029955,0.029955,1138590
2021-12-14,0.029943,0.038979,0.029379,0.035633,0.035633,1476053
2021-12-15,0.035265,0.035410,0.033106,0.034191,0.034191,505524
2021-12-16,0.034248,0.036844,0.034202,0.035856,0.035856,401326
2021-12-17,0.035853,0.035853,0.032984,0.033406,0.033406,306132
2021-12-18,0.033420,0.033420,0.029860,0.032212,0.032212,725558
2021-12-19,0.032209,0.033121,0.032057,0.032481,0.032481,429046
2021-12-20,0.032474,0.032864,0.029905,0.030880,0.030880,491873
2021-12-21,0.030879,0.033020,0.030879,0.033004,0.033004,261563
2021-12-22,0.033006,0.034058,0.031015,0.033949,0.033949,817305
2021-12-23,0.033950,0.035777,0.031607,0.035643,0.035643,954925
2021-12-24,0.035684,0.037777,0.034025,0.037747,0.037747,697655
