Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.332260,0.342823,0.311945,0.335759,0.335759,117035
2021-08-23,0.335653,0.369226,0.334931,0.354398,0.354398,131867
2021-08-24,0.353759,0.375968,0.304633,0.362712,0.362712,255378
2021-08-25,0.362319,0.372864,0.328161,0.350270,0.350270,207439
2021-08-26,0.350282,0.354791,0.309770,0.333130,0.333130,452500
2021-08-27,0.333160,0.368191,0.310804,0.360394,0.360394,251475
2021-08-28,0.360805,0.362006,0.337292,0.348154,0.348154,65370
2021-08-29,0.348160,0.354554,0.334986,0.343556,0.343556,94844
2021-08-30,0.343483,0.411856,0.338610,0.367396,0.367396,344906
2021-08-31,0.364849,0.454057,0.343439,0.434277,0.434277,395830
2021-09-01,0.433801,0.455894,0.270138,0.310968,0.310968,1894041
2021-09-02,0.310018,0.334069,0.247803,0.289255,0.289255,1514393
2021-09-03,0.289162,0.341661,0.283938,0.295270,0.295270,412283
2021-09-04,0.295312,0.295339,0.242500,0.252682,0.252682,288131
2021-09-05,0.250992,0.280051,0.249297,0.269615,0.269615,250937
2021-09-06,0.269573,0.277342,0.252222,0.271534,0.271534,299399
2021-09-07,0.271430,0.289334,0.229920,0.259938,0.259938,341526
2021-09-08,0.260043,0.288288,0.247371,0.283155,0.283155,230090
2021-09-09,0.280471,0.299719,0.268992,0.287185,0.287185,130608
2021-09-10,0.287114,0.296494,0.247504,0.249947,0.249947,168749
2021-09-11,0.250056,0.259566,0.236554,0.248317,0.248317,127503
2021-09-12,0.248427,0.268632,0.246623,0.257099,0.257099,112768
2021-09-13,0.256933,0.266396,0.243655,0.263621,0.263621,133420
2021-09-14,0.263588,0.318958,0.260875,0.316649,0.316649,316812
2021-09-15,0.316851,0.317333,0.297901,0.310714,0.310714,136652
2021-09-16,0.311063,0.315953,0.282246,0.285064,0.285064,118566
2021-09-17,0.285096,0.289118,0.273293,0.276068,0.276068,55724
2021-09-18,0.276303,0.311550,0.270918,0.294268,0.294268,264786
2021-09-19,0.294488,0.300549,0.262610,0.278877,0.278877,441297
2021-09-20,0.278811,0.292049,0.240578,0.268628,0.268628,226026
2021-09-21,0.268328,0.294165,0.246690,0.260729,0.260729,154662
2021-09-22,0.260622,0.286253,0.253184,0.275672,0.275672,71126
2021-09-23,0.275616,0.293122,0.256054,0.288031,0.288031,189516
2021-09-24,0.287974,0.290782,0.254711,0.272173,0.272173,39529
2021-09-25,0.272156,0.288339,0.264785,0.268604,0.268604,107980
2021-09-26,0.268522,0.289275,0.256165,0.282592,0.282592,48427
2021-09-27,0.282416,0.349432,0.244027,0.319911,0.319911,682687
2021-09-28,0.320684,0.340517,0.291461,0.328998,0.328998,209320
2021-09-29,0.329489,0.343090,0.273720,0.292984,0.292984,195618
2021-09-30,0.293221,0.328296,0.292231,0.315312,0.315312,188922
2021-10-01,0.315300,0.316279,0.274466,0.292004,0.292004,258548
2021-10-02,0.291842,0.353868,0.265705,0.317892,0.317892,460124
2021-10-03,0.317750,0.326780,0.300590,0.322853,0.322853,95662
2021-10-04,0.322953,0.326862,0.288567,0.301521,0.301521,146581
2021-10-05,0.301507,0.331710,0.300563,0.329664,0.329664,84820
2021-10-06,0.331154,0.332641,0.306698,0.307708,0.307708,140179
2021-10-07,0.307431,0.318366,0.296299,0.306113,0.306113,109953
2021-10-08,0.306079,0.312401,0.269485,0.284724,0.284724,164146
2021-10-09,0.284832,0.304573,0.268306,0.299740,0.299740,213604
2021-10-10,0.299759,0.300016,0.265411,0.271844,0.271844,106870
2021-10-11,0.271601,0.281439,0.260142,0.273701,0.273701,109692
2021-10-12,0.273849,0.294121,0.247059,0.253913,0.253913,218460
2021-10-13,0.253825,0.287432,0.212362,0.274221,0.274221,580570
2021-10-14,0.274253,0.278338,0.256599,0.257707,0.257707,58334
2021-10-15,0.257625,0.263086,0.227987,0.237825,0.237825,131850
2021-10-16,0.237721,0.262158,0.222891,0.260002,0.260002,114767
2021-10-17,0.259948,0.263015,0.223917,0.229825,0.229825,145717
2021-10-18,0.229762,0.240834,0.214775,0.217382,0.217382,199557
2021-10-19,0.217331,0.236734,0.215008,0.221473,0.221473,213649
2021-10-20,0.221490,0.236269,0.169304,0.228049,0.228049,911859
2021-10-21,0.228076,0.241297,0.213227,0.233601,0.233601,196982
2021-10-22,0.233491,0.267345,0.232301,0.249093,0.249093,152294
2021-10-23,0.249087,0.249441,0.213003,0.220495,0.220495,157601
2021-10-24,0.220588,0.221201,0.194564,0.200819,0.200819,63820
