Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.003668,0.003710,0.003615,0.003700,0.003700,0
2021-08-23,0.003699,0.003786,0.003681,0.003715,0.003715,0
2021-08-24,0.003716,0.003741,0.003577,0.003582,0.003582,0
2021-08-25,0.003578,0.003690,0.003537,0.003672,0.003672,0
2021-08-26,0.003672,0.003701,0.003480,0.003521,0.003521,0
2021-08-27,0.003521,0.003683,0.003480,0.003676,0.003676,0
2021-08-28,0.003679,0.003696,0.003637,0.003668,0.003668,0
2021-08-29,0.003668,0.003723,0.003594,0.003662,0.003662,0
2021-08-30,0.003662,0.003669,0.003522,0.003524,0.003524,0
2021-08-31,0.003529,0.005027,0.003506,0.004997,0.004997,5
2021-09-01,0.005000,0.005206,0.004936,0.005179,0.005179,0
2021-09-02,0.005178,0.005336,0.005157,0.005230,0.005230,0
2021-09-03,0.005229,0.005404,0.005129,0.005304,0.005304,0
2021-09-04,0.005303,0.005358,0.005252,0.005294,0.005294,0
2021-09-05,0.005294,0.005498,0.005251,0.005485,0.005485,0
2021-09-06,0.005486,0.005586,0.005412,0.005581,0.005581,0
2021-09-07,0.005579,0.005603,0.004588,0.004963,0.004963,0
2021-09-08,0.004962,0.005017,0.004724,0.004886,0.004886,0
2021-09-09,0.004854,0.005005,0.003421,0.003432,0.003432,5
2021-09-10,0.003433,0.003480,0.002661,0.002692,0.002692,8
2021-09-11,0.002693,0.002758,0.002689,0.002711,0.002711,0
2021-09-12,0.002712,0.002782,0.002687,0.002766,0.002766,0
2021-09-13,0.002764,0.002796,0.002615,0.002698,0.002698,0
2021-09-14,0.002698,0.002833,0.002685,0.002824,0.002824,0
2021-09-15,0.002826,0.002907,0.002806,0.002890,0.002890,0
2021-09-16,0.002891,0.002909,0.002825,0.002867,0.002867,0
2021-09-17,0.002867,0.002890,0.002810,0.002834,0.002834,0
2021-09-18,0.002836,0.002928,0.002825,0.002895,0.002895,0
2021-09-19,0.002897,0.002900,0.002815,0.002836,0.002836,0
2021-09-20,0.002836,0.002840,0.002556,0.002573,0.002573,0
2021-09-21,0.002571,0.002616,0.002387,0.002433,0.002433,0
2021-09-22,0.002442,0.002639,0.002438,0.002615,0.002615,0
2021-09-23,0.002614,0.002697,0.002587,0.002694,0.002694,0
2021-09-24,0.002694,0.002705,0.002456,0.002571,0.002571,0
2021-09-25,0.002570,0.002580,0.002506,0.002563,0.002563,0
2021-09-26,0.002563,0.002635,0.002451,0.002594,0.002594,0
2021-09-27,0.002593,0.002659,0.002531,0.002534,0.002534,0
2021-09-28,0.002534,0.002567,0.002456,0.002459,0.002459,0
2021-09-29,0.002462,0.002553,0.002450,0.002492,0.002492,0
2021-09-30,0.002494,0.002646,0.002487,0.002627,0.002627,0
2021-10-01,0.002627,0.002906,0.002599,0.002888,0.002888,0
2021-10-02,0.002887,0.002897,0.002848,0.002864,0.002864,0
2021-10-03,0.002863,0.002948,0.002829,0.002892,0.002892,0
2021-10-04,0.002892,0.002967,0.002823,0.002947,0.002947,0
2021-10-05,0.002947,0.003110,0.002944,0.003089,0.003089,0
2021-10-06,0.003091,0.003334,0.003029,0.003324,0.003324,0
2021-10-07,0.003322,0.003322,0.003212,0.003228,0.003228,0
2021-10-08,0.003228,0.003355,0.003221,0.003237,0.003237,0
2021-10-09,0.003238,0.003324,0.003224,0.003298,0.003298,0
2021-10-10,0.003298,0.003384,0.003256,0.003289,0.003289,0
2021-10-11,0.003286,0.003468,0.003271,0.003448,0.003448,16
2021-10-12,0.003449,0.003458,0.003269,0.003364,0.003364,0
2021-10-13,0.003362,0.003461,0.003262,0.003445,0.003445,0
2021-10-14,0.003444,0.003509,0.003417,0.003440,0.003440,0
2021-10-15,0.003439,0.003765,0.003412,0.003698,0.003698,0
2021-10-16,0.003696,0.003736,0.003612,0.003653,0.003653,0
2021-10-17,0.003654,0.003699,0.003550,0.003694,0.003694,0
2021-10-18,0.003693,0.003757,0.003601,0.003722,0.003722,0
2021-10-19,0.003722,0.003866,0.003697,0.003855,0.003855,0
2021-10-20,0.003856,0.004016,0.003817,0.003960,0.003960,0
2021-10-21,0.003960,0.003996,0.003727,0.003733,0.003733,0
2021-10-22,0.003733,0.003823,0.003607,0.003642,0.003642,0
2021-10-23,0.003642,0.003705,0.003590,0.003682,0.003682,0
2021-10-24,0.003684,0.003690,0.003579,0.003657,0.003657,0
2021-10-25,0.003656,0.003824,0.003642,0.003781,0.003781,0
2021-10-26,0.003782,0.003794,0.003599,0.003621,0.003621,0
2021-10-27,0.003622,0.003686,0.003492,0.003511,0.003511,0
2021-10-28,0.003509,0.003555,0.000990,0.001030,0.001030,98
2021-10-29,0.001031,0.001070,0.001026,0.001058,0.001058,0
2021-10-30,0.001058,0.001060,0.001036,0.001050,0.001050,0
2021-10-31,0.001052,0.001061,0.001021,0.001042,0.001042,0
2021-11-01,0.001042,0.001061,0.001015,0.001037,0.001037,0
2021-11-02,0.001036,0.001092,0.001031,0.001075,0.001075,0
2021-11-03,0.001075,0.001080,0.001040,0.001070,0.001070,0
2021-11-04,0.001070,0.001073,0.001034,0.001045,0.001045,0
2021-11-05,0.001045,0.001063,0.001034,0.001039,0.001039,0
2021-11-06,0.001039,0.001047,0.001023,0.001046,0.001046,0
2021-11-07,0.001046,0.001076,0.001044,0.001076,0.001076,0
2021-11-08,0.001077,0.001150,0.001077,0.001149,0.001149,0
2021-11-09,0.001149,0.001165,0.001128,0.001139,0.001139,0
2021-11-10,0.001139,0.001169,0.001075,0.001103,0.001103,0
2021-11-11,0.001105,0.001115,0.001091,0.001102,0.001102,0
2021-11-12,0.001104,0.001113,0.001060,0.001092,0.001092,0
2021-11-13,0.001091,0.001233,0.001076,0.001225,0.001225,11
2021-11-14,0.001225,0.001244,0.001209,0.001244,0.001244,0
2021-11-15,0.001244,0.001259,0.001207,0.001210,0.001210,0
2021-11-16,0.001208,0.001211,0.001121,0.001144,0.001144,0
2021-11-17,0.001143,0.001156,0.001112,0.001146,0.001146,0
2021-11-18,0.001147,0.001158,0.001074,0.001082,0.001082,0
2021-11-19,0.001082,0.001109,0.001058,0.001104,0.001104,0
2021-11-20,0.001104,0.001137,0.001092,0.001134,0.001134,0
2021-11-21,0.001135,0.001140,0.001114,0.001116,0.001116,0
2021-11-22,0.001115,0.001126,0.001058,0.001071,0.001071,0
2021-11-23,0.001069,0.001100,0.001057,0.001094,0.001094,0
2021-11-24,0.001094,0.001098,0.001063,0.001069,0.001069,1
2021-11-25,0.001087,0.001128,0.001086,0.001090,0.001090,1
2021-11-26,0.001120,0.001124,0.001018,0.001018,0.001018,0
2021-11-27,0.001018,0.001051,0.001018,0.001039,0.001039,0
2021-11-28,0.001041,0.001090,0.001018,0.001087,0.001087,0
2021-11-29,0.001088,0.001119,0.001079,0.001098,0.001098,0
2021-11-30,0.001099,0.001123,0.001065,0.001083,0.001083,0
2021-12-01,0.001081,0.001122,0.001075,0.001087,0.001087,0
2021-12-02,0.001087,0.001090,0.001062,0.001074,0.001074,0
2021-12-03,0.001073,0.001092,0.000997,0.001019,0.001019,0
2021-12-04,0.001018,0.001024,0.000815,0.000935,0.000935,0
2021-12-05,0.000935,0.000946,0.000909,0.000938,0.000938,0
2021-12-06,0.000938,0.000968,0.000898,0.000960,0.000960,0
2021-12-07,0.000961,0.000987,0.000953,0.000963,0.000963,0
2021-12-08,0.000963,0.000972,0.000927,0.000960,0.000960,0
2021-12-09,0.000960,0.000965,0.000900,0.000907,0.000907,0
2021-12-10,0.000906,0.000950,0.000893,0.000899,0.000899,0
2021-12-11,0.000898,0.000940,0.000892,0.000939,0.000939,0
2021-12-12,0.000938,0.000964,0.000926,0.000952,0.000952,0
2021-12-13,0.000952,0.000954,0.000872,0.000887,0.000887,0
